BITPIX  =                    8  /  8-bit ASCII characters                       
NAXIS   =                    1  /  Number of Image Dimensions                   
NAXIS1  =                 1788  /  Length of axis                               
ORIGIN  = 'NOAO-IRAF: WTEXTIMAGE'  /
IRAF-MAX=                   0.  /  Max image pixel (out of date)                
IRAF-MIN=                   0.  /  Min image pixel (out of date)                
IRAF-B/P=                   32  /  Image bits per pixel                         
IRAFTYPE= 'REAL FLOATING     '  /  Image datatype                              
OBJECT  = 'SN2008FU          '  /                                              
FILENAME= 'SN08FU_B01_DUP_WF_20OCT08'  /
FORMAT  = '5G14.7            '  /  Text line format                            
EXTEND  =                    F / File may contain extensions                    
ORIGIN  = 'NOAO-IRAF FITS Image Kernel July 2003' / FITS file originator        
DATE    = '2024-04-22T19:02:44' / Date FITS file was generated                  
IRAF-TLM= '2024-04-22T19:02:44' / Time of last modification                     
CHIP    = 'TEK5'                                   / DETECTOR NAME              
TEL     = 'LCO-100'                                / TELESCOPE NAME             
OBJECT  = 'SN2008fu'           / OBJECT NAME                                    
COMMENT = ''                                       / COMMENT                    
UTSTART = '07:17:05.2'                             / UT OF START FROM TEL       
UTEND   = '07:32:05.4'                             / UT OF END FROM TEL         
FILTERP =                    4                     / FILTER POSITION            
FILTER  = 'grism_blue'                             / FILTER NAME                
APERPPOS=                    1                     / APERTURE POSITION          
APERTURE= '150u'                                   / APERTURE NAME              
CCDPICNO=                  109                     / FRAME NUMBER OF IMAGE      
EXPTIME =              900.010                     / TRUE EXP-TIME IN SEC.      
GAIN    =                    1                     / GAIN NOT NEC. E/DN         
LOOP    =                    1                     / LOOP SIZE                  
LOOPCTR =                    1                     / LOOP COUNTER               
DATE-OBS= '2008-10-20'                             / UT DATE AT START OF FRAME  
RA      = '03:02:38.36'                            / RA FROM TEL                
DEC     = '-24:21:18.4'                            / DEC FROM TEL               
HRA     = '01:27:42.6'                             / HR-ANGLE FROM C100         
EQUINOX =             2000.000                     / EQUINOX FROM C100          
AIRMASS =                 1.07 / AIRMASS FROM C100                              
CASSPOS =                 71.0                     / CASSPOS FROM C100          
IMAGETYP= 'object'                                 / IMAGE TYPE                 
NEWEXPT =                 900.                                                  
NEWST   = '4:30:21.0'                                                           
WAIRMASS=             1.076063                                                  
UTMID   = '7:24:35.0'                                                           
JD      =     2454759.80873843                                                  
WCSDIM  =                    1                                                  
LTM1_1  =                   1.                                                  
WAT0_001= 'system=equispec'                                                     
WAT1_001= 'wtype=linear label=Wavelength units=angstroms units_display=angstrom'
TRIM    = 'Oct 20 17:02 Trim data section is [1:1788,1:1001]'                   
FIXPIX  = 'Oct 20 17:02 Bad pixel file is snphot$badpix_DUP_WF.dat'             
OVERCOR = 'Oct 20 17:02 Overscan section is [1792:1803,1:1001] with mean=724.04'
ZEROCOR = 'Oct 20 17:02 Zero level correction image is Zero.b.spec.fits'        
FLATCOR = 'Oct 20 17:02 Flat field image is Dflat.b.nar.norm with scale=1.'     
CCDSEC  = '[1:1788,1:1001]'                                                     
CCDPROC = 'Oct 20 17:02 CCD processing done'                                    
APNUM1  = '1 1 492.06 498.03'                                                   
CTYPE1  = 'LINEAR  '                                                            
CRVAL1  =                3800.                                                  
CRPIX1  =                   1.                                                  
CDELT1  =       3.041410184667                                                  
CD1_1   =       3.041410184667                                                  
DC-FLAG =                    0                                                  
DCLOG1  = 'REFSPEC1 = ccd110.0001'                                              
BANDID1 = 'spectrum: background fit, weights none, clean no'                    
EX-FLAG =                    0                                                  
CA-FLAG =                    0                                                  
BUNIT   = 'erg/cm2/s/A'                                                         
WAT1_002= 's       '                                                            
END                                                                             
                                                                                
                                                                                
3800.  9.457778E-17
3803.04141018467  1.662475E-17
3806.08282036933  1.937834E-17
3809.124230554  4.730060E-17
3812.16564073867  4.876503E-17
3815.20705092334  1.155242E-17
3818.248461108  2.834863E-17
3821.28987129267  5.158191E-17
3824.33128147734  2.040707E-17
3827.372691662  1.128726E-17
3830.41410184667  7.094986E-17
3833.45551203134  2.558948E-17
3836.496922216  5.647388E-17
3839.53833240067  6.894127E-17
3842.57974258534  4.491329E-17
3845.62115277001  7.972137E-17
3848.66256295467  7.477467E-17
3851.70397313934  1.674921E-17
3854.74538332401  4.823772E-18
3857.78679350867  4.290351E-17
3860.82820369334  6.796967E-17
3863.86961387801  7.086674E-17
3866.91102406267  5.773402E-17
3869.95243424734  5.167031E-17
3872.99384443201  4.380711E-17
3876.03525461668  3.433763E-17
3879.07666480134  5.557081E-17
