BITPIX  =                    8  /  8-bit ASCII characters                       
NAXIS   =                    1  /  Number of Image Dimensions                   
NAXIS1  =                 1788  /  Length of axis                               
ORIGIN  = 'NOAO-IRAF: WTEXTIMAGE'  /
IRAF-MAX=                   0.  /  Max image pixel (out of date)                
IRAF-MIN=                   0.  /  Min image pixel (out of date)                
IRAF-B/P=                   32  /  Image bits per pixel                         
IRAFTYPE= 'REAL FLOATING     '  /  Image datatype                              
OBJECT  = 'SN_NGC3261        '  /                                              
FILENAME= 'SN08FW_B01_DUP_WF_28SEP08'  /
FORMAT  = '5G14.7            '  /  Text line format                            
EXTEND  =                    F / File may contain extensions                    
ORIGIN  = 'NOAO-IRAF FITS Image Kernel July 2003' / FITS file originator        
DATE    = '2024-04-22T19:04:13' / Date FITS file was generated                  
IRAF-TLM= '2024-04-22T19:04:13' / Time of last modification                     
CHIP    = 'TEK5'                                   / DETECTOR NAME              
TEL     = 'LCO-100'                                / TELESCOPE NAME             
OBJECT  = 'SN_NGC3261'         / OBJECT NAME                                    
COMMENT = ''                                       / COMMENT                    
UTSTART = '09:20:42.1'                             / UT OF START FROM TEL       
UTEND   = '09:24:52.2'                             / UT OF END FROM TEL         
FILTERP =                    4                     / FILTER POSITION            
FILTER  = 'grism_blue'                             / FILTER NAME                
APERPPOS=                    1                     / APERTURE POSITION          
APERTURE= '150u'                                   / APERTURE NAME              
CCDPICNO=                   93                     / FRAME NUMBER OF IMAGE      
EXPTIME =              250.050                     / TRUE EXP-TIME IN SEC.      
GAIN    =                    1                     / GAIN NOT NEC. E/DN         
LOOP    =                    1                     / LOOP SIZE                  
LOOPCTR =                    1                     / LOOP COUNTER               
DATE-OBS= '2008-09-28'                             / UT DATE AT START OF FRAME  
RA      = '10:29:03.46'                            / RA FROM TEL                
DEC     = '-44:45:36.9'                            / DEC FROM TEL               
HRA     = '18:38:35.8'                             / HR-ANGLE FROM C100         
EQUINOX =             2000.000                     / EQUINOX FROM C100          
AIRMASS =                 2.24 / AIRMASS FROM C100                              
CASSPOS =                287.0                     / CASSPOS FROM C100          
IMAGETYP= 'object'                                 / IMAGE TYPE                 
NEWEXPT =                 250.                                                  
NEWST   = '5:07:39.3'                                                           
WAIRMASS=             2.215228                                                  
UTMID   = '9:22:47.0'                                                           
JD      =     2454737.89082176                                                  
WCSDIM  =                    1                                                  
LTM1_1  =                   1.                                                  
WAT0_001= 'system=equispec'                                                     
WAT1_001= 'wtype=linear label=Wavelength units=angstroms units_display=angstrom'
TRIM    = 'Sep 29  0:41 Trim data section is [1:1788,1:1001]'                   
FIXPIX  = 'Sep 29  0:41 Bad pixel file is snphot$badpix_DUP_WF.dat'             
OVERCOR = 'Sep 29  0:41 Overscan section is [1792:1803,1:1001] with mean=717.27'
ZEROCOR = 'Sep 29  0:41 Zero level correction image is Zero.b.spec.fits'        
FLATCOR = 'Sep 29  0:41 Flat field image is Dflat.b.nar.norm with scale=1.'     
CCDSEC  = '[1:1788,1:1001]'                                                     
CCDPROC = 'Sep 29  0:41 CCD processing done'                                    
APNUM1  = '1 1 494.57 503.34'                                                   
CTYPE1  = 'LINEAR  '                                                            
CRVAL1  =                3800.                                                  
CRPIX1  =                   1.                                                  
CDELT1  =       3.041410184667                                                  
CD1_1   =       3.041410184667                                                  
DC-FLAG =                    0                                                  
DCLOG1  = 'REFSPEC1 = ccd094.0001'                                              
BANDID1 = 'spectrum: background fit, weights none, clean no'                    
EX-FLAG =                    0                                                  
CA-FLAG =                    0                                                  
BUNIT   = 'erg/cm2/s/A'                                                         
WAT1_002= 's       '                                                            
END                                                                             
                                                                                
                                                                                
3800.  1.335547E-15
3803.04141018467  1.268102E-15
3806.08282036933  1.559188E-15
3809.124230554  1.654739E-15
3812.16564073867  1.421839E-15
3815.20705092334  1.258314E-15
3818.248461108  1.333041E-15
3821.28987129267  1.463184E-15
3824.33128147734  1.131588E-15
3827.372691662  1.228470E-15
3830.41410184667  1.642009E-15
3833.45551203134  1.468195E-15
3836.496922216  1.254816E-15
3839.53833240067  1.229331E-15
3842.57974258534  1.436619E-15
3845.62115277001  1.362310E-15
3848.66256295467  1.220093E-15
3851.70397313934  1.337795E-15
3854.74538332401  1.364765E-15
3857.78679350867  1.478192E-15
3860.82820369334  1.562195E-15
3863.86961387801  1.498565E-15
3866.91102406267  1.700933E-15
3869.95243424734  1.598965E-15
3872.99384443201  1.567561E-15
3876.03525461668  1.521271E-15
3879.07666480134  1.653392E-15
