BITPIX  =                    8  /  8-bit ASCII characters                       
NAXIS   =                    1  /  Number of Image Dimensions                   
NAXIS1  =                 1788  /  Length of axis                               
ORIGIN  = 'NOAO-IRAF: WTEXTIMAGE'  /
IRAF-MAX=                   0.  /  Max image pixel (out of date)                
IRAF-MIN=                   0.  /  Min image pixel (out of date)                
IRAF-B/P=                   32  /  Image bits per pixel                         
IRAFTYPE= 'REAL FLOATING     '  /  Image datatype                              
OBJECT  = 'SN2008GG          '  /                                              
FILENAME= 'SN08GG_B01_DUP_WF_21DEC08'  /
FORMAT  = '5G14.7            '  /  Text line format                            
EXTEND  =                    F / File may contain extensions                    
ORIGIN  = 'NOAO-IRAF FITS Image Kernel July 2003' / FITS file originator        
DATE    = '2024-04-22T19:10:59' / Date FITS file was generated                  
IRAF-TLM= '2024-04-22T19:10:59' / Time of last modification                     
CHIP    = 'TEK5'                                   / DETECTOR NAME              
TEL     = 'LCO-100'                                / TELESCOPE NAME             
OBJECT  = 'SN2008gg'           / OBJECT NAME                                    
COMMENT = ''                                       / COMMENT                    
UTSTART = '02:00:07.5'                             / UT OF START FROM TEL       
UTEND   = '02:20:07.6'                             / UT OF END FROM TEL         
FILTERP =                    4                     / FILTER POSITION            
FILTER  = 'grism   '           / FILTER NAME                                    
APERPPOS=                    1                     / APERTURE POSITION          
APERTURE= '150u    '           / APERTURE NAME                                  
CCDPICNO=                   59                     / FRAME NUMBER OF IMAGE      
EXPTIME =             1200.010                     / TRUE EXP-TIME IN SEC.      
GAIN    =                    1                     / GAIN NOT NEC. E/DN         
LOOP    =                    1                     / LOOP SIZE                  
LOOPCTR =                    1                     / LOOP COUNTER               
DATE-OBS= '2008-12-21'                             / UT DATE AT START OF FRAME  
RA      = '01:25:22.47'                            / RA FROM TEL                
DEC     = '-18:03:56.1'                            / DEC FROM TEL               
HRA     = '01:51:32.7'                             / HR-ANGLE FROM C100         
EQUINOX =             2000.000                     / EQUINOX FROM C100          
AIRMASS =                 1.13 / AIRMASS FROM C100                              
CASSPOS =                 90.7                     / CASSPOS FROM C100          
IMAGETYP= 'object'                                 / IMAGE TYPE                 
WCSDIM  =                    1                                                  
LTM1_1  =                   1.                                                  
WAT0_001= 'system=equispec'                                                     
WAT1_001= 'wtype=linear label=Wavelength units=angstroms units_display=angstrom'
TRIM    = 'Jan 30 12:35 Trim data section is [1:1788,1:1001]'                   
FIXPIX  = 'Jan 30 12:35 Bad pixel file is snphot$badpix_DUP_WF.dat'             
OVERCOR = 'Jan 30 12:35 Overscan section is [1901:1916,1:1001] with mean=721.11'
ZEROCOR = 'Jan 30 12:35 Zero level correction image is Zero.b.spec.fits'        
FLATCOR = 'Jan 30 12:35 Flat field image is Dflat.b.nar.norm with scale=1.'     
CCDSEC  = '[1:1788,1:1001]'                                                     
CCDPROC = 'Jan 30 12:35 CCD processing done'                                    
APNUM1  = '1 1 491.67 496.58'                                                   
CTYPE1  = 'LINEAR  '                                                            
CRVAL1  =                3800.                                                  
CRPIX1  =                   1.                                                  
CDELT1  =       3.041410184667                                                  
CD1_1   =       3.041410184667                                                  
DC-FLAG =                    0                                                  
DCLOG1  = 'REFSPEC1 = ccd062.0001'                                              
BANDID1 = 'spectrum: background fit, weights none, clean no'                    
EX-FLAG =                    0                                                  
CA-FLAG =                    0                                                  
BUNIT   = 'erg/cm2/s/A'                                                         
IMCMB001= 'fc059.0001'                                                          
IMCMB002= 'fc060.0001'                                                          
IMCMB003= 'fc061.0001'                                                          
NCOMBINE=                    3                                                  
WAT1_002= 's       '                                                            
NEWEXPT =                1200.                                                  
NEWST   = '3:16:55.2'                                                           
WAIRMASS=             1.152057                                                  
UTMID   = '02:10:07.01'                                                         
JD      =     2454821.59035891                                                  
END                                                                             
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
3800.  2.759126E-17
3803.04141018467  2.645796E-17
3806.08282036933  2.546174E-17
3809.124230554  2.326643E-17
3812.16564073867  3.285518E-17
3815.20705092334  2.263126E-17
3818.248461108  3.677957E-17
3821.28987129267  3.572006E-17
3824.33128147734  3.218006E-17
3827.372691662  2.207945E-17
