BITPIX  =                    8  /  8-bit ASCII characters                       
NAXIS   =                    1  /  Number of Image Dimensions                   
NAXIS1  =                 1788  /  Length of axis                               
ORIGIN  = 'NOAO-IRAF: WTEXTIMAGE'  /
IRAF-MAX=                   0.  /  Max image pixel (out of date)                
IRAF-MIN=                   0.  /  Min image pixel (out of date)                
IRAF-B/P=                   32  /  Image bits per pixel                         
IRAFTYPE= 'REAL FLOATING     '  /  Image datatype                              
OBJECT  = 'SN2008HJ          '  /                                              
FILENAME= 'SN08HJ_B01_DUP_WF_27DEC08'  /
FORMAT  = '5G14.7            '  /  Text line format                            
EXTEND  =                    F / File may contain extensions                    
ORIGIN  = 'NOAO-IRAF FITS Image Kernel July 2003' / FITS file originator        
DATE    = '2024-04-22T19:19:31' / Date FITS file was generated                  
IRAF-TLM= '2024-04-22T19:19:31' / Time of last modification                     
CHIP    = 'TEK5'                                   / DETECTOR NAME              
TEL     = 'LCO-100'                                / TELESCOPE NAME             
OBJECT  = 'SN2008hj'           / OBJECT NAME                                    
COMMENT = ''                                       / COMMENT                    
UTSTART = '01:33:48.5'                             / UT OF START FROM TEL       
UTEND   = '01:48:48.6'                             / UT OF END FROM TEL         
FILTERP =                    4                     / FILTER POSITION            
FILTER  = 'grism_blue'         / FILTER NAME                                    
APERPPOS=                    1                     / APERTURE POSITION          
APERTURE= '150u    '           / APERTURE NAME                                  
CCDPICNO=                   52                     / FRAME NUMBER OF IMAGE      
EXPTIME =              900.010                     / TRUE EXP-TIME IN SEC.      
GAIN    =                    1                     / GAIN NOT NEC. E/DN         
LOOP    =                    1                     / LOOP SIZE                  
LOOPCTR =                    1                     / LOOP COUNTER               
DATE-OBS= '2008-12-27'                             / UT DATE AT START OF FRAME  
RA      = '00:03:56.66'                            / RA FROM TEL                
DEC     = '-11:04:59.7'                            / DEC FROM TEL               
HRA     = '03:10:14.6'                             / HR-ANGLE FROM C100         
EQUINOX =             2000.000                     / EQUINOX FROM C100          
AIRMASS =                 1.49 / AIRMASS FROM C100                              
CASSPOS =                122.6                     / CASSPOS FROM C100          
IMAGETYP= 'object'                                 / IMAGE TYPE                 
NEWEXPT =                 900.                                                  
NEWST   = '3:14:11.3'                                                           
WAIRMASS=             1.532506                                                  
UTMID   = '01:41:18.00'                                                         
JD      =     2454827.57034722                                                  
WCSDIM  =                    1                                                  
LTM1_1  =                   1.                                                  
WAT0_001= 'system=equispec'                                                     
WAT1_001= 'wtype=linear label=Wavelength units=angstroms units_display=angstrom'
TRIM    = 'Feb  2 16:19 Trim data section is [1:1788,1:1001]'                   
FIXPIX  = 'Feb  2 16:19 Bad pixel file is snphot$badpix_DUP_WF.dat'             
OVERCOR = 'Feb  2 16:19 Overscan section is [1792:1803,1:1001] with mean=728.68'
ZEROCOR = 'Feb  2 16:19 Zero level correction image is Zero.b.spec.fits'        
FLATCOR = 'Feb  2 16:19 Flat field image is Dflat.b.nar.norm with scale=1.'     
CCDSEC  = '[1:1788,1:1001]'                                                     
CCDPROC = 'Feb  2 16:19 CCD processing done'                                    
APNUM1  = '1 1 491.83 496.59'                                                   
CTYPE1  = 'LINEAR  '                                                            
CRVAL1  =                3800.                                                  
CRPIX1  =                   1.                                                  
CDELT1  =       3.041410184667                                                  
CD1_1   =       3.041410184667                                                  
DC-FLAG =                    0                                                  
DCLOG1  = 'REFSPEC1 = ccd055.0001'                                              
BANDID1 = 'spectrum: background fit, weights none, clean no'                    
EX-FLAG =                    0                                                  
CA-FLAG =                    0                                                  
BUNIT   = 'erg/cm2/s/A'                                                         
IMCMB001= 'fc052.0001'                                                          
IMCMB002= 'fc053.0001'                                                          
IMCMB003= 'fc054.0001'                                                          
NCOMBINE=                    3                                                  
WAT1_002= 's       '                                                            
END                                                                             
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
3800.  4.936799E-17
3803.04141018467  6.255048E-17
3806.08282036933  4.074905E-17
3809.124230554  5.517201E-17
3812.16564073867  5.514307E-17
3815.20705092334  5.004685E-17
3818.248461108  6.002702E-17
3821.28987129267  8.932832E-17
3824.33128147734  8.328138E-17
3827.372691662  3.552117E-17
