WAVE,FLUX,ERR,SKYBACK
3659.8499,2.1073981E-16,1.0782404E-17,9.362965E-17
3665.3708,2.111872E-16,1.0481451E-17,7.3959344E-17
3670.8918,2.0381414E-16,1.0239365E-17,7.061127E-17
3676.4126,1.9399019E-16,9.998388E-18,7.055837E-17
3681.9336,2.2700144E-16,1.0240784E-17,7.320409E-17
3687.4543,2.1295858E-16,1.0045116E-17,8.1963434E-17
3692.9753,2.3706136E-16,1.0183279E-17,8.254816E-17
3698.496,2.2632808E-16,9.9509025E-18,8.235595E-17
3704.017,2.0328252E-16,9.691189E-18,9.2431484E-17
3709.538,2.3966207E-16,9.862926E-18,8.105632E-17
3715.0588,2.6260494E-16,9.994378E-18,8.303045E-17
3720.5798,2.8775387E-16,1.0028065E-17,7.11453E-17
3726.1006,2.8763563E-16,1.00863625E-17,9.2987945E-17
3731.6216,2.9182614E-16,1.0112057E-17,1.05117384E-16
3737.1426,3.3034528E-16,1.0327963E-17,1.0288275E-16
3742.6633,3.33324E-16,1.0139936E-17,8.6651093E-17
3748.1843,3.3883136E-16,1.001821E-17,7.598658E-17
3753.705,3.3514232E-16,9.915602E-18,7.917525E-17
3759.226,3.4134223E-16,9.837489E-18,7.26988E-17
3764.747,3.383105E-16,9.666944E-18,6.491068E-17
3770.2678,3.216E-16,9.481503E-18,7.2819E-17
3775.7888,3.1472084E-16,9.360043E-18,7.4239996E-17
3781.3096,3.014087E-16,9.152973E-18,7.174133E-17
3786.8306,2.7809585E-16,8.888598E-18,7.370906E-17
3792.3516,2.7568403E-16,8.733237E-18,6.4858186E-17
3797.8723,2.6729895E-16,8.6265235E-18,7.032329E-17
3803.3933,2.662409E-16,8.57743E-18,7.4483736E-17
3808.914,2.701166E-16,8.532554E-18,7.307611E-17
3814.435,2.6807425E-16,8.470675E-18,7.555681E-17
3819.9558,2.7045923E-16,8.496697E-18,8.6754584E-17
3825.4768,2.6397173E-16,8.366642E-18,8.453885E-17
3830.9978,2.4669996E-16,8.136297E-18,8.090379E-17
3836.5186,2.2516904E-16,7.858954E-18,7.877199E-17
3842.0396,2.0643519E-16,7.5672145E-18,6.9190674E-17
3847.5603,1.9295069E-16,7.397715E-18,7.075701E-17
3853.0813,1.7700207E-16,7.271712E-18,8.040434E-17
3858.6023,1.8043382E-16,7.135893E-18,6.522026E-17
3864.123,1.7246922E-16,7.0246535E-18,6.84064E-17
3869.644,1.6824727E-16,6.895954E-18,6.416282E-17
3875.1648,1.7405026E-16,6.8597877E-18,5.646923E-17
3880.6858,1.830803E-16,6.8615567E-18,5.1035704E-17
3886.2068,1.6887324E-16,6.7620795E-18,6.159382E-17
3891.7275,1.9128499E-16,6.990546E-18,7.0171895E-17
3897.2485,2.1479175E-16,7.121111E-18,6.320863E-17
3902.7693,2.3319762E-16,7.324654E-18,7.4625866E-17
3908.2903,2.5566925E-16,7.538202E-18,8.491274E-17
3913.811,2.7460493E-16,7.608183E-18,7.862996E-17
3919.332,2.858188E-16,7.646224E-18,7.6060846E-17
3924.853,3.330149E-16,7.913551E-18,6.7448995E-17
3930.3738,3.4937568E-16,7.937758E-18,5.7981655E-17
3935.8948,3.6425493E-16,8.02276E-18,6.060815E-17
3941.4155,3.950318E-16,8.277974E-18,7.1453125E-17
3946.9365,4.2931635E-16,8.494335E-18,7.4597636E-17
3952.4575,4.5529736E-16,8.560806E-18,6.283079E-17
3957.9783,4.813345E-16,8.712891E-18,6.6989586E-17
3963.4993,4.8394015E-16,8.613904E-18,5.2696567E-17
3969.02,4.914615E-16,8.6445635E-18,5.629015E-17
3974.541,5.088286E-16,8.737533E-18,6.071361E-17
3980.062,5.27027E-16,8.8360525E-18,6.407962E-17
3985.5828,5.5441377E-16,8.980109E-18,6.676348E-17
3991.1038,5.5633934E-16,8.934417E-18,6.238611E-17
3996.6245,5.7156454E-16,9.0464624E-18,7.399738E-17
4002.1455,5.7796187E-16,9.002615E-18,6.548795E-17
4007.6665,5.851895E-16,9.093212E-18,8.067322E-17
4013.1873,5.8994717E-16,9.1135004E-18,8.598128E-17
4018.7083,6.072364E-16,9.136044E-18,7.6966847E-17
4024.229,6.2452274E-16,9.180261E-18,7.337728E-17
4029.75,6.5146617E-16,9.2866765E-18,7.149434E-17
4035.2708,6.4988825E-16,9.264819E-18,7.557923E-17
4040.7917,6.380291E-16,9.179427E-18,7.821593E-17
4046.3127,6.287969E-16,9.132593E-18,8.636988E-17
4051.8335,6.1905255E-16,9.007633E-18,7.8565337E-17
4057.3545,6.2734865E-16,9.000234E-18,7.913655E-17
4062.8752,6.0425245E-16,8.863654E-18,8.3292005E-17
4068.3962,5.484756E-16,8.5283694E-18,8.541483E-17
4073.9172,5.3716013E-16,8.385791E-18,7.643367E-17
4079.438,5.1941357E-16,8.297369E-18,8.438473E-17
4084.959,4.881656E-16,8.050766E-18,7.75497E-17
4090.4797,4.747881E-16,7.909079E-18,7.110675E-17
4096.0005,4.626766E-16,7.790228E-18,6.743811E-17
4101.5215,4.384056E-16,7.631198E-18,7.002333E-17
4107.0425,4.293291E-16,7.531895E-18,6.6494846E-17
4112.5635,4.1721738E-16,7.442584E-18,6.873265E-17
4118.0845,4.3606106E-16,7.519729E-18,6.5510825E-17
4123.605,4.2234746E-16,7.430148E-18,6.868657E-17
4129.126,4.233847E-16,7.439519E-18,7.318474E-17
4134.647,4.208918E-16,7.405077E-18,7.350587E-17
4140.168,4.1074054E-16,7.350807E-18,7.9796817E-17
4145.689,4.2585566E-16,7.383365E-18,7.1258665E-17
4151.2095,4.0542713E-16,7.227967E-18,7.028707E-17
4156.7305,3.9071616E-16,7.103602E-18,6.8323114E-17
4162.2515,3.9037626E-16,7.13755E-18,7.837076E-17
4167.7725,3.8221422E-16,7.099668E-18,8.4235415E-17
4173.2935,3.6705516E-16,6.9464485E-18,7.803472E-17
4178.814,3.7621352E-16,6.986082E-18,7.699062E-17
4184.335,3.663667E-16,6.9080963E-18,7.792825E-17
4189.856,3.813349E-16,6.966843E-18,7.362558E-17
4195.377,3.6783287E-16,6.8153028E-18,6.587945E-17
4200.898,3.5743644E-16,6.745965E-18,6.8394383E-17
4206.4185,3.5502552E-16,6.71722E-18,6.8812394E-17
4211.9395,3.6067968E-16,6.7396315E-18,6.923853E-17
4217.4604,3.6411728E-16,6.7142924E-18,6.3938176E-17
4222.9814,3.497447E-16,6.6368758E-18,6.895452E-17
4228.5024,3.6528402E-16,6.68127E-18,6.160967E-17
4234.023,3.7749508E-16,6.7334574E-18,5.73753E-17
4239.544,3.8359433E-16,6.7782004E-18,6.057388E-17
4245.065,3.9985183E-16,6.850861E-18,5.827207E-17
4250.586,4.024051E-16,6.902837E-18,6.8145574E-17
4256.107,4.1754346E-16,6.996359E-18,7.031171E-17
4261.6274,4.1147627E-16,6.9303222E-18,6.7368554E-17
4267.1484,4.1629104E-16,6.934737E-18,6.61065E-17
4272.6694,4.3109062E-16,6.976145E-18,5.827931E-17
4278.1904,4.3344036E-16,6.984223E-18,5.981362E-17
4283.7114,4.1300006E-16,6.853838E-18,6.138388E-17
4289.232,4.321787E-16,6.9665085E-18,6.2297804E-17
4294.753,4.381802E-16,6.988875E-18,6.2545985E-17
4300.274,4.289006E-16,6.9017423E-18,5.909226E-17
4305.795,4.3350222E-16,6.922102E-18,6.006771E-17
4311.3154,4.3026272E-16,6.9031643E-18,6.2819874E-17
4316.8364,4.3894505E-16,6.932773E-18,6.086929E-17
4322.3574,4.3696013E-16,6.910596E-18,6.102504E-17
4327.8784,4.2149791E-16,6.8239125E-18,6.48081E-17
4333.3994,4.2875974E-16,6.8427193E-18,6.283146E-17
4338.92,4.2663496E-16,6.8238356E-18,6.3059366E-17
4344.441,4.2435363E-16,6.7865653E-18,6.053088E-17
4349.962,4.2586418E-16,6.7984184E-18,6.375347E-17
4355.483,4.4502015E-16,6.9220496E-18,6.793017E-17
4361.004,4.50653E-16,6.9442946E-18,6.8010214E-17
4366.5244,4.574537E-16,6.973587E-18,6.8766376E-17
4372.0454,4.6958464E-16,7.024848E-18,6.651568E-17
4377.5664,4.812872E-16,7.079228E-18,6.6593485E-17
4383.0874,4.942627E-16,7.134835E-18,6.5164534E-17
4388.6084,5.009082E-16,7.1451655E-18,6.235296E-17
4394.129,5.02881E-16,7.1554324E-18,6.433862E-17
4399.65,5.147268E-16,7.205735E-18,6.308664E-17
4405.171,5.0854715E-16,7.178158E-18,6.6675846E-17
4410.692,4.948983E-16,7.118939E-18,7.233466E-17
4416.213,4.926556E-16,7.104099E-18,7.405234E-17
