#PI: Shappee 
#OBJECT: ASASSN-14lp 
#JD: 2457047.79345 
# 
#Angstrom    Flux(erg/s/cm**2/Angstrom) 
3681.2 3.812426e-15 
3683.1 4.3773154e-15 
3685.1 4.616709e-15 
3687.0 4.2745538e-15 
3688.9 4.4774649e-15 
3690.8 4.4686019e-15 
3692.7 4.0474508e-15 
3694.7 3.8967585e-15 
3696.6 3.9811809e-15 
3698.5 3.8760119e-15 
3700.4 3.7708063e-15 
3702.3 3.8518281e-15 
3704.3 3.8755538e-15 
3706.2 3.5192209e-15 
3708.1 3.5785166e-15 
3710.0 3.3218804e-15 
3712.0 3.5018487e-15 
3713.9 3.3655873e-15 
3715.8 3.1069456e-15 
3717.7 3.0007866e-15 
3719.6 2.9929951e-15 
3721.6 3.0477831e-15 
3723.5 2.8202684e-15 
3725.4 2.8759736e-15 
3727.3 2.8627631e-15 
3729.2 2.8050035e-15 
3731.2 2.6839046e-15 
3733.1 2.5761479e-15 
3735.0 2.55437e-15 
3736.9 2.5740736e-15 
3738.8 2.5905981e-15 
3740.8 2.2935959e-15 
3742.7 2.4208125e-15 
3744.6 2.6212193e-15 
3746.5 2.5015928e-15 
3748.4 2.4974312e-15 
3750.4 2.5388021e-15 
3752.3 2.4437441e-15 
3754.2 2.5518832e-15 
3756.1 2.5112718e-15 
3758.1 2.3358759e-15 
3760.0 2.1850657e-15 
3761.9 2.1911024e-15 
3763.8 2.19922e-15 
3765.7 2.1163831e-15 
3767.7 2.2444824e-15 
3769.6 2.2611161e-15 
3771.5 2.1133639e-15 
3773.4 2.1215062e-15 
3775.3 1.9603108e-15 
3777.3 1.9650818e-15 
3779.2 2.0118174e-15 
3781.1 2.0839765e-15 
3783.0 2.0809337e-15 
3784.9 2.1170855e-15 
3786.9 2.2195522e-15 
3788.8 2.1971744e-15 
3790.7 2.0846684e-15 
3792.6 2.1531241e-15 
3794.5 2.0394236e-15 
3796.5 2.0630232e-15 
3798.4 2.2792617e-15 
3800.3 2.3537471e-15 
3802.2 2.4088667e-15 
3804.1 2.4298525e-15 
3806.1 2.5049015e-15 
3808.0 2.6369003e-15 
3809.9 2.5998413e-15 
3811.8 2.5289937e-15 
3813.8 2.6135704e-15 
3815.7 2.69437e-15 
3817.6 2.7952877e-15 
3819.5 3.0033141e-15 
3821.4 3.167713e-15 
3823.4 3.2122717e-15 
3825.3 3.2745704e-15 
3827.2 3.4132986e-15 
3829.1 3.5295932e-15 
3831.0 3.6232126e-15 
3833.0 3.7348477e-15 
3834.9 3.8618318e-15 
3836.8 3.8901365e-15 
3838.7 4.1841909e-15 
3840.6 4.3196016e-15 
3842.6 4.5210467e-15 
3844.5 4.710853e-15 
3846.4 4.8734406e-15 
3848.3 4.9760672e-15 
3850.2 5.0132876e-15 
3852.2 5.0323563e-15 
3854.1 5.3553286e-15 
3856.0 5.5565674e-15 
3857.9 5.6089535e-15 
3859.8 5.5874397e-15 
3861.8 5.727208e-15 
3863.7 5.9884031e-15 
3865.6 6.1350861e-15 
3867.5 6.2703318e-15 
3869.5 6.315828e-15 
3871.4 6.4624317e-15 
3873.3 6.3687286e-15 
3875.2 6.3107979e-15 
3877.1 6.429009e-15 
3879.1 6.7773919e-15 
3881.0 6.7578394e-15 
3882.9 6.7496612e-15 
3884.8 6.9114937e-15 
3886.7 7.1568337e-15 
3888.7 7.1264077e-15 
3890.6 7.0878812e-15 
3892.5 7.130405e-15 
3894.4 7.3744841e-15 
3896.3 7.2942919e-15 
3898.3 7.4237667e-15 
3900.2 7.6412506e-15 
