WAVE,FLUX,ERR,SKYBACK
3340.0059,6.321879E-16,7.254364E-17,7.7351896E-16
3344.088,6.154924E-16,7.1550005E-17,8.988967E-16
3348.17,5.901109E-16,6.9682476E-17,9.299725E-16
3352.2522,6.2276975E-16,6.796931E-17,8.8719946E-16
3356.3342,5.1294224E-16,6.465731E-17,8.7140574E-16
3360.4163,4.9580634E-16,6.2594014E-17,8.43527E-16
3364.4983,6.2005956E-16,6.251364E-17,8.281044E-16
3368.5803,5.259317E-16,5.947888E-17,7.991619E-16
3372.6624,6.2556803E-16,5.951767E-17,8.089838E-16
3376.7446,6.6562597E-16,5.8501455E-17,7.9449456E-16
3380.8267,6.8234984E-16,5.7409465E-17,7.905954E-16
3384.9087,6.9200855E-16,5.6160634E-17,7.616331E-16
3388.9907,7.706413E-16,5.523961E-17,6.9092493E-16
3393.0728,7.8185164E-16,5.4608502E-17,7.2888043E-16
3397.1548,8.301368E-16,5.4001742E-17,7.268421E-16
3401.2368,8.6319656E-16,5.3531758E-17,7.385919E-16
3405.319,8.826812E-16,5.317327E-17,7.851674E-16
3409.4011,9.467442E-16,5.244396E-17,7.2723205E-16
3413.4832,9.065474E-16,5.1228622E-17,7.4004813E-16
3417.5652,8.4387706E-16,4.8768987E-17,6.4180073E-16
3421.6472,9.908661E-16,4.9387626E-17,6.196714E-16
3425.7292,9.638162E-16,4.833055E-17,6.1972493E-16
3429.8113,9.143508E-16,4.7729476E-17,7.032179E-16
3433.8936,9.372741E-16,4.7475618E-17,7.2881224E-16
3437.9756,9.769909E-16,4.699923E-17,7.0050297E-16
3442.0576,8.999605E-16,4.5319667E-17,6.7448413E-16
3446.1396,9.727913E-16,4.5333617E-17,6.5727025E-16
3450.2217,8.7352544E-16,4.3647995E-17,6.5641935E-16
3454.3037,8.1609486E-16,4.227715E-17,6.402049E-16
3458.3857,9.501495E-16,4.5821677E-17,6.869173E-16
3462.468,9.9825E-16,4.3302333E-17,6.7239815E-16
3466.55,9.666906E-16,4.2881026E-17,7.2261747E-16
3470.632,9.385674E-16,4.1825524E-17,6.9030776E-16
3474.714,9.068426E-16,4.0581868E-17,6.354316E-16
3478.7961,1.0504879E-15,4.1333934E-17,6.088471E-16
3482.8782,9.284315E-16,3.9988938E-17,6.470069E-16
3486.9602,9.98767E-16,4.025078E-17,6.554977E-16
3491.0425,9.767404E-16,3.976581E-17,6.699646E-16
3495.1245,1.0298615E-15,3.9544795E-17,6.3168356E-16
3499.2065,1.0219925E-15,3.8980873E-17,6.169698E-16
3503.2886,1.0493571E-15,3.8615335E-17,5.850906E-16
3507.3706,1.0976538E-15,3.8671385E-17,5.8440106E-16
3511.4526,1.1806555E-15,3.888692E-17,5.636554E-16
3515.5347,1.233633E-15,3.886182E-17,5.476955E-16
3519.617,1.247216E-15,3.9254084E-17,6.3456807E-16
3523.699,1.2271702E-15,3.9000388E-17,6.7074236E-16
3527.781,1.2072832E-15,3.8878167E-17,7.204684E-16
3531.863,1.3827491E-15,4.01173E-17,7.401314E-16
3535.945,1.2753305E-15,3.894728E-17,7.4648733E-16
3540.027,1.4340079E-15,3.979371E-17,7.2828867E-16
3544.1091,1.4316264E-15,3.9405713E-17,7.155492E-16
3548.1914,1.3749032E-15,3.8332496E-17,6.666594E-16
3552.2734,1.4292757E-15,3.8016278E-17,5.9615926E-16
3556.3555,1.4153115E-15,3.7095305E-17,5.252459E-16
3560.4375,1.4899432E-15,3.7469055E-17,5.229535E-16
3564.5195,1.4507373E-15,3.704865E-17,5.499237E-16
3568.6016,1.4683598E-15,3.7097135E-17,5.749099E-16
3572.6836,1.5527807E-15,3.6699076E-17,4.5559213E-16
3576.7659,1.5318782E-15,3.640069E-17,4.906643E-16
3580.848,1.6134407E-15,3.687753E-17,5.1323346E-16
3584.93,1.6161172E-15,3.719111E-17,6.0015784E-16
