#PI: Shappee 
#OBJECT: SN 2011fe 
#JD: 2457104.01466 
# 
#Angstrom    Flux(erg/s/cm**2/Angstrom) 
3459.0 1.8889742e-15 
3460.5 3.5883075e-15 
3462.0 6.4905993e-15 
3463.4 1.5736866e-15 
3464.9 6.9862544e-15 
3466.4 1.1668748e-16 
3467.8 1.8607482e-15 
3469.3 2.6629255e-15 
3470.8 2.1801289e-15 
3472.2 3.9464714e-15 
3473.7 8.3607486e-16 
3475.1 2.9706672e-15 
3476.6 3.4844422e-15 
3478.1 1.1842287e-15 
3479.5 4.085915e-15 
3481.0 4.5805809e-15 
3482.5 3.0440821e-15 
3483.9 1.8621159e-15 
3485.4 3.1799284e-15 
3486.9 1.4964742e-15 
3488.3 -9.1288042e-17 
3489.8 2.0404872e-15 
3491.2 3.1354109e-15 
3492.7 3.0677775e-15 
3494.2 1.3003248e-16 
3495.6 3.7690125e-15 
3497.1 3.9088588e-15 
3498.6 3.3977275e-15 
3500.0 1.9799365e-16 
3501.5 1.7794496e-15 
3503.0 1.515736e-15 
3504.4 7.6924278e-16 
3505.9 3.7740202e-15 
3507.3 2.317702e-15 
3508.8 1.9115028e-15 
3510.3 1.5300543e-15 
3511.7 1.1741901e-15 
3513.2 2.2456061e-15 
3514.7 6.2736777e-15 
3516.1 3.3531878e-15 
3517.6 3.6732918e-15 
3519.1 6.0860647e-15 
3520.5 2.2090022e-15 
3522.0 1.0273466e-15 
3523.4 4.20834e-15 
3524.9 2.1675581e-15 
3526.4 4.1043745e-15 
3527.8 -3.5207094e-16 
3529.3 3.9390991e-15 
3530.8 2.9154586e-15 
3532.2 4.4242158e-15 
3533.7 3.2252049e-15 
3535.2 2.9971497e-15 
3536.6 -3.8147828e-17 
3538.1 3.1139905e-15 
3539.5 1.9802682e-15 
3541.0 5.0293659e-16 
3542.5 3.1963872e-15 
3543.9 3.458535e-15 
3545.4 1.1126024e-15 
3546.9 2.3084597e-15 
3548.3 1.5083422e-15 
3549.8 3.1234285e-15 
3551.3 2.8500883e-15 
3552.7 1.7870629e-15 
3554.2 3.6104303e-15 
3555.6 2.778931e-15 
3557.1 1.9269867e-15 
3558.6 8.6046954e-16 
3560.0 2.9972108e-15 
3561.5 2.1853116e-15 
3563.0 1.3216948e-15 
3564.4 2.0907419e-15 
3565.9 2.1781859e-15 
3567.4 3.6721664e-15 
3568.8 2.8084061e-15 
3570.3 2.3907042e-15 
3571.7 4.1135166e-15 
3573.2 3.1909011e-15 
3574.7 4.1451572e-15 
3576.1 1.9970799e-15 
3577.6 3.0448729e-15 
3579.1 9.3022335e-16 
3580.5 2.0761239e-15 
3582.0 2.426182e-15 
3583.5 8.1759164e-16 
3584.9 1.4365178e-15 
3586.4 3.6561062e-15 
3587.8 2.5760747e-15 
3589.3 1.7243264e-15 
3590.8 3.5838412e-15 
3592.2 1.4755565e-15 
3593.7 4.3859205e-15 
3595.2 3.4247558e-15 
3596.6 1.9172272e-15 
3598.1 1.7108732e-15 
3599.6 9.4367465e-16 
3601.0 3.7587232e-15 
3602.5 2.1782749e-15 
3603.9 1.3941572e-15 
3605.4 2.5775007e-15 
3606.9 2.6194465e-15 
3608.3 3.4222135e-15 
3609.8 2.6388058e-15 
3611.3 2.1596118e-15 
3612.7 1.0149617e-15 
3614.2 2.9584485e-15 
3615.7 3.1278859e-15 
3617.1 7.0758368e-16 
3618.6 2.6677267e-15 
3620.0 1.95086e-15 
3621.5 2.3759022e-15 
3623.0 1.8929322e-15 
3624.4 2.6425403e-15 
3625.9 2.106335e-15 
3627.4 1.3679979e-15 
3628.8 1.315827e-15 
3630.3 1.5302378e-15 
3631.8 2.4815018e-15 
3633.2 3.3910534e-15 
3634.7 3.148555e-15 
3636.1 1.9834675e-15 
3637.6 2.2151689e-15 
3639.1 2.8828593e-15 
3640.5 2.6029353e-15 
3642.0 2.4009771e-15 
3643.5 3.7323719e-15 
3644.9 1.8582958e-15 
3646.4 2.4415505e-15 
3647.9 3.0416785e-15 
3649.3 1.5146166e-15 
3650.8 2.7458316e-15 
3652.2 1.9698588e-15 
3653.7 2.4183605e-15 
3655.2 2.0297664e-15 
3656.6 1.9662543e-15 
3658.1 1.7979586e-15 
3659.6 1.5398919e-15 
3661.0 3.2548962e-15 
3662.5 1.3551086e-15 
3664.0 2.2458361e-15 
3665.4 3.079874e-15 
3666.9 2.4027979e-15 
3668.3 3.1252967e-15 
3669.8 2.9639857e-15 
3671.3 2.4108392e-15 
3672.7 3.2369287e-15 
3674.2 2.7792792e-15 
3675.7 2.1149517e-15 
3677.1 6.0013366e-16 
3678.6 2.6362039e-15 
3680.1 2.866785e-15 
3681.5 2.0854457e-15 
3683.0 2.1712062e-15 
3684.4 1.8462739e-15 
3685.9 2.1567759e-15 
3687.4 2.1876575e-15 
3688.8 1.6417175e-15 
3690.3 2.6854474e-15 
3691.8 2.3941544e-15 
3693.2 1.2040003e-15 
3694.7 2.8498963e-15 
3696.2 2.7519275e-15 
3697.6 2.4121021e-15 
3699.1 1.8194801e-15 
3700.5 1.5361065e-15 
3702.0 1.7303811e-15 
3703.5 2.4730128e-15 
3704.9 1.6560826e-15 
3706.4 2.5222557e-15 
3707.9 2.5135579e-15 
3709.3 1.6469951e-15 
3710.8 2.0656009e-15 
3712.3 2.325722e-15 
3713.7 2.9721901e-15 
3715.2 1.4466997e-15 
3716.6 1.1048643e-15 
3718.1 2.0062481e-15 
3719.6 2.7926859e-15 
3721.0 2.8870475e-15 
3722.5 2.829739e-15 
3724.0 3.8334998e-15 
3725.4 4.8696182e-15 
3726.9 4.9289527e-15 
3728.4 4.1739884e-15 
3729.8 2.761666e-15 
3731.3 2.3638393e-15 
3732.7 2.2197539e-15 
3734.2 2.4001602e-15 
3735.7 2.0440322e-15 
3737.1 2.9781582e-15 
3738.6 2.4284049e-15 
3740.1 2.1316454e-15 
3741.5 2.3315064e-15 
3743.0 2.9274128e-15 
3744.5 2.3131931e-15 
3745.9 1.8852363e-15 
3747.4 2.4915452e-15 
3748.8 2.5070253e-15 
3750.3 2.0560358e-15 
3751.8 2.2905656e-15 
3753.2 3.1919568e-15 
3754.7 1.8845827e-15 
3756.2 2.8126075e-15 
3757.6 2.3715327e-15 
3759.1 2.4869449e-15 
3760.6 2.7092726e-15 
3762.0 1.7712347e-15 
3763.5 2.8367356e-15 
3764.9 2.1830953e-15 
3766.4 2.4983991e-15 
3767.9 2.3103166e-15 
3769.3 2.2951667e-15 
3770.8 2.3058164e-15 
3772.3 2.302134e-15 
3773.7 2.6358874e-15 
3775.2 3.1377704e-15 
3776.7 2.1569273e-15 
3778.1 2.4541538e-15 
3779.6 1.9828599e-15 
3781.0 2.4351498e-15 
3782.5 2.4710973e-15 
3784.0 2.4060054e-15 
3785.4 1.5320164e-15 
3786.9 2.0011808e-15 
3788.4 1.7543485e-15 
3789.8 1.2408197e-15 
3791.3 1.3074448e-15 
3792.8 1.9771958e-15 
3794.2 1.5433586e-15 
3795.7 2.1338195e-15 
3797.1 1.9274812e-15 
3798.6 1.5031203e-15 
3800.1 1.452288e-15 
3801.5 2.4309299e-15 
3803.0 2.045498e-15 
3804.5 1.7860337e-15 
3805.9 2.0238972e-15 
3807.4 2.0016531e-15 
3808.9 2.2091964e-15 
3810.3 2.1160796e-15 
3811.8 2.4409157e-15 
3813.2 1.8429289e-15 
3814.7 1.9206467e-15 
3816.2 1.865511e-15 
3817.6 1.0460528e-15 
3819.1 1.300577e-15 
3820.6 1.4976512e-15 
3822.0 2.0681107e-15 
3823.5 1.4078274e-15 
3825.0 1.9266728e-15 
3826.4 1.4267501e-15 
3827.9 2.0312561e-15 
3829.3 1.1950315e-15 
3830.8 1.2771523e-15 
3832.3 1.8384465e-15 
3833.7 1.3753746e-15 
3835.2 1.321429e-15 
3836.7 1.4581129e-15 
3838.1 1.4975561e-15 
3839.6 1.9270902e-15 
3841.1 1.9802611e-15 
3842.5 1.9407786e-15 
3844.0 1.9765853e-15 
3845.4 2.5304256e-15 
3846.9 2.2967889e-15 
3848.4 2.5032404e-15 
3849.8 2.7516919e-15 
3851.3 2.4791997e-15 
3852.8 1.747148e-15 
3854.2 2.2430272e-15 
3855.7 2.1072453e-15 
3857.2 2.0420507e-15 
3858.6 2.5911979e-15 
3860.1 2.2580627e-15 
3861.5 1.9812241e-15 
3863.0 2.6306335e-15 
3864.5 2.9708785e-15 
3865.9 2.5200336e-15 
3867.4 2.6873521e-15 
3868.9 2.126386e-15 
3870.3 3.1409392e-15 
3871.8 2.342807e-15 
3873.3 2.4992326e-15 
3874.7 2.8336147e-15 
3876.2 2.4592739e-15 
3877.6 3.0230941e-15 
3879.1 1.7687089e-15 
3880.6 2.3586861e-15 
3882.0 2.7594588e-15 
3883.5 2.3729648e-15 
3885.0 1.9386525e-15 
3886.4 2.6891023e-15 
3887.9 2.6608737e-15 
3889.4 3.2450482e-15 
3890.8 6.951694e-15 
3892.3 1.8897766e-15 
3893.7 3.4626559e-15 
3895.2 2.989421e-15 
3896.7 2.3977013e-15 
3898.1 2.3440986e-15 
3899.6 2.4327038e-15 
3901.1 2.5520629e-15 
3902.5 1.8171324e-15 
3904.0 2.9750751e-15 
3905.5 2.843238e-15 
3906.9 2.7639887e-15 
3908.4 2.522184e-15 
3909.8 2.6751501e-15 
3911.3 2.7649739e-15 
3912.8 2.9849211e-15 
3914.2 2.8525906e-15 
3915.7 2.8181869e-15 
3917.2 3.0194988e-15 
3918.6 3.0218719e-15 
3920.1 2.9120569e-15 
3921.6 3.2807224e-15 
3923.0 3.0711224e-15 
3924.5 2.8148602e-15 
3925.9 2.4579753e-15 
3927.4 2.5300381e-15 
3928.9 2.6008983e-15 
3930.3 2.2754785e-15 
3931.8 2.48573e-15 
3933.3 2.1615209e-15 
3934.7 2.3393944e-15 
3936.2 2.620194e-15 
3937.7 2.6398278e-15 
3939.1 3.0525269e-15 
3940.6 2.6560558e-15 
3942.0 2.9072951e-15 
3943.5 3.127343e-15 
3945.0 3.1038675e-15 
3946.4 3.088018e-15 
3947.9 3.0228709e-15 
3949.4 3.2334278e-15 
3950.8 3.3870527e-15 
3952.3 3.1899192e-15 
3953.8 2.9621086e-15 
3955.2 2.8090579e-15 
3956.7 3.3274677e-15 
3958.1 3.3554703e-15 
3959.6 3.0433494e-15 
3961.1 2.9001878e-15 
3962.5 2.9173674e-15 
3964.0 2.9311252e-15 
3965.5 2.4715233e-15 
3966.9 2.388216e-15 
3968.4 3.266493e-15 
3969.9 3.2878234e-15 
3971.3 2.797403e-15 
3972.8 2.492602e-15 
3974.2 3.0182666e-15 
3975.7 2.952507e-15 
3977.2 2.9443433e-15 
3978.6 3.3878238e-15 
3980.1 3.517376e-15 
3981.6 3.1962508e-15 
3983.0 3.1131163e-15 
3984.5 3.4785041e-15 
3986.0 3.4707486e-15 
3987.4 3.2891156e-15 
3988.9 3.1765345e-15 
3990.3 3.1657452e-15 
3991.8 3.4130261e-15 
3993.3 2.7251855e-15 
3994.7 3.7969792e-15 
3996.2 3.4572754e-15 
3997.7 3.6905156e-15 
3999.1 3.4662704e-15 
4000.6 3.3323305e-15 
4002.1 3.3735439e-15 
4003.5 3.2462211e-15 
4005.0 2.7671005e-15 
4006.4 3.3211953e-15 
4007.9 3.3528426e-15 
4009.4 3.3096183e-15 
4010.8 3.662056e-15 
4012.3 3.5246498e-15 
4013.8 3.9197821e-15 
4015.2 3.6702639e-15 
4016.7 3.2817656e-15 
4018.2 3.0845128e-15 
4019.6 3.6538283e-15 
4021.1 3.5860254e-15 
4022.5 3.2252836e-15 
4024.0 3.2795168e-15 
4025.5 3.217829e-15 
4026.9 3.4853573e-15 
4028.4 3.4359048e-15 
4029.9 3.5673959e-15 
4031.3 3.1241389e-15 
4032.8 2.9593609e-15 
4034.3 3.2045831e-15 
4035.7 3.4486176e-15 
4037.2 3.4231092e-15 
4038.6 3.3545768e-15 
4040.1 3.4619681e-15 
4041.6 3.3551673e-15 
4043.0 3.3191099e-15 
4044.5 2.9989411e-15 
4046.0 3.3550703e-15 
4047.4 3.1545606e-15 
4048.9 3.0901507e-15 
4050.4 2.9550668e-15 
4051.8 3.6274085e-15 
4053.3 3.5211169e-15 
4054.7 3.0263329e-15 
4056.2 2.9633593e-15 
4057.7 3.172917e-15 
4059.1 3.1330577e-15 
4060.6 2.7155069e-15 
4062.1 3.0460221e-15 
4063.5 2.8486477e-15 
4065.0 2.9469473e-15 
4066.5 3.1681715e-15 
4067.9 3.0193697e-15 
4069.4 3.1738098e-15 
4070.8 3.1733567e-15 
4072.3 2.9158273e-15 
4073.8 3.005896e-15 
4075.2 2.8065942e-15 
