# OBJECT = ASASSN-14lt
# MJD-OBS = 57400.048281
# EXPTIME = 4957.484168
# FLUXCAL = ABSOLUTE
# METHOD = INTRINSIC
# TELESCOPE = VLT
# INSTRUMENT = MUSE
# SRC = ThisWork
# WL FL ERR
4750.931932 2.685592e-17 0.000000e+00
4752.182264 2.594313e-17 0.000000e+00
4753.432595 2.418873e-17 1.172163e-16
4754.682926 1.696362e-17 1.343240e-16
4755.933257 1.274423e-17 1.345668e-16
4757.183588 1.220536e-17 1.348103e-16
4758.433920 2.166409e-17 6.054596e-18
4759.684251 1.226311e-17 5.043840e-18
4760.934582 1.393944e-17 3.905462e-18
4762.184913 1.807208e-17 2.959779e-18
4763.435245 1.473145e-17 2.148473e-18
4764.685576 1.550097e-17 2.210378e-18
4765.935907 1.488581e-17 2.932383e-18
4767.186238 1.100486e-17 3.705566e-18
4768.436570 1.218617e-17 3.677868e-18
4769.686901 1.472206e-17 3.666329e-18
4770.937232 1.532235e-17 3.567056e-18
4772.187564 1.462157e-17 3.342391e-18
4773.437895 1.352031e-17 3.193221e-18
4774.688226 1.292192e-17 3.094684e-18
4775.938558 1.235437e-17 3.007352e-18
4777.188889 9.757734e-18 2.906658e-18
4778.439220 1.455973e-17 3.446557e-18
4779.689552 1.614162e-17 3.843118e-18
4780.939883 1.630590e-17 3.295488e-18
4782.190214 8.068359e-18 2.759327e-18
4783.440546 1.353090e-17 1.331400e-18
4784.690877 1.391667e-17 1.116478e-18
4785.941208 1.620647e-17 1.384877e-18
4787.191540 1.695388e-17 1.470175e-18
4788.441871 1.498590e-17 1.790519e-18
4789.692202 1.274313e-17 2.159646e-18
4790.942534 1.432930e-17 2.982276e-18
4792.192865 1.697535e-17 4.262819e-18
4793.443197 1.264238e-17 5.423369e-18
4794.693528 1.314563e-17 6.793357e-18
4795.943859 1.138076e-17 8.269337e-18
4797.194191 1.736535e-17 7.967452e-18
4798.444522 1.396743e-17 8.300785e-18
4799.694854 1.239230e-17 8.671416e-18
4800.945185 1.638752e-17 9.114606e-18
4802.195516 1.525147e-17 9.531024e-18
4803.445848 1.384670e-17 9.953105e-18
4804.696179 1.180847e-17 1.039531e-17
4805.946511 1.665043e-17 1.085224e-17
4807.196842 1.273901e-17 1.123096e-17
4808.447174 1.275347e-17 1.173387e-17
4809.697505 8.870576e-18 1.223474e-17
4810.947837 1.283265e-17 1.063112e-17
4812.198168 1.302206e-17 9.131674e-18
4813.448500 1.346043e-17 7.864916e-18
4814.698831 1.182292e-17 6.959087e-18
4815.949163 9.916338e-18 6.565321e-18
4817.199494 1.442482e-17 4.334915e-18
4818.449826 1.836024e-17 3.323579e-18
4819.700157 1.441474e-17 3.245937e-18
4820.950489 1.280680e-17 3.299095e-18
4822.200820 1.565348e-17 3.413301e-18
4823.451152 1.411151e-17 2.732249e-18
4824.701483 1.337843e-17 1.114427e-18
4825.951815 1.456235e-17 1.783177e-18
4827.202146 1.641681e-17 2.228999e-18
4828.452478 1.555172e-17 2.845584e-18
4829.702809 1.428900e-17 3.908606e-18
4830.953141 1.180892e-17 4.432448e-18
4832.203472 1.087536e-17 4.923075e-18
4833.453804 1.846274e-17 4.393416e-18
4834.704136 1.719332e-17 3.884002e-18
4835.954467 1.346151e-17 2.627469e-18
4837.204799 1.479177e-17 2.404918e-18
4838.455130 1.552768e-17 2.509454e-18
4839.705462 8.563154e-18 2.715481e-18
4840.955794 9.798369e-18 3.226169e-18
4842.206125 1.302711e-17 2.790580e-18
4843.456457 8.048017e-18 2.704627e-18
4844.706788 1.343159e-17 2.433901e-18
4845.957120 1.313875e-17 2.940417e-18
4847.207452 7.549560e-18 3.183250e-18
4848.457783 1.191589e-17 2.698434e-18
4849.708115 1.393188e-17 2.404503e-18
4850.958446 1.637276e-17 2.164159e-18
4852.208778 1.459544e-17 1.923180e-18
4853.459110 1.422569e-17 1.346811e-18
