WAVE,FLUX,ERR,SKYBACK
5990.2085,4.0008987E-16,5.3949447E-18,9.833858E-17
5994.4224,4.0120856E-16,5.4129314E-18,1.0269482E-16
5998.6357,3.8904035E-16,5.3514917E-18,1.02885075E-16
6002.8496,3.9013104E-16,5.3335816E-18,9.88825E-17
6007.0635,3.9604195E-16,5.360364E-18,9.980822E-17
6011.2773,3.8628686E-16,5.2855807E-18,9.503587E-17
6015.491,3.8442323E-16,5.2754932E-18,9.607798E-17
6019.705,3.7282838E-16,5.2258847E-18,9.8984614E-17
6023.919,3.869733E-16,5.294903E-18,9.960352E-17
6028.133,3.82604E-16,5.269844E-18,1.0003779E-16
6032.3467,3.7810863E-16,5.238938E-18,9.931761E-17
6036.5605,3.767965E-16,5.21472E-18,9.642087E-17
6040.7744,3.8547718E-16,5.247921E-18,9.54111E-17
6044.9883,3.800545E-16,5.2217414E-18,9.639214E-17
6049.202,3.7660572E-16,5.2064605E-18,9.805656E-17
6053.416,3.7535982E-16,5.1964896E-18,9.8492614E-17
6057.63,3.7027884E-16,5.168042E-18,9.892508E-17
6061.8438,3.673197E-16,5.1475652E-18,9.85019E-17
6066.0576,3.5195574E-16,5.0638277E-18,9.817841E-17
6070.2715,3.6966246E-16,5.131875E-18,9.457329E-17
6074.4854,3.5814562E-16,5.0632007E-18,9.319685E-17
6078.699,3.5910023E-16,5.0602038E-18,9.3195224E-17
6082.913,3.6420357E-16,5.0654613E-18,8.900714E-17
6087.127,3.6197694E-16,5.0524055E-18,8.990588E-17
6091.341,3.5261243E-16,5.0113828E-18,9.246259E-17
6095.5547,3.6091402E-16,5.0424537E-18,9.075839E-17
6099.7686,3.4849649E-16,4.979568E-18,9.159127E-17
6103.9824,3.4922533E-16,4.977787E-18,9.119306E-17
6108.1963,3.5395268E-16,4.9770932E-18,8.683589E-17
6112.41,3.439836E-16,4.9396873E-18,9.0759944E-17
6116.624,3.3759358E-16,4.901924E-18,9.0463165E-17
6120.838,3.3357764E-16,4.893774E-18,9.4243864E-17
6125.052,3.3403673E-16,4.8907045E-18,9.379228E-17
6129.2656,3.3314777E-16,4.8842757E-18,9.4262075E-17
6133.479,3.3324627E-16,4.8776475E-18,9.324308E-17
6137.693,3.4173872E-16,4.9396554E-18,9.798198E-17
6141.9067,3.3493737E-16,4.902488E-18,9.827373E-17
6146.1206,3.2888442E-16,4.8538743E-18,9.5529574E-17
6150.3345,3.2739287E-16,4.8170884E-18,9.0352945E-17
6154.5483,3.2907132E-16,4.833621E-18,9.212122E-17
6158.762,3.164401E-16,4.75811E-18,9.116574E-17
6162.976,3.0540832E-16,4.718065E-18,9.568457E-17
6167.19,3.1281078E-16,4.75785E-18,9.67195E-17
6171.404,3.0611082E-16,4.7014663E-18,9.3009326E-17
6175.6177,2.9659327E-16,4.6496914E-18,9.3578466E-17
6179.8315,2.749466E-16,4.532708E-18,9.4891275E-17
6184.0454,2.7378728E-16,4.4962887E-18,8.9336214E-17
6188.2593,2.6544663E-16,4.4527108E-18,9.089935E-17
6192.473,2.524415E-16,4.412915E-18,9.8550464E-17
6196.687,2.447263E-16,4.348095E-18,9.483153E-17
6200.901,2.4431752E-16,4.3219645E-18,9.0840346E-17
6205.1147,2.315957E-16,4.2510425E-18,9.2074645E-17
6209.3286,2.2101959E-16,4.1777315E-18,9.061204E-17
6213.5425,2.1138128E-16,4.1396097E-18,9.5558856E-17
6217.7563,2.0328392E-16,4.0740056E-18,9.2814634E-17
6221.97,1.881275E-16,4.0337405E-18,1.0376786E-16
