WAVE,FLUX,ERR,SKYBACK
3636.1978,6.870163E-15,1.6491084E-16,2.4296378E-16
3641.7173,6.7395443E-15,1.6081692E-16,1.647073E-16
3647.2368,6.6504733E-15,1.5814646E-16,1.9880053E-16
3652.7563,6.6445063E-15,1.5576258E-16,1.6017441E-16
3658.276,6.564009E-15,1.5298797E-16,1.4221883E-16
3663.7954,6.4511118E-15,1.5042023E-16,2.1634889E-16
3669.315,6.5146973E-15,1.4900076E-16,1.886162E-16
3674.8345,6.5777373E-15,1.4718228E-16,1.163241E-16
3680.354,6.6269783E-15,1.4611163E-16,1.910559E-16
3685.8735,6.5363517E-15,1.4382892E-16,1.7858022E-16
3691.393,6.4710984E-15,1.4147961E-16,1.6807459E-16
3696.9126,6.732178E-15,1.4157023E-16,1.2138306E-16
3702.4321,6.3801376E-15,1.3739637E-16,1.4122999E-16
3707.9517,6.0125092E-15,1.3309843E-16,1.4313082E-16
3713.4712,5.638043E-15,1.2904401E-16,2.1093053E-16
3718.9907,5.2156308E-15,1.243221E-16,2.0213345E-16
3724.5103,4.695333E-15,1.1902999E-16,2.368948E-16
3730.0298,4.3347936E-15,1.147649E-16,2.4804603E-16
3735.5493,4.0703368E-15,1.1061346E-16,1.4938887E-16
3741.0686,3.738649E-15,1.0650975E-16,1.7330019E-16
3746.5881,3.6518695E-15,1.047123E-16,1.5283815E-16
3752.1077,3.4580931E-15,1.0180128E-16,1.3365177E-16
3757.6272,3.5375643E-15,1.0189311E-16,1.724246E-16
3763.1467,3.297686E-15,9.914937E-17,2.0700617E-16
3768.6663,3.2253736E-15,9.7087916E-17,1.5803484E-16
3774.1858,3.4904235E-15,9.865586E-17,1.6721999E-16
3779.7053,3.6959067E-15,9.943177E-17,1.4490342E-16
3785.2249,3.517487E-15,9.733569E-17,2.0080635E-16
3790.7444,3.5173107E-15,9.6073514E-17,1.4310917E-16
3796.264,3.6405616E-15,9.63183E-17,1.3799387E-16
3801.7834,3.3658906E-15,9.332917E-17,1.819409E-16
3807.303,3.0288227E-15,8.9315105E-17,1.5493874E-16
3812.8225,3.242175E-15,9.060431E-17,1.7665896E-16
3818.342,3.1732226E-15,9.311626E-17,1.8261872E-16
3823.8616,3.1462323E-15,8.827946E-17,1.6689209E-16
3829.381,3.1253851E-15,8.759303E-17,1.9700282E-16
3834.9006,3.1848602E-15,8.722899E-17,1.6110387E-16
3840.4202,3.4581382E-15,8.897139E-17,1.6935804E-16
3845.9397,3.4630447E-15,8.808105E-17,1.4303967E-16
3851.4592,3.7138448E-15,8.94175E-17,1.408618E-16
3856.9788,3.8813036E-15,9.027289E-17,1.5082615E-16
3862.4983,4.1238015E-15,9.138983E-17,1.3503256E-16
3868.0178,4.3232803E-15,9.24029E-17,1.2720058E-16
3873.5374,4.6997873E-15,9.479842E-17,1.6593738E-16
3879.057,5.1942656E-15,9.7547544E-17,1.2489477E-16
3884.5764,5.7694485E-15,1.010044E-16,1.3634818E-16
3890.096,6.195094E-15,1.0328137E-16,1.551644E-16
3895.6155,6.602892E-15,1.0551288E-16,1.952695E-16
3901.1348,7.260384E-15,1.08737544E-16,1.4781733E-16
3906.6543,7.718607E-15,1.1100577E-16,1.7934042E-16
3912.1738,8.0404475E-15,1.1215457E-16,1.5138145E-16
3917.6934,8.295787E-15,1.1291007E-16,1.247519E-16
3923.213,8.736957E-15,1.1477273E-16,1.1475126E-16
3928.7324,8.933733E-15,1.153519E-16,1.3028267E-16
3934.252,9.104806E-15,1.1577584E-16,1.3309854E-16
3939.7715,9.311719E-15,1.1649461E-16,1.6580023E-16
