WAVE,FLUX,ERR,SKYBACK
3341.011,8.0231935E-16,1.8720021E-16,1.3669733E-15
3345.0916,8.1303887E-16,1.8466122E-16,1.6712496E-15
3349.1724,8.6143473E-16,1.8248167E-16,1.9160103E-15
3353.253,1.1558492E-15,1.7973941E-16,1.7017225E-15
3357.3337,6.955781E-16,1.6862367E-16,1.6507365E-15
3361.4143,7.7001113E-16,1.6316089E-16,1.3710294E-15
3365.495,9.052415E-16,1.5955435E-16,1.1649066E-15
3369.5757,1.0800688E-15,1.5683039E-16,1.1097939E-15
3373.6565,9.223116E-16,1.503679E-16,1.0586889E-15
3377.737,1.1434825E-15,1.4798096E-16,9.129699E-16
3381.8176,9.206337E-16,1.4417316E-16,1.1650397E-15
3385.8984,1.2602706E-15,1.4240244E-16,9.079521E-16
3389.979,1.1832393E-15,1.379662E-16,8.888249E-16
3394.0598,1.1789951E-15,1.3554131E-16,1.0323623E-15
3398.1404,1.4087166E-15,1.3389979E-16,9.02557E-16
3402.2212,1.3091946E-15,1.3145614E-16,1.1123403E-15
3406.3018,1.2124339E-15,1.2730766E-16,1.103236E-15
3410.3826,1.2907227E-15,1.2511324E-16,1.0540525E-15
3414.4631,1.1675793E-15,1.2159002E-16,1.1155061E-15
3418.5437,1.3440401E-15,1.197451E-16,9.542624E-16
3422.6245,1.2396348E-15,1.1557188E-16,8.3474827E-16
3426.705,1.2492811E-15,1.1352116E-16,8.989844E-16
3430.786,1.1296582E-15,1.1189709E-16,1.1325804E-15
3434.8665,1.4669757E-15,1.1357814E-16,1.1747717E-15
3438.9473,1.4958434E-15,1.11057E-16,1.0155721E-15
3443.0278,1.2199013E-15,1.0667951E-16,1.0886606E-15
3447.1086,1.380157E-15,1.0569522E-16,9.907988E-16
3451.1892,1.2551883E-15,1.02144127E-16,9.250554E-16
3455.2698,1.2459517E-15,1.0041721E-16,9.822686E-16
3459.3506,1.1574455E-15,9.702877E-17,9.064031E-16
3463.4312,1.2359219E-15,9.810094E-17,1.1533891E-15
