WAVE,FLUX,ERR,SKYBACK
3644.6624,8.154538E-17,5.4624547E-18,3.7676526E-16
3650.1812,8.8424145E-17,5.5233343E-18,3.9369644E-16
3655.7,9.033377E-17,5.517749E-18,4.0304636E-16
3661.2188,1.0436412E-16,5.5281378E-18,4.0039565E-16
3666.7375,9.55335E-17,5.3168026E-18,3.772805E-16
3672.2563,1.0637068E-16,5.2601218E-18,3.6307043E-16
3677.7751,1.0172188E-16,5.1772478E-18,3.6258055E-16
3683.294,1.1460488E-16,5.2259985E-18,3.682395E-16
3688.813,1.0621052E-16,5.18284E-18,3.8093234E-16
3694.3318,1.1362951E-16,5.1575745E-18,3.7669096E-16
3699.8506,1.1112405E-16,5.0805193E-18,3.7329327E-16
3705.3694,8.8602115E-17,4.8803284E-18,3.6763226E-16
3710.8882,1.07596E-16,4.847036E-18,3.4541538E-16
3716.407,8.463308E-17,4.669145E-18,3.447832E-16
3721.9258,8.632171E-17,4.516758E-18,3.1801148E-16
3727.4448,8.133391E-17,4.4012924E-18,3.076796E-16
3732.9636,7.9414884E-17,4.3227503E-18,3.012003E-16
3738.4824,7.084127E-17,4.172764E-18,2.8818806E-16
3744.0012,6.9820595E-17,4.1914875E-18,3.012572E-16
3749.52,8.5299196E-17,4.269833E-18,3.0575023E-16
3755.0388,7.01995E-17,4.2119615E-18,3.2048593E-16
3760.5576,9.244141E-17,4.326339E-18,3.2475005E-16
3766.0764,9.011112E-17,4.3362644E-18,3.382762E-16
3771.5955,1.0924876E-16,4.4802964E-18,3.5621343E-16
3777.1143,1.1029492E-16,4.51667E-18,3.72119E-16
3782.633,1.09463835E-16,4.4391074E-18,3.61454E-16
3788.1519,1.178462E-16,4.33256E-18,3.311132E-16
3793.6707,1.1584977E-16,4.2439415E-18,3.1927218E-16
3799.1895,1.1437814E-16,4.2218256E-18,3.2276392E-16
3804.7083,1.1289777E-16,4.188162E-18,3.2325406E-16
3810.227,1.1732907E-16,4.1448093E-18,3.134636E-16
3815.746,1.03103266E-16,3.921903E-18,2.8380286E-16
3821.265,1.0033528E-16,3.719853E-18,2.4564252E-16
3826.7837,1.0530009E-16,3.6256443E-18,2.2371585E-16
3832.3025,1.0383599E-16,3.583849E-18,2.1999033E-16
3837.8213,1.03704255E-16,3.6298927E-18,2.3601726E-16
3843.34,9.710102E-17,3.676719E-18,2.6109264E-16
3848.859,1.004791E-16,3.7289786E-18,2.742118E-16
3854.378,1.02562515E-16,3.6946725E-18,2.685493E-16
3859.8967,1.01960956E-16,3.6679033E-18,2.6807042E-16
3865.4155,1.02100504E-16,3.626409E-18,2.629335E-16
3870.9343,9.00663E-17,3.5468706E-18,2.6452754E-16
3876.4531,9.085014E-17,3.510291E-18,2.5893562E-16
3881.972,8.663165E-17,3.4669803E-18,2.584935E-16
3887.4907,8.124989E-17,3.4571135E-18,2.6797941E-16
3893.0095,7.585294E-17,3.480507E-18,2.8512826E-16
3898.5286,6.387004E-17,3.4716617E-18,3.036944E-16
3904.0474,5.974855E-17,3.4834954E-18,3.1652883E-16
3909.5662,6.036763E-17,3.5003678E-18,3.2442127E-16
3915.085,6.1668194E-17,3.472146E-18,3.1837793E-16
3920.6038,5.08655E-17,3.288253E-18,2.910297E-16
3926.1226,5.151242E-17,3.0336003E-18,2.3301972E-16
3931.6414,5.925526E-17,2.8868339E-18,1.9282262E-16
3937.1602,5.334663E-17,2.8316766E-18,1.9140202E-16
3942.6792,5.5268655E-17,2.9950322E-18,2.2839833E-16
3948.198,6.947134E-17,3.253815E-18,2.746445E-16
3953.7168,8.121336E-17,3.362224E-18,2.9033584E-16
3959.2356,9.17532E-17,3.297777E-18,2.628692E-16
3964.7544,9.89777E-17,3.1675682E-18,2.2337108E-16
3970.2732,1.035938E-16,3.122433E-18,2.0933003E-16
3975.792,1.0813897E-16,3.2573363E-18,2.4069376E-16
3981.311,1.109593E-16,3.4687867E-18,2.9759386E-16
3986.8298,1.2723038E-16,3.6860177E-18,3.4275583E-16
3992.3486,1.2993239E-16,3.748101E-18,3.6197908E-16
3997.8674,1.4151132E-16,3.8065867E-18,3.6874912E-16
4003.3862,1.4966417E-16,3.840268E-18,3.7278367E-16
4008.905,1.5384027E-16,3.863464E-18,3.7885867E-16
4014.4238,1.5607178E-16,3.8768065E-18,3.8436097E-16
4019.9426,1.5751026E-16,3.8768235E-18,3.8898426E-16
4025.4617,1.7002401E-16,3.901359E-18,3.8490734E-16
4030.9805,1.702993E-16,3.8717653E-18,3.7904333E-16
4036.4993,1.803244E-16,3.8757593E-18,3.713348E-16
4042.018,1.703586E-16,3.8120486E-18,3.6766897E-16
4047.5369,1.770552E-16,3.816124E-18,3.6411625E-16
4053.0557,1.863172E-16,3.8272282E-18,3.5947242E-16
4058.5745,1.7408864E-16,3.7537593E-18,3.5512968E-16
4064.0933,1.7672151E-16,3.7481903E-18,3.5343104E-16
4069.6123,1.8700165E-16,3.749367E-18,3.4405936E-16
4075.131,1.8978614E-16,3.757576E-18,3.4648537E-16
4080.65,1.8871212E-16,3.7740843E-18,3.5714183E-16
4086.1687,1.8515512E-16,3.777245E-18,3.6646168E-16
4091.6875,1.933124E-16,3.7814003E-18,3.6114983E-16
4097.2065,1.9700361E-16,3.760379E-18,3.5211678E-16
4102.725,1.9344654E-16,3.6931187E-18,3.3684976E-16
4108.244,2.060207E-16,3.7325884E-18,3.3706533E-16
4113.7627,2.1807943E-16,3.7991227E-18,3.475244E-16
4119.2817,2.1471041E-16,3.8204263E-18,3.628171E-16
4124.8003,2.0284557E-16,3.765794E-18,3.6237025E-16
4130.3193,1.8785779E-16,3.6945245E-18,3.602203E-16
4135.8384,1.7563515E-16,3.626427E-18,3.5568046E-16
4141.357,1.7330868E-16,3.598514E-18,3.5183226E-16
4146.876,1.6321426E-16,3.5507017E-18,3.5152428E-16
4152.3945,1.6750135E-16,3.546874E-18,3.4732575E-16
4157.9136,1.6096151E-16,3.531451E-18,3.5330133E-16
4163.432,1.5223845E-16,3.497496E-18,3.557798E-16
4168.951,1.4649824E-16,3.461256E-18,3.53686E-16
4174.47,1.4743994E-16,3.4342016E-18,3.4553446E-16
4179.989,1.4153277E-16,3.3774576E-18,3.366731E-16
4185.508,1.5398473E-16,3.403732E-18,3.3096555E-16
4191.0264,1.5531456E-16,3.4070302E-18,3.32471E-16
4196.5454,1.6966687E-16,3.4339617E-18,3.2490998E-16
4202.064,1.7800552E-16,3.4612746E-18,3.2557077E-16
4207.583,1.8510185E-16,3.4893617E-18,3.2806552E-16
4213.102,1.8848831E-16,3.5061357E-18,3.3190412E-16
4218.6206,1.822821E-16,3.484091E-18,3.344804E-16
4224.1396,1.7806761E-16,3.4209156E-18,3.2038415E-16
4229.658,1.7378981E-16,3.3734392E-18,3.1183401E-16
4235.1772,1.6161567E-16,3.3106653E-18,3.0884491E-16
4240.696,1.5837016E-16,3.3021687E-18,3.122562E-16
4246.215,1.5961281E-16,3.3032897E-18,3.1280318E-16
4251.7334,1.7097588E-16,3.3372296E-18,3.1082E-16
4257.2524,1.7173222E-16,3.3321954E-18,3.099285E-16
4262.7715,1.7578465E-16,3.3459516E-18,3.1090678E-16
4268.29,1.892065E-16,3.3617472E-18,3.0051244E-16
4273.809,1.8552802E-16,3.3401958E-18,2.9930274E-16
4279.3276,1.8361819E-16,3.310513E-18,2.9335832E-16
4284.8467,1.8008475E-16,3.2835571E-18,2.903233E-16
4290.365,1.807745E-16,3.269132E-18,2.858446E-16
4295.8843,1.8488081E-16,3.2308184E-18,2.6909358E-16
4301.4033,1.8918207E-16,3.1721686E-18,2.4548307E-16
