WAVE,FLUX,ERR,SKYBACK
3658.4358,2.6132724E-18,6.6747553E-18,1.2312119E-16
3663.9583,6.361358E-18,6.7234655E-18,1.03793154E-16
3669.4805,2.0734233E-17,6.9232867E-18,9.40397E-17
3675.003,2.3933816E-17,6.979465E-18,9.201233E-17
3680.5251,1.4536219E-17,6.9013763E-18,9.6425834E-17
3686.0476,2.7971174E-18,6.844935E-18,1.1159516E-16
3691.5698,-7.4411414E-18,6.8720656E-18,1.195428E-16
3697.0923,6.9082336E-18,6.944601E-18,1.2969166E-16
3702.6145,1.777584E-17,7.033711E-18,1.2566073E-16
3708.137,2.0958436E-17,6.9388406E-18,1.1817225E-16
3713.6592,3.7194234E-18,6.6969903E-18,1.2456194E-16
3719.1816,1.4726786E-18,6.741705E-18,1.4898443E-16
3724.7039,7.042818E-18,6.681465E-18,1.4733553E-16
3730.2263,4.7808368E-18,6.657538E-18,1.6225643E-16
3735.7485,8.411482E-18,6.6268586E-18,1.6957844E-16
3741.271,-7.7617733E-19,6.404437E-18,1.6308876E-16
3746.7935,1.0023145E-18,6.243883E-18,1.5566322E-16
3752.3157,1.1985334E-17,6.0503443E-18,1.2536417E-16
3757.8381,2.3773055E-18,5.7889243E-18,1.1899491E-16
3763.3604,2.1977145E-17,5.8219317E-18,1.0648931E-16
3768.8828,7.513128E-18,5.539006E-18,1.034673E-16
3774.405,1.4640199E-17,5.524432E-18,1.0136278E-16
3779.9275,1.4763199E-17,5.4545357E-18,1.04919496E-16
3785.4497,2.9023667E-18,5.2522313E-18,1.0717246E-16
3790.9722,-2.3484175E-18,5.1457797E-18,1.03219845E-16
3796.4944,2.1875724E-17,5.236445E-18,9.047663E-17
3802.0168,1.5793669E-17,5.1411843E-18,9.7859834E-17
3807.539,1.9659838E-17,5.1427126E-18,9.852846E-17
3813.0615,6.059703E-18,5.0379443E-18,1.1700304E-16
3818.5837,-7.340773E-18,5.0120743E-18,1.2904822E-16
3824.1062,3.5783883E-18,5.0376466E-18,1.3862742E-16
3829.6284,4.066785E-18,5.0400623E-18,1.4357073E-16
3835.151,5.0911883E-18,4.9950397E-18,1.4303341E-16
3840.673,-2.497051E-18,4.8704113E-18,1.3592597E-16
3846.1956,2.0248064E-18,4.7340063E-18,1.2054535E-16
3851.7178,-1.0858047E-18,4.6400163E-18,1.1298693E-16
3857.2402,-2.0051145E-19,4.4742117E-18,9.403174E-17
3862.7625,6.968092E-18,4.42886E-18,8.2432095E-17
3868.285,2.2305533E-18,4.3394726E-18,8.154118E-17
3873.8071,4.182618E-18,4.2322684E-18,7.0428136E-17
3879.3296,8.9138794E-18,4.2497537E-18,6.769608E-17
3884.8518,5.9112324E-18,4.187137E-18,6.79743E-17
3890.3743,1.6555587E-17,4.3128924E-18,7.093735E-17
3895.8965,1.1469185E-17,4.318279E-18,8.4214636E-17
3901.419,1.1375145E-17,4.396832E-18,9.953371E-17
3906.9412,8.554697E-18,4.357064E-18,1.02371264E-16
3912.4636,1.0435284E-17,4.375568E-18,1.0684577E-16
3917.9858,4.5486956E-18,4.275955E-18,1.0408725E-16
3923.5083,8.4750245E-18,4.212083E-18,9.2522315E-17
3929.0305,1.3191398E-17,4.202698E-18,8.60545E-17
3934.553,4.5175596E-18,4.1262916E-18,9.208805E-17
3940.0752,1.05961894E-17,4.172871E-18,9.3212085E-17
3945.5977,1.640285E-17,4.2435242E-18,9.721616E-17
3951.1199,1.0129813E-17,4.1663876E-18,9.813244E-17
3956.6423,-3.6835813E-18,3.9882823E-18,9.116773E-17
3962.1646,1.5137327E-17,4.04067E-18,7.8965335E-17
3967.687,2.7734317E-18,3.916704E-18,8.344439E-17
3973.2092,1.9689774E-17,4.036902E-18,7.8253106E-17
3978.7317,1.1250369E-17,3.958523E-18,8.3341133E-17
3984.254,4.1975425E-18,3.9140164E-18,9.0926366E-17
3989.7764,3.3673644E-18,3.9474763E-18,9.974237E-17
3995.2986,9.616673E-18,3.9809225E-18,9.793604E-17
4000.821,1.0724551E-17,4.01629E-18,1.0598549E-16
4006.3433,1.1258386E-17,4.023592E-18,1.08879706E-16
4011.8657,8.412108E-18,3.9646523E-18,1.0711964E-16
4017.388,9.984339E-18,3.9884015E-18,1.10916536E-16
4022.9104,1.5373157E-17,3.977862E-18,1.0489109E-16
4028.4326,1.6987034E-17,3.970468E-18,1.0464483E-16
4033.955,1.4874794E-17,3.9683307E-18,1.111541E-16
4039.4773,1.1990234E-17,3.95381E-18,1.1666185E-16
4044.9998,8.416592E-18,3.8618883E-18,1.1129051E-16
4050.522,1.9708405E-17,4.0059112E-18,1.1891715E-16
4056.0444,1.27658015E-17,3.935542E-18,1.2208029E-16
4061.5667,1.4773403E-17,3.9768002E-18,1.3014739E-16
4067.089,1.0508519E-17,3.8755476E-18,1.2272404E-16
4072.6113,1.4779484E-17,3.9312437E-18,1.2821239E-16
4078.1338,1.1732575E-17,3.8815285E-18,1.278736E-16
4083.656,1.7491852E-17,3.8306515E-18,1.1347806E-16
4089.1785,1.816053E-17,3.7986793E-18,1.09887404E-16
4094.701,1.7162075E-17,3.7147643E-18,1.01140386E-16
4100.223,1.439291E-17,3.6668557E-18,1.0120147E-16
4105.7456,1.2335697E-17,3.5943678E-18,9.6220514E-17
4111.268,1.6713547E-17,3.603753E-18,9.310559E-17
4116.79,2.0207605E-17,3.605415E-18,9.447252E-17
4122.3125,2.3541223E-17,3.6598263E-18,9.71219E-17
4127.835,1.6175285E-17,3.5768088E-18,9.864637E-17
4133.3574,1.9061133E-17,3.6237984E-18,1.0449523E-16
