WAVE,FLUX,ERR,SKYBACK
3658.605,6.949812E-18,6.5287364E-18,6.1858796E-17
3664.1262,1.3123825E-17,6.7424935E-18,5.9384395E-17
3669.6475,2.5533057E-17,6.9171622E-18,4.3593543E-17
3675.1687,2.5167913E-17,6.971526E-18,3.8952802E-17
3680.69,1.661948E-17,7.022109E-18,5.0115217E-17
3686.2112,1.5436489E-17,7.0986035E-18,5.5433777E-17
3691.7327,1.8249528E-18,7.111591E-18,7.526224E-17
3697.254,5.1596264E-19,7.312327E-18,9.536031E-17
3702.7751,-6.087893E-18,7.270694E-18,8.465987E-17
3708.2964,2.5108333E-17,7.499172E-18,7.132361E-17
3713.8176,2.4458205E-17,7.5348966E-18,7.653256E-17
3719.3389,2.0806471E-17,7.595694E-18,8.8713744E-17
3724.86,2.0434038E-17,7.660078E-18,1.0239538E-16
3730.3816,1.2551616E-17,7.5814205E-18,1.093483E-16
3735.9028,1.9019486E-17,7.602439E-18,1.07136764E-16
3741.424,-3.8159124E-18,7.303193E-18,1.0776993E-16
3746.9453,9.850222E-18,7.269762E-18,9.9765407E-17
3752.4666,1.1444109E-17,7.06888E-18,8.548658E-17
3757.9878,2.9870478E-17,7.0387545E-18,6.5900434E-17
3763.5093,1.9901932E-17,6.8196012E-18,6.4783297E-17
3769.0305,1.4188914E-17,6.6195335E-18,6.4130036E-17
3774.5518,2.5275428E-17,6.709574E-18,6.570567E-17
3780.073,9.086796E-18,6.3722342E-18,6.600694E-17
3785.5942,1.867933E-17,6.3863633E-18,6.079171E-17
3791.1155,1.624032E-17,6.302374E-18,6.814348E-17
3796.637,2.8525443E-17,6.2970927E-18,5.873055E-17
3802.1582,2.5912801E-17,6.1097256E-18,5.4358243E-17
3807.6794,2.2306611E-17,6.065418E-18,6.3647234E-17
3813.2007,2.5174673E-17,6.0397366E-18,6.731976E-17
3818.722,1.980302E-17,6.02239E-18,8.53817E-17
3824.2432,9.257758E-18,5.8831786E-18,9.8277375E-17
3829.7644,2.3591605E-17,5.9449723E-18,9.34872E-17
3835.286,9.95634E-18,5.6686857E-18,9.387185E-17
3840.8071,2.786609E-17,5.777555E-18,8.4793524E-17
3846.3284,2.8123072E-17,5.662457E-18,7.6403384E-17
3851.8496,2.9860985E-17,5.4984366E-18,6.145519E-17
3857.3708,1.6193824E-17,5.2100384E-18,6.28702E-17
3862.892,1.4916718E-17,5.0160782E-18,4.991013E-17
3868.4136,3.1011957E-17,5.094085E-18,3.9643223E-17
3873.9348,3.2341083E-18,4.6520555E-18,4.6614572E-17
3879.456,2.7658911E-17,4.8653366E-18,3.569919E-17
3884.9773,2.2151756E-17,4.7662594E-18,4.163511E-17
3890.4985,2.4698806E-17,4.7939968E-18,4.9782727E-17
3896.0198,1.1798927E-17,4.669353E-18,6.9014835E-17
3901.5413,2.4122241E-17,4.785123E-18,6.696166E-17
3907.0625,2.6799206E-17,4.8197147E-18,7.5466917E-17
3912.5837,1.91927E-17,4.657625E-18,7.782865E-17
3918.105,3.116067E-17,4.7172754E-18,6.792668E-17
3923.6262,2.4774923E-17,4.468913E-18,5.3019756E-17
3929.1475,2.1509138E-17,4.3854188E-18,5.4689473E-17
3934.6687,3.124922E-17,4.496809E-18,5.740191E-17
3940.1902,3.0050247E-17,4.439783E-18,5.975759E-17
3945.7114,2.4019887E-17,4.3727075E-18,6.8291045E-17
3951.2327,1.847839E-17,4.221594E-18,6.3933286E-17
3956.754,2.4106654E-17,4.21231E-18,5.5010366E-17
3962.2751,4.0833807E-17,4.3854316E-18,5.2086028E-17
3967.7964,2.8694482E-17,4.1944737E-18,5.3870478E-17
3973.3179,2.8954915E-17,4.1883575E-18,5.685497E-17
3978.839,3.1055252E-17,4.167014E-18,5.542615E-17
3984.3604,2.451246E-17,4.0670337E-18,5.941236E-17
3989.8816,3.5323216E-17,4.22017E-18,6.43846E-17
3995.4028,2.9079425E-17,4.1443937E-18,6.9620834E-17
4000.924,3.3801148E-17,4.2202883E-18,7.601751E-17
4006.4456,2.9477154E-17,4.1191886E-18,7.2379104E-17
4011.9668,3.0962525E-17,4.1686396E-18,8.134821E-17
4017.488,3.288424E-17,4.2001216E-18,8.4866726E-17
4023.0093,3.2579852E-17,4.1521646E-18,8.132359E-17
4028.5305,3.045817E-17,4.0712746E-18,7.5216135E-17
4034.0518,3.762729E-17,4.1952615E-18,8.5841555E-17
4039.573,3.2063225E-17,4.1026752E-18,8.377689E-17
4045.0945,3.391849E-17,4.1021094E-18,8.297343E-17
4050.6157,3.2971783E-17,4.0872495E-18,8.696815E-17
4056.137,3.0867783E-17,4.123633E-18,9.9689875E-17
