WAVE,FLUX,ERR,SKYBACK
3648.2617,1.580343E-17,5.318174E-18,4.909218E-17
3653.7852,1.4767272E-17,5.5820757E-18,4.8569058E-17
3659.3086,2.1652692E-17,5.1956906E-18,3.2214278E-17
3664.832,2.2163855E-17,5.085878E-18,2.6312347E-17
3670.3552,2.0338054E-17,4.974281E-18,2.2887434E-17
3675.8787,2.406522E-17,5.03193E-18,3.179592E-17
3681.402,6.100374E-19,5.399205E-18,4.6969046E-17
3686.9255,2.980947E-17,5.4118966E-18,4.7208534E-17
3692.449,2.4020761E-17,4.9612937E-18,4.7439185E-17
3697.9722,1.2464121E-17,4.837716E-18,5.541016E-17
3703.4956,1.0487943E-17,4.6667855E-18,4.4443316E-17
3709.019,1.8889058E-17,4.6619142E-18,3.9261234E-17
3714.5425,3.0752676E-17,4.781915E-18,4.5247514E-17
3720.066,2.498058E-17,4.6575484E-18,4.3744643E-17
3725.589,2.150468E-17,4.6423795E-18,5.555288E-17
3731.1125,2.0313577E-17,4.6413187E-18,6.2729804E-17
3736.636,2.0165787E-17,4.564403E-18,6.000566E-17
3742.1594,1.8821324E-17,4.4680947E-18,5.4708654E-17
3747.6826,1.3173867E-17,4.3254254E-18,5.141369E-17
3753.206,2.0032663E-17,4.321464E-18,4.6447743E-17
3758.7295,1.9799911E-17,4.2498435E-18,4.2159622E-17
3764.253,1.9769408E-17,4.2488446E-18,4.9004783E-17
3769.7764,2.6303187E-17,4.2258515E-18,4.4801875E-17
3775.2996,2.0385165E-17,4.1852307E-18,5.2699832E-17
3780.823,1.1046766E-17,4.045991E-18,5.2548816E-17
3786.3464,2.2939063E-17,4.0508643E-18,4.151965E-17
3791.8699,2.287951E-17,3.9903768E-18,3.8036594E-17
3797.3933,2.0785532E-17,3.992428E-18,4.6452435E-17
3802.9165,2.2030139E-17,3.9951976E-18,5.1350833E-17
3808.44,1.8311461E-17,3.91873E-18,5.1209087E-17
3813.9634,2.1835464E-17,3.8823524E-18,4.6520618E-17
3819.4868,1.6116957E-17,3.8330677E-18,5.289696E-17
3825.0103,2.1950827E-17,3.8811157E-18,5.72775E-17
3830.5334,1.9879183E-17,3.8219376E-18,5.692121E-17
3836.057,2.3839527E-17,3.8217332E-18,5.632354E-17
3841.5803,1.8517902E-17,3.6996612E-18,5.1697832E-17
3847.1038,2.1149867E-17,3.6762467E-18,4.8631662E-17
3852.6272,1.4016398E-17,3.5221516E-18,4.257609E-17
3858.1504,2.0710564E-17,3.5406726E-18,3.9805043E-17
3863.6738,2.0062121E-17,3.489457E-18,3.7726305E-17
3869.1973,2.4002004E-17,3.5007983E-18,3.8609198E-17
3874.7207,2.8153095E-17,3.4876536E-18,3.414685E-17
3880.244,2.6628616E-17,3.388419E-18,2.6989363E-17
3885.7673,2.0938224E-17,3.3732518E-18,3.6371783E-17
3891.2908,2.1031092E-17,3.3712364E-18,4.077471E-17
3896.8142,2.3915398E-17,3.4701496E-18,5.4902178E-17
3902.3376,2.5783162E-17,3.489486E-18,5.943382E-17
3907.8608,3.2376498E-17,3.5153923E-18,5.6957665E-17
3913.3843,1.6345122E-17,3.3708623E-18,6.326752E-17
3918.9077,2.3733407E-17,3.298119E-18,4.5063092E-17
3924.4312,2.4634362E-17,3.2316925E-18,3.6597673E-17
3929.9546,3.0347255E-17,3.232215E-18,3.2233716E-17
3935.4778,2.3668592E-17,3.1589002E-18,3.5809158E-17
3941.0012,2.501507E-17,3.2148197E-18,4.3676513E-17
3946.5247,1.485131E-17,3.1843455E-18,5.745033E-17
3952.048,1.7259807E-17,3.1472704E-18,5.245889E-17
3957.5715,2.850851E-17,3.1569557E-18,4.0163278E-17
3963.0947,2.8775625E-17,3.1056083E-18,3.552705E-17
3968.6182,2.4320715E-17,3.0504798E-18,3.6103188E-17
3974.1416,2.439885E-17,3.1043979E-18,4.6920298E-17
3979.665,2.6448096E-17,3.2000255E-18,6.132592E-17
3985.1885,3.0230725E-17,3.2408279E-18,6.574987E-17
3990.7117,2.246595E-17,3.1890058E-18,7.1620024E-17
3996.235,2.4392545E-17,3.1849924E-18,7.197474E-17
4001.7585,3.6428422E-17,3.2705718E-18,7.075933E-17
4007.282,2.4878458E-17,3.2095348E-18,7.9038835E-17
4012.8052,3.4785665E-17,3.321625E-18,8.5946594E-17
4018.3286,2.866095E-17,3.235529E-18,8.372108E-17
4023.852,3.127137E-17,3.1671172E-18,7.05448E-17
4029.3755,3.2086716E-17,3.159037E-18,7.146943E-17
4034.899,2.726757E-17,3.163585E-18,8.122447E-17
4040.422,3.2937528E-17,3.1968177E-18,8.081619E-17
4045.9456,2.7520673E-17,3.1733773E-18,8.691392E-17
4051.469,3.3385817E-17,3.2069186E-18,8.650628E-17
4056.9924,2.579669E-17,3.1201873E-18,8.607121E-17
4062.5159,2.2140071E-17,3.0618018E-18,8.384158E-17
4068.039,3.0001182E-17,3.1018136E-18,8.0699774E-17
4073.5625,2.8726107E-17,3.10011E-18,8.507579E-17
4079.086,2.972662E-17,3.0732692E-18,7.9800595E-17
4084.6094,3.189315E-17,3.0510176E-18,7.610799E-17
4090.1328,2.9391176E-17,3.051303E-18,8.0246174E-17
4095.656,2.6945835E-17,2.983926E-18,7.465348E-17
4101.1797,2.4001832E-17,2.9367945E-18,7.3145656E-17
4106.7026,2.761124E-17,2.944181E-18,7.1030886E-17
4112.226,2.5096041E-17,2.9359357E-18,7.541431E-17
4117.7495,2.794117E-17,2.9620568E-18,7.739067E-17
4123.273,2.6836636E-17,2.9644964E-18,8.003817E-17
4128.7964,2.3835567E-17,2.9502313E-18,8.38411E-17
4134.32,2.7072169E-17,2.9361338E-18,7.817278E-17
4139.8433,3.18353E-17,2.9733816E-18,7.8945575E-17
4145.3667,2.6807109E-17,2.911071E-18,7.8113504E-17
4150.89,2.4164128E-17,2.916598E-18,8.3164104E-17
4156.4136,2.0457704E-17,2.9006821E-18,8.784549E-17
4161.9365,2.846153E-17,2.9713546E-18,8.944566E-17
4167.46,2.932044E-17,2.9996E-18,9.358571E-17
4172.9834,3.0218698E-17,2.9984065E-18,9.368976E-17
4178.507,3.1958196E-17,2.9507321E-18,8.3560297E-17
4184.0303,3.5158442E-17,2.9764219E-18,8.481045E-17
4189.5537,3.7008987E-17,2.9421429E-18,7.7058E-17
4195.077,3.4228565E-17,2.9081609E-18,7.588489E-17
