# B-channel spectrum:  tLSQ12gdj_20121112_Gr11_Free_slit1.5_1_f.asci
# R-channel spectrum:  tLSQ12gdj_20121112_Gr16_OG530_slit1.5_1_f.asci
# Errors estimated from scatter of spectrum
3361.21582 2.349513e-15 1.866089e-16
3365.28270 2.421098e-15 1.787306e-16
3369.34958 2.458225e-15 1.707574e-16
3373.41646 2.766214e-15 1.628396e-16
3377.48334 2.684639e-15 1.551658e-16
3381.55021 2.779128e-15 1.479615e-16
3385.61709 2.763400e-15 1.414829e-16
3389.68397 3.013037e-15 1.360087e-16
3393.75085 2.814146e-15 1.318313e-16
3397.81773 3.043211e-15 1.292524e-16
3401.88461 3.018621e-15 1.285806e-16
3405.95149 3.044063e-15 1.301263e-16
3410.01837 3.069324e-15 1.341780e-16
3414.08524 3.073015e-15 1.409507e-16
3418.15212 3.139842e-15 1.505133e-16
3422.21900 2.960630e-15 1.627199e-16
3426.28588 2.987836e-15 1.771726e-16
3430.35276 2.971961e-15 1.932273e-16
3434.41964 3.022639e-15 2.100364e-16
3438.48652 2.811273e-15 2.266163e-16
3442.55340 2.862673e-15 2.419258e-16
3446.62028 2.784110e-15 2.549507e-16
3450.68715 2.646644e-15 2.647863e-16
3454.75403 2.722643e-15 2.707116e-16
3458.82091 1.735135e-15 2.722496e-16
3462.88779 2.657992e-15 2.692069e-16
3466.95467 2.566222e-15 2.616895e-16
3471.02155 2.547362e-15 2.500922e-16
3475.08843 2.658793e-15 2.350642e-16
3479.15531 2.593910e-15 2.174562e-16
3483.22218 2.773527e-15 1.982524e-16
3487.28906 2.753893e-15 1.784962e-16
3491.35594 2.751733e-15 1.592128e-16
3495.42282 2.836835e-15 1.413282e-16
3499.48970 2.845259e-15 1.255850e-16
3503.55658 2.937493e-15 1.124534e-16
3507.62346 2.903714e-15 1.020587e-16
3511.69034 2.917954e-15 9.416323e-17
3515.75721 2.960070e-15 8.824286e-17
3519.82409 2.930042e-15 8.364292e-17
3523.89097 2.966868e-15 7.974609e-17
3527.95785 2.906786e-15 7.608512e-17
3532.02473 2.872809e-15 7.238292e-17
3536.09161 2.787483e-15 6.854074e-17
3540.15849 2.772262e-15 6.460200e-17
3544.22537 2.717893e-15 6.070955e-17
3548.29224 2.630528e-15 5.706318e-17
3552.35912 2.626596e-15 5.387803e-17
3556.42600 2.617992e-15 5.134382e-17
3560.49288 2.554822e-15 4.958796e-17
