WAVE,FLUX,ERR,SKYBACK
6003.463,7.7008916E-16,7.966016E-18,7.5913045E-17
6007.6733,7.611657E-16,7.92973E-18,7.749863E-17
6011.884,7.778044E-16,7.967402E-18,7.17547E-17
6016.0938,7.660029E-16,7.914863E-18,7.238595E-17
6020.304,7.5443403E-16,7.866595E-18,7.4923293E-17
6024.5146,7.5646374E-16,7.856961E-18,7.211108E-17
6028.7246,7.617463E-16,7.862769E-18,6.9923245E-17
6032.935,7.5249073E-16,7.7946015E-18,6.463367E-17
6037.1455,7.636891E-16,7.8492426E-18,6.865663E-17
6041.356,7.4858384E-16,7.778366E-18,6.85273E-17
6045.566,7.493405E-16,7.772277E-18,6.810685E-17
6049.7764,7.448735E-16,7.7430284E-18,6.7568394E-17
6053.987,7.3784474E-16,7.705976E-18,6.723642E-17
6058.197,7.402317E-16,7.70445E-18,6.637439E-17
6062.407,7.3073104E-16,7.639773E-18,6.2243554E-17
6066.6177,7.238678E-16,7.616268E-18,6.5249145E-17
6070.8276,7.186897E-16,7.580502E-18,6.4448295E-17
6075.038,7.138781E-16,7.566226E-18,6.761478E-17
6079.2485,7.2691875E-16,7.59822E-18,6.290574E-17
6083.459,7.171024E-16,7.557713E-18,6.539221E-17
6087.669,7.1424375E-16,7.561264E-18,7.083394E-17
6091.8794,7.243728E-16,7.60779E-18,7.3727237E-17
6096.09,7.1138036E-16,7.541409E-18,7.193246E-17
6100.3,7.185636E-16,7.553734E-18,6.906053E-17
6104.5103,7.150303E-16,7.535889E-18,6.965528E-17
6108.7207,7.0730216E-16,7.466993E-18,6.2422086E-17
6112.931,7.140147E-16,7.481277E-18,6.03623E-17
6117.141,7.0328034E-16,7.4440324E-18,6.3899305E-17
6121.3516,7.075685E-16,7.459289E-18,6.452193E-17
6125.562,7.0712677E-16,7.45882E-18,6.630913E-17
6129.772,6.8602114E-16,7.361728E-18,6.6254844E-17
6133.9824,6.965694E-16,7.43457E-18,7.37952E-17
6138.193,7.077835E-16,7.463963E-18,7.096903E-17
6142.403,7.1746533E-16,7.508913E-18,7.2581194E-17
6146.6133,7.026799E-16,7.454229E-18,7.6484984E-17
