WAVE,FLUX,ERR,SKYBACK
9358.876,2.0311261E-16,5.4604678E-18,5.1837947E-17
9365.822,2.011832E-16,5.2504E-18,4.7847038E-17
9372.769,2.2419718E-16,5.439073E-18,4.31836E-17
9379.715,1.989848E-16,5.044998E-18,4.05238E-17
9386.661,2.3746267E-16,5.4985586E-18,3.829385E-17
9393.607,2.2035307E-16,5.0771473E-18,3.5848737E-17
9400.554,1.9261111E-16,5.0551567E-18,3.5765883E-17
9407.5,1.9746031E-16,4.9737138E-18,3.741218E-17
9414.446,2.159197E-16,5.6508885E-18,3.887371E-17
9421.393,2.0825253E-16,5.1412836E-18,3.887505E-17
9428.339,2.045216E-16,5.265158E-18,4.4868775E-17
9435.285,1.7979717E-16,5.5355005E-18,4.0203423E-17
9442.231,2.0968924E-16,5.012376E-18,4.1812223E-17
9449.178,2.2158338E-16,6.3026018E-18,3.9616283E-17
9456.124,2.3421432E-16,5.3192023E-18,4.0440533E-17
9463.07,2.1566822E-16,5.2621413E-18,4.24772E-17
9470.017,2.0851673E-16,5.2651154E-18,4.0065826E-17
9476.963,1.6431542E-16,4.4529477E-18,3.539625E-17
9483.909,1.8966452E-16,4.9792063E-18,3.847225E-17
9490.855,1.9641307E-16,5.650255E-18,3.766717E-17
9497.802,1.9675779E-16,5.1561708E-18,3.9433245E-17
9504.748,1.9082514E-16,4.9956655E-18,3.8217346E-17
9511.694,2.1154048E-16,4.8000075E-18,3.80167E-17
9518.641,9.4935095E-17,5.9883182E-18,3.668934E-17
9525.587,4.874881E-17,5.6118472E-18,3.2660413E-17
9532.533,1.518366E-16,4.652219E-18,3.6973527E-17
9539.4795,1.6466322E-16,4.377243E-18,3.618362E-17
9546.426,1.8722395E-16,4.969632E-18,3.681287E-17
9553.372,1.9509171E-16,5.2083216E-18,3.445161E-17
9560.318,1.7403611E-16,4.6741164E-18,3.723683E-17
9567.265,1.9478994E-16,4.677428E-18,3.643525E-17
9574.211,1.7045166E-16,4.5380783E-18,3.0793645E-17
9581.157,1.8342338E-16,4.7031223E-18,3.0157063E-17
9588.103,1.8613344E-16,5.065009E-18,3.2085333E-17
9595.049,1.5145145E-16,4.629631E-18,3.1687357E-17
9601.995,1.7358987E-16,4.2476812E-18,3.1724527E-17
9608.941,1.6904327E-16,4.338466E-18,3.0098856E-17
9615.888,1.6781888E-16,4.0245447E-18,3.0715972E-17
9622.834,1.7530875E-16,5.0203606E-18,2.8886768E-17
9629.78,1.561212E-16,4.3801505E-18,2.7401197E-17
9636.727,1.6399606E-16,4.2244705E-18,3.0668092E-17
9643.673,1.3746942E-16,4.0002823E-18,2.8376983E-17
9650.619,1.6332533E-16,4.442893E-18,2.9453847E-17
9657.565,1.7334063E-16,4.533471E-18,2.938133E-17
9664.512,1.6799714E-16,4.0427836E-18,2.877739E-17
9671.458,1.7490779E-16,3.964131E-18,2.9870822E-17
9678.404,1.6299082E-16,4.3260587E-18,2.9387543E-17
9685.351,1.5745702E-16,3.988353E-18,2.9945315E-17
9692.297,1.8071964E-16,4.1013997E-18,2.9870104E-17
9699.243,1.6983202E-16,3.894965E-18,2.8274115E-17
9706.189,1.4316824E-16,3.659124E-18,2.83485E-17
9713.136,1.638214E-16,3.843019E-18,2.8558378E-17
9720.082,1.3744748E-16,3.5257908E-18,2.7124199E-17
9727.028,1.3842288E-16,3.6242836E-18,2.7971046E-17
9733.975,1.5614258E-16,3.76787E-18,2.5155833E-17
9740.921,1.6308145E-16,3.859391E-18,2.7986644E-17
9747.867,1.5541959E-16,3.904132E-18,2.5297512E-17
9754.813,1.3118112E-16,3.5422173E-18,2.6403552E-17
9761.76,1.4647283E-16,3.7962176E-18,2.7586942E-17
9768.706,1.4717461E-16,3.7787633E-18,2.9133827E-17
9775.652,1.6783417E-16,3.9664865E-18,3.0683603E-17
9782.599,1.4856169E-16,3.5283865E-18,3.1577987E-17
9789.545,1.293336E-16,3.5167472E-18,2.786661E-17
9796.491,1.2899044E-16,3.540988E-18,2.611284E-17
9803.4375,1.5632909E-16,3.5757053E-18,2.5928911E-17
9810.384,1.4516297E-16,3.5162054E-18,2.6118443E-17
9817.33,1.3302323E-16,3.487729E-18,2.5416729E-17
9824.276,1.3784806E-16,3.6625126E-18,2.4029441E-17
9831.223,1.4808682E-16,3.450471E-18,2.3732588E-17
9838.169,1.3996828E-16,3.3651244E-18,2.2468308E-17
9845.115,1.2265764E-16,3.881563E-18,2.4930851E-17
9852.062,1.2916411E-16,3.3766278E-18,2.727237E-17
9859.008,1.3652452E-16,3.3736706E-18,2.6441553E-17
9865.954,1.3982617E-16,3.282697E-18,2.5855644E-17
9872.9,1.2337543E-16,3.3204697E-18,2.5825391E-17
9879.847,1.2750833E-16,3.3293323E-18,2.3916005E-17
9886.793,1.409098E-16,3.2942927E-18,2.5494262E-17
9893.739,1.5067778E-16,3.545278E-18,2.6623023E-17
9900.686,1.343486E-16,3.4511352E-18,2.6655144E-17
9907.632,1.3297778E-16,3.1890391E-18,2.50521E-17
9914.578,1.3514783E-16,3.2798871E-18,2.5362294E-17
9921.524,1.2395414E-16,4.0918305E-18,2.554718E-17
9928.471,1.2949588E-16,3.2137962E-18,2.8713222E-17
9935.417,1.2284201E-16,3.1974534E-18,3.1132984E-17
9942.363,1.2901189E-16,3.2499688E-18,2.7455263E-17
9949.31,1.363085E-16,3.1669437E-18,2.857383E-17
9956.256,1.3448087E-16,3.2164639E-18,2.5040461E-17
9963.202,1.264545E-16,3.1699048E-18,2.2741182E-17
9970.148,1.1138003E-16,3.2486489E-18,2.1464515E-17
9977.095,1.270049E-16,3.1681474E-18,2.2466133E-17
9984.041,9.634669E-17,2.9732926E-18,2.2696805E-17
9990.987,1.197127E-16,4.9791202E-18,2.377851E-17
9997.934,1.2560866E-16,3.0632721E-18,2.6173505E-17
10004.88,1.1403002E-16,3.2026572E-18,2.4988357E-17
10011.826,1.300151E-16,3.629166E-18,2.569384E-17
10018.772,1.2507883E-16,3.5361326E-18,2.488145E-17
10025.719,1.2374753E-16,3.1014374E-18,2.3232676E-17
10032.665,1.1353775E-16,2.9786805E-18,2.1629764E-17
10039.611,1.0867837E-16,3.051947E-18,2.1729151E-17
10046.558,1.3129609E-16,3.3627797E-18,2.3028225E-17
10053.504,1.1580177E-16,3.0182195E-18,2.5127482E-17
10060.449,1.1149788E-16,2.8772954E-18,2.4117531E-17
10067.3955,1.2025998E-16,2.9291229E-18,2.3057314E-17
10074.342,1.2574473E-16,2.938507E-18,2.2652864E-17
10081.288,1.2084518E-16,3.5083993E-18,2.1228259E-17
10088.234,1.02606024E-16,3.3052928E-18,2.1042181E-17
10095.181,1.2477825E-16,3.0281016E-18,2.389789E-17
10102.127,1.1841705E-16,2.9269972E-18,2.3589818E-17
10109.073,1.1372664E-16,3.1399145E-18,2.2533232E-17
10116.02,1.0534196E-16,2.8639162E-18,2.3101459E-17
10122.966,1.1089203E-16,2.9234627E-18,2.1645687E-17
10129.912,9.5062455E-17,2.7052193E-18,2.0800899E-17
10136.858,1.02713505E-16,2.6754388E-18,2.0400858E-17
10143.805,1.06686665E-16,2.8759846E-18,2.2608089E-17
10150.751,6.366573E-17,3.60728E-18,2.5718054E-17
10157.697,1.0539867E-16,2.8124437E-18,2.499287E-17
10164.644,1.1968348E-16,2.8458485E-18,2.3809658E-17
10171.59,1.0447725E-16,2.8105622E-18,2.3533738E-17
