WAVE,FLUX,ERR,SKYBACK
3664.2544,2.6210976E-17,7.577407E-18,1.2052575E-17
3669.7786,4.5402336E-17,7.72777E-18,-3.5623542E-18
3675.3027,4.5529E-17,7.58742E-18,2.75227E-20
3680.827,4.468131E-17,7.45444E-18,-3.4718185E-18
3686.351,5.2822103E-17,7.666681E-18,1.2659578E-17
3691.8752,3.8102814E-17,7.410813E-18,2.2690436E-17
3697.3994,5.3135078E-17,7.374217E-18,5.3674158E-18
3702.9236,4.1274473E-17,7.226368E-18,2.0361274E-17
3708.4478,3.7867127E-17,6.9377338E-18,7.851439E-18
3713.972,3.2548647E-17,6.800698E-18,1.2310974E-17
3719.496,4.037961E-17,6.942609E-18,2.396326E-17
3725.0203,5.2402074E-17,7.032513E-18,2.2476213E-17
3730.5444,4.9512368E-17,6.813775E-18,1.1858231E-17
3736.0686,5.3604655E-17,6.945874E-18,2.6477635E-17
3741.5928,5.2808315E-17,6.735319E-18,1.4668991E-17
3747.117,5.857377E-17,6.627409E-18,6.558835E-18
3752.641,4.304998E-17,6.2989485E-18,6.2819793E-18
3758.1653,5.8186935E-17,6.5424974E-18,1.2314207E-17
3763.6895,7.6505366E-17,6.646541E-18,4.056839E-18
3769.2136,6.701015E-17,6.402015E-18,1.1813966E-18
3774.7378,6.793088E-17,6.3818283E-18,4.637609E-18
3780.262,4.7996725E-17,6.0963616E-18,1.2236842E-17
3785.7861,5.692297E-17,6.1590797E-18,1.0982798E-17
3791.3103,6.172113E-17,6.163383E-18,1.1466621E-17
3796.8345,7.13654E-17,6.1303815E-18,8.06378E-19
3802.3586,6.111281E-17,6.058081E-18,1.5654934E-17
3807.8828,6.88027E-17,6.061699E-18,1.18113525E-17
3813.407,6.645592E-17,6.0318254E-18,1.5233436E-17
3818.9312,6.199807E-17,5.9033515E-18,1.4330426E-17
3824.4553,5.440875E-17,5.7780005E-18,1.9096618E-17
3829.9795,5.6471515E-17,5.83951E-18,2.6481671E-17
3835.5037,6.2605006E-17,5.855603E-18,2.5655172E-17
3841.0278,6.993568E-17,5.7537443E-18,1.000725E-17
3846.552,8.145504E-17,5.880617E-18,1.18463315E-17
3852.0762,9.459513E-17,5.9580045E-18,8.756214E-18
3857.6003,7.509898E-17,5.6430716E-18,6.4603108E-18
3863.1245,8.25116E-17,5.7072567E-18,7.950274E-18
3868.6487,9.354274E-17,5.7728985E-18,4.508254E-18
3874.173,8.6435775E-17,5.7123633E-18,1.2584393E-17
3879.6973,8.362363E-17,5.5951175E-18,8.5559245E-18
3885.2214,9.6058764E-17,5.6144334E-18,-1.3210758E-18
3890.7456,1.02303236E-16,5.677839E-18,1.6305041E-18
3896.2698,1.05870595E-16,5.776133E-18,1.1580899E-17
3901.794,9.985988E-17,5.7617328E-18,2.3762275E-17
3907.318,1.1113338E-16,5.7965083E-18,1.6005563E-17
3912.8423,9.845598E-17,5.622959E-18,1.7315115E-17
3918.3665,1.1369844E-16,5.7141488E-18,1.0909045E-17
3923.8906,1.09990365E-16,5.6174923E-18,1.0436305E-17
3929.4148,9.956549E-17,5.4813636E-18,1.16068974E-17
3934.939,9.838093E-17,5.3826566E-18,8.929363E-18
3940.4631,1.1230543E-16,5.536765E-18,8.7203465E-18
3945.9873,1.1748272E-16,5.5633364E-18,9.353268E-18
3951.5115,1.08470636E-16,5.5163E-18,1.959195E-17
3957.0356,1.10616104E-16,5.431781E-18,8.961274E-18
3962.5598,1.1942948E-16,5.4590934E-18,6.1830725E-18
3968.084,1.1819373E-16,5.350683E-18,-1.2459939E-18
3973.6082,1.0287849E-16,5.2554238E-18,1.1115687E-17
3979.1323,1.0001339E-16,5.2873567E-18,2.119388E-17
3984.6565,1.0630499E-16,5.332775E-18,2.0484936E-17
3990.1807,1.122258E-16,5.350882E-18,1.7941056E-17
3995.7048,1.1031585E-16,5.3362654E-18,2.2240198E-17
4001.229,1.1433956E-16,5.326736E-18,1.8625207E-17
4006.7532,1.1213376E-16,5.303626E-18,2.2634456E-17
4012.2773,1.1884384E-16,5.314302E-18,1.6804242E-17
4017.8015,1.212143E-16,5.3379685E-18,2.0778602E-17
4023.3257,1.1270942E-16,5.2708437E-18,2.6624016E-17
4028.8499,1.1401766E-16,5.154281E-18,1.3799983E-17
4034.374,1.1729728E-16,5.196652E-18,1.7730241E-17
4039.8982,1.2036251E-16,5.2793053E-18,2.5932011E-17
4045.4224,1.2667718E-16,5.2797024E-18,2.1149523E-17
4050.9465,1.2883635E-16,5.3093597E-18,2.4863206E-17
4056.4707,1.1520224E-16,5.1812443E-18,2.9104896E-17
4061.9949,1.2516444E-16,5.235488E-18,2.6564752E-17
4067.519,1.2162709E-16,5.2215888E-18,3.124312E-17
4073.0432,1.175939E-16,5.1487224E-18,3.0091762E-17
4078.5674,1.1369309E-16,5.0712913E-18,2.8602076E-17
4084.0916,1.2011205E-16,5.1035017E-18,2.5984102E-17
4089.6157,1.0643504E-16,4.9304754E-18,2.5300583E-17
4095.14,9.658084E-17,4.7695288E-18,2.1955202E-17
4100.664,9.945179E-17,4.7502232E-18,1.814937E-17
4106.1885,9.661668E-17,4.6862296E-18,1.588381E-17
4111.7124,8.465486E-17,4.593923E-18,2.3507418E-17
4117.237,7.9175505E-17,4.435152E-18,1.4644602E-17
4122.7607,7.832601E-17,4.4104414E-18,1.589421E-17
4128.285,6.310344E-17,4.283209E-18,2.4179055E-17
4133.809,5.99408E-17,4.2510685E-18,2.6779623E-17
4139.3335,5.628505E-17,4.1543955E-18,2.2760293E-17
4144.8574,5.831997E-17,4.1465265E-18,2.05595E-17
4150.382,5.4028E-17,4.0283427E-18,1.6418311E-17
4155.906,5.0579203E-17,4.0700525E-18,2.6562558E-17
4161.43,5.676285E-17,4.137965E-18,2.7278979E-17
4166.954,4.685765E-17,4.0185447E-18,3.0413846E-17
4172.4785,4.9633007E-17,4.0393376E-18,2.9458175E-17
4178.0024,4.716789E-17,3.942235E-18,2.4533069E-17
4183.527,5.0907133E-17,3.9392727E-18,1.9797597E-17
4189.051,5.357991E-17,3.970425E-18,2.0403447E-17
4194.575,4.8032727E-17,3.9195163E-18,2.407612E-17
4200.099,5.299485E-17,3.9155653E-18,1.7681022E-17
4205.6235,5.2341766E-17,3.934705E-18,2.276904E-17
4211.1475,5.896908E-17,3.932326E-18,1.4114176E-17
4216.672,6.0440135E-17,3.93448E-18,1.367912E-17
4222.196,5.4130918E-17,3.8697275E-18,1.694042E-17
4227.72,5.888093E-17,3.9256586E-18,1.9041082E-17
4233.2446,6.532928E-17,4.0049802E-18,1.9266519E-17
