WAVE,FLUX,ERR,SKYBACK
3652.0608,1.7013825E-16,1.03807966E-17,2.955864E-17
3657.5847,1.5913322E-16,1.0155121E-17,3.529697E-17
3663.1084,1.605079E-16,9.9314795E-18,2.6953343E-17
3668.6323,1.4862894E-16,9.793157E-18,4.1809344E-17
3674.156,1.8520738E-16,9.852497E-18,1.676335E-17
3679.68,1.4290281E-16,9.42164E-18,3.8677725E-17
3685.2036,1.5720525E-16,9.507397E-18,4.1079913E-17
3690.7273,1.3635502E-16,9.151431E-18,4.5346958E-17
3696.2512,1.6668584E-16,9.491452E-18,5.3688608E-17
3701.775,1.7015692E-16,9.3064966E-18,4.3339586E-17
3707.2988,1.6830452E-16,9.0790864E-18,3.2447887E-17
3712.8225,1.6220243E-16,8.923288E-18,3.7622514E-17
3718.3462,1.7007495E-16,8.897272E-18,3.406918E-17
3723.87,1.7682737E-16,8.901094E-18,3.8367737E-17
3729.3938,1.7496256E-16,8.87715E-18,4.8174728E-17
3734.9177,1.7225836E-16,8.767466E-18,5.1326812E-17
3740.4414,1.760727E-16,8.650941E-18,4.4687725E-17
3745.9653,1.7208642E-16,8.460827E-18,3.668476E-17
3751.489,1.845957E-16,8.491072E-18,3.5534683E-17
3757.0127,1.7792181E-16,8.253569E-18,2.6282741E-17
3762.5366,1.7513207E-16,8.251542E-18,3.9571546E-17
3768.0603,1.6605612E-16,7.998921E-18,3.207919E-17
3773.5842,1.6532749E-16,7.913427E-18,3.197144E-17
3779.108,1.5810504E-16,7.762036E-18,3.3094074E-17
3784.6316,1.6242303E-16,7.648848E-18,2.3099217E-17
3790.1555,1.5406128E-16,7.610503E-18,3.764984E-17
3795.6792,1.5644115E-16,7.4868465E-18,2.83365E-17
3801.2031,1.568113E-16,7.430451E-18,2.9873558E-17
3806.7268,1.5480426E-16,7.315698E-18,2.7912846E-17
3812.2507,1.5717186E-16,7.3324474E-18,3.382324E-17
3817.7744,1.5274778E-16,7.298382E-18,4.1873074E-17
3823.298,1.5757808E-16,7.317708E-18,4.497556E-17
3828.822,1.5734828E-16,7.274798E-18,4.8549864E-17
3834.3457,1.6403358E-16,7.255211E-18,4.5745153E-17
3839.8696,1.6220584E-16,7.157824E-18,4.2442498E-17
3845.3933,1.5969467E-16,7.012816E-18,3.4224654E-17
3850.917,1.3662945E-16,6.7059412E-18,3.685233E-17
3856.441,1.3455187E-16,6.5805944E-18,3.1787244E-17
3861.9646,1.2071475E-16,6.4085566E-18,3.3129996E-17
3867.4885,1.3592307E-16,6.4126354E-18,2.0339938E-17
3873.0122,1.2069376E-16,6.232959E-18,2.499062E-17
3878.536,9.7378395E-17,5.9525526E-18,3.0777074E-17
3884.0598,9.280872E-17,5.9026058E-18,3.6066583E-17
3889.5835,1.0330432E-16,5.837684E-18,2.0658002E-17
3895.1074,1.02602365E-16,5.845928E-18,2.888592E-17
3900.631,8.887669E-17,5.666664E-18,2.963177E-17
3906.155,9.736485E-17,5.7797128E-18,3.5202643E-17
3911.6787,9.54604E-17,5.733184E-18,3.6560847E-17
3917.2024,9.583347E-17,5.626105E-18,2.925068E-17
3922.7263,9.538785E-17,5.5268987E-18,2.2970763E-17
3928.25,9.6056064E-17,5.532818E-18,2.6513127E-17
3933.774,1.03944905E-16,5.5751556E-18,2.502653E-17
3939.2976,1.1000873E-16,5.687871E-18,3.2993862E-17
3944.8213,1.2704934E-16,5.756449E-18,2.1809262E-17
3950.3452,1.1541527E-16,5.66714E-18,3.0926936E-17
3955.869,1.150236E-16,5.5541878E-18,2.2001295E-17
3961.3928,1.05980465E-16,5.409638E-18,2.1504845E-17
3966.9165,1.0206338E-16,5.3443875E-18,2.3779428E-17
3972.4404,1.0674624E-16,5.326174E-18,1.9089499E-17
