WAVE,FLUX,ERR,SKYBACK
3653.6511,5.065166E-16,1.7448192E-17,-5.538369E-17
3659.174,4.772126E-16,1.6846786E-17,-5.2241756E-17
3664.6973,4.621731E-16,1.6550852E-17,-2.8137882E-17
3670.2202,4.5973947E-16,1.6064001E-17,-4.0249503E-17
3675.7434,4.890026E-16,1.5868464E-17,-5.791358E-17
3681.2664,4.3891566E-16,1.5148749E-17,-4.3063423E-17
3686.7893,4.900355E-16,1.5483036E-17,-3.3669216E-17
3692.3125,4.5543077E-16,1.4873333E-17,-2.8966813E-17
3697.8354,4.5316395E-16,1.4490022E-17,-3.614481E-17
3703.3586,4.337545E-16,1.4064482E-17,-3.2130567E-17
3708.8816,4.20734E-16,1.3798891E-17,-1.4389543E-17
3714.4045,4.3822502E-16,1.3709387E-17,-1.926581E-17
3719.9277,4.3229647E-16,1.32275875E-17,-3.8374507E-17
3725.4507,3.9082915E-16,1.2667903E-17,-2.54329E-17
3730.9739,4.1314032E-16,1.2704171E-17,-2.125421E-17
3736.4968,4.2484502E-16,1.2577357E-17,-2.5556693E-17
3742.0198,3.9953287E-16,1.2141692E-17,-2.2108013E-17
3747.543,3.8364168E-16,1.1798938E-17,-1.6758424E-17
3753.066,4.0860533E-16,1.1749136E-17,-3.3009615E-17
3758.589,3.980455E-16,1.1558603E-17,-1.8806353E-17
3764.112,3.885485E-16,1.1283457E-17,-1.9299518E-17
3769.635,4.0529417E-16,1.11898404E-17,-2.5847649E-17
3775.1582,4.119138E-16,1.1073177E-17,-2.8008276E-17
3780.6812,3.9029592E-16,1.0756794E-17,-2.1131538E-17
3786.2043,4.1527744E-16,1.0780608E-17,-2.824307E-17
3791.7273,3.9031347E-16,1.0375675E-17,-2.7320105E-17
3797.2502,3.9329487E-16,1.0362279E-17,-1.435325E-17
3802.7734,3.7495705E-16,1.0014769E-17,-1.8543766E-17
3808.2964,3.8714033E-16,9.997974E-18,-1.7452851E-17
3813.8196,3.7054282E-16,9.6959506E-18,-1.840526E-17
3819.3425,3.6360398E-16,9.50451E-18,-1.816248E-17
3824.8655,3.5924057E-16,9.364821E-18,-1.4021765E-17
3830.3887,3.6094837E-16,9.30533E-18,-6.961672E-18
3835.9116,3.6663024E-16,9.213042E-18,-1.1101661E-17
3841.4348,3.395304E-16,8.85058E-18,-1.0032865E-17
3846.9578,3.5551754E-16,8.890466E-18,-9.673845E-18
3852.4807,3.3660692E-16,8.545456E-18,-1.7065318E-17
3858.004,3.1891706E-16,8.338592E-18,-9.694982E-18
3863.5269,2.9405935E-16,7.9871766E-18,-1.1539239E-17
3869.05,3.0643262E-16,7.9826734E-18,-1.4723142E-17
3874.573,3.0092365E-16,7.7755805E-18,-2.2624364E-17
3880.096,2.8722067E-16,7.601338E-18,-1.6667628E-17
3885.6191,2.4068632E-16,7.0642176E-18,-1.6517053E-17
3891.142,2.3584314E-16,6.959401E-18,-1.0979032E-17
3896.6653,2.2767634E-16,6.7956333E-18,-1.1633334E-17
3902.1882,2.362053E-16,6.767904E-18,-1.7589552E-17
3907.7112,2.0259713E-16,6.428887E-18,-8.282096E-18
3913.2344,2.0325416E-16,6.371224E-18,-7.9559505E-18
3918.7573,1.9398684E-16,6.1994486E-18,-9.158532E-18
3924.2805,1.9699481E-16,6.1050756E-18,-1.5564432E-17
3929.8035,1.8893215E-16,5.979053E-18,-1.2947967E-17
3935.3264,1.6884822E-16,5.721206E-18,-1.0115808E-17
3940.8496,1.741781E-16,5.744231E-18,-8.311011E-18
3946.3726,1.5770712E-16,5.5362177E-18,-4.7029246E-18
3951.8958,1.6340192E-16,5.532562E-18,-6.2653824E-18
3957.4187,1.6393653E-16,5.465642E-18,-7.831688E-18
3962.9417,1.7821572E-16,5.5942734E-18,-4.5228482E-18
3968.4648,1.8047439E-16,5.5187836E-18,-9.85181E-18
3973.9878,1.8192583E-16,5.5310135E-18,-4.2706446E-18
3979.511,1.9261542E-16,5.5763665E-18,-5.406831E-18
3985.034,1.9644632E-16,5.572457E-18,-4.736873E-18
3990.557,2.0155101E-16,5.5460032E-18,-8.491117E-18
3996.08,1.925069E-16,5.4141204E-18,-7.869007E-18
4001.603,1.9983017E-16,5.4455645E-18,-7.812288E-18
4007.1262,1.9067175E-16,5.381809E-18,3.832333E-19
4012.6492,1.7507485E-16,5.167025E-18,-2.5141385E-18
4018.172,1.8379847E-16,5.2114765E-18,-2.8027603E-18
4023.6953,1.8705903E-16,5.1837424E-18,-4.7843043E-18
4029.2183,1.7609968E-16,5.046115E-18,-4.216483E-18
4034.7415,1.6687014E-16,4.9581727E-18,3.7701507E-19
4040.2644,1.6776605E-16,4.908119E-18,-2.8669207E-18
4045.7874,1.6835416E-16,4.8661224E-18,-4.0018105E-18
4051.3105,1.6118431E-16,4.7981836E-18,4.5565125E-19
4056.8335,1.6454017E-16,4.7874914E-18,-1.5511672E-18
4062.3567,1.7973487E-16,4.870038E-18,-5.2175327E-18
4067.8796,1.8476004E-16,4.8998168E-18,-3.9133935E-18
4073.4026,1.8421067E-16,4.8717894E-18,-1.8610892E-18
4078.9258,1.8787834E-16,4.9094278E-18,5.2118076E-19
4084.4487,1.9299365E-16,4.9220716E-18,2.0708228E-19
4089.9717,2.1991245E-16,5.088656E-18,-5.1890736E-18
4095.4949,2.171384E-16,5.0642425E-18,-2.0712059E-18
4101.018,2.1202328E-16,4.9958074E-18,-1.8902076E-18
4106.541,2.1564734E-16,4.9732605E-18,-5.9604675E-18
4112.064,2.2145188E-16,5.010078E-18,-4.4417854E-18
4117.587,2.254706E-16,5.0160873E-18,-4.5151037E-18
4123.11,2.3379872E-16,5.0880024E-18,-8.029318E-19
4128.6333,2.4089903E-16,5.124121E-18,-5.918976E-19
4134.1562,2.3578975E-16,5.059208E-18,-1.0998073E-18
4139.679,2.46743E-16,5.1319083E-18,9.97093E-20
4145.202,2.4589724E-16,5.0923766E-18,-1.9909354E-18
4150.725,2.5195805E-16,5.114726E-18,-2.7656567E-18
4156.2485,2.5749947E-16,5.146951E-18,-1.9929254E-18
4161.7715,2.727978E-16,5.2631455E-18,9.535078E-19
4167.2944,2.7283786E-16,5.242703E-18,9.823811E-19
4172.8174,2.7260805E-16,5.238121E-18,3.2289684E-18
4178.3403,2.8230753E-16,5.2917316E-18,3.264218E-18
4183.864,2.823494E-16,5.2604448E-18,1.2249379E-18
4189.3867,2.7844922E-16,5.1823296E-18,-3.668472E-18
4194.9097,2.8086625E-16,5.2055568E-18,-9.864605E-20
4200.4326,2.7760528E-16,5.1662074E-18,1.2256467E-19
4205.9556,2.7628897E-16,5.133299E-18,-8.1490003E-19
4211.479,2.677088E-16,5.0506457E-18,-1.2996523E-18
4217.002,2.6518362E-16,5.0371403E-18,1.7101849E-18
4222.525,2.5450608E-16,4.921127E-18,-1.2938297E-18
4228.048,2.5067607E-16,4.903091E-18,2.3573016E-18
4233.571,2.5327278E-16,4.881169E-18,-1.2198364E-18
4239.094,2.3917595E-16,4.7586423E-18,-1.5399942E-18
4244.617,2.4052E-16,4.7693576E-18,2.8958278E-19
4250.14,2.304676E-16,4.6931755E-18,2.2665229E-18
4255.663,2.4589245E-16,4.764471E-18,-2.5568295E-18
4261.186,2.4681675E-16,4.774178E-18,-5.0921776E-19
4266.7095,2.3039725E-16,4.6465076E-18,1.6755184E-18
4272.2324,2.3688812E-16,4.675134E-18,-2.6365583E-19
4277.7554,2.4592696E-16,4.697235E-18,-5.4644453E-18
4283.2783,2.3965445E-16,4.6725667E-18,-4.7504145E-19
4288.8013,2.4276787E-16,4.696308E-18,1.5946129E-18
4294.3247,2.4761293E-16,4.7041803E-18,-1.1754354E-18
4299.8477,2.5647215E-16,4.7457626E-18,-2.1476053E-18
4305.3706,2.5527858E-16,4.7777994E-18,5.0621075E-18
4310.8936,2.5831694E-16,4.754867E-18,-3.7553852E-19
4316.4165,2.570269E-16,4.7435607E-18,1.2179878E-18
4321.94,2.653071E-16,4.793614E-18,1.5417991E-18
4327.463,2.532757E-16,4.6903924E-18,4.1956594E-19
4332.986,2.520284E-16,4.6558676E-18,-1.5022388E-18
4338.509,2.5824216E-16,4.706571E-18,1.0666784E-18
4344.0317,2.5351701E-16,4.6676015E-18,2.0485118E-18
4349.555,2.4938625E-16,4.6200333E-18,6.10582E-19
4355.078,2.4527218E-16,4.573864E-18,1.2974425E-18
4360.601,2.4462428E-16,4.5635E-18,8.2214805E-19
4366.124,2.366672E-16,4.5089714E-18,3.2667215E-18
4371.647,2.3707865E-16,4.4741806E-18,-9.678251E-19
4377.1704,2.2059826E-16,4.345992E-18,2.465999E-19
4382.6934,2.2697307E-16,4.3854746E-18,4.8917786E-19
4388.2163,2.2028869E-16,4.3386235E-18,2.412584E-18
4393.7393,2.1473181E-16,4.276276E-18,9.294484E-19
4399.262,2.0180309E-16,4.16341E-18,5.7247857E-19
4404.7856,2.1089028E-16,4.2169775E-18,-3.166301E-19
4410.3086,2.0822944E-16,4.1833853E-18,-9.256015E-19
4415.8315,2.0789393E-16,4.1934926E-18,2.8098597E-18
4421.3545,2.0199727E-16,4.152767E-18,5.0991727E-18
4426.8774,2.0487296E-16,4.1464686E-18,2.1269388E-18
4432.401,2.0021183E-16,4.088147E-18,6.434824E-19
4437.924,1.889398E-16,3.998286E-18,1.8196964E-18
4443.447,1.9234121E-16,4.0134336E-18,1.2434686E-18
4448.9697,1.9003242E-16,3.994021E-18,2.5815887E-18
4454.4927,1.8148691E-16,3.919672E-18,3.31042E-18
4460.016,1.7473911E-16,3.838161E-18,3.697936E-19
4465.539,1.6834086E-16,3.7906734E-18,2.5234828E-18
4471.062,1.6881367E-16,3.7882337E-18,2.5772872E-18
4476.585,1.5902E-16,3.7139074E-18,5.0675496E-18
4482.108,1.5845118E-16,3.68466E-18,2.9605638E-18
4487.6313,1.5300257E-16,3.597877E-18,-1.5951506E-18
4493.1543,1.4627618E-16,3.5621896E-18,2.9508911E-18
4498.6772,1.5289769E-16,3.611013E-18,2.6954288E-18
4504.2,1.4944774E-16,3.549777E-18,-2.482406E-19
4509.723,1.4667557E-16,3.5379412E-18,3.002858E-18
4515.2466,1.4169077E-16,3.4911993E-18,3.0444523E-18
4520.7695,1.4254814E-16,3.485965E-18,2.2873825E-18
4526.2925,1.377729E-16,3.4193492E-18,1.64108E-19
4531.8154,1.277715E-16,3.3265643E-18,1.3017906E-18
4537.3384,1.2775944E-16,3.3433205E-18,3.983E-18
4542.862,1.2350128E-16,3.2873806E-18,3.1362468E-18
4548.385,1.2725102E-16,3.3288372E-18,4.5768003E-18
4553.9077,1.2313192E-16,3.2670243E-18,2.485986E-18
4559.4307,1.1899736E-16,3.2320895E-18,3.8170688E-18
4564.9536,1.3114704E-16,3.3062446E-18,-5.583245E-19
4570.477,1.2643945E-16,3.2786724E-18,2.4086056E-18
4576.0,1.292183E-16,3.2737424E-18,-8.5417534E-19
4581.523,1.3124815E-16,3.321201E-18,4.3279467E-18
4587.046,1.3563844E-16,3.322989E-18,1.6439032E-19
4592.569,1.2977573E-16,3.2888805E-18,3.4337713E-18
4598.0923,1.3513844E-16,3.3313688E-18,3.620774E-18
4603.615,1.4090883E-16,3.3550861E-18,1.1166331E-18
4609.138,1.348616E-16,3.3129355E-18,3.1152825E-18
4614.661,1.4175655E-16,3.3499766E-18,8.990469E-19
4620.184,1.4356929E-16,3.3713611E-18,2.3750605E-18
4625.7075,1.4586823E-16,3.3912869E-18,3.2639798E-18
4631.2305,1.5430488E-16,3.4482997E-18,1.7472766E-18
4636.7534,1.5245947E-16,3.4166246E-18,3.7067636E-19
4642.2764,1.523549E-16,3.4148683E-18,1.3476595E-18
4647.7993,1.5827713E-16,3.466921E-18,2.4687272E-18
4653.3228,1.5209812E-16,3.4124137E-18,2.4072976E-18
4658.8457,1.5184879E-16,3.3872351E-18,1.0742934E-19
4664.3687,1.4971997E-16,3.3775896E-18,1.8759989E-18
4669.8916,1.4648311E-16,3.35368E-18,2.7475867E-18
4675.4146,1.3957374E-16,3.2648951E-18,-3.3242895E-19
4680.938,1.3690826E-16,3.25795E-18,2.234268E-18
4686.461,1.346934E-16,3.2175847E-18,-6.2650685E-20
4691.984,1.219902E-16,3.1374704E-18,5.5671555E-18
4697.507,1.2301809E-16,3.1294135E-18,3.4128473E-18
4703.03,1.2892871E-16,3.1547417E-18,6.7037005E-20
4708.553,1.246E-16,3.1397907E-18,3.7433194E-18
4714.076,1.2604868E-16,3.1442502E-18,2.738111E-18
4719.599,1.3514411E-16,3.1990908E-18,-2.1286433E-19
4725.122,1.352318E-16,3.2301515E-18,4.7658487E-18
4730.645,1.3954414E-16,3.2288166E-18,-3.2428398E-19
4736.1685,1.3868934E-16,3.2388478E-18,2.3252823E-18
4741.6914,1.4734629E-16,3.2997968E-18,1.3655622E-18
4747.2144,1.4815737E-16,3.3200968E-18,3.7639977E-18
4752.7373,1.4873128E-16,3.31056E-18,2.0506025E-18
4758.2603,1.5025744E-16,3.3104051E-18,7.3266856E-19
4763.7837,1.5427465E-16,3.3518556E-18,2.1371665E-18
4769.3066,1.5118236E-16,3.333053E-18,3.0975273E-18
4774.8296,1.501555E-16,3.3032087E-18,6.783532E-19
4780.3525,1.5931091E-16,3.3680944E-18,-4.931138E-19
4785.8755,1.5826719E-16,3.3813266E-18,2.018192E-18
4791.399,1.5316788E-16,3.3324081E-18,1.0968903E-18
4796.922,1.5778391E-16,3.3750917E-18,1.9284246E-18
4802.445,1.5114024E-16,3.309938E-18,3.9823378E-19
4807.968,1.4820438E-16,3.3009629E-18,3.2530474E-18
4813.4907,1.5614303E-16,3.3769851E-18,4.728278E-18
4819.014,1.4494315E-16,3.2890478E-18,5.6391797E-18
4824.537,1.5348115E-16,3.3195356E-18,2.7200446E-19
4830.06,1.48386E-16,3.305428E-18,4.4537025E-18
4835.583,1.492983E-16,3.3152233E-18,4.6645013E-18
4841.106,1.4856507E-16,3.2906111E-18,2.588577E-18
4846.6294,1.4700789E-16,3.2767627E-18,2.585865E-18
4852.1523,1.4781365E-16,3.3016802E-18,5.0312078E-18
4857.6753,1.5592E-16,3.3594983E-18,3.9898536E-18
4863.198,1.5727619E-16,3.368422E-18,4.2216114E-18
4868.721,1.5432874E-16,3.3184309E-18,4.2671011E-19
4874.2446,1.5452397E-16,3.3345417E-18,2.6737482E-18
4879.7676,1.5447688E-16,3.3253523E-18,1.3450785E-18
4885.2905,1.505812E-16,3.2986927E-18,2.5690871E-18
4890.8135,1.5036226E-16,3.292887E-18,2.3748105E-18
4896.3364,1.5300287E-16,3.2995982E-18,8.654544E-20
4901.86,1.4658936E-16,3.27472E-18,3.976783E-18
4907.383,1.444324E-16,3.258129E-18,4.465992E-18
4912.906,1.5218535E-16,3.298707E-18,1.0632751E-18
4918.4287,1.464964E-16,3.261573E-18,2.5325969E-18
4923.9517,1.4234103E-16,3.2168614E-18,1.5940365E-18
4929.475,1.4164741E-16,3.215547E-18,1.8223016E-18
4934.998,1.3208906E-16,3.1413447E-18,2.9837199E-18
4940.521,1.3037395E-16,3.130923E-18,3.5684377E-18
4946.044,1.3054623E-16,3.1234325E-18,2.7832303E-18
4951.567,1.272416E-16,3.0935533E-18,2.5123562E-18
4957.0903,1.3036411E-16,3.1250805E-18,3.187098E-18
4962.6133,1.2660805E-16,3.1002839E-18,4.3017673E-18
4968.136,1.2478481E-16,3.0750222E-18,3.3102798E-18
4973.659,1.3131437E-16,3.1044475E-18,-2.8035374E-19
4979.182,1.2248876E-16,3.0567097E-18,3.743622E-18
4984.7056,1.2420106E-16,3.0701915E-18,3.677608E-18
4990.2285,1.2992664E-16,3.1048963E-18,1.4975858E-18
4995.7515,1.3082326E-16,3.1132454E-18,1.6649691E-18
5001.2744,1.2428348E-16,3.07711E-18,4.7388023E-18
5006.7974,1.2282649E-16,3.0396782E-18,1.5838607E-18
5012.321,1.2348789E-16,3.0527649E-18,2.8941614E-18
5017.8438,1.2283792E-16,3.047644E-18,3.0896373E-18
5023.3667,1.2304343E-16,3.0391414E-18,1.9629199E-18
5028.8896,1.3094622E-16,3.1040108E-18,1.4549997E-18
5034.4126,1.1853365E-16,3.0117125E-18,4.3716074E-18
5039.936,1.1992957E-16,3.0080173E-18,1.8986361E-18
5045.459,1.1631887E-16,2.9626313E-18,5.371951E-19
5050.982,1.2121952E-16,3.0105578E-18,1.2242382E-18
5056.505,1.2576425E-16,3.0555084E-18,1.8708352E-18
5062.028,1.1814842E-16,2.9882888E-18,2.1921754E-18
5067.5513,1.1850731E-16,2.9804722E-18,9.889437E-19
5073.074,1.2278612E-16,3.0240317E-18,1.7839722E-18
5078.597,1.2163234E-16,3.025803E-18,3.576539E-18
5084.12,1.2223841E-16,3.0254553E-18,2.84727E-18
5089.643,1.2190149E-16,3.0016288E-18,3.7891402E-19
5095.1665,1.1682285E-16,2.9593604E-18,1.3671512E-18
5100.6895,1.2310499E-16,3.0244269E-18,2.4823159E-18
5106.2124,1.179775E-16,2.9709271E-18,2.1257458E-18
5111.7354,1.1442503E-16,2.9272015E-18,8.4336466E-19
5117.2583,1.10427566E-16,2.8990015E-18,1.7663038E-18
5122.7817,1.110597E-16,2.9195009E-18,4.2438034E-18
5128.3047,1.0724113E-16,2.865735E-18,1.8135242E-18
5133.8276,1.0422341E-16,2.8480387E-18,3.6690303E-18
5139.3506,1.0405034E-16,2.8532913E-18,4.805062E-18
5144.8735,1.03955434E-16,2.8358057E-18,2.9290674E-18
5150.397,1.03779635E-16,2.817023E-18,9.345641E-19
5155.92,9.975065E-17,2.7763966E-18,1.0037521E-18
5161.443,1.0240293E-16,2.797953E-18,7.551449E-19
5166.966,9.760085E-17,2.7292779E-18,-1.6136512E-18
5172.489,9.3739396E-17,2.716589E-18,1.7521898E-18
5178.012,9.8866195E-17,2.7626344E-18,1.5324109E-18
5183.535,9.6739514E-17,2.7412284E-18,1.6978795E-18
5189.058,9.3449783E-17,2.6997403E-18,6.0600017E-19
5194.581,8.968983E-17,2.673446E-18,2.3174795E-18
5200.104,9.369154E-17,2.7159667E-18,3.2607236E-18
5205.6274,8.766373E-17,2.6611858E-18,4.074648E-18
5211.1504,8.820223E-17,2.6404869E-18,1.217041E-18
5216.6733,8.875212E-17,2.6399205E-18,1.152836E-18
5222.1963,8.9060737E-17,2.6438421E-18,9.586139E-19
5227.719,8.8133176E-17,2.6467658E-18,3.1932385E-18
5233.2427,8.887216E-17,2.6537346E-18,3.1758034E-18
5238.7656,9.152049E-17,2.6640692E-18,1.6185139E-18
5244.2886,9.2381E-17,2.6896605E-18,4.0289573E-18
5249.8115,9.0018466E-17,2.6631932E-18,4.0031306E-18
5255.3345,9.3172526E-17,2.6711325E-18,1.1218075E-18
5260.858,9.334609E-17,2.6532263E-18,-8.614049E-19
5266.381,8.861173E-17,2.5993311E-18,-1.7324996E-18
5271.904,8.806607E-17,2.606246E-18,-1.1599573E-19
5277.427,8.9146624E-17,2.6233562E-18,1.1360728E-18
5282.9497,9.006004E-17,2.6204972E-18,8.4075346E-19
