WAVE,FLUX,ERR,SKYBACK
3668.7266,7.1576276E-17,9.030123E-18,1.7475097E-17
3674.2515,6.696208E-17,8.887327E-18,2.2149448E-17
3679.7766,6.972051E-17,8.658871E-18,1.5208205E-17
3685.3018,5.2848894E-17,8.402586E-18,2.1076112E-17
3690.8267,7.353453E-17,8.648563E-18,2.7290159E-17
3696.3518,6.264184E-17,8.4063735E-18,3.0184922E-17
3701.8767,6.166034E-17,8.375547E-18,3.7955576E-17
3707.4019,6.276649E-17,8.171803E-18,3.1897573E-17
3712.9268,6.5404403E-17,7.92304E-18,2.0563636E-17
3718.452,7.4666775E-17,7.969223E-18,2.3635588E-17
3723.9768,6.270798E-17,7.863392E-18,3.550373E-17
3729.502,6.245568E-17,8.096346E-18,6.021357E-17
3735.0269,8.721341E-17,8.084232E-18,4.4518976E-17
3740.552,6.975173E-17,7.801699E-18,4.8051352E-17
3746.0771,7.363209E-17,7.6798476E-18,4.2746305E-17
3751.602,6.3091864E-17,7.305645E-18,3.326374E-17
3757.1272,7.552593E-17,7.2729185E-18,2.5910619E-17
3762.652,7.9868245E-17,7.288359E-18,3.0688655E-17
3768.1772,7.9396163E-17,7.090876E-18,2.2230813E-17
3773.7021,7.102633E-17,7.001453E-18,2.966236E-17
3779.2273,8.3650605E-17,7.008583E-18,2.428631E-17
3784.7522,8.589074E-17,6.91832E-18,2.1690926E-17
3790.2773,7.2008574E-17,6.6558116E-18,2.1852358E-17
3795.8022,8.2141324E-17,6.692568E-18,2.0567624E-17
3801.3274,7.637438E-17,6.578221E-18,2.274045E-17
3806.8525,8.2959313E-17,6.6004786E-18,2.2523293E-17
3812.3774,1.0193204E-16,6.7973836E-18,2.5833732E-17
3817.9026,7.955867E-17,6.5662445E-18,3.4166798E-17
3823.4275,8.0782505E-17,6.56603E-18,3.8762938E-17
3828.9526,8.298278E-17,6.6360126E-18,4.634735E-17
3834.4775,8.1518504E-17,6.476786E-18,4.13038E-17
3840.0027,9.0868034E-17,6.4448797E-18,3.3089785E-17
3845.5276,7.776063E-17,6.2192236E-18,3.3575503E-17
3851.0527,8.835291E-17,6.225598E-18,2.6847732E-17
3856.578,9.1738744E-17,6.218486E-18,2.7162002E-17
3862.1028,8.9519676E-17,6.06278E-18,2.1600518E-17
3867.628,8.3062896E-17,5.963395E-18,2.3435246E-17
3873.1528,9.3978266E-17,5.9252544E-18,1.3020774E-17
3878.678,1.0565846E-16,5.9912766E-18,1.2113575E-17
3884.203,9.361334E-17,5.8135664E-18,1.287037E-17
3889.728,1.04266844E-16,5.974599E-18,1.8465618E-17
3895.253,1.0425276E-16,6.0136812E-18,2.4281996E-17
3900.778,8.6938324E-17,5.9364656E-18,3.9354686E-17
3906.303,1.130347E-16,6.19585E-18,3.838392E-17
3911.8281,1.0388095E-16,6.000735E-18,3.376266E-17
3917.3533,1.1358396E-16,6.1330856E-18,3.834541E-17
3922.8782,1.06578126E-16,5.9037696E-18,2.8258098E-17
3928.4033,1.2198595E-16,5.9772758E-18,2.1565408E-17
3933.9282,1.1386271E-16,5.8247048E-18,2.0983668E-17
3939.4534,1.06733067E-16,5.7193307E-18,2.173981E-17
3944.9783,1.1250591E-16,5.904043E-18,3.4105553E-17
3950.5034,1.2978923E-16,6.0102935E-18,2.9096098E-17
3956.0283,1.2021352E-16,5.863572E-18,2.699866E-17
3961.5535,1.2738261E-16,5.863991E-18,2.2142745E-17
3967.0784,1.1646302E-16,5.4929106E-18,2.0003598E-17
3972.6035,1.3597873E-16,5.643492E-18,1.7538527E-17
3978.1287,1.2394292E-16,5.535682E-18,2.2175094E-17
3983.6536,1.1555898E-16,5.487134E-18,2.890895E-17
3989.1787,1.1509375E-16,5.400015E-18,2.321299E-17
3994.7036,1.1677941E-16,5.500001E-18,3.2311485E-17
4000.2288,1.068679E-16,5.3477297E-18,3.0993422E-17
4005.7537,1.1039214E-16,5.38215E-18,3.2245896E-17
4011.2788,1.10844253E-16,5.3780272E-18,3.375789E-17
4016.8037,1.3743894E-16,5.5538147E-18,2.6404811E-17
4022.3289,1.2888654E-16,5.533875E-18,3.5394698E-17
4027.8538,1.3717466E-16,6.0485092E-18,3.3919335E-17
4033.379,1.4483919E-16,5.6118745E-18,3.4346104E-17
4038.904,1.3474026E-16,5.917503E-18,3.940121E-17
4044.429,1.2861487E-16,5.5491957E-18,4.703468E-17
4049.954,1.284519E-16,5.4796137E-18,4.2534917E-17
4055.479,1.3225054E-16,5.4837583E-18,4.2149924E-17
4061.0042,1.3553777E-16,5.5102376E-18,4.357558E-17
4066.529,1.4113558E-16,5.5312695E-18,4.1007072E-17
4072.0542,1.3581932E-16,5.507343E-18,4.5776245E-17
4077.579,1.2984091E-16,5.4233208E-18,4.5382533E-17
4083.1042,1.1663993E-16,5.2397843E-18,4.250373E-17
4088.6294,1.1440821E-16,5.180346E-18,4.0251773E-17
4094.1543,1.05351106E-16,5.040465E-18,3.7520757E-17
4099.679,1.0142021E-16,4.9447575E-18,3.5299962E-17
4105.2046,9.797295E-17,4.857111E-18,3.0932538E-17
4110.7295,1.2093085E-16,5.0920275E-18,3.1982316E-17
4116.2544,1.352551E-16,5.2332334E-18,3.3246655E-17
4121.7793,1.470553E-16,5.3713846E-18,3.6689583E-17
4127.3047,1.287976E-16,5.161363E-18,3.5244445E-17
4132.8296,1.0011488E-16,4.8475836E-18,3.5434574E-17
4138.3545,8.183402E-17,4.7262528E-18,4.3266552E-17
4143.88,8.799822E-17,4.7138976E-18,3.3761747E-17
4149.405,9.0928874E-17,4.7147314E-18,3.166682E-17
4154.9297,8.6879885E-17,4.713803E-18,3.760747E-17
4160.4546,8.516464E-17,4.764132E-18,4.5079272E-17
4165.98,7.7004295E-17,4.713142E-18,4.905141E-17
4171.505,8.359499E-17,4.7804443E-18,5.098934E-17
4177.03,7.7487256E-17,4.705708E-18,5.0635163E-17
4182.5547,8.5384415E-17,4.6824734E-18,4.107604E-17
4188.08,7.5656195E-17,4.589294E-18,4.34061E-17
4193.605,8.310759E-17,4.593848E-18,3.7270452E-17
4199.13,8.713869E-17,4.5658633E-18,3.3128206E-17
4204.6553,7.935318E-17,4.5024045E-18,3.5217023E-17
4210.18,9.6321874E-17,4.598882E-18,2.7168322E-17
4215.705,8.559721E-17,4.516032E-18,3.209355E-17
4221.23,7.8070875E-17,4.4042053E-18,3.023772E-17
4226.7554,9.4106796E-17,4.5829896E-18,3.1398797E-17
4232.2803,9.218178E-17,4.5124853E-18,2.7161888E-17
4237.805,9.916545E-17,4.5945975E-18,2.8359864E-17
4243.33,8.943741E-17,4.5511577E-18,3.4739243E-17
4248.8555,1.0086258E-16,4.674288E-18,3.5906008E-17
4254.3804,1.166537E-16,4.851188E-18,3.6911254E-17
4259.9053,1.1783439E-16,4.8444986E-18,3.583825E-17
4265.4307,1.2138758E-16,4.91703E-18,4.0604572E-17
4270.9556,1.2780772E-16,4.9475654E-18,3.7378495E-17
4276.4805,1.444211E-16,5.102356E-18,3.7013245E-17
4282.0054,1.4644141E-16,5.1069742E-18,3.701535E-17
4287.531,1.512064E-16,5.156826E-18,3.7740056E-17
4293.0557,1.6209749E-16,5.200106E-18,3.1045137E-17
4298.5806,1.6625966E-16,5.2174086E-18,2.97247E-17
4304.1055,1.601644E-16,5.209397E-18,3.6377633E-17
4309.631,1.739833E-16,5.3283133E-18,3.57979E-17
4315.156,1.7133875E-16,5.3317754E-18,3.919115E-17
4320.6807,1.6703675E-16,5.29949E-18,4.080787E-17
4326.206,1.7096072E-16,5.308763E-18,3.8354985E-17
4331.731,1.7965651E-16,5.347495E-18,3.3847E-17
4337.256,1.8113278E-16,5.3730534E-18,3.5931607E-17
4342.781,1.7183683E-16,5.279457E-18,3.5418362E-17
4348.306,1.6683839E-16,5.2275246E-18,3.5571668E-17
4353.831,1.748759E-16,5.3129426E-18,3.7454765E-17
4359.356,1.920403E-16,5.484598E-18,3.9868147E-17
4364.881,1.7727002E-16,5.3514466E-18,3.9691143E-17
4370.4062,1.9988969E-16,5.51452E-18,3.6166424E-17
4375.931,1.9215833E-16,5.4103928E-18,3.1989225E-17
4381.456,1.727885E-16,5.292591E-18,3.9467394E-17
4386.9814,1.5639405E-16,5.131957E-18,3.800609E-17
4392.5063,1.6375254E-16,5.1913636E-18,3.8044554E-17
4398.0312,1.565577E-16,5.1477662E-18,4.0323625E-17
4403.556,1.5061422E-16,5.1252537E-18,4.477861E-17
4409.0815,1.4989793E-16,5.1020914E-18,4.3267624E-17
4414.6064,1.3979522E-16,5.094442E-18,5.3236395E-17
4420.1313,1.4291795E-16,5.153886E-18,5.621039E-17
4425.6562,1.4815125E-16,5.1159574E-18,4.7328515E-17
4431.1816,1.3551126E-16,5.0404945E-18,5.232663E-17
4436.7065,1.4954895E-16,5.0730764E-18,4.225058E-17
4442.2314,1.4938505E-16,5.0544656E-18,3.9658963E-17
4447.757,1.4252775E-16,5.030668E-18,4.4668236E-17
