WAVE,FLUX,ERR,SKYBACK
3646.6,1.7679989E-16,1.3282816E-17,5.302823E-16
3652.1274,1.7724232E-16,1.2942001E-17,5.2561767E-16
3657.655,1.9285966E-16,1.2726203E-17,4.9342295E-16
3663.1824,1.8544556E-16,1.18945495E-17,4.474116E-16
3668.71,1.7908024E-16,1.109588E-17,4.0366983E-16
3674.2373,1.7677342E-16,1.0976523E-17,4.088633E-16
3679.765,1.6663977E-16,1.09468354E-17,4.483385E-16
3685.2922,1.7015989E-16,1.09102815E-17,4.602042E-16
3690.8198,1.7621635E-16,1.0837825E-17,4.631822E-16
3696.3472,1.9038144E-16,1.0771088E-17,4.473379E-16
3701.8748,1.8117763E-16,1.048077E-17,4.3116245E-16
3707.402,1.8492974E-16,1.0291268E-17,4.0754305E-16
3712.9297,1.7951356E-16,1.0108033E-17,4.0503072E-16
3718.457,1.709312E-16,9.7805405E-18,3.7356596E-16
3723.9846,1.6462819E-16,9.728351E-18,3.9966032E-16
3729.512,1.8179331E-16,9.747929E-18,3.9204952E-16
3735.0396,1.8764286E-16,9.591704E-18,3.6987983E-16
3740.567,1.7825062E-16,9.525838E-18,3.9236903E-16
3746.0945,1.9316034E-16,9.513253E-18,3.8122497E-16
3751.6218,1.9869307E-16,9.5197644E-18,3.923539E-16
3757.1494,2.0472417E-16,9.453796E-18,3.874746E-16
3762.6768,2.0715326E-16,9.4613415E-18,4.059614E-16
3768.2043,2.2777814E-16,9.689425E-18,4.4041428E-16
3773.7317,2.0121147E-16,9.465608E-18,4.534817E-16
3779.2593,2.314142E-16,9.509967E-18,4.271497E-16
3784.7866,2.2469465E-16,9.247735E-18,3.9859716E-16
3790.3142,2.6037343E-16,9.377622E-18,3.809444E-16
3795.8416,2.690769E-16,9.348072E-18,3.7663024E-16
3801.3691,2.479327E-16,9.212365E-18,3.9981588E-16
3806.8965,2.501909E-16,9.041472E-18,3.7206216E-16
3812.424,2.4845507E-16,8.809394E-18,3.350952E-16
3817.9514,2.555641E-16,8.685794E-18,3.0879867E-16
3823.479,2.5480146E-16,8.5543E-18,2.9530753E-16
3829.0063,2.4700058E-16,8.4627715E-18,3.017176E-16
3834.534,2.58154E-16,8.564107E-18,3.1849384E-16
3840.0613,2.353354E-16,8.3852606E-18,3.324992E-16
3845.5889,2.6352897E-16,8.533698E-18,3.3018954E-16
3851.1162,2.5085487E-16,8.3647465E-18,3.2824885E-16
3856.6438,2.4405722E-16,8.220123E-18,3.1728938E-16
3862.1711,2.3986758E-16,8.137324E-18,3.1700483E-16
3867.6987,2.2396406E-16,7.966159E-18,3.184657E-16
3873.226,2.4542507E-16,8.005978E-18,3.0138713E-16
3878.7537,2.1771681E-16,7.736032E-18,2.9747948E-16
3884.281,2.1806462E-16,7.827036E-18,3.3040794E-16
3889.8086,2.297527E-16,7.894742E-18,3.3762807E-16
3895.336,2.292316E-16,8.010065E-18,3.783563E-16
3900.8635,2.3424024E-16,8.0805115E-18,3.998157E-16
3906.3909,2.3646026E-16,8.0921566E-18,4.0974393E-16
3911.9185,2.2464801E-16,7.906932E-18,3.9420384E-16
3917.4458,2.257225E-16,7.692155E-18,3.476629E-16
3922.9734,2.2420353E-16,7.356658E-18,2.7765412E-16
3928.5007,2.3729189E-16,7.212565E-18,2.2916627E-16
3934.0283,2.5018468E-16,7.295361E-18,2.3636076E-16
3939.5557,2.4761454E-16,7.489024E-18,2.9572543E-16
3945.0833,2.407111E-16,7.6178016E-18,3.5088043E-16
3950.6106,2.5487078E-16,7.716374E-18,3.5981094E-16
3956.1382,2.3360388E-16,7.3497496E-18,3.1302441E-16
3961.6655,2.4079696E-16,7.169702E-18,2.6356822E-16
3967.193,2.3337364E-16,7.077052E-18,2.6278345E-16
3972.7205,2.4490838E-16,7.297909E-18,3.0485526E-16
3978.248,2.491737E-16,7.5448426E-18,3.7048011E-16
3983.7754,2.464197E-16,7.718332E-18,4.3176012E-16
3989.303,2.4247284E-16,7.735797E-18,4.522475E-16
3994.8303,2.382505E-16,7.653356E-18,4.4576136E-16
4000.358,2.2346376E-16,7.5714836E-18,4.58132E-16
4005.8853,2.1364475E-16,7.514583E-18,4.696448E-16
4011.4128,2.1990254E-16,7.578865E-18,4.8311625E-16
4016.9402,1.9188086E-16,7.430063E-18,5.0192176E-16
4022.4678,1.7575314E-16,7.2307604E-18,4.849998E-16
4027.995,1.7785151E-16,7.204162E-18,4.8126003E-16
4033.5227,1.7500905E-16,7.132971E-18,4.7447255E-16
4039.05,1.6833377E-16,7.005762E-18,4.594132E-16
4044.5776,1.4789587E-16,6.8456934E-18,4.6201963E-16
4050.105,1.4697308E-16,6.7801497E-18,4.5271513E-16
4055.6326,1.3203812E-16,6.657007E-18,4.5494E-16
4061.16,1.3893482E-16,6.670479E-18,4.524481E-16
4066.6875,1.4769487E-16,6.703181E-18,4.503668E-16
4072.2148,1.414127E-16,6.6263205E-18,4.495968E-16
4077.7424,1.3382313E-16,6.6002433E-18,4.6175863E-16
4083.2698,1.3440492E-16,6.5761673E-18,4.581105E-16
4088.7974,1.3647149E-16,6.5664265E-18,4.574241E-16
4094.3247,1.09342E-16,6.3037193E-18,4.449609E-16
4099.852,1.2887756E-16,6.3216906E-18,4.182179E-16
4105.38,1.3620662E-16,6.375498E-18,4.1682978E-16
4110.907,1.4498675E-16,6.4808447E-18,4.3233435E-16
4116.4346,1.4640937E-16,6.5830975E-18,4.703628E-16
4121.962,1.6325218E-16,6.7073206E-18,4.790036E-16
4127.4897,1.8727782E-16,6.773444E-18,4.5911155E-16
4133.017,1.8454885E-16,6.763311E-18,4.662943E-16
4138.5444,1.7495565E-16,6.6411837E-18,4.545355E-16
4144.072,1.8023642E-16,6.6484696E-18,4.5155607E-16
4149.5996,1.806363E-16,6.607592E-18,4.442223E-16
4155.127,1.7901652E-16,6.5869604E-18,4.4589E-16
4160.6543,1.7996773E-16,6.631701E-18,4.6174233E-16
4166.1816,1.7768512E-16,6.6274066E-18,4.6937897E-16
4171.7095,1.6428907E-16,6.478779E-18,4.58289E-16
4177.237,1.6268176E-16,6.399505E-18,4.4161055E-16
4182.764,1.6856623E-16,6.363299E-18,4.245334E-16
4188.2915,1.6230681E-16,6.3022324E-18,4.2332703E-16
4193.8193,1.5367045E-16,6.2146472E-18,4.1931013E-16
4199.3467,1.5811399E-16,6.2039443E-18,4.1226631E-16
4204.874,1.7118161E-16,6.292214E-18,4.1672083E-16
4210.4014,1.6220415E-16,6.219343E-18,4.1668796E-16
4215.929,1.5220328E-16,6.1958793E-18,4.3402146E-16
4221.4565,1.6394386E-16,6.163544E-18,4.060535E-16
4226.984,1.8762542E-16,6.2575916E-18,3.930794E-16
4232.511,1.7759029E-16,6.1318642E-18,3.7917912E-16
4238.039,1.7346332E-16,6.1164133E-18,3.8713239E-16
4243.5664,1.8557118E-16,6.2154827E-18,3.945942E-16
4249.0938,1.7720522E-16,6.1575056E-18,3.970261E-16
4254.621,1.8352339E-16,6.1544496E-18,3.877755E-16
4260.149,1.9508625E-16,6.2422192E-18,3.9515201E-16
4265.6763,1.9653806E-16,6.1906147E-18,3.8146015E-16
4271.2036,2.0810672E-16,6.251124E-18,3.814345E-16
4276.731,2.0739003E-16,6.2518207E-18,3.8581027E-16
4282.259,2.0152982E-16,6.1460673E-18,3.685115E-16
4287.786,2.0486252E-16,6.1452348E-18,3.645363E-16
4293.3135,2.0232279E-16,6.035686E-18,3.4194535E-16
4298.841,2.1437287E-16,6.013463E-18,3.1703964E-16
4304.3687,2.2019866E-16,6.0025945E-18,3.0467653E-16
4309.896,2.3553424E-16,6.0854528E-18,3.0416815E-16
4315.4233,2.2680183E-16,6.1399963E-18,3.378482E-16
4320.9507,2.3422727E-16,6.274875E-18,3.6740591E-16
4326.4785,2.454234E-16,6.403911E-18,3.8873389E-16
4332.006,2.4355117E-16,6.3601913E-18,3.826579E-16
4337.533,2.5270188E-16,6.3403435E-18,3.6208297E-16
4343.0605,2.5056648E-16,6.334829E-18,3.6696244E-16
4348.5884,2.4129385E-16,6.2900886E-18,3.7337633E-16
4354.1157,2.4916697E-16,6.348171E-18,3.800121E-16
4359.643,2.4795272E-16,6.3797144E-18,3.9412713E-16
4365.1704,2.536972E-16,6.3993108E-18,3.9312448E-16
4370.698,2.513367E-16,6.368876E-18,3.8999853E-16
4376.2256,2.4021312E-16,6.2660673E-18,3.8179457E-16
4381.753,2.261337E-16,6.1090957E-18,3.6245998E-16
4387.2803,2.33144E-16,6.1131625E-18,3.5272382E-16
4392.808,2.2457644E-16,6.052529E-18,3.5443125E-16
4398.3354,2.1972387E-16,6.0512633E-18,3.651075E-16
4403.863,2.3506197E-16,6.1981276E-18,3.8310736E-16
4409.39,2.2078842E-16,6.1224708E-18,3.8892974E-16
4414.918,2.2124436E-16,6.149841E-18,3.9963726E-16
4420.4453,2.3679566E-16,6.2690852E-18,4.0976428E-16
4425.9727,2.398872E-16,6.2960133E-18,4.146665E-16
4431.5,2.3400995E-16,6.227393E-18,4.0691862E-16
4437.028,2.3915716E-16,6.239986E-18,4.02567E-16
4442.555,2.330147E-16,6.182398E-18,3.9826068E-16
4448.0825,2.3322618E-16,6.1794602E-18,3.9906938E-16
4453.61,2.428971E-16,6.1865984E-18,3.8522317E-16
4459.1377,2.475619E-16,6.186012E-18,3.7949707E-16
4464.665,2.5316438E-16,6.198676E-18,3.7419197E-16
4470.1924,2.405471E-16,6.141888E-18,3.8272977E-16
4475.7197,2.3935862E-16,6.153573E-18,3.8980885E-16
4481.2476,2.3707722E-16,6.161192E-18,3.982237E-16
4486.775,2.3122035E-16,6.1507202E-18,4.0797342E-16
4492.3022,2.3900856E-16,6.159372E-18,3.9867414E-16
4497.8296,2.314779E-16,6.1338987E-18,4.0705407E-16
4503.3574,2.3039661E-16,6.110601E-18,4.0438443E-16
4508.885,2.3103983E-16,6.1434154E-18,4.1408852E-16
4514.412,2.270198E-16,6.099642E-18,4.098642E-16
4519.9395,2.2707617E-16,6.072755E-18,4.0286332E-16
4525.4673,2.1594569E-16,5.951541E-18,3.887288E-16
4530.9946,2.1109966E-16,5.9171447E-18,3.8855524E-16
4536.522,2.1193462E-16,5.892637E-18,3.8089928E-16
4542.0493,2.101344E-16,5.897516E-18,3.8673042E-16
4547.577,2.0533504E-16,5.8828957E-18,3.9231874E-16
4553.1045,1.937697E-16,5.8112048E-18,3.9386045E-16
4558.632,1.8970153E-16,5.778855E-18,3.927272E-16
4564.159,1.9260791E-16,5.7905604E-18,3.9179729E-16
4569.687,1.9444633E-16,5.792059E-18,3.9034762E-16
4575.2144,1.8746263E-16,5.7582036E-18,3.945977E-16
4580.7417,1.8670655E-16,5.7334825E-18,3.9107186E-16
4586.269,1.9086444E-16,5.6990006E-18,3.742431E-16
4591.797,1.9161573E-16,5.6914464E-18,3.7068674E-16
4597.324,1.9962019E-16,5.7334585E-18,3.699554E-16
4602.8516,1.8770118E-16,5.675856E-18,3.7612575E-16
4608.379,1.7164673E-16,5.5723837E-18,3.7685541E-16
4613.9067,1.8387297E-16,5.6439038E-18,3.7693792E-16
4619.434,1.7674941E-16,5.5961403E-18,3.7704496E-16
4624.9614,1.6623935E-16,5.5402163E-18,3.8182522E-16
4630.489,1.6105389E-16,5.495923E-18,3.7913772E-16
4636.0166,1.568155E-16,5.433785E-18,3.6957122E-16
4641.544,1.5791104E-16,5.4175797E-18,3.6371415E-16
4647.0713,1.6320337E-16,5.4371396E-18,3.6020603E-16
4652.5986,1.4583677E-16,5.318364E-18,3.604485E-16
