WAVE,FLUX,ERR,SKYBACK
3669.6545,1.36758945E-17,9.693133E-18,1.555585E-16
3675.178,4.4257574E-17,1.0326038E-17,1.3743307E-16
3680.7017,4.429088E-17,1.0393816E-17,1.2439899E-16
3686.2253,3.2071705E-17,1.0564816E-17,1.4956397E-16
3691.749,3.446318E-17,1.0834442E-17,1.5608978E-16
3697.2725,3.795812E-17,1.0881502E-17,1.4388366E-16
3702.7961,3.1151486E-17,1.1034211E-17,1.6036892E-16
3708.3198,2.2871374E-17,1.1014281E-17,1.5972479E-16
3713.8433,1.2638035E-17,1.0719557E-17,1.459495E-16
3719.367,1.2783907E-17,1.08434585E-17,1.5763412E-16
3724.8906,1.798309E-17,1.0878245E-17,1.5494566E-16
3730.414,3.962788E-17,1.1132334E-17,1.5888547E-16
3735.9377,3.3484304E-17,1.097958E-17,1.6099265E-16
3741.4614,-5.3673155E-19,1.0645593E-17,1.747375E-16
3746.985,5.2029925E-17,1.0728649E-17,1.3531081E-16
3752.5085,1.2249286E-17,1.0218495E-17,1.5307938E-16
3758.0322,-9.786566E-18,9.76205E-18,1.2780418E-16
3763.556,3.9849327E-17,1.0065865E-17,1.267725E-16
3769.0793,8.841488E-17,1.05254274E-17,1.2932919E-16
3774.603,-1.2932543E-18,9.897656E-18,1.83795E-16
3780.1267,1.15669355E-17,9.692941E-18,1.6518001E-16
3785.6501,2.57217E-17,9.619558E-18,1.5803992E-16
3791.1738,2.2592882E-17,9.325793E-18,1.4431945E-16
3796.6975,-9.481379E-18,9.026751E-18,1.5407991E-16
3802.221,3.2435638E-17,8.982097E-18,1.3203551E-16
3807.7446,2.3252037E-17,8.824773E-18,1.3909303E-16
3813.2683,1.1170379E-17,8.625348E-18,1.4523509E-16
3818.792,3.820206E-17,8.723499E-18,1.3444742E-16
3824.3154,2.5010702E-17,8.4689464E-18,1.3524116E-16
3829.839,1.1940678E-17,8.247915E-18,1.3941528E-16
3835.3628,4.1722424E-17,8.463198E-18,1.352788E-16
3840.8862,3.5982185E-17,8.296342E-18,1.3626144E-16
3846.41,1.0467465E-18,7.875464E-18,1.4627191E-16
3851.9336,1.9304377E-17,7.953303E-18,1.4077373E-16
3857.457,3.6123136E-17,7.8654446E-18,1.1831478E-16
3862.9807,3.282963E-17,7.7458996E-18,1.1957442E-16
3868.5044,3.5569167E-17,7.715624E-18,1.2265424E-16
3874.0278,3.091601E-17,7.51284E-18,1.1532829E-16
3879.5515,2.9310477E-17,7.289879E-18,1.02738367E-16
3885.0752,2.1045804E-17,7.3067916E-18,1.2659058E-16
3890.5989,1.4428366E-17,7.085163E-18,1.2034958E-16
3896.1223,1.8068483E-17,7.314597E-18,1.4796402E-16
3901.646,3.342033E-17,7.42365E-18,1.4669765E-16
3907.1697,4.163803E-17,7.6082815E-18,1.6357579E-16
3912.693,6.85132E-17,7.732278E-18,1.5119708E-16
3918.2168,4.2803255E-17,7.319644E-18,1.4419205E-16
3923.7405,4.7593693E-17,7.030545E-18,1.1390727E-16
3929.264,2.9491957E-17,6.613176E-18,9.9864225E-17
3934.7876,3.513958E-17,6.580262E-18,9.307724E-17
3940.3113,3.9889892E-17,6.8418193E-18,1.2358089E-16
3945.835,2.7305796E-17,6.7455483E-18,1.377582E-16
3951.3584,2.3290197E-17,6.797734E-18,1.5555724E-16
3956.882,2.7284907E-17,6.577482E-18,1.3075817E-16
3962.4058,3.1343078E-17,6.402295E-18,1.1202406E-16
3967.9292,4.222902E-17,6.400221E-18,1.0017347E-16
3973.453,1.980557E-17,6.2627875E-18,1.2465732E-16
3978.9766,2.5024624E-17,6.4047317E-18,1.3822392E-16
3984.5,3.0497296E-17,6.6699485E-18,1.6719476E-16
3990.0237,4.5214486E-17,6.7768922E-18,1.6639072E-16
3995.5474,3.2912613E-17,6.6089696E-18,1.6812967E-16
4001.0708,2.299189E-17,6.5233696E-18,1.7641743E-16
4006.5945,2.9848362E-17,6.6342454E-18,1.8571712E-16
4012.1182,4.259883E-17,6.7275493E-18,1.8307663E-16
4017.6418,4.769848E-17,6.7405095E-18,1.8544337E-16
4023.1653,4.338204E-17,6.6395964E-18,1.821002E-16
4028.689,3.617847E-17,6.4468794E-18,1.7453091E-16
4034.2126,3.4943213E-17,6.340055E-18,1.6564781E-16
4039.736,4.5182825E-17,6.5634896E-18,1.8585103E-16
4045.2598,6.0552506E-17,6.5814547E-18,1.7175265E-16
4050.7834,4.5746354E-17,6.475094E-18,1.8411264E-16
4056.307,4.2331454E-17,6.4052E-18,1.8420474E-16
4061.8306,4.902567E-17,6.3973735E-18,1.7859556E-16
4067.3542,5.682841E-17,6.4567394E-18,1.7950504E-16
4072.878,6.9985184E-17,6.537752E-18,1.7636196E-16
4078.4014,5.9134513E-17,6.473458E-18,1.8773117E-16
4083.925,6.27449E-17,6.486109E-18,1.8766482E-16
4089.4487,5.872636E-17,6.398665E-18,1.8688914E-16
4094.9722,6.702731E-17,6.310053E-18,1.6697899E-16
4100.4956,7.3260184E-17,6.2548267E-18,1.5357836E-16
4106.0195,6.039842E-17,6.1807978E-18,1.6594024E-16
4111.543,6.5919254E-17,6.2077217E-18,1.6568342E-16
4117.067,5.822185E-17,6.2094476E-18,1.8131905E-16
4122.5903,5.516351E-17,6.1690307E-18,1.845673E-16
4128.114,7.277484E-17,6.3154053E-18,1.840503E-16
4133.6377,7.6269705E-17,6.2548925E-18,1.7399041E-16
4139.161,6.8892366E-17,6.211648E-18,1.8161183E-16
4144.6846,5.553337E-17,6.069321E-18,1.8433757E-16
4150.2085,6.595482E-17,6.1072755E-18,1.7814857E-16
4155.732,7.187769E-17,6.1656165E-18,1.813084E-16
4161.2554,6.380555E-17,6.13428E-18,1.9214024E-16
4166.7793,6.05788E-17,6.087922E-18,1.9458527E-16
4172.3027,7.2937544E-17,6.1801778E-18,1.9278252E-16
4177.826,7.6961764E-17,6.1211076E-18,1.8123221E-16
4183.35,5.989512E-17,5.9430437E-18,1.8362097E-16
4188.8735,7.666807E-17,5.9480233E-18,1.6400301E-16
4194.397,7.687172E-17,5.9266875E-18,1.6493433E-16
4199.921,4.3011433E-17,5.648067E-18,1.7716108E-16
4205.4443,6.280271E-17,5.7231584E-18,1.6216755E-16
4210.968,6.3726266E-17,5.79096E-18,1.7268748E-16
4216.4917,7.0251126E-17,5.780938E-18,1.651007E-16
4222.015,7.241459E-17,5.721237E-18,1.5643563E-16
4227.5386,6.2819305E-17,5.644584E-18,1.6263718E-16
4233.0625,7.544191E-17,5.7551873E-18,1.6113432E-16
4238.586,8.030518E-17,5.7670867E-18,1.5978854E-16
4244.11,7.8589815E-17,5.7483874E-18,1.6298402E-16
4249.6333,7.492526E-17,5.6860705E-18,1.5998807E-16
4255.1567,6.514014E-17,5.6020857E-18,1.6545713E-16
4260.6807,6.4293586E-17,5.6213524E-18,1.7283777E-16
4266.204,7.4977934E-17,5.6671823E-18,1.6233204E-16
4271.7275,5.546086E-17,5.521389E-18,1.737107E-16
4277.2515,7.70603E-17,5.5729995E-18,1.513419E-16
4282.775,5.907789E-17,5.382203E-18,1.5188974E-16
4288.2983,6.467583E-17,5.3785252E-18,1.4428849E-16
4293.8223,5.9721084E-17,5.380114E-18,1.541889E-16
4299.3457,4.408833E-17,5.1448355E-18,1.4729678E-16
4304.869,5.2763062E-17,5.1302238E-18,1.3397319E-16
4310.393,5.704909E-17,5.2774723E-18,1.509178E-16
4315.9165,5.0077005E-17,5.1801462E-18,1.4965336E-16
4321.44,5.948671E-17,5.3022794E-18,1.53843E-16
4326.964,4.0456156E-17,5.1472645E-18,1.635073E-16
4332.4873,3.947487E-17,5.152361E-18,1.6794936E-16
4338.0107,4.213997E-17,5.1538874E-18,1.6541791E-16
4343.5347,4.773961E-17,5.1760227E-18,1.6118263E-16
4349.058,3.0607033E-17,5.018883E-18,1.6775448E-16
4354.5815,4.3130038E-17,5.1747112E-18,1.7189487E-16
4360.1055,4.0892315E-17,5.190429E-18,1.797177E-16
