WAVE,FLUX,ERR,SKYBACK
3667.1912,3.9946252E-17,8.662852E-18,1.6146969E-16
3672.72,2.8000454E-17,8.5020825E-18,1.6379153E-16
3678.2488,-8.014509E-19,8.21511E-18,1.7587923E-16
3683.7776,2.7359687E-17,8.597043E-18,1.8982906E-16
3689.3064,2.0368924E-17,8.309156E-18,1.7982382E-16
3694.8352,1.5536594E-17,8.146797E-18,1.8314188E-16
3700.364,1.4241641E-17,8.0094716E-18,1.822938E-16
3705.8928,3.088573E-17,7.982486E-18,1.6370877E-16
3711.4214,2.9117886E-17,7.8744815E-18,1.6445544E-16
3716.9502,1.0977013E-17,7.464157E-18,1.5720728E-16
3722.479,2.3850949E-17,7.431016E-18,1.4400587E-16
3728.0078,1.6266757E-17,7.336191E-18,1.5652822E-16
3733.5366,3.81602E-17,7.518906E-18,1.5357496E-16
3739.0654,3.2523292E-17,7.373264E-18,1.559813E-16
3744.5942,2.2113099E-17,7.17943E-18,1.5808811E-16
3750.123,2.371252E-17,7.077682E-18,1.5541878E-16
3755.6519,3.2651333E-17,7.204227E-18,1.6377495E-16
3761.1807,3.4901748E-17,7.11753E-18,1.5978546E-16
3766.7092,2.3027324E-17,7.044664E-18,1.7857416E-16
3772.238,3.20461E-17,7.138791E-18,1.8452064E-16
3777.7668,2.4977298E-17,6.986307E-18,1.8571457E-16
3783.2957,5.0078944E-17,7.17823E-18,1.7925029E-16
3788.8245,4.611637E-17,6.8696572E-18,1.5589999E-16
3794.3533,5.107075E-17,6.819431E-18,1.5044887E-16
3799.882,3.619258E-17,6.825559E-18,1.8046967E-16
3805.411,3.4803942E-17,6.6115177E-18,1.6363745E-16
3810.9397,3.4724278E-17,6.426676E-18,1.4966058E-16
3816.4685,5.2681244E-17,6.4858657E-18,1.3663037E-16
3821.9973,4.7131295E-17,6.2433703E-18,1.2315679E-16
3827.526,4.946937E-17,6.2060177E-18,1.2077258E-16
3833.0547,5.360396E-17,6.257831E-18,1.2646598E-16
3838.5835,5.65732E-17,6.2811964E-18,1.329242E-16
3844.1123,6.239735E-17,6.3998542E-18,1.4442243E-16
3849.641,6.573854E-17,6.417979E-18,1.4809772E-16
3855.17,6.7528636E-17,6.40241E-18,1.5019095E-16
3860.6987,7.091781E-17,6.3042905E-18,1.3946413E-16
3866.2275,8.22926E-17,6.378304E-18,1.3861349E-16
3871.7563,8.3379E-17,6.2299464E-18,1.2314697E-16
3877.2852,7.051948E-17,6.131144E-18,1.3503074E-16
3882.8137,8.6293996E-17,6.2160787E-18,1.28027E-16
3888.3425,9.178081E-17,6.3345744E-18,1.4166093E-16
3893.8713,9.781529E-17,6.428974E-18,1.525287E-16
3899.4001,8.302119E-17,6.2909327E-18,1.6066799E-16
3904.929,9.117573E-17,6.3642627E-18,1.6449993E-16
3910.4578,1.03631874E-16,6.507562E-18,1.7310696E-16
3915.9866,1.0609002E-16,6.370786E-18,1.5514115E-16
3921.5154,1.04053365E-16,6.201382E-18,1.3867762E-16
3927.0442,1.1152592E-16,6.064827E-18,1.1318859E-16
3932.573,1.3287836E-16,6.0597196E-18,8.691554E-17
3938.1018,9.659345E-17,5.8246175E-18,1.10879445E-16
