WAVE,FLUX,ERR,SKYBACK
3653.4082,9.452136E-18,7.323442E-18,3.081153E-16
3658.9294,1.9245057E-17,7.326555E-18,2.9514927E-16
3664.4507,8.2883E-18,7.084897E-18,2.7901935E-16
3669.9717,1.28333E-17,7.06934E-18,2.7270043E-16
3675.493,2.0898978E-17,6.994222E-18,2.534721E-16
3681.0142,-1.2350718E-17,7.027771E-18,2.8647372E-16
3686.5354,6.5557356E-18,7.075149E-18,2.8846551E-16
3692.0566,5.4921207E-18,7.009302E-18,2.8516518E-16
3697.578,-3.468786E-18,6.947914E-18,2.8634444E-16
3703.099,1.8338847E-17,6.961283E-18,2.7084138E-16
3708.6204,1.2658276E-18,6.7292024E-18,2.6611385E-16
3714.1416,5.2888774E-18,6.6397502E-18,2.553217E-16
3719.6628,1.7469735E-17,6.5899875E-18,2.3952197E-16
3725.184,3.8555935E-18,6.433866E-18,2.4201807E-16
3730.7053,1.0565669E-18,6.357776E-18,2.3927685E-16
3736.2266,1.3933993E-17,6.355025E-18,2.300645E-16
3741.7478,5.519739E-18,6.3871694E-18,2.4921446E-16
3747.2688,2.3422656E-17,6.350526E-18,2.3042287E-16
3752.79,1.9007763E-17,6.237885E-18,2.279475E-16
3758.3113,3.8708037E-18,6.206092E-18,2.4604812E-16
3763.8325,1.6662665E-17,6.298508E-18,2.5136338E-16
3769.3538,8.988313E-18,6.3332153E-18,2.6915933E-16
3774.875,2.51677E-18,6.2768487E-18,2.7456382E-16
3780.3962,5.2390506E-18,6.1653328E-18,2.6459073E-16
3785.9175,9.86549E-18,6.005641E-18,2.4426254E-16
3791.4387,6.947138E-18,5.853974E-18,2.3396493E-16
3796.96,3.3863207E-18,5.807502E-18,2.374135E-16
3802.4812,7.04972E-18,5.806598E-18,2.3958377E-16
3808.0024,8.178313E-18,5.710126E-18,2.3142653E-16
3813.5237,1.2438857E-17,5.504296E-18,2.0634263E-16
3819.0447,-1.1407686E-17,5.289053E-18,1.9790292E-16
3824.566,5.1503065E-18,5.140641E-18,1.8035855E-16
3830.0872,9.910836E-18,5.128829E-18,1.7980355E-16
3835.6084,1.3113431E-17,5.212477E-18,1.9040746E-16
3841.1296,1.0813034E-17,5.2243896E-18,1.9909226E-16
3846.651,8.047637E-18,5.178897E-18,2.0281847E-16
3852.172,9.707596E-18,5.187177E-18,2.0596178E-16
3857.6934,8.2143005E-18,5.0791582E-18,1.994262E-16
3863.2146,6.5256196E-18,4.970821E-18,1.9344509E-16
3868.7358,2.8462358E-18,4.8968348E-18,1.9251733E-16
