WAVE,FLUX,ERR,SKYBACK
3654.5786,1.982285E-16,1.4538189E-17,1.3129609E-16
3660.099,1.7221386E-16,1.381251E-17,1.2269738E-16
3665.6199,1.909666E-16,1.3515648E-17,1.0734809E-16
3671.1404,2.2851316E-16,1.3555368E-17,9.4990344E-17
3676.661,2.1855343E-16,1.3184059E-17,1.0040349E-16
3682.1814,2.2181293E-16,1.292613E-17,1.01965906E-16
3687.7021,2.1533291E-16,1.2590036E-17,1.04691406E-16
3693.2227,2.2465638E-16,1.2390077E-17,1.03128895E-16
3698.7432,1.9437466E-16,1.1839438E-17,1.0632944E-16
3704.2637,2.314147E-16,1.1955491E-17,1.01980504E-16
3709.7844,2.0363135E-16,1.12923165E-17,8.998716E-17
3715.305,2.2171962E-16,1.1311809E-17,9.3555775E-17
3720.8254,2.2553144E-16,1.1120392E-17,9.3534745E-17
3726.3462,1.883122E-16,1.061261E-17,1.0307531E-16
3731.8667,1.9570991E-16,1.0477308E-17,1.0230469E-16
3737.3872,1.9163625E-16,1.01515865E-17,9.0382856E-17
3742.9077,1.6537654E-16,9.772154E-18,9.968698E-17
3748.4285,1.8338048E-16,9.647887E-18,8.39842E-17
3753.949,1.6596844E-16,9.291259E-18,8.333608E-17
3759.4695,1.7149036E-16,9.113361E-18,7.5576376E-17
3764.99,1.5931546E-16,8.880768E-18,8.070297E-17
3770.5107,1.5634473E-16,8.682278E-18,7.8335195E-17
3776.0312,1.2943848E-16,8.269532E-18,8.0474946E-17
3781.5518,1.4088006E-16,8.267443E-18,8.116754E-17
3787.0723,1.2740723E-16,7.960658E-18,7.841237E-17
3792.593,9.942193E-17,7.460367E-18,7.1151615E-17
3798.1135,1.1707683E-16,7.596361E-18,7.6974635E-17
3803.634,9.146146E-17,7.184954E-18,7.549435E-17
3809.1548,8.437616E-17,7.040584E-18,8.021992E-17
3814.6753,7.902767E-17,6.7859284E-18,7.056436E-17
3820.1958,7.1044994E-17,6.5453015E-18,7.0179016E-17
3825.7163,7.552641E-17,6.4448173E-18,6.411809E-17
3831.237,6.6211646E-17,6.311363E-18,7.026793E-17
3836.7576,3.9079086E-17,5.9526125E-18,7.609922E-17
3842.278,5.5528E-17,5.9779015E-18,6.7847055E-17
3847.7986,4.6686656E-17,5.787288E-18,6.740058E-17
3853.3193,4.938989E-17,5.6977193E-18,6.42974E-17
3858.8398,4.8349478E-17,5.544726E-18,5.7044076E-17
3864.3604,4.8465147E-17,5.500768E-18,6.0330815E-17
3869.881,4.9841318E-17,5.424814E-18,5.7530484E-17
3875.4016,4.0622737E-17,5.258338E-18,5.866335E-17
3880.922,4.771505E-17,5.2469617E-18,5.570954E-17
3886.4426,4.4241828E-17,5.1166775E-18,5.387028E-17
3891.9634,5.3101703E-17,5.171062E-18,5.490073E-17
3897.484,5.0901403E-17,5.155566E-18,6.1204516E-17
3903.0044,5.135801E-17,5.150124E-18,6.603517E-17
3908.525,4.5453628E-17,5.0603663E-18,7.083887E-17
3914.0457,4.1716452E-17,4.955699E-18,6.976306E-17
3919.5662,4.5915787E-17,4.853179E-18,5.970129E-17
3925.0867,5.1664063E-17,4.833794E-18,5.525385E-17
3930.6074,5.0183516E-17,4.736695E-18,5.2261152E-17
3936.128,6.054937E-17,4.739827E-18,4.5770024E-17
3941.6484,5.561965E-17,4.6974996E-18,5.2534687E-17
3947.169,5.942464E-17,4.7464608E-18,5.727855E-17
3952.6897,6.811044E-17,4.755914E-18,5.332423E-17
3958.2102,5.895004E-17,4.611446E-18,5.29559E-17
