WAVE,FLUX,ERR,SKYBACK
3653.5786,5.351934E-17,1.3426987E-17,1.4702116E-16
3659.099,3.8948626E-17,1.27449474E-17,1.3453279E-16
3664.6199,6.3370605E-17,1.2480439E-17,1.1115293E-16
3670.1404,4.141965E-17,1.1703532E-17,9.8582624E-17
3675.661,9.5825856E-17,1.1998977E-17,8.7834054E-17
3681.1814,5.133422E-17,1.12584625E-17,9.9330634E-17
3686.7021,6.359306E-17,1.1246579E-17,1.1132134E-16
3692.2227,6.079704E-17,1.1011292E-17,1.2460179E-16
3697.7432,5.800403E-17,1.0801377E-17,1.27119E-16
3703.2637,5.6373285E-17,1.04460495E-17,1.1985803E-16
3708.7844,5.6680374E-17,1.0053183E-17,1.04199465E-16
3714.305,6.217709E-17,9.875043E-18,1.04858404E-16
3719.8254,6.069479E-17,9.632491E-18,1.05522835E-16
3725.3462,5.978205E-17,9.535785E-18,1.1559228E-16
3730.8667,6.788436E-17,9.377773E-18,1.113666E-16
3736.3872,6.731152E-17,9.1897185E-18,1.1403073E-16
3741.9077,7.061489E-17,9.0149E-18,1.1226126E-16
3747.4285,5.598807E-17,8.613351E-18,1.0866806E-16
3752.949,5.1597247E-17,8.258717E-18,9.450983E-17
3758.4695,5.1029966E-17,8.096033E-18,9.410828E-17
3763.99,5.188415E-17,7.941017E-18,9.396273E-17
3769.5107,2.7358431E-17,7.5742216E-18,1.0419673E-16
3775.0312,4.880795E-17,7.540572E-18,8.71199E-17
3780.5518,4.6463215E-17,7.399911E-18,9.193674E-17
3786.0723,5.2005017E-17,7.31841E-18,8.980095E-17
3791.593,4.432925E-17,7.063689E-18,8.4739684E-17
3797.1135,6.065658E-17,7.017934E-18,7.306443E-17
3802.634,3.8003883E-17,6.7834973E-18,8.904692E-17
3808.1548,5.279181E-17,6.8130735E-18,8.562101E-17
3813.6753,5.2419167E-17,6.6616407E-18,8.214486E-17
3819.1958,4.7832953E-17,6.5584826E-18,9.0458487E-17
3824.7163,5.5621444E-17,6.8438583E-18,8.025194E-17
3830.237,7.383883E-17,6.7050917E-18,8.242991E-17
3835.7576,4.429635E-17,6.3147766E-18,9.7380896E-17
3841.278,5.5043516E-17,6.2122906E-18,8.4367234E-17
3846.7986,5.751123E-17,6.1379254E-18,8.05004E-17
3852.3193,5.824001E-17,6.0087082E-18,7.5344553E-17
3857.8398,5.3917462E-17,5.7844165E-18,6.634966E-17
3863.3604,6.588057E-17,5.814756E-18,6.173425E-17
3868.881,5.6068876E-17,5.6589614E-18,6.641046E-17
3874.4016,5.7285255E-17,5.5587555E-18,6.125207E-17
3879.922,6.316554E-17,5.519374E-18,5.753967E-17
3885.4426,4.6472238E-17,5.214111E-18,5.429028E-17
3890.9634,5.4390957E-17,5.3183507E-18,6.1548604E-17
3896.484,5.0774973E-17,5.3236153E-18,7.232606E-17
3902.0044,5.530184E-17,5.327367E-18,7.3339626E-17
3907.525,5.60345E-17,5.319189E-18,7.825983E-17
3913.0457,5.395415E-17,5.2348807E-18,7.802116E-17
3918.5662,6.673996E-17,5.2314045E-18,6.786778E-17
3924.0867,6.696909E-17,5.103858E-18,5.884288E-17
3929.6074,6.637185E-17,5.011391E-18,5.4918066E-17
3935.128,6.1745664E-17,4.9003557E-18,5.4330788E-17
3940.6484,7.3844054E-17,5.0699736E-18,6.3730944E-17
3946.169,6.516795E-17,5.0068006E-18,7.278371E-17
3951.6897,7.00717E-17,4.9411816E-18,6.4423784E-17
3957.2102,6.540052E-17,4.814575E-18,6.154902E-17
3962.7307,6.564573E-17,4.7106658E-18,5.3933503E-17
3968.2512,7.486662E-17,4.72162E-18,4.8382386E-17
3973.772,6.727455E-17,4.6463976E-18,5.3873062E-17
3979.2925,6.798658E-17,4.6762985E-18,6.15165E-17
3984.813,7.145289E-17,4.7145937E-18,6.678644E-17
3990.3335,7.103385E-17,4.6890226E-18,6.858541E-17
3995.8542,7.062682E-17,4.6013047E-18,6.338213E-17
4001.3748,6.424407E-17,4.5842627E-18,7.3102874E-17
4006.8953,6.6633217E-17,4.587652E-18,7.4339046E-17
4012.416,6.0889877E-17,4.4919915E-18,7.472486E-17
4017.9365,5.3627247E-17,4.3721984E-18,7.3141434E-17
4023.457,5.8289174E-17,4.3569253E-18,7.019868E-17
4028.9775,6.3694555E-17,4.375014E-18,6.914092E-17
4034.4983,6.41164E-17,4.3711172E-18,7.209903E-17
4040.0188,6.740327E-17,4.375599E-18,7.26709E-17
4045.5393,6.1949144E-17,4.331174E-18,7.755451E-17
4051.0598,6.736799E-17,4.3510565E-18,7.70285E-17
4056.5806,6.18781E-17,4.1987403E-18,6.909515E-17
4062.101,6.600437E-17,4.2212185E-18,7.157698E-17
4067.6216,5.858991E-17,4.137241E-18,7.318288E-17
