WAVE,FLUX,ERR,SKYBACK
3654.5786,3.8919962E-16,2.6854276E-17,6.802727E-17
3660.099,4.2000743E-16,2.652591E-17,7.559076E-17
3665.6199,4.7069224E-16,2.5590857E-17,-1.4417282E-17
3671.1404,3.7051916E-16,2.4113393E-17,1.2697967E-17
3676.661,4.0906133E-16,2.3859459E-17,1.38365835E-17
3682.1814,4.5933406E-16,2.36823E-17,-8.806076E-18
3687.7021,3.1793027E-16,2.2103454E-17,5.340848E-17
3693.2227,3.7019215E-16,2.2118679E-17,4.690133E-17
3698.7432,3.554862E-16,2.1505573E-17,5.7333046E-17
3704.2637,3.9175951E-16,2.110525E-17,1.9308541E-17
3709.7844,3.4164383E-16,2.0631426E-17,7.928544E-17
3715.305,3.872049E-16,2.0487037E-17,5.759846E-17
3720.8254,3.5525578E-16,1.9911703E-17,7.682574E-17
3726.3462,3.7190083E-16,1.9548402E-17,6.907174E-17
3731.8667,3.5089917E-16,1.8898802E-17,5.722287E-17
3737.3872,3.5626992E-16,1.8592535E-17,5.808853E-17
3742.9077,3.3158854E-16,1.793412E-17,5.806883E-17
3748.4285,3.4209445E-16,1.7788074E-17,6.329999E-17
3753.949,3.6169397E-16,1.7478126E-17,4.1997823E-17
3759.4695,3.514214E-16,1.6770961E-17,7.769649E-18
3764.99,3.4552433E-16,1.6681435E-17,4.226915E-17
3770.5107,3.2396128E-16,1.6405486E-17,7.0480176E-17
3776.0312,3.425227E-16,1.6296983E-17,7.265452E-17
3781.5518,3.1031396E-16,1.5533575E-17,4.8093022E-17
3787.0723,3.047419E-16,1.5145002E-17,3.8452348E-17
3792.593,3.0404062E-16,1.486196E-17,3.1499908E-17
3798.1135,2.8103235E-16,1.4460831E-17,4.1749417E-17
3803.634,2.7229626E-16,1.4241145E-17,5.073036E-17
3809.1548,2.811746E-16,1.3938038E-17,3.067974E-17
3814.6753,2.584719E-16,1.3549858E-17,3.9343383E-17
3820.1958,2.271636E-16,1.3194128E-17,5.676856E-17
3825.7163,2.0994811E-16,1.2941159E-17,7.201532E-17
3831.237,2.1091904E-16,1.2364688E-17,2.6238333E-17
3836.7576,1.8318521E-16,1.2082409E-17,4.4929936E-17
3842.278,1.999547E-16,1.1965932E-17,3.2422396E-17
3847.7986,1.8933051E-16,1.1545736E-17,1.4770494E-17
3853.3193,1.422633E-16,1.1081694E-17,3.886398E-17
3858.8398,1.5432715E-16,1.1154862E-17,4.8981712E-17
3864.3604,1.3364976E-16,1.0732946E-17,4.486212E-17
3869.881,1.4388804E-16,1.0709536E-17,4.628553E-17
3875.4016,1.3455674E-16,1.0389647E-17,3.9629346E-17
3880.922,1.4873672E-16,1.0248582E-17,1.7038822E-17
3886.4426,1.3592401E-16,1.01982444E-17,4.3816597E-17
3891.9634,1.4718782E-16,1.0276846E-17,5.1727677E-17
3897.484,1.6435201E-16,1.0154602E-17,3.1270048E-17
3903.0044,1.6330067E-16,1.0149922E-17,4.4080412E-17
3908.525,1.6507244E-16,1.0145413E-17,5.5705314E-17
3914.0457,1.6157192E-16,9.99392E-18,5.4542844E-17
3919.5662,1.5822585E-16,9.767687E-18,4.590519E-17
3925.0867,1.6043352E-16,9.5821115E-18,3.22417E-17
3930.6074,1.358359E-16,9.259274E-18,3.5938066E-17
3936.128,1.4772603E-16,9.252388E-18,3.1274256E-17
3941.6484,1.3509825E-16,9.141301E-18,4.4560097E-17
3947.169,1.2119759E-16,8.902079E-18,4.5801378E-17
3952.6897,1.5591485E-16,9.173519E-18,4.572717E-17
3958.2102,1.5389951E-16,9.2084906E-18,4.702289E-17
3963.7307,1.4189043E-16,8.753096E-18,3.3702766E-17
3969.2512,1.4197267E-16,8.630221E-18,3.013348E-17
3974.772,1.4973491E-16,8.757649E-18,4.2675002E-17
3980.2925,1.7440177E-16,8.9229E-18,4.1198617E-17
3985.813,1.5948294E-16,8.715797E-18,4.581792E-17
3991.3335,1.6652615E-16,8.788014E-18,5.400334E-17
3996.8542,1.5168151E-16,8.494071E-18,4.762616E-17
4002.3748,1.738841E-16,8.633793E-18,4.391238E-17
4007.8953,2.1075441E-16,9.006636E-18,4.7892212E-17
4013.416,1.9714902E-16,8.790246E-18,5.4350772E-17
4018.9365,2.0147949E-16,8.768081E-18,5.3875838E-17
4024.457,2.24982E-16,8.86664E-18,4.6687645E-17
4029.9775,2.3867525E-16,8.928694E-18,4.566812E-17
4035.4983,2.4656203E-16,9.011305E-18,5.672271E-17
4041.0188,2.67008E-16,9.194462E-18,6.6612716E-17
4046.5393,2.8002282E-16,9.226551E-18,6.500131E-17
4052.0598,2.7586047E-16,9.1006204E-18,6.1520565E-17
4057.5806,3.056394E-16,9.191276E-18,4.7505145E-17
4063.101,2.816716E-16,8.927533E-18,4.52245E-17
4068.6216,2.846787E-16,9.043309E-18,6.8211034E-17
4074.1423,3.0257282E-16,9.122974E-18,6.6689915E-17
