WAVE,FLUX,ERR,SKYBACK
3659.4658,2.2584082E-15,1.5810452E-16,7.359453E-15
3664.9885,2.0826937E-15,1.536053E-16,7.25722E-15
3670.511,1.9136416E-15,1.4968308E-16,7.2356985E-15
3676.0337,1.8804098E-15,1.4552844E-16,6.9856823E-15
3681.5564,2.2190897E-15,1.4445121E-16,6.7484466E-15
3687.079,1.9995917E-15,1.392245E-16,6.5380267E-15
3692.6018,2.0852657E-15,1.3682114E-16,6.400277E-15
3698.1245,1.9954125E-15,1.3386848E-16,6.3724106E-15
3703.647,2.236859E-15,1.3211966E-16,6.0994927E-15
3709.1697,2.0751644E-15,1.2781428E-16,5.9013793E-15
3714.6924,1.982189E-15,1.2528536E-16,5.9223637E-15
3720.215,1.9916629E-15,1.2181931E-16,5.631889E-15
3725.7378,2.068802E-15,1.2000842E-16,5.532243E-15
3731.2605,2.0261005E-15,1.1796204E-16,5.5469265E-15
3736.783,2.0237275E-15,1.1558007E-16,5.4252676E-15
3742.3057,2.192683E-15,1.1327173E-16,5.0924065E-15
3747.8284,2.1068983E-15,1.1046485E-16,4.997718E-15
3753.351,2.1686424E-15,1.0877908E-16,4.898593E-15
3758.8738,2.096212E-15,1.06315215E-16,4.821905E-15
3764.3965,2.0663123E-15,1.0366695E-16,4.6556154E-15
3769.9192,2.0361349E-15,1.0177419E-16,4.614111E-15
3775.4417,1.9157645E-15,9.9454585E-17,4.6024903E-15
3780.9644,2.074215E-15,9.8204775E-17,4.4165535E-15
3786.487,2.1447664E-15,9.623849E-17,4.2088826E-15
3792.0098,2.167624E-15,9.46643E-17,4.127644E-15
3797.5325,2.0742835E-15,9.276137E-17,4.1224827E-15
3803.0552,2.1966868E-15,9.150762E-17,3.962439E-15
3808.5776,2.0288044E-15,8.8967404E-17,3.9276943E-15
3814.1003,2.1387773E-15,8.831997E-17,3.8684355E-15
3819.623,2.160932E-15,8.6750626E-17,3.7562332E-15
3825.1458,2.1292153E-15,8.508074E-17,3.685969E-15
3830.6685,2.1241837E-15,8.351492E-17,3.5947456E-15
3836.1912,1.905951E-15,8.1011766E-17,3.600794E-15
3841.7136,2.03697E-15,8.024299E-17,3.4725232E-15
3847.2363,1.8858627E-15,7.802648E-17,3.4273911E-15
3852.759,1.9097023E-15,7.6832784E-17,3.3481059E-15
3858.2817,2.0185413E-15,7.604902E-17,3.2283873E-15
3863.8044,1.9292878E-15,7.471233E-17,3.2571422E-15
3869.3271,1.8607298E-15,7.277226E-17,3.143455E-15
3874.8496,1.7556286E-15,7.076797E-17,3.0546437E-15
3880.3723,1.7684631E-15,6.971803E-17,2.9926424E-15
3885.895,1.7677942E-15,6.869779E-17,2.9551537E-15
3891.4177,1.7410719E-15,6.7751916E-17,2.9411574E-15
3896.9404,1.4907929E-15,6.520155E-17,2.9200766E-15
3902.4631,1.6994501E-15,6.594106E-17,2.9184406E-15
3907.9856,1.5804444E-15,6.41215E-17,2.8547293E-15
3913.5083,1.5053738E-15,6.2707126E-17,2.8087377E-15
3919.031,1.4656794E-15,6.1303096E-17,2.7163078E-15
3924.5537,1.3532742E-15,5.9485324E-17,2.640892E-15
3930.0764,1.3003439E-15,5.8011235E-17,2.5426013E-15
3935.599,1.1865385E-15,5.643744E-17,2.509313E-15
3941.1218,1.1750106E-15,5.5982075E-17,2.5329282E-15
3946.6443,1.2148878E-15,5.559662E-17,2.5036754E-15
3952.167,1.0611659E-15,5.391452E-17,2.4956303E-15
3957.6897,1.0984833E-15,5.304604E-17,2.3772782E-15
3963.2124,8.8196644E-16,5.0895397E-17,2.3630688E-15
3968.735,8.5276064E-16,4.9988616E-17,2.3186326E-15
3974.2578,7.616059E-16,4.8786034E-17,2.3059072E-15
3979.7803,7.813207E-16,4.834306E-17,2.2761973E-15
3985.303,7.2788373E-16,4.7699827E-17,2.3046502E-15
3990.8257,7.510196E-16,4.751878E-17,2.3066365E-15
3996.3484,6.375838E-16,4.6223928E-17,2.2979597E-15
4001.871,7.596771E-16,4.655571E-17,2.2567363E-15
4007.3938,8.242535E-16,4.6430405E-17,2.2094975E-15
4012.9163,8.4286205E-16,4.6363748E-17,2.2319015E-15
4018.439,7.9134556E-16,4.5845367E-17,2.2661162E-15
4023.9617,8.49976E-16,4.5328124E-17,2.1545812E-15
4029.4844,8.754192E-16,4.4896187E-17,2.0960743E-15
4035.007,8.2735155E-16,4.4238145E-17,2.0967388E-15
4040.5298,7.212587E-16,4.321003E-17,2.1051367E-15
4046.0522,6.559332E-16,4.2320658E-17,2.0759774E-15
4051.575,7.0561227E-16,4.2419698E-17,2.0732654E-15
4057.0977,7.1981786E-16,4.2064047E-17,2.0371928E-15
4062.6204,7.02651E-16,4.1662427E-17,2.039011E-15
4068.143,7.059003E-16,4.1352225E-17,2.0166506E-15
4073.6658,6.7017856E-16,4.095574E-17,2.0340054E-15
4079.1885,6.956941E-16,4.0599556E-17,1.9745443E-15
4084.711,7.4226185E-16,4.0593025E-17,1.9480297E-15
4090.2336,8.02273E-16,4.0576233E-17,1.9037368E-15
4095.7563,7.618833E-16,4.0226362E-17,1.9296963E-15
4101.279,8.0751944E-16,4.012172E-17,1.88392E-15
4106.802,8.52169E-16,4.0245606E-17,1.8824947E-15
4112.324,9.465811E-16,4.0650418E-17,1.8659829E-15
4117.847,1.04619E-15,4.1143497E-17,1.8665315E-15
4123.3696,1.1149781E-15,4.128341E-17,1.832444E-15
4128.8926,1.2098837E-15,4.1732655E-17,1.8272671E-15
4134.415,1.2988639E-15,4.2185705E-17,1.8356553E-15
4139.9375,1.2754571E-15,4.1908285E-17,1.84079E-15
4145.4604,1.3430843E-15,4.2236984E-17,1.853942E-15
4150.983,1.3061799E-15,4.1727768E-17,1.8328283E-15
4156.506,1.5188319E-15,4.2696516E-17,1.7810943E-15
4162.0283,1.4673932E-15,4.241214E-17,1.8196432E-15
4167.551,1.5022746E-15,4.2430683E-17,1.8056377E-15
4173.0737,1.5326834E-15,4.2429283E-17,1.7951345E-15
4178.596,1.5131836E-15,4.2112357E-17,1.7808525E-15
4184.119,1.548996E-15,4.208329E-17,1.7572196E-15
4189.6416,1.5668504E-15,4.1926424E-17,1.7291891E-15
