WAVE,FLUX,ERR,SKYBACK
3659.4658,2.0902734E-15,1.545052E-16,7.485685E-15
3664.9885,2.1723596E-15,1.5131136E-16,7.269949E-15
3670.511,2.2289725E-15,1.4771852E-16,7.0121466E-15
3676.0337,2.298452E-15,1.4489004E-16,6.8447064E-15
3681.5564,2.1292284E-15,1.4074932E-16,6.7289216E-15
3687.079,2.140638E-15,1.3781462E-16,6.587223E-15
3692.6018,2.1054882E-15,1.346472E-16,6.4584937E-15
3698.1245,2.382406E-15,1.3372256E-16,6.309432E-15
3703.647,2.1400806E-15,1.287842E-16,6.1113813E-15
3709.1697,1.87548E-15,1.2410946E-16,5.9724132E-15
3714.6924,1.936162E-15,1.2179055E-16,5.819716E-15
3720.215,1.9407342E-15,1.1894641E-16,5.6328072E-15
3725.7378,1.8319277E-15,1.1576203E-16,5.5350605E-15
3731.2605,2.0847361E-15,1.1549151E-16,5.4653437E-15
3736.783,1.9237933E-15,1.1179767E-16,5.3143305E-15
3742.3057,1.818168E-15,1.087466E-16,5.193556E-15
3747.8284,1.9715666E-15,1.07327326E-16,5.015123E-15
3753.351,1.9936902E-15,1.0521358E-16,4.889094E-15
3758.8738,1.927624E-15,1.0279953E-16,4.8023837E-15
3764.3965,1.780955E-15,9.970028E-17,4.694414E-15
3769.9192,1.9120367E-15,9.869552E-17,4.59534E-15
3775.4417,1.912485E-15,9.7040965E-17,4.544903E-15
3780.9644,1.8207649E-15,9.4623884E-17,4.4581237E-15
3786.487,1.8624025E-15,9.26727E-17,4.286408E-15
3792.0098,1.8570401E-15,9.084158E-17,4.1825983E-15
3797.5325,1.7457892E-15,8.849779E-17,4.117686E-15
3803.0552,1.7771012E-15,8.706228E-17,4.0245356E-15
3808.5776,1.7072319E-15,8.519702E-17,3.975935E-15
3814.1003,1.6623141E-15,8.32244E-17,3.8765238E-15
3819.623,1.5008006E-15,8.042627E-17,3.7656154E-15
3825.1458,1.5852332E-15,7.951551E-17,3.6751442E-15
3830.6685,1.647035E-15,7.878489E-17,3.6453914E-15
3836.1912,1.5824008E-15,7.7017715E-17,3.5811846E-15
3841.7136,1.4467459E-15,7.464623E-17,3.5004467E-15
3847.2363,1.4343989E-15,7.3393036E-17,3.4413286E-15
3852.759,1.3334929E-15,7.111757E-17,3.3190624E-15
3858.2817,1.2597692E-15,6.980255E-17,3.3330734E-15
3863.8044,1.3258321E-15,6.89791E-17,3.2438145E-15
3869.3271,1.3227847E-15,6.741395E-17,3.105578E-15
3874.8496,1.1851714E-15,6.565079E-17,3.1040702E-15
3880.3723,1.0862337E-15,6.3676986E-17,3.0122027E-15
3885.895,1.0923608E-15,6.2742205E-17,2.9651926E-15
3891.4177,1.0627404E-15,6.1533125E-17,2.9095779E-15
3896.9404,9.89327E-16,6.0280086E-17,2.903401E-15
3902.4631,8.997579E-16,5.8963313E-17,2.8997737E-15
3907.9856,8.077519E-16,5.744385E-17,2.861064E-15
3913.5083,8.0647023E-16,5.6589087E-17,2.8166696E-15
3919.031,9.36496E-16,5.641205E-17,2.7168722E-15
3924.5537,8.812853E-16,5.496041E-17,2.6309788E-15
3930.0764,9.116804E-16,5.4306684E-17,2.5691488E-15
3935.599,9.086935E-16,5.3633683E-17,2.5473364E-15
3941.1218,9.482E-16,5.342065E-17,2.5493832E-15
3946.6443,9.355197E-16,5.2804146E-17,2.5467515E-15
3952.167,8.934558E-16,5.178815E-17,2.5007305E-15
3957.6897,8.4138107E-16,5.0582134E-17,2.4334187E-15
3963.2124,8.497322E-16,4.9691946E-17,2.3412977E-15
3968.735,8.156922E-16,4.8831003E-17,2.3118684E-15
3974.2578,8.3458665E-16,4.8495693E-17,2.3023408E-15
3979.7803,7.8593186E-16,4.777171E-17,2.3085733E-15
3985.303,7.6789874E-16,4.7371284E-17,2.3300887E-15
3990.8257,7.447083E-16,4.6581012E-17,2.2889647E-15
3996.3484,8.031519E-16,4.6514963E-17,2.2629044E-15
4001.871,7.1600674E-16,4.566107E-17,2.2854529E-15
4007.3938,8.0423825E-16,4.5669677E-17,2.2288598E-15
4012.9163,8.064406E-16,4.5247438E-17,2.2117756E-15
4018.439,8.508961E-16,4.525114E-17,2.2100733E-15
4023.9617,8.378193E-16,4.4616478E-17,2.1666595E-15
4029.4844,8.808011E-16,4.44462E-17,2.1366292E-15
4035.007,8.7223456E-16,4.4023432E-17,2.1187428E-15
4040.5298,9.036347E-16,4.3857205E-17,2.0991638E-15
4046.0522,9.362544E-16,4.3733238E-17,2.084382E-15
4051.575,1.0190032E-15,4.3951034E-17,2.0665217E-15
4057.0977,1.0187455E-15,4.354041E-17,2.0372532E-15
4062.6204,1.0062418E-15,4.3168055E-17,2.028753E-15
4068.143,1.0832616E-15,4.3313645E-17,1.9992527E-15
4073.6658,1.0842524E-15,4.308599E-17,2.000243E-15
4079.1885,1.2225886E-15,4.3693288E-17,1.9815501E-15
4084.711,1.1842534E-15,4.316842E-17,1.9687555E-15
4090.2336,1.2363337E-15,4.313072E-17,1.9347757E-15
4095.7563,1.1974382E-15,4.2606346E-17,1.9228766E-15
