WAVE,FLUX,ERR,SKYBACK
5999.295,1.0695765E-16,2.9993292E-18,4.8527325E-17
6003.5103,1.03475894E-16,2.9666028E-18,4.7415654E-17
6007.726,1.1384372E-16,3.0156267E-18,4.494437E-17
6011.9414,1.04551255E-16,2.9499083E-18,4.5298846E-17
6016.1567,1.1206304E-16,3.0008837E-18,4.550202E-17
6020.3726,1.1567925E-16,3.023706E-18,4.564881E-17
6024.588,1.1524202E-16,3.0156846E-18,4.5687528E-17
6028.8037,1.0160043E-16,2.9131384E-18,4.4865115E-17
6033.019,1.1115521E-16,2.9668255E-18,4.3678558E-17
6037.2344,1.05386125E-16,2.9224998E-18,4.3638846E-17
6041.45,1.03979475E-16,2.907157E-18,4.3379184E-17
6045.6655,9.967168E-17,2.8672464E-18,4.2610906E-17
6049.8813,9.7835846E-17,2.8536906E-18,4.3163532E-17
6054.0967,9.479482E-17,2.8341853E-18,4.3785062E-17
6058.3125,9.501251E-17,2.827777E-18,4.3261083E-17
6062.528,9.7905706E-17,2.8373637E-18,4.220586E-17
6066.743,9.1055215E-17,2.7751531E-18,4.102582E-17
6070.959,9.6889233E-17,2.818085E-18,4.177009E-17
6075.1743,9.596907E-17,2.8101323E-18,4.1908163E-17
6079.39,8.819962E-17,2.7484697E-18,4.1760256E-17
6083.6055,8.619223E-17,2.7372176E-18,4.3035286E-17
6087.821,8.612071E-17,2.7236928E-18,4.184417E-17
6092.0366,8.634649E-17,2.731346E-18,4.2860724E-17
6096.252,8.677596E-17,2.7288424E-18,4.254855E-17
6100.468,9.1906383E-17,2.762321E-18,4.2689855E-17
6104.683,9.897457E-17,2.8020404E-18,4.133434E-17
6108.8984,9.192913E-17,2.7496141E-18,4.145848E-17
6113.1143,9.034666E-17,2.7268048E-18,4.0383788E-17
6117.3296,9.375889E-17,2.7491337E-18,4.06038E-17
6121.5454,9.129486E-17,2.7422082E-18,4.257184E-17
6125.7607,9.7500493E-17,2.7752325E-18,4.1642436E-17
6129.976,7.621949E-17,2.7746372E-18,6.367812E-17
6134.192,9.1494414E-17,2.7971776E-18,5.16019E-17
6138.407,1.0426263E-16,2.8393529E-18,4.5400288E-17
6142.623,1.0508321E-16,2.8429497E-18,4.5635028E-17
6146.8384,1.02192666E-16,2.806427E-18,4.3839716E-17
6151.0537,9.5126273E-17,2.7598695E-18,4.448449E-17
6155.2695,9.8846713E-17,2.7870639E-18,4.5210926E-17
6159.485,1.02181E-16,2.8166513E-18,4.6807335E-17
6163.7007,1.0642608E-16,2.843931E-18,4.6478306E-17
6167.916,1.0072676E-16,2.8240449E-18,4.996501E-17
6172.1313,9.3644733E-17,2.8012697E-18,5.44127E-17
6176.347,1.0535682E-16,2.7880859E-18,4.114637E-17
6180.5625,1.0746586E-16,2.8068558E-18,4.1981762E-17
6184.7783,1.0238259E-16,2.7724323E-18,4.2549704E-17
6188.9937,1.0332027E-16,2.7815542E-18,4.3701646E-17
6193.2095,9.413323E-17,2.7259896E-18,4.570862E-17
6197.425,9.621045E-17,2.758911E-18,4.8583494E-17
6201.64,9.716126E-17,2.7514598E-18,4.6725904E-17
6205.856,1.00305575E-16,2.7454714E-18,4.359827E-17
6210.0713,1.0625286E-16,2.801003E-18,4.6030288E-17
6214.287,1.0536569E-16,2.7826494E-18,4.4927958E-17
6218.5024,1.1403479E-16,2.861336E-18,4.8068286E-17
6222.718,1.1091843E-16,2.907698E-18,5.8710315E-17
6226.9336,1.0724396E-16,2.944033E-18,6.864033E-17
6231.149,1.1452296E-16,3.0119466E-18,7.230326E-17
6235.3647,1.1688655E-16,2.9820055E-18,6.5771936E-17
6239.58,1.09819734E-16,2.8391688E-18,5.1234912E-17
6243.7954,1.04498746E-16,2.8186529E-18,5.4145936E-17
6248.011,1.07090415E-16,2.885292E-18,6.210502E-17
6252.2266,1.1152184E-16,2.9324876E-18,6.584326E-17
6256.4424,1.0939233E-16,2.9184328E-18,6.6003004E-17
6260.6577,1.0845302E-16,2.8332828E-18,5.4433408E-17
6264.873,1.1300642E-16,2.8188617E-18,4.841741E-17
6269.089,1.0466375E-16,2.7353668E-18,4.5399954E-17
6273.304,1.0542032E-16,2.770117E-18,5.037184E-17
6277.52,1.06615044E-16,2.8169702E-18,5.6939963E-17
6281.7354,1.1036818E-16,2.8564248E-18,5.981507E-17
6285.9507,1.0597352E-16,3.1250003E-18,1.0815135E-16
6290.1665,1.0415645E-16,3.378516E-18,1.555515E-16
6294.382,1.1304417E-16,3.490402E-18,1.679817E-16
6298.5977,1.0933362E-16,3.4029267E-18,1.5563096E-16
6302.813,1.1478216E-16,3.0404744E-18,8.6526824E-17
6307.0283,1.08119044E-16,2.7974276E-18,5.513904E-17
6311.244,1.09739795E-16,2.7433993E-18,4.513938E-17
6315.4595,1.05203226E-16,2.7503414E-18,5.1322712E-17
6319.6753,1.04485756E-16,2.8074276E-18,6.082968E-17
6323.8906,1.0618318E-16,2.79746E-18,5.8030565E-17
6328.1064,1.0544553E-16,2.758282E-18,5.277318E-17
6332.322,1.0528794E-16,2.701746E-18,4.4981923E-17
6336.537,1.03897955E-16,2.6701097E-18,4.2112903E-17
6340.753,1.01733594E-16,2.6878016E-18,4.720231E-17
6344.9683,1.00057196E-16,2.711875E-18,5.3101048E-17
6349.184,1.0528921E-16,2.8306046E-18,6.63832E-17
6353.3994,1.01856446E-16,2.903536E-18,8.1799864E-17
6357.6147,9.9072666E-17,2.8548201E-18,7.7060325E-17
6361.8306,1.0362162E-16,2.8657627E-18,7.471679E-17
6366.046,1.00650205E-16,2.7237813E-18,5.611555E-17
6370.2617,9.8205423E-17,2.6062124E-18,4.1315326E-17
6374.477,9.197419E-17,2.5884326E-18,4.5389356E-17
6378.6924,9.20288E-17,2.5947349E-18,4.6584466E-17
6382.908,8.799933E-17,2.5548207E-18,4.5308017E-17
6387.1235,8.600934E-17,2.5191914E-18,4.273719E-17
6391.3394,8.4538514E-17,2.47305E-18,3.782021E-17
6395.5547,8.6206547E-17,2.4735813E-18,3.6701292E-17
6399.77,8.806517E-17,2.4839702E-18,3.6619584E-17
6403.986,8.0859783E-17,2.4424627E-18,3.8461073E-17
6408.201,8.0256795E-17,2.4476312E-18,3.984062E-17
6412.417,7.3439424E-17,2.4009416E-18,4.0738827E-17
6416.6323,7.374903E-17,2.4001191E-18,4.0526516E-17
6420.8477,7.215878E-17,2.367904E-18,3.8031495E-17
6425.0635,7.5399875E-17,2.3806696E-18,3.6910513E-17
6429.279,7.0851097E-17,2.347601E-18,3.7307196E-17
6433.4946,6.829696E-17,2.3180184E-18,3.6074108E-17
6437.71,6.981808E-17,2.3334167E-18,3.6929723E-17
6441.9253,7.150494E-17,2.351302E-18,3.7881808E-17
6446.141,7.366641E-17,2.3746215E-18,3.9384183E-17
6450.3564,7.145328E-17,2.3965238E-18,4.4878492E-17
6454.5723,6.728032E-17,2.4289176E-18,5.387299E-17
6458.7876,7.315114E-17,2.4976504E-18,5.834843E-17
6463.0034,7.5458896E-17,2.5252953E-18,6.033727E-17
6467.2188,7.261242E-17,2.4663947E-18,5.5331107E-17
6471.434,7.0827446E-17,2.383648E-18,4.5326166E-17
6475.65,6.969146E-17,2.3304037E-18,3.943432E-17
6479.865,7.1365715E-17,2.326326E-18,3.768914E-17
6484.081,7.475387E-17,2.3875235E-18,4.288023E-17
6488.2964,6.930773E-17,2.4497444E-18,5.7349444E-17
6492.5117,7.361272E-17,2.512559E-18,6.2300974E-17
6496.7275,7.456593E-17,2.5326897E-18,6.4506866E-17
6500.943,7.585667E-17,2.460768E-18,5.325977E-17
6505.1587,7.8383165E-17,2.4059495E-18,4.289735E-17
6509.374,7.1397585E-17,2.3384239E-18,4.1037042E-17
6513.5894,7.8757964E-17,2.39575E-18,4.2259923E-17
6517.805,7.0155094E-17,2.360206E-18,4.589265E-17
6522.0205,7.794676E-17,2.477173E-18,5.4872998E-17
6526.2363,7.709344E-17,2.4605573E-18,5.3814425E-17
6530.4517,7.617618E-17,2.4768097E-18,5.7040377E-17
6534.667,7.812111E-17,2.4626807E-18,5.331487E-17
6538.883,7.2175644E-17,2.3978146E-18,5.0289018E-17
6543.098,7.587028E-17,2.4988744E-18,6.1390354E-17
6547.314,8.427489E-17,2.5642307E-18,6.311637E-17
6551.5293,8.5583236E-17,2.6454311E-18,7.5088624E-17
6555.7446,9.3693054E-17,2.682455E-18,7.285023E-17
6559.9604,8.4083856E-17,2.5889947E-18,6.794988E-17
6564.176,7.8096226E-17,2.5230994E-18,6.3999685E-17
6568.3916,8.199611E-17,2.4937215E-18,5.571831E-17
6572.607,8.230932E-17,2.4732833E-18,5.2726484E-17
6576.8223,8.4318834E-17,2.463998E-18,4.947854E-17
6581.038,8.7253744E-17,2.4234754E-18,4.0950595E-17
6585.2534,8.377848E-17,2.382728E-18,3.8639234E-17
6589.469,8.820988E-17,2.4282586E-18,4.1029154E-17
6593.6846,9.233079E-17,2.4795483E-18,4.4648768E-17
6597.9004,9.6175615E-17,2.5014196E-18,4.432631E-17
6602.1157,9.3644654E-17,2.476507E-18,4.320933E-17
6606.331,9.455772E-17,2.4500837E-18,3.8707268E-17
6610.547,9.6854015E-17,2.444063E-18,3.568319E-17
6614.762,9.7601615E-17,2.4517697E-18,3.620089E-17
6618.978,9.789649E-17,2.4549015E-18,3.6863893E-17
6623.1934,1.0064476E-16,2.4784765E-18,3.8008443E-17
6627.4087,1.0028416E-16,2.4849893E-18,3.93999E-17
6631.6245,9.883051E-17,2.4701373E-18,3.8581494E-17
6635.84,1.0186916E-16,2.4714178E-18,3.622844E-17
6640.0557,1.0511482E-16,2.4749519E-18,3.3640797E-17
6644.271,1.094471E-16,2.5032098E-18,3.3533412E-17
6648.4863,1.06176566E-16,2.4924972E-18,3.5464426E-17
6652.702,1.0555319E-16,2.490195E-18,3.5926816E-17
6656.9175,1.0771785E-16,2.509579E-18,3.676763E-17
6661.1333,1.07148927E-16,2.5002016E-18,3.6225333E-17
6665.3486,1.082905E-16,2.49779E-18,3.480169E-17
6669.564,1.087455E-16,2.4963728E-18,3.432712E-17
6673.78,1.06825056E-16,2.4808278E-18,3.4120072E-17
6677.995,1.1072761E-16,2.5053285E-18,3.4082574E-17
6682.211,1.08492036E-16,2.4876183E-18,3.4251762E-17
6686.4263,1.1255023E-16,2.5210035E-18,3.5183452E-17
6690.6416,1.0749526E-16,2.4916142E-18,3.5922846E-17
6694.8574,1.1255441E-16,2.5229397E-18,3.603078E-17
6699.0728,1.134207E-16,2.5253762E-18,3.5433334E-17
6703.2886,1.139286E-16,2.5249002E-18,3.531613E-17
6707.504,1.1271449E-16,2.5229106E-18,3.6242224E-17
6711.719,1.1300511E-16,2.5270413E-18,3.6717492E-17
6715.935,1.1437133E-16,2.5256823E-18,3.5164348E-17
6720.1504,1.1332091E-16,2.5320482E-18,3.7485645E-17
6724.366,1.0492957E-16,2.517509E-18,4.407064E-17
6728.5815,1.0723901E-16,2.4994226E-18,3.920631E-17
6732.7974,1.1257235E-16,2.5029557E-18,3.451376E-17
6737.0127,1.1307792E-16,2.5138066E-18,3.573863E-17
6741.228,1.1093765E-16,2.490914E-18,3.4366992E-17
6745.444,1.1541344E-16,2.5156384E-18,3.3891585E-17
6749.659,1.0882814E-16,2.470678E-18,3.3765006E-17
6753.875,1.1362108E-16,2.4943466E-18,3.3007484E-17
6758.0903,1.1553564E-16,2.5034768E-18,3.28723E-17
6762.3057,1.09969745E-16,2.4744291E-18,3.3447336E-17
6766.5215,1.130558E-16,2.4936123E-18,3.3532406E-17
6770.737,1.1491838E-16,2.4978964E-18,3.2335036E-17
6774.9526,1.1009714E-16,2.465176E-18,3.250199E-17
6779.168,1.1179298E-16,2.4866832E-18,3.4234044E-17
6783.3833,1.1164531E-16,2.4812616E-18,3.3551855E-17
6787.599,1.107244E-16,2.4765585E-18,3.410469E-17
6791.8145,1.099938E-16,2.4702864E-18,3.3791797E-17
6796.0303,1.0845471E-16,2.4466935E-18,3.2208388E-17
6800.2456,1.09376484E-16,2.465008E-18,3.3973826E-17
6804.461,1.0959169E-16,2.4587615E-18,3.2753186E-17
6808.677,1.08899386E-16,2.4480104E-18,3.227876E-17
6812.892,1.09935526E-16,2.491571E-18,3.7732737E-17
6817.108,1.04869144E-16,2.5830394E-18,5.762402E-17
6821.323,1.1066097E-16,2.761776E-18,8.202787E-17
6825.5386,1.0682094E-16,2.8224164E-18,9.642964E-17
6829.7544,1.0514086E-16,2.7863895E-18,9.178234E-17
6833.9697,1.0697256E-16,2.67084E-18,7.039054E-17
6838.1855,1.0420945E-16,2.5236397E-18,4.9871308E-17
6842.401,1.0773467E-16,2.4859288E-18,4.0314477E-17
6846.616,1.0345936E-16,2.4348578E-18,3.6823368E-17
6850.832,1.062901E-16,2.5952635E-18,6.0341026E-17
6855.0474,1.0432616E-16,2.7230788E-18,8.5183165E-17
6859.263,9.647946E-17,2.683449E-18,8.9350237E-17
6863.4785,9.7523827E-17,2.6164147E-18,8.110964E-17
6867.6943,9.416959E-17,2.3973632E-18,5.2909317E-17
6871.9097,9.9449695E-17,2.333999E-18,4.0206976E-17
6876.125,1.00794294E-16,2.3561925E-18,4.193684E-17
6880.341,1.0322098E-16,2.4102653E-18,4.6709126E-17
6884.556,1.03563886E-16,2.40998E-18,4.510178E-17
6888.772,1.0399281E-16,2.4309384E-18,4.7242022E-17
6892.9873,1.01206435E-16,2.4060076E-18,4.524946E-17
6897.2026,9.5940504E-17,2.3704891E-18,4.423759E-17
