WAVE,FLUX,ERR,SKYBACK
3668.6868,1.3011709E-16,1.2962585E-17,3.613717E-17
3674.2107,1.3006583E-16,1.3054765E-17,6.492726E-17
3679.7344,1.0905611E-16,1.24200995E-17,4.2750633E-17
3685.2583,9.4861324E-17,1.2248141E-17,6.110428E-17
3690.7822,7.54442E-17,1.1953128E-17,7.9029385E-17
3696.306,1.4107086E-16,1.2478638E-17,5.801856E-17
3701.8298,1.22858E-16,1.2472643E-17,9.512491E-17
3707.3535,1.05280465E-16,1.1803876E-17,7.512336E-17
3712.8774,1.1212076E-16,1.1853437E-17,7.790991E-17
3718.4011,1.4485674E-16,1.1879295E-17,5.599681E-17
3723.925,1.4936825E-16,1.1938215E-17,7.053125E-17
3729.4487,1.3153871E-16,1.1874269E-17,1.01180276E-16
3734.9727,1.3041912E-16,1.174559E-17,1.0568985E-16
3740.4963,1.2304244E-16,1.1542484E-17,1.1078427E-16
3746.0203,1.1639101E-16,1.11584936E-17,9.167906E-17
3751.544,1.1956041E-16,1.09234676E-17,7.836923E-17
3757.0679,1.2741522E-16,1.0728452E-17,5.9618394E-17
3762.5916,1.2860958E-16,1.0600218E-17,5.9328404E-17
3768.1155,1.5199828E-16,1.07535035E-17,5.897047E-17
3773.6394,1.2774231E-16,1.0350569E-17,6.18573E-17
3779.163,1.4341227E-16,1.0482459E-17,6.4974E-17
3784.687,1.0494634E-16,1.00152175E-17,7.9848234E-17
3790.2107,1.2409386E-16,9.998779E-18,6.387448E-17
3795.7346,1.521906E-16,1.0152627E-17,5.5106633E-17
3801.2583,1.2536065E-16,9.8287875E-18,7.175835E-17
3806.7822,1.3006775E-16,9.875283E-18,7.949875E-17
3812.306,1.4987224E-16,9.906733E-18,7.0488255E-17
3817.8298,1.6047962E-16,1.0000025E-17,7.586202E-17
3823.3535,1.612255E-16,9.971171E-18,8.338772E-17
3828.8774,1.4254784E-16,9.744027E-18,9.5037666E-17
3834.4011,1.6966174E-16,9.91009E-18,8.868153E-17
3839.925,1.6393323E-16,9.685678E-18,8.0702394E-17
3845.4487,1.8350806E-16,9.678884E-18,6.573317E-17
3850.9727,1.6266623E-16,9.333739E-18,6.003444E-17
3856.4966,1.6895887E-16,9.314164E-18,6.048936E-17
3862.0203,1.9342544E-16,9.416551E-18,5.1326865E-17
3867.5442,1.7131546E-16,9.164839E-18,5.793233E-17
3873.0679,1.8284146E-16,9.038013E-18,3.9275624E-17
3878.5918,1.6579712E-16,8.876617E-18,5.0375286E-17
3884.1155,1.8221156E-16,8.91169E-18,4.3478572E-17
3889.6394,1.7778659E-16,8.7677414E-18,3.8787316E-17
3895.163,1.6909819E-16,8.725012E-18,5.2797638E-17
3900.687,1.8841051E-16,8.909964E-18,5.786752E-17
3906.2107,1.8281703E-16,8.982038E-18,8.362198E-17
3911.7346,1.8812769E-16,8.933726E-18,7.780812E-17
3917.2583,1.8046647E-16,8.7333266E-18,7.154301E-17
3922.7822,1.8109864E-16,8.639719E-18,6.6268873E-17
3928.306,1.777211E-16,8.449021E-18,5.2469168E-17
3933.8298,1.92256E-16,8.523203E-18,4.935627E-17
3939.3538,1.7047075E-16,8.3022795E-18,5.906948E-17
3944.8774,1.6979877E-16,8.298448E-18,6.5630376E-17
3950.4014,1.8906563E-16,8.563317E-18,7.89308E-17
3955.925,1.9865224E-16,8.357017E-18,4.470146E-17
3961.449,1.7165357E-16,8.088501E-18,5.486452E-17
3966.9727,1.9944254E-16,8.158861E-18,3.257388E-17
3972.4966,1.750705E-16,7.981393E-18,4.784277E-17
3978.0203,1.9249585E-16,8.113504E-18,4.6813665E-17
3983.5442,1.7713749E-16,8.0285455E-18,6.493642E-17
3989.0679,1.6765495E-16,7.915063E-18,6.648258E-17
3994.5918,1.7329311E-16,7.911498E-18,6.403462E-17
4000.1155,1.6991993E-16,7.881766E-18,6.852092E-17
4005.6394,1.6109328E-16,7.7951995E-18,7.879907E-17
4011.163,1.7173421E-16,7.8737734E-18,7.7124335E-17
4016.687,1.6461162E-16,7.7778205E-18,7.786646E-17
4022.211,1.5692164E-16,7.644302E-18,7.698067E-17
4027.7346,1.5044594E-16,7.470603E-18,6.721614E-17
4033.2585,1.2003119E-16,7.213671E-18,8.030849E-17
4038.7822,1.3258484E-16,7.2058E-18,7.041098E-17
4044.3062,1.3293444E-16,7.303118E-18,8.3233335E-17
4049.8298,1.3160523E-16,7.199674E-18,7.7325366E-17
4055.3538,1.172898E-16,7.00836E-18,7.7220056E-17
4060.8774,1.0629845E-16,6.9235654E-18,8.611996E-17
4066.4014,9.569307E-17,6.7620865E-18,8.5499803E-17
4071.925,1.0568073E-16,6.8521715E-18,8.764391E-17
4077.449,1.3610648E-16,7.129641E-18,8.7219545E-17
4082.9727,1.4770341E-16,7.2007876E-18,8.610633E-17
4088.4966,1.5758233E-16,7.3120715E-18,9.071392E-17
4094.0203,1.3428245E-16,6.892632E-18,7.339176E-17
4099.544,8.964498E-17,6.4816876E-18,8.242319E-17
