WAVE,FLUX,ERR,SKYBACK
3669.128,1.4513917E-16,2.6934053E-17,-1.1738648E-17
3674.6514,8.784566E-17,2.5868337E-17,-1.0809494E-17
3680.175,1.4441337E-16,2.6680186E-17,-2.313151E-18
3685.6985,1.729479E-16,2.689809E-17,3.4341363E-18
3691.2222,1.7916271E-16,2.6896001E-17,8.657542E-18
3696.7456,1.6442522E-16,2.6493925E-17,2.153659E-17
3702.269,1.3752558E-16,2.6194979E-17,5.0416298E-17
3707.7927,1.5033654E-16,2.5727764E-17,1.8101392E-17
3713.3162,1.5669988E-16,2.5438188E-17,1.0967239E-17
3718.8398,2.3697745E-16,2.6215498E-17,-7.751292E-18
3724.3633,1.605934E-16,2.500226E-17,1.6388025E-17
3729.8867,1.8129426E-16,2.5252178E-17,3.8701842E-17
3735.4104,1.6826427E-16,2.4989968E-17,6.194351E-17
3740.9338,1.9950763E-16,2.5051014E-17,4.71693E-17
3746.4575,1.3499457E-16,2.3736406E-17,5.8694605E-17
3751.981,1.1819645E-16,2.278871E-17,3.4785555E-17
3757.5044,1.6432658E-16,2.3294455E-17,3.39688E-17
3763.028,1.5549815E-16,2.2560236E-17,1.0671705E-17
3768.5515,9.572661E-17,2.1304738E-17,1.4391247E-17
3774.075,1.382325E-16,2.187188E-17,2.8224134E-17
3779.5986,1.413332E-16,2.1456096E-17,1.4696137E-17
3785.122,1.2611136E-16,2.0839714E-17,7.455579E-18
3790.6458,1.4039722E-16,2.0839348E-17,1.9145243E-17
3796.1692,1.0633049E-16,2.0078244E-17,1.5248186E-17
3801.6926,1.1115672E-16,1.9843585E-17,1.2965072E-17
3807.2163,1.10613285E-16,1.9617867E-17,2.1729297E-17
3812.7397,9.961617E-17,1.9266841E-17,2.1499182E-17
3818.2634,5.4915237E-17,1.8607436E-17,4.800561E-17
3823.7869,5.92902E-17,1.837746E-17,5.34914E-17
3829.3103,5.8244765E-17,1.8256801E-17,5.6487793E-17
3834.834,7.72989E-17,1.8246498E-17,5.2474263E-17
3840.3574,5.897654E-17,1.7857493E-17,6.1530664E-17
3845.881,4.9030598E-17,1.722386E-17,3.9630663E-17
3851.4045,2.3724243E-17,1.6610194E-17,4.9026204E-17
3856.928,4.5982752E-17,1.6535137E-17,2.1449233E-17
3862.4517,3.7710344E-17,1.6184932E-17,2.1279526E-17
3867.975,5.5425383E-17,1.6112888E-17,8.371604E-18
3873.4988,7.8003165E-17,1.6158229E-17,-5.327378E-18
3879.0222,5.790468E-17,1.574508E-17,9.2223376E-18
3884.5457,3.5374816E-17,1.5214287E-17,7.717364E-18
3890.0693,6.7097596E-17,1.5596452E-17,6.9291758E-18
3895.5928,3.643188E-17,1.4922322E-17,5.5279715E-18
3901.1165,5.771332E-17,1.5520883E-17,3.8878964E-17
3906.64,1.3184306E-16,1.6708967E-17,5.4389345E-17
3912.1633,8.411347E-17,1.611402E-17,7.8221514E-17
3917.687,-1.2429801E-17,1.523412E-17,1.3024932E-16
3923.2104,6.237411E-17,1.5325724E-17,6.653358E-17
3928.7341,8.1328246E-17,1.4973536E-17,1.826268E-17
