WAVE,FLUX,ERR,SKYBACK
3642.1257,9.107489E-16,9.0799735E-17,5.9181594E-16
3647.6462,9.147681E-16,9.0160794E-17,6.228182E-16
3653.1667,9.627036E-16,8.9417165E-17,6.452564E-16
3658.687,7.965187E-16,8.630822E-17,6.35996E-16
3664.2075,8.894332E-16,8.477309E-17,5.1633085E-16
3669.7278,1.1364193E-15,8.690616E-17,5.3473216E-16
3675.2483,9.356389E-16,8.259043E-17,4.8440194E-16
3680.7688,8.801086E-16,8.174552E-17,5.433685E-16
3686.289,9.016214E-16,8.0984906E-17,5.629386E-16
3691.8096,9.899266E-16,8.205796E-17,6.6925307E-16
3697.3298,9.840609E-16,8.0483635E-17,6.263099E-16
3702.8503,9.474868E-16,7.907057E-17,6.0960204E-16
3708.3708,9.837585E-16,7.871959E-17,6.263079E-16
3713.891,1.0089974E-15,7.7489234E-17,5.6254407E-16
3719.4116,8.414185E-16,7.469412E-17,5.773701E-16
3724.932,9.008556E-16,7.436754E-17,5.6840125E-16
3730.4524,9.774556E-16,7.511693E-17,6.3337164E-16
3735.973,8.782325E-16,7.248893E-17,5.5184784E-16
3741.4932,8.970131E-16,7.191917E-17,5.49331E-16
3747.0137,9.341869E-16,7.163773E-17,5.6260156E-16
3752.534,1.0376154E-15,7.195305E-17,5.576069E-16
3758.0544,1.0867066E-15,7.229926E-17,6.1960127E-16
3763.575,1.0891308E-15,7.12931E-17,5.8926134E-16
3769.0952,1.2357732E-15,7.287555E-17,6.683025E-16
3774.6157,1.1624089E-15,7.109069E-17,6.26877E-16
3780.136,1.2652808E-15,7.186919E-17,6.6003174E-16
3785.6565,1.2396616E-15,7.060813E-17,6.180791E-16
3791.177,1.3487365E-15,7.069317E-17,5.5405844E-16
3796.6973,1.3950163E-15,7.101658E-17,6.1091785E-16
3802.2178,1.2207086E-15,6.848512E-17,5.90695E-16
3807.7383,1.0911141E-15,6.652508E-17,5.9753913E-16
3813.2585,1.0229028E-15,6.477808E-17,5.391491E-16
3818.779,9.557775E-16,6.3513826E-17,5.3595083E-16
3824.2993,1.1156302E-15,6.385184E-17,4.3036013E-16
3829.8198,9.595983E-16,6.233498E-17,5.1087686E-16
3835.3403,1.0209724E-15,6.249079E-17,5.1078167E-16
3840.8606,9.498994E-16,6.1360496E-17,5.354789E-16
3846.381,9.156367E-16,6.0927616E-17,5.753629E-16
3851.9014,8.312096E-16,5.9531553E-17,5.702593E-16
3857.4219,9.487278E-16,5.948215E-17,4.634734E-16
3862.9424,8.7240095E-16,5.805226E-17,4.6291626E-16
3868.4626,8.6165316E-16,5.756646E-17,4.4288306E-16
3873.9832,8.148699E-16,5.6556813E-17,4.439352E-16
3879.5034,8.855758E-16,5.6936244E-17,4.2945147E-16
3885.024,7.148744E-16,5.5043586E-17,4.7955856E-16
3890.5444,7.6838986E-16,5.576894E-17,5.2625E-16
3896.0647,6.6600353E-16,5.469417E-17,5.8088297E-16
3901.5852,6.7360856E-16,5.5036075E-17,6.4998497E-16
3907.1055,6.898859E-16,5.5309134E-17,7.0632304E-16
3912.626,6.978584E-16,5.5379232E-17,7.3926267E-16
3918.1465,8.367884E-16,5.5381896E-17,6.235484E-16
3923.6667,8.0924E-16,5.3876685E-17,4.853401E-16
3929.1873,6.253175E-16,5.082294E-17,4.1808464E-16
3934.7075,8.498729E-16,5.2378995E-17,3.390996E-16
3940.228,8.2732175E-16,5.2928508E-17,4.5264535E-16
3945.7485,8.887123E-16,5.4360335E-17,5.979485E-16
3951.2688,8.646552E-16,5.420098E-17,6.246972E-16
3956.7893,9.522659E-16,5.4564317E-17,5.950448E-16
3962.3096,1.0309307E-15,5.4304708E-17,4.875188E-16
3967.83,1.1321763E-15,5.4267565E-17,4.0101642E-16
3973.3506,1.0700825E-15,5.3990982E-17,4.671831E-16
3978.8708,1.2232425E-15,5.607068E-17,5.740394E-16
3984.3914,1.3005351E-15,5.7758747E-17,7.298866E-16
3989.9116,1.4528141E-15,5.914736E-17,7.5126656E-16
3995.4321,1.4196353E-15,5.887048E-17,7.924841E-16
4000.9526,1.6318353E-15,6.06017E-17,8.0691154E-16
4006.473,1.6373313E-15,6.06823E-17,8.401771E-16
4011.9934,1.675361E-15,6.109708E-17,8.875422E-16
4017.514,1.7094329E-15,6.1386125E-17,9.233696E-16
4023.0342,1.9087106E-15,6.251009E-17,8.692275E-16
4028.5547,1.8957629E-15,6.212071E-17,8.749917E-16
4034.075,1.8763654E-15,6.1685605E-17,8.5495345E-16
4039.5955,1.9935503E-15,6.245527E-17,8.611636E-16
4045.116,2.1321088E-15,6.320687E-17,8.5447794E-16
4050.6362,2.1212452E-15,6.311503E-17,8.7892146E-16
4056.1567,2.2370405E-15,6.3751974E-17,8.602388E-16
4061.677,2.154909E-15,6.275604E-17,8.466058E-16
4067.1975,1.9999015E-15,6.1477585E-17,8.629622E-16
4072.718,2.1072295E-15,6.203265E-17,8.4458005E-16
4078.2383,2.0611986E-15,6.17368E-17,8.873062E-16
4083.7588,1.9957307E-15,6.090252E-17,8.7300213E-16
4089.279,2.0793486E-15,6.112598E-17,8.425902E-16
4094.7996,1.9611487E-15,5.996971E-17,8.223754E-16
4100.32,1.8787326E-15,5.886331E-17,7.743193E-16
4105.8403,1.6321023E-15,5.6366456E-17,7.4291306E-16
4111.361,1.6836466E-15,5.690712E-17,7.839398E-16
4116.8813,1.5494033E-15,5.618342E-17,8.556669E-16
4122.402,1.5745329E-15,5.63288E-17,8.679968E-16
4127.922,1.5462105E-15,5.581633E-17,8.529249E-16
4133.4424,1.4346146E-15,5.4802565E-17,8.715491E-16
4138.963,1.3053755E-15,5.3813353E-17,9.120444E-16
4144.4834,1.4751748E-15,5.4757312E-17,8.4922237E-16
4150.004,1.4265433E-15,5.4039028E-17,8.212781E-16
4155.524,1.364115E-15,5.3705353E-17,8.6899127E-16
4161.0444,1.4554056E-15,5.4528203E-17,8.954023E-16
4166.565,1.4201544E-15,5.4129174E-17,8.976928E-16
4172.0854,1.4828984E-15,5.4483654E-17,8.926076E-16
4177.606,1.478513E-15,5.4039557E-17,8.4560157E-16
4183.126,1.456422E-15,5.3810683E-17,8.595403E-16
4188.6465,1.4807826E-15,5.3716285E-17,8.316701E-16
4194.167,1.5134653E-15,5.3918977E-17,8.3385476E-16
4199.6875,1.5736249E-15,5.4208312E-17,8.1803684E-16
4205.208,1.5191041E-15,5.3391567E-17,7.898887E-16
4210.728,1.5395158E-15,5.3434504E-17,7.858302E-16
4216.2485,1.5070111E-15,5.333455E-17,8.207034E-16
