WAVE,FLUX,ERR,SKYBACK
3643.1978,5.3992786E-16,1.06459865E-16,5.478939E-16
3648.7173,2.8742732E-16,1.0441736E-16,6.516117E-16
3654.2368,3.3354995E-16,1.0503877E-16,6.742357E-16
3659.7563,3.6832232E-16,1.0386866E-16,5.7521944E-16
3665.276,5.750161E-16,1.04108634E-16,4.344462E-16
3670.7954,2.4268944E-16,9.9099354E-17,5.402961E-16
3676.315,4.7457726E-16,1.009887E-16,5.9704435E-16
3681.8345,3.9975394E-16,9.69426E-17,4.2992542E-16
3687.354,4.685639E-16,9.706417E-17,5.412977E-16
3692.8735,4.1818522E-16,9.5280764E-17,6.1449567E-16
3698.393,3.590782E-16,9.3010365E-17,5.944398E-16
3703.9126,3.7217074E-16,9.120584E-17,5.36742E-16
3709.4321,3.663609E-16,8.961123E-17,5.200512E-16
3714.9517,3.250944E-16,8.786638E-17,5.3261733E-16
3720.4712,3.5212793E-16,8.710727E-17,4.8847495E-16
3725.9907,2.541695E-16,8.5696136E-17,6.2229615E-16
3731.5103,4.955456E-16,8.743051E-17,5.199239E-16
3737.0298,3.549647E-16,8.5299725E-17,5.945937E-16
3742.5493,2.1606772E-16,8.208587E-17,5.4707084E-16
3748.0686,2.8439838E-16,8.24507E-17,5.7071767E-16
3753.5881,5.241554E-16,8.3775794E-17,4.9883014E-16
3759.1077,3.597337E-16,8.0567014E-17,4.9205346E-16
3764.6272,3.9886755E-16,8.0141936E-17,5.033439E-16
3770.1467,3.8575837E-16,7.890229E-17,4.9033864E-16
3775.6663,2.141893E-16,7.593021E-17,5.2684936E-16
3781.1858,3.0339238E-16,7.595965E-17,5.081548E-16
3786.7053,4.745345E-16,7.630442E-17,4.4177694E-16
3792.2249,2.6500553E-16,7.252335E-17,4.1918308E-16
3797.7444,3.0309232E-16,7.223327E-17,4.4818514E-16
3803.264,2.8873376E-16,7.1420336E-17,4.6904153E-16
3808.7834,3.8262283E-16,7.0916265E-17,3.8916847E-16
3814.303,3.9788767E-16,7.1065204E-17,4.978895E-16
3819.8225,1.8779226E-16,6.727654E-17,4.6651785E-16
3825.342,2.539284E-16,6.79139E-17,4.816143E-16
3830.8616,2.4971336E-16,6.71427E-17,4.8426345E-16
3836.381,2.0258181E-16,6.56908E-17,4.68208E-16
3841.9006,1.9354518E-16,6.4998906E-17,4.739823E-16
3847.4202,2.0087282E-16,6.4327375E-17,4.829149E-16
3852.9397,1.1909036E-16,6.2345576E-17,4.3840027E-16
3858.4592,2.4837134E-16,6.3302736E-17,4.1822816E-16
3863.9788,2.7276817E-16,6.247692E-17,3.6207768E-16
3869.4983,1.1807593E-16,6.0032904E-17,4.2638704E-16
3875.0178,3.6615898E-17,5.859993E-17,4.0784025E-16
3880.5374,2.50545E-16,6.007576E-17,3.537959E-16
3886.057,2.3246623E-16,5.9526246E-17,3.828032E-16
3891.5764,2.5787659E-16,5.891835E-17,3.746918E-16
3897.096,2.1247745E-16,5.851756E-17,4.191379E-16
