WAVE,FLUX,ERR,SKYBACK
3643.1106,2.6712055E-16,8.879879E-18,7.0665146E-17
3648.6296,2.685362E-16,8.7844985E-18,7.2181435E-17
3654.1487,2.7103633E-16,8.701808E-18,7.180986E-17
3659.668,2.669521E-16,8.540493E-18,7.113116E-17
3665.187,2.6648665E-16,8.3983896E-18,6.596892E-17
3670.706,2.6755306E-16,8.257153E-18,5.812442E-17
3676.225,2.7882834E-16,8.243328E-18,5.6749765E-17
3681.7441,2.7863617E-16,8.170187E-18,5.918105E-17
3687.2634,2.7686455E-16,8.078715E-18,6.1197283E-17
3692.7825,2.716161E-16,8.013729E-18,7.090563E-17
3698.3015,2.7750022E-16,7.989079E-18,7.26054E-17
3703.8206,2.6545748E-16,7.791123E-18,7.089356E-17
3709.3396,2.7418332E-16,7.722012E-18,6.173526E-17
3714.8586,2.8226902E-16,7.712978E-18,6.1887245E-17
3720.378,2.6278832E-16,7.471245E-18,6.2419115E-17
3725.897,2.6919011E-16,7.465995E-18,6.3709365E-17
3731.416,2.6568297E-16,7.4056694E-18,6.994705E-17
3736.935,2.725287E-16,7.345509E-18,6.305761E-17
3742.454,2.5612701E-16,7.153871E-18,6.459846E-17
3747.9734,2.7279345E-16,7.2033055E-18,6.196024E-17
3753.4924,2.6941955E-16,7.099572E-18,5.888949E-17
3759.0115,2.3826658E-16,6.7924176E-18,5.956671E-17
3764.5305,2.7089056E-16,6.979845E-18,5.74248E-17
3770.0496,2.363125E-16,6.6901748E-18,6.4745776E-17
3775.5686,2.4882813E-16,6.737743E-18,6.678521E-17
3781.088,2.487344E-16,6.6880324E-18,6.696298E-17
3786.607,2.4700794E-16,6.5737148E-18,5.9766764E-17
3792.126,2.475639E-16,6.5096964E-18,5.741395E-17
3797.645,2.3783282E-16,6.400755E-18,5.969415E-17
3803.164,2.5650513E-16,6.4882505E-18,5.8078786E-17
3808.6833,2.4008757E-16,6.328551E-18,6.0400146E-17
3814.2024,2.3155795E-16,6.169399E-18,5.4337346E-17
3819.7214,2.3557297E-16,6.1631705E-18,5.373812E-17
3825.2405,2.4138785E-16,6.15624E-18,5.209653E-17
3830.7595,2.5376533E-16,6.2307735E-18,5.6220396E-17
3836.2786,2.595697E-16,6.2446784E-18,5.689428E-17
3841.7979,2.6387768E-16,6.236039E-18,5.692624E-17
3847.317,2.6835166E-16,6.2356667E-18,5.81476E-17
3852.836,2.6801488E-16,6.156822E-18,5.1744932E-17
3858.355,2.705126E-16,6.1354244E-18,5.208829E-17
3863.874,2.6591453E-16,6.0805414E-18,5.3575645E-17
3869.3933,2.7515638E-16,6.0942937E-18,5.1193953E-17
3874.9124,2.6313952E-16,5.9539406E-18,4.8263865E-17
3880.4314,2.704879E-16,5.9657147E-18,4.6765467E-17
3885.9504,2.4926345E-16,5.7806764E-18,4.7696045E-17
3891.4695,2.3332647E-16,5.6578252E-18,5.2244595E-17
3896.9885,2.2849804E-16,5.6027185E-18,5.4983218E-17
3902.5078,2.1555834E-16,5.5299493E-18,6.3855054E-17
3908.0269,2.009779E-16,5.4090742E-18,6.7154076E-17
3913.546,2.0246388E-16,5.3823567E-18,6.585053E-17
3919.065,1.953994E-16,5.272733E-18,6.040839E-17
3924.584,1.915196E-16,5.154776E-18,5.090944E-17
3930.1033,1.8929368E-16,5.0414127E-18,4.1113894E-17
3935.6223,1.8678793E-16,5.001115E-18,4.0510783E-17
3941.1414,1.773597E-16,4.950563E-18,4.8094246E-17
3946.6604,1.83768E-16,5.041229E-18,5.8177915E-17
3952.1794,1.880338E-16,5.082758E-18,6.305771E-17
3957.6985,1.8254126E-16,4.98427E-18,5.782933E-17
3963.2178,1.8694265E-16,4.9189887E-18,4.5963068E-17
3968.7368,1.7683728E-16,4.8025143E-18,4.3492667E-17
3974.2559,1.8227936E-16,4.8349542E-18,4.573248E-17
3979.775,1.7699604E-16,4.8261195E-18,5.371603E-17
3985.294,1.7135612E-16,4.852253E-18,6.887664E-17
3990.8132,1.8009816E-16,4.90844E-18,6.934123E-17
3996.3323,1.7658472E-16,4.8852878E-18,7.406632E-17
4001.8513,1.6979162E-16,4.8325806E-18,7.647502E-17
4007.3704,1.6057769E-16,4.7433535E-18,7.687609E-17
4012.8894,1.6204155E-16,4.7387436E-18,7.7455307E-17
4018.4084,1.5765202E-16,4.69046E-18,7.9328063E-17
4023.9277,1.5651632E-16,4.676062E-18,8.037283E-17
4029.4468,1.5729403E-16,4.662925E-18,8.016865E-17
4034.9658,1.5857333E-16,4.6487935E-18,7.900982E-17
4040.4849,1.6375986E-16,4.6520017E-18,7.6180304E-17
4046.004,1.7164618E-16,4.7152546E-18,7.907928E-17
4051.5232,1.8461639E-16,4.7955713E-18,7.9266065E-17
4057.0422,1.8500587E-16,4.782128E-18,7.914006E-17
4062.5613,1.9856996E-16,4.844548E-18,7.586419E-17
4068.0803,2.0806163E-16,4.912432E-18,7.814771E-17
4073.5994,2.1813371E-16,4.9722836E-18,7.9654535E-17
4079.1184,2.2856475E-16,5.0173848E-18,7.735327E-17
4084.6377,2.4421315E-16,5.127309E-18,8.119754E-17
4090.1567,2.5335822E-16,5.1570823E-18,7.8554504E-17
4095.6758,2.6681188E-16,5.208159E-18,7.4288786E-17
4101.195,2.737699E-16,5.2244926E-18,7.1415644E-17
4106.714,2.7305174E-16,5.2059034E-18,7.159158E-17
4112.233,2.8134967E-16,5.2418593E-18,7.094471E-17
4117.752,2.824465E-16,5.2570848E-18,7.650725E-17
4123.271,2.8311094E-16,5.263275E-18,7.884512E-17
4128.7905,2.8840919E-16,5.269666E-18,7.619325E-17
4134.3096,2.9177927E-16,5.2803054E-18,7.6997975E-17
4139.8286,2.913698E-16,5.269409E-18,7.80525E-17
4145.3477,2.8917752E-16,5.233557E-18,7.650388E-17
