WAVE,FLUX,ERR,SKYBACK
5990.8096,1.6480748E-15,1.5013811E-17,2.0673136E-16
5995.023,1.6777749E-15,1.5080181E-17,1.9752487E-16
5999.237,1.6749116E-15,1.50496E-17,1.952462E-16
6003.4507,1.7379023E-15,1.525795E-17,1.9151122E-16
6007.6646,1.7915062E-15,1.5413015E-17,1.8369679E-16
6011.8784,1.806635E-15,1.543165E-17,1.775096E-16
6016.0923,1.7829768E-15,1.5321327E-17,1.7213536E-16
6020.306,1.7491566E-15,1.5210242E-17,1.7928338E-16
6024.5195,1.777218E-15,1.5277338E-17,1.7198178E-16
6028.7334,1.7551903E-15,1.5196441E-17,1.7551411E-16
6032.9473,1.7322536E-15,1.5097194E-17,1.735327E-16
6037.161,1.7152233E-15,1.5012666E-17,1.7077103E-16
6041.375,1.6995751E-15,1.492338E-17,1.6440804E-16
6045.589,1.6641396E-15,1.4775591E-17,1.6193665E-16
6049.8027,1.634024E-15,1.4651817E-17,1.6116668E-16
6054.016,1.6207158E-15,1.4555206E-17,1.5174483E-16
6058.23,1.5670768E-15,1.4368607E-17,1.5854437E-16
6062.444,1.5311662E-15,1.4226395E-17,1.607471E-16
6066.6577,1.4927639E-15,1.4050688E-17,1.5601493E-16
6070.8716,1.4272337E-15,1.3732561E-17,1.5365129E-16
6075.0854,1.4178551E-15,1.3669115E-17,1.5047098E-16
6079.2993,1.3298673E-15,1.3282476E-17,1.412884E-16
6083.5127,1.2512554E-15,1.2979739E-17,1.4836494E-16
6087.7266,1.2125704E-15,1.2805064E-17,1.4825112E-16
6091.9404,1.1531147E-15,1.2557528E-17,1.5143213E-16
6096.1543,1.0901905E-15,1.2289287E-17,1.5464917E-16
6100.368,1.0165578E-15,1.1949376E-17,1.5119007E-16
6104.582,9.522223E-16,1.1642077E-17,1.4955691E-16
6108.7954,9.105528E-16,1.1440974E-17,1.4853579E-16
6113.0093,8.6688533E-16,1.12269295E-17,1.4938566E-16
6117.223,8.0333415E-16,1.0903152E-17,1.4668857E-16
6121.437,7.8247776E-16,1.0788608E-17,1.4565651E-16
6125.651,7.1259527E-16,1.0436269E-17,1.4827373E-16
6129.8647,6.706744E-16,1.0241419E-17,1.5431882E-16
6134.0786,6.342927E-16,1.00473915E-17,1.5435328E-16
6138.292,6.0176863E-16,9.888519E-18,1.5975155E-16
6142.506,5.8020407E-16,9.762078E-18,1.5856519E-16
6146.7197,5.6617943E-16,9.653954E-18,1.5415044E-16
6150.9336,5.5953985E-16,9.599619E-18,1.5212477E-16
6155.1475,5.0933235E-16,9.3976585E-18,1.72027E-16
6159.3613,4.9851886E-16,9.362907E-18,1.7876773E-16
6163.575,4.80666E-16,9.2787405E-18,1.8628318E-16
6167.7886,4.739861E-16,9.215334E-18,1.8123301E-16
6172.0024,4.6161427E-16,9.0359175E-18,1.6045787E-16
6176.2163,4.563714E-16,8.970703E-18,1.5491135E-16
6180.43,4.655291E-16,8.9785484E-18,1.4918594E-16
6184.644,4.2404725E-16,8.856273E-18,1.756655E-16
6188.858,4.3968183E-16,8.841413E-18,1.5614275E-16
6193.0713,4.5001463E-16,8.884352E-18,1.5381876E-16
6197.285,4.4222142E-16,8.81289E-18,1.5090507E-16
6201.499,4.4307224E-16,8.800438E-18,1.5006676E-16
6205.713,4.47184E-16,8.839368E-18,1.5571749E-16
6209.927,4.5600426E-16,8.911063E-18,1.6043725E-16
6214.1406,4.639052E-16,8.928025E-18,1.572219E-16
6218.3545,4.5375253E-16,8.928886E-18,1.7128561E-16
6222.568,4.655738E-16,9.128155E-18,2.0388354E-16
