WAVE,FLUX,ERR,SKYBACK
3666.5007,4.913668E-17,1.2166898E-17,1.1196979E-16
3672.0251,4.5463888E-17,1.17857025E-17,9.99488E-17
3677.5496,3.8923824E-17,1.1407449E-17,9.3030595E-17
3683.074,7.597093E-17,1.1885315E-17,1.08108555E-16
3688.5984,2.9503064E-17,1.1326234E-17,1.384346E-16
3694.1228,4.8088863E-17,1.1208734E-17,1.2194095E-16
3699.647,4.5867526E-17,1.0931151E-17,1.1727625E-16
3705.1714,5.4729598E-17,1.08508395E-17,1.1954732E-16
3710.6958,5.568528E-17,1.0533599E-17,1.05969235E-16
3716.2202,5.497177E-17,1.04825414E-17,1.1916365E-16
3721.7446,6.103303E-17,1.03297165E-17,1.1522486E-16
3727.269,4.8325784E-17,1.0114405E-17,1.2910182E-16
3732.7935,6.83858E-17,1.0104935E-17,1.1538484E-16
3738.3179,5.1411813E-17,9.822403E-18,1.2844662E-16
3743.8423,4.7006166E-17,9.532747E-18,1.1904922E-16
3749.3665,5.436551E-17,9.377227E-18,1.07228693E-16
3754.8909,7.0780766E-17,9.427765E-18,1.03774314E-16
3760.4153,5.2530975E-17,9.129074E-18,1.1067144E-16
3765.9397,5.7502744E-17,9.0445475E-18,1.06644075E-16
3771.464,5.9657814E-17,9.207148E-18,1.3309359E-16
3776.9885,5.7956244E-17,9.047936E-18,1.2875964E-16
3782.513,6.8088346E-17,8.9076665E-18,1.1169072E-16
3788.0374,7.382794E-17,8.901582E-18,1.1062847E-16
3793.5615,6.102661E-17,8.641616E-18,1.1297547E-16
3799.086,6.5520454E-17,8.574562E-18,1.0664306E-16
3804.6104,5.5594405E-17,8.3306E-18,1.0635994E-16
3810.1348,5.7173645E-17,8.399702E-18,1.1888776E-16
3815.6592,6.4413395E-17,8.219723E-18,9.463367E-17
3821.1836,7.328077E-17,8.219628E-18,8.945379E-17
3826.708,5.6572384E-17,8.0287565E-18,9.970212E-17
3832.2324,7.115918E-17,8.103377E-18,9.443053E-17
3837.7568,6.359264E-17,7.894E-18,9.225943E-17
3843.281,6.1762976E-17,7.8587345E-18,9.47876E-17
3848.8054,4.5099584E-17,7.640084E-18,1.0295631E-16
3854.3298,6.074885E-17,7.852114E-18,1.0943359E-16
3859.8542,5.052162E-17,7.550957E-18,1.0016921E-16
3865.3787,4.6548395E-17,7.398644E-18,9.5146066E-17
3870.903,4.591157E-17,7.424848E-18,1.0499643E-16
3876.4275,3.959743E-17,7.161053E-18,9.209244E-17
3881.952,4.1701927E-17,7.127758E-18,9.212753E-17
3887.476,3.1527953E-17,7.013674E-18,1.0076274E-16
3893.0005,2.181866E-17,6.8560365E-18,1.06461235E-16
3898.525,4.3905437E-17,7.187272E-18,1.1180504E-16
3904.0493,1.1999984E-17,6.9135445E-18,1.3466196E-16
3909.5737,4.124046E-17,7.233476E-18,1.345919E-16
3915.0981,2.2373487E-17,6.886535E-18,1.295043E-16
3920.6226,3.2926722E-17,6.7933606E-18,1.09977494E-16
3926.147,1.9259776E-17,6.3113963E-18,8.666436E-17
3931.6714,3.3204214E-17,6.3336872E-18,7.345564E-17
3937.1956,1.8354799E-17,6.238999E-18,9.117606E-17
3942.72,5.2133187E-17,6.746207E-18,1.00923446E-16
3948.2444,3.599372E-17,6.629269E-18,1.163632E-16
3953.7688,3.4740795E-17,6.592312E-18,1.2015538E-16
3959.2932,4.5785592E-17,6.450239E-18,9.4888376E-17
3964.8176,3.281179E-17,6.17324E-18,8.876738E-17
3970.342,3.0708624E-17,6.1530645E-18,9.4238755E-17
3975.8665,4.5785674E-17,6.36545E-18,1.0013066E-16
3981.3906,4.8680138E-17,6.5363866E-18,1.2052043E-16
3986.915,4.433098E-17,6.6350386E-18,1.4429472E-16
3992.4395,5.189919E-17,6.664101E-18,1.4234685E-16
3997.9639,5.0824478E-17,6.6536245E-18,1.4842392E-16
