WAVE,FLUX,ERR,SKYBACK
3669.222,3.862725E-17,1.7209898E-17,5.2298355E-16
3674.7463,5.361823E-17,1.731906E-17,5.235487E-16
3680.2708,7.138146E-17,1.723391E-17,4.972209E-16
3685.795,9.239339E-17,1.7597346E-17,5.2736467E-16
3691.3193,6.4849716E-17,1.7365845E-17,5.626173E-16
3696.8435,5.168985E-17,1.698488E-17,5.4415E-16
3702.368,5.4628983E-17,1.683848E-17,5.361855E-16
3707.892,1.5409065E-17,1.6365558E-17,5.5610635E-16
3713.4165,7.8989694E-17,1.6682713E-17,5.122669E-16
3718.941,9.573621E-17,1.6609868E-17,4.994041E-16
3724.465,7.5340464E-17,1.6034713E-17,4.7039435E-16
3729.9895,4.460676E-17,1.5677726E-17,4.8469496E-16
3735.5137,7.537718E-17,1.5781334E-17,4.7327887E-16
3741.038,6.1308926E-17,1.5367017E-17,4.581163E-16
3746.5625,9.093465E-17,1.5460469E-17,4.4600875E-16
3752.0867,4.874932E-17,1.513489E-17,4.7583336E-16
3757.611,8.500663E-17,1.5149532E-17,4.5234513E-16
3763.1353,5.997063E-17,1.5045757E-17,4.85629E-16
3768.6597,9.8823956E-17,1.547192E-17,5.0497637E-16
3774.184,7.410985E-17,1.5277518E-17,5.2562307E-16
3779.7083,7.063859E-17,1.5107923E-17,5.23734E-16
3785.2327,8.180289E-17,1.4702576E-17,4.7782066E-16
3790.7568,8.299731E-17,1.442116E-17,4.553769E-16
3796.2812,8.8957796E-17,1.4315201E-17,4.4782187E-16
3801.8057,6.539181E-17,1.4239095E-17,4.800395E-16
3807.3298,6.8532205E-17,1.3967633E-17,4.576644E-16
3812.8542,9.621342E-17,1.3848027E-17,4.2062378E-16
3818.3784,9.727179E-17,1.3409902E-17,3.817619E-16
3823.9028,1.0529843E-16,1.3344241E-17,3.7431649E-16
3829.427,7.408683E-17,1.2884635E-17,3.6845396E-16
3834.9514,1.0392264E-16,1.3116397E-17,3.753137E-16
3840.4758,1.0639762E-16,1.3157852E-17,3.8939182E-16
3846.0,1.2232989E-16,1.33147615E-17,4.0073298E-16
3851.5244,1.3770257E-16,1.3236847E-17,3.8716253E-16
3857.0486,1.1285913E-16,1.2937485E-17,3.8723683E-16
3862.573,1.4091576E-16,1.2990416E-17,3.7189077E-16
3868.0974,1.5875954E-16,1.2973719E-17,3.649438E-16
3873.6216,1.4303389E-16,1.3894879E-17,3.641374E-16
3879.146,1.7909817E-16,1.29862476E-17,3.6174961E-16
3884.6702,1.0546417E-16,1.26064145E-17,4.0679281E-16
3890.1946,1.5934517E-16,1.2927438E-17,3.9787123E-16
3895.719,1.4513797E-16,1.2895763E-17,4.2104226E-16
3901.2432,1.3425272E-16,1.30078345E-17,4.5594645E-16
3906.7676,1.4172975E-16,1.3183947E-17,4.8138545E-16
3912.2917,1.5514042E-16,1.3134887E-17,4.7028026E-16
3917.8162,1.7404096E-16,1.2817302E-17,4.133757E-16
3923.3403,1.8529478E-16,1.2181738E-17,3.247637E-16
3928.8647,1.8176477E-16,1.1818463E-17,2.9081966E-16
3934.3892,1.6170277E-16,1.1554587E-17,2.8710036E-16
3939.9133,1.4798166E-16,1.17851565E-17,3.4308162E-16
3945.4377,1.8763686E-16,1.24805855E-17,3.970151E-16
3950.962,1.7095925E-16,1.2378389E-17,4.1004187E-16
3956.4863,1.9069631E-16,1.24761865E-17,3.9093008E-16
3962.0107,2.0004073E-16,1.18269E-17,3.216749E-16
3967.535,1.5059224E-16,1.1241581E-17,3.0451774E-16
3973.0593,1.5439676E-16,1.1455956E-17,3.3638074E-16
3978.5835,1.6068984E-16,1.1965726E-17,4.0423467E-16
3984.108,1.4938172E-16,1.2389677E-17,4.8361685E-16
3989.6323,1.7776483E-16,1.2635951E-17,4.9608766E-16
3995.1565,1.6053994E-16,1.2528718E-17,5.081966E-16
4000.681,1.5840042E-16,1.2596248E-17,5.29263E-16
4006.205,1.7692657E-16,1.2563661E-17,5.109216E-16
4011.7295,1.6723243E-16,1.2652695E-17,5.419225E-16
4017.254,1.5217982E-16,1.2577312E-17,5.57217E-16
4022.778,1.1913088E-16,1.2178866E-17,5.423506E-16
4028.3025,1.2074436E-16,1.20371935E-17,5.2574726E-16
4033.8267,8.636705E-17,1.1795653E-17,5.3803506E-16
4039.351,1.05135715E-16,1.1789206E-17,5.2185E-16
4044.8752,8.0556056E-17,1.16051165E-17,5.296757E-16
4050.3997,7.4567923E-17,1.14759796E-17,5.252916E-16
4055.924,9.859214E-17,1.150479E-17,5.086053E-16
4061.4482,6.9325564E-17,1.1261228E-17,5.140545E-16
4066.9727,6.6776034E-17,1.10908716E-17,4.9883666E-16
4072.4968,4.863819E-17,1.1053583E-17,5.2035796E-16
4078.0212,6.782378E-17,1.11367544E-17,5.1832445E-16
4083.5457,5.122179E-17,1.1076888E-17,5.3350164E-16
4089.0698,4.6727426E-17,1.0946147E-17,5.258195E-16
4094.5942,5.824055E-17,1.0829177E-17,5.0010196E-16
4100.1187,4.052872E-17,1.0587375E-17,4.9142813E-16
4105.6426,3.346163E-17,1.0490299E-17,4.9197913E-16
4111.167,6.109732E-17,1.06282965E-17,4.8537E-16
4116.6914,4.531443E-17,1.0699655E-17,5.201685E-16
4122.216,4.9895035E-17,1.0708813E-17,5.2142634E-16
4127.74,3.06755E-17,1.050201E-17,5.189482E-16
4133.264,4.9696647E-17,1.0592708E-17,5.1532055E-16
4138.7886,5.1391236E-17,1.054164E-17,5.1216107E-16
4144.313,6.539428E-17,1.0571425E-17,5.0505684E-16
4149.8374,5.82831E-17,1.0307892E-17,4.8144294E-16
4155.362,4.982368E-17,1.034761E-17,5.016665E-16
4160.8857,5.1873565E-17,1.0448226E-17,5.191289E-16
4166.41,6.364631E-17,1.0495369E-17,5.1793164E-16
4171.9346,8.0354747E-17,1.05009404E-17,5.0452485E-16
4177.459,9.410862E-17,1.0496408E-17,4.93559E-16
4182.9834,7.836943E-17,1.0206591E-17,4.7321073E-16
4188.5073,7.906278E-17,1.0173863E-17,4.7223326E-16
4194.0317,1.04410343E-16,1.02495065E-17,4.592007E-16
4199.556,7.448859E-17,1.0052983E-17,4.6855454E-16
4205.0806,9.919572E-17,1.01927395E-17,4.662571E-16
4210.605,9.3064734E-17,1.0168029E-17,4.7456265E-16
4216.129,9.8534516E-17,1.0104686E-17,4.633775E-16
4221.6533,9.7084845E-17,9.948979E-18,4.4665927E-16
4227.1777,1.2025707E-16,1.0042427E-17,4.3779163E-16
4232.702,1.1566942E-16,9.965388E-18,4.3673466E-16
4238.2266,1.4288292E-16,1.0093012E-17,4.293765E-16
4243.7505,1.3270014E-16,1.0040803E-17,4.3789303E-16
4249.275,1.4620842E-16,1.0085364E-17,4.3268423E-16
4254.7993,1.6870943E-16,1.0165336E-17,4.243446E-16
4260.3237,1.6891198E-16,1.0280918E-17,4.4646186E-16
4265.848,1.5940332E-16,1.0123099E-17,4.3767876E-16
4271.372,1.8885231E-16,1.01789264E-17,4.166407E-16
4276.8965,1.7518697E-16,1.0046235E-17,4.17649E-16
4282.421,1.7806732E-16,1.0032179E-17,4.1426383E-16
4287.9453,1.906053E-16,1.0020337E-17,4.027716E-16
4293.4697,1.8240229E-16,9.8164294E-18,3.8364684E-16
4298.9937,2.0994453E-16,9.795733E-18,3.5224042E-16
4304.518,1.9620675E-16,9.566644E-18,3.3538166E-16
4310.0425,2.150585E-16,9.74278E-18,3.461871E-16
4315.567,2.066791E-16,9.853004E-18,3.7623163E-16
4321.091,1.8987873E-16,9.841973E-18,3.9694614E-16
4326.615,2.0859953E-16,1.007417E-17,4.1791997E-16
4332.1396,1.9227854E-16,9.881711E-18,4.0843653E-16
4337.664,2.0039819E-16,9.863791E-18,4.0006406E-16
4343.1885,1.9860588E-16,9.899108E-18,4.108919E-16
4348.7124,2.0868973E-16,9.872848E-18,3.9837108E-16
4354.237,2.1772634E-16,9.994401E-18,4.1218786E-16
4359.761,2.0945489E-16,9.9457624E-18,4.171883E-16
4365.2856,1.7369902E-16,9.886355E-18,4.5189954E-16
4370.81,1.9158337E-16,9.8524416E-18,4.2920141E-16
4376.334,1.9176224E-16,9.753302E-18,4.1546397E-16
4381.8584,1.7827602E-16,9.547643E-18,3.9987777E-16
4387.383,1.8621407E-16,9.545451E-18,3.940658E-16
4392.907,1.8620847E-16,9.47503E-18,3.8453784E-16
4398.4316,1.7066748E-16,9.492993E-18,4.0856258E-16
4403.9556,1.6905523E-16,9.570867E-18,4.2601054E-16
4409.48,1.8812815E-16,9.6099974E-18,4.1306705E-16
4415.0044,1.6881784E-16,9.60339E-18,4.3716329E-16
4420.529,1.6348914E-16,9.6398164E-18,4.5245287E-16
4426.053,1.5166081E-16,9.546409E-18,4.533752E-16
4431.577,1.7774265E-16,9.647911E-18,4.4312102E-16
4437.1016,1.9190633E-16,9.644961E-18,4.2846008E-16
4442.626,1.9383677E-16,9.6624514E-18,4.3009202E-16
4448.1504,1.8392935E-16,9.6414385E-18,4.4094508E-16
4453.675,2.0341746E-16,9.590792E-18,4.1191752E-16
4459.1987,1.9545218E-16,9.496273E-18,4.0685616E-16
4464.723,2.1125763E-16,9.5952984E-18,4.0849614E-16
4470.2476,2.0857848E-16,9.642483E-18,4.2160184E-16
4475.772,1.7309113E-16,9.531154E-18,4.456982E-16
4481.2964,2.0216458E-16,9.640372E-18,4.3278166E-16
4486.8203,1.8696148E-16,9.537667E-18,4.351834E-16
4492.3447,2.0568035E-16,9.59859E-18,4.2487617E-16
4497.869,2.1105717E-16,9.628748E-18,4.2663938E-16
4503.3936,2.1294071E-16,9.7100226E-18,4.4035557E-16
4508.918,1.9882468E-16,9.6486234E-18,4.4864593E-16
4514.442,2.1879834E-16,9.654956E-18,4.272946E-16
4519.9663,2.0656696E-16,9.618763E-18,4.3730463E-16
4525.4907,1.8466026E-16,9.420253E-18,4.3058015E-16
4531.015,1.7079844E-16,9.3230915E-18,4.3123083E-16
4536.539,1.6857951E-16,9.270459E-18,4.2903132E-16
4542.0635,2.020525E-16,9.450734E-18,4.1963082E-16
4547.588,2.0900628E-16,9.467907E-18,4.1764278E-16
4553.1123,1.890581E-16,9.38564E-18,4.2734162E-16
