WAVE,FLUX,ERR,SKYBACK
3642.5452,6.29225E-17,3.2482056E-17,3.776587E-16
3648.0654,1.3692215E-16,3.2849887E-17,3.302245E-16
3653.5854,1.402853E-16,3.2426072E-17,3.1147673E-16
3659.1057,1.1773726E-16,3.173198E-17,3.0414738E-16
3664.626,1.4876913E-16,3.134556E-17,2.6299505E-16
3670.1462,1.3496428E-16,3.07682E-17,2.5780885E-16
3675.6665,1.5515015E-16,3.033217E-17,2.3074366E-16
3681.1865,9.325317E-17,2.9452967E-17,2.5828316E-16
3686.7068,1.0054938E-16,2.937892E-17,2.922521E-16
3692.227,1.0023816E-16,2.9423278E-17,3.2952848E-16
3697.7473,1.7972031E-16,2.9820023E-17,3.133015E-16
3703.2676,1.7386931E-16,2.9477643E-17,3.2891057E-16
3708.7876,1.5272119E-16,2.885334E-17,3.159571E-16
3714.3079,1.3818453E-16,2.7761366E-17,2.6803166E-16
3719.8281,1.6515537E-16,2.8198584E-17,3.1133792E-16
3725.3484,1.2819276E-16,2.769698E-17,3.5249872E-16
3730.8687,1.5679883E-16,2.8292366E-17,3.9901504E-16
3736.3887,1.4834689E-16,2.786712E-17,3.993718E-16
3741.909,1.1670765E-16,2.7116096E-17,3.9685661E-16
3747.4292,1.3191133E-16,2.6280736E-17,3.2360055E-16
3752.9495,1.4006051E-16,2.5767875E-17,2.8699033E-16
3758.4697,1.4071525E-16,2.5330724E-17,2.7291198E-16
3763.9897,1.378695E-16,2.5277205E-17,2.9262638E-16
3769.51,1.4365177E-16,2.4984119E-17,2.8000953E-16
3775.0303,1.5118381E-16,2.4791132E-17,2.7963284E-16
3780.5505,1.7204649E-16,2.4880867E-17,2.77004E-16
3786.0708,1.4707204E-16,2.436763E-17,2.8184108E-16
3791.5908,1.5968208E-16,2.4139175E-17,2.5831675E-16
3797.111,1.8855995E-16,2.4196987E-17,2.526775E-16
3802.6313,2.2499977E-16,2.4590647E-17,2.6570389E-16
3808.1516,1.5702634E-16,2.3617595E-17,2.6992158E-16
3813.6719,1.6589279E-16,2.360106E-17,2.7682072E-16
3819.192,1.7928817E-16,2.3871298E-17,3.0346334E-16
3824.7122,2.1508189E-16,2.416175E-17,3.052045E-16
3830.2324,1.9115816E-16,2.4124959E-17,3.4387484E-16
3835.7527,1.8764567E-16,2.3993423E-17,3.4486147E-16
3841.273,1.8582446E-16,2.356824E-17,3.195655E-16
3846.793,1.621301E-16,2.2966809E-17,2.9684574E-16
3852.3132,1.749408E-16,2.2505804E-17,2.5271665E-16
3857.8335,2.0006924E-16,2.2590364E-17,2.4279998E-16
