WAVE,FLUX,ERR,BGFLUX
3636.2903,2.0632463E-16,2.729061E-17,6.5530545E-16
3641.8115,1.4085802E-16,2.6697878E-17,6.9385556E-16
3647.3325,1.2079517E-16,2.6192047E-17,6.7748824E-16
3652.8538,2.1529198E-16,2.6408107E-17,6.279278E-16
3658.375,1.8230104E-16,2.5930898E-17,6.4862347E-16
3663.896,1.8905814E-16,2.55668E-17,6.26336E-16
3669.4172,1.8610232E-16,2.4721975E-17,5.399216E-16
3674.9385,1.4931473E-16,2.4313548E-17,5.630222E-16
3680.4597,1.9865621E-16,2.4742471E-17,6.115171E-16
3685.9807,2.2332238E-16,2.466542E-17,6.1105364E-16
3691.502,1.269268E-16,2.4053393E-17,6.784787E-16
3697.0232,2.0214449E-16,2.4014911E-17,6.224886E-16
3702.5444,1.614439E-16,2.3234162E-17,5.924286E-16
3708.0654,1.8899799E-16,2.3273488E-17,6.0518175E-16
3713.5867,1.8395373E-16,2.26949E-17,5.601201E-16
3719.108,1.9376182E-16,2.2417961E-17,5.511671E-16
3724.629,2.0147192E-16,2.2590175E-17,5.950132E-16
3730.1501,1.9303206E-16,2.2400031E-17,6.089762E-16
3735.6714,1.8547344E-16,2.1938853E-17,5.820077E-16
3741.1926,1.3320604E-16,2.1490154E-17,6.112932E-16
3746.7136,1.828654E-16,2.128066E-17,5.4999326E-16
3752.2349,1.8971107E-16,2.1223853E-17,5.628731E-16
3757.756,1.459987E-16,2.0641596E-17,5.589775E-16
3763.2773,1.5362852E-16,2.0689807E-17,5.861604E-16
3768.7983,1.7376042E-16,2.0911725E-17,6.2074227E-16
3774.3196,1.9416283E-16,2.0815398E-17,6.085189E-16
3779.8408,1.9162617E-16,2.0239237E-17,5.51532E-16
3785.3618,1.9153024E-16,2.0123774E-17,5.53841E-16
3790.883,1.8763413E-16,1.9959663E-17,5.3334954E-16
3796.4043,1.5981587E-16,1.9714543E-17,5.537108E-16
3801.9255,2.1662604E-16,1.9935956E-17,5.4479645E-16
3807.4465,2.3135278E-16,1.9630592E-17,5.0335796E-16
3812.9678,1.8605252E-16,1.8982683E-17,4.7854614E-16
3818.489,2.0765382E-16,1.9009393E-17,4.84605E-16
3824.0103,2.3549504E-16,1.9002698E-17,4.6718033E-16
3829.5312,1.7899237E-16,1.8615698E-17,4.9534365E-16
3835.0525,1.9444692E-16,1.8591867E-17,4.9101256E-16
3840.5737,2.1067216E-16,1.8606511E-17,4.9295756E-16
3846.095,1.7219117E-16,1.818212E-17,4.9415193E-16
3851.616,1.931237E-16,1.8239604E-17,4.963007E-16
3857.1372,2.4844503E-16,1.8207466E-17,4.474951E-16
3862.6584,2.0706095E-16,1.7708906E-17,4.3687882E-16
3868.1794,2.300733E-16,1.7802477E-17,4.439536E-16
3873.7007,2.387112E-16,1.9262644E-17,4.2229706E-16
3879.222,1.9272305E-16,1.9326799E-17,4.6030926E-16
3884.7432,1.6336588E-16,1.9065004E-17,4.615734E-16
3890.2642,2.2216822E-16,2.0317771E-17,4.733075E-16
3895.7854,2.2249848E-16,2.0652637E-17,5.300782E-16
3901.3066,2.378116E-16,2.0533761E-17,5.7605255E-16
3906.828,2.1108327E-16,1.856369E-17,5.94167E-16
3912.3489,1.9718526E-16,1.7452771E-17,5.7068326E-16
3917.87,2.1779042E-16,1.692431E-17,4.7784226E-16
3923.3914,1.735573E-16,1.5886067E-17,3.8303105E-16
3928.9124,1.8154713E-16,1.5817584E-17,3.5856646E-16
3934.4336,2.2141633E-16,1.5897533E-17,3.5741018E-16
3939.9548,2.2025392E-16,1.64116E-17,4.5110937E-16
3945.476,1.7100228E-16,1.653149E-17,5.432776E-16
3950.997,1.8986369E-16,1.6326469E-17,5.0013436E-16
3956.5183,1.5996193E-16,1.5752381E-17,4.5846924E-16
3962.0396,2.132315E-16,1.558975E-17,3.8649203E-16
3967.5608,1.9174467E-16,1.5514039E-17,4.1572896E-16
3973.0818,1.6493284E-16,1.5567003E-17,4.638916E-16
3978.603,2.1241866E-16,1.6084279E-17,5.099164E-16
3984.1243,2.0483679E-16,1.6364794E-17,5.806095E-16
3989.6453,1.7473418E-16,1.6279144E-17,6.108795E-16
3995.1665,2.03286E-16,1.6371198E-17,6.06039E-16
4000.6877,2.1466822E-16,1.6533243E-17,6.3750754E-16
4006.209,1.854161E-16,1.645238E-17,6.6849905E-16
4011.73,2.1333581E-16,1.6531602E-17,6.649019E-16
4017.2512,2.0770352E-16,1.6446399E-17,6.7097704E-16
4022.7725,1.848031E-16,1.618648E-17,6.644241E-16
4028.2937,1.7786314E-16,1.6133832E-17,6.7787316E-16
4033.8147,1.8886532E-16,1.6033346E-17,6.6068935E-16
4039.336,1.5244837E-16,1.5723064E-17,6.631336E-16
4044.8572,1.7802972E-16,1.5807832E-17,6.640194E-16
4050.3784,1.963607E-16,1.578386E-17,6.493156E-16
4055.8994,1.7784506E-16,1.5556109E-17,6.4266687E-16
4061.4207,2.335879E-16,1.593867E-17,6.623611E-16
4066.942,2.2267594E-16,1.6796462E-17,6.568998E-16
4072.463,2.2277067E-16,1.6569961E-17,6.519756E-16
4077.9841,2.245085E-16,1.6517923E-17,6.383342E-16
4083.5054,1.9038332E-16,1.5453666E-17,6.572103E-16
4089.0266,1.9786402E-16,1.537911E-17,6.4624077E-16
4094.5476,2.1195439E-16,1.514651E-17,6.0349287E-16
4100.069,2.7569856E-16,1.5366422E-17,5.795466E-16
4105.59,2.3934832E-16,1.5046114E-17,5.755905E-16
4111.1113,2.7828765E-16,1.5355364E-17,5.9806656E-16
4116.6323,2.564774E-16,1.5272745E-17,6.179399E-16
4122.1533,2.614511E-16,1.5335801E-17,6.350348E-16
4127.675,2.8268118E-16,1.5426379E-17,6.3694697E-16
4133.196,2.3203943E-16,1.5223272E-17,6.679289E-16
4138.7173,2.4816517E-16,1.5095439E-17,6.3643266E-16
4144.2383,2.2769212E-16,1.4926342E-17,6.371804E-16
4149.7593,2.384953E-16,1.4910018E-17,6.3103706E-16
4155.281,2.6167066E-16,1.5092848E-17,6.49486E-16
4160.802,2.9889032E-16,1.5369547E-17,6.6496216E-16
4166.3228,3.0955558E-16,1.5317345E-17,6.5194284E-16
4171.844,2.807434E-16,1.51246E-17,6.5798006E-16
4177.365,2.9865484E-16,1.4998867E-17,6.202521E-16
4182.8867,3.0458879E-16,1.4768744E-17,5.915747E-16
4188.4077,2.5625036E-16,1.4400453E-17,5.832413E-16
4193.9287,2.4964692E-16,1.428269E-17,5.7658824E-16
4199.45,2.7286836E-16,1.4374778E-17,5.732944E-16
4204.971,3.3191658E-16,1.4694617E-17,5.750264E-16
4210.492,3.2193576E-16,1.4553025E-17,5.652416E-16
4216.0137,2.5739777E-16,1.4107185E-17,5.630025E-16
4221.5347,2.4525286E-16,1.3984625E-17,5.61273E-16
4227.0557,2.334722E-16,1.3720366E-17,5.3233236E-16
4232.577,2.4530707E-16,1.3791662E-17,5.37726E-16
4238.098,2.4182439E-16,1.3774836E-17,5.443185E-16
4243.6196,2.862914E-16,1.3986673E-17,5.384779E-16
4249.1406,2.7192616E-16,1.3885009E-17,5.421495E-16
4254.6616,2.908189E-16,1.4047727E-17,5.579245E-16
4260.183,3.1619338E-16,1.4035255E-17,5.3138395E-16
4265.704,2.5437802E-16,1.3708294E-17,5.471994E-16
4271.225,2.9778746E-16,1.3851453E-17,5.279967E-16
4276.7466,2.9095232E-16,1.3888496E-17,5.469108E-16
4282.2676,2.9113753E-16,1.3662615E-17,5.097281E-16
4287.7886,2.930804E-16,1.3639365E-17,5.049278E-16
4293.31,3.1392793E-16,1.3539788E-17,4.67141E-16
4298.831,3.1144425E-16,1.34043154E-17,4.483362E-16
4304.3525,2.97284E-16,1.3233479E-17,4.3916205E-16
4309.8735,3.028224E-16,1.3344261E-17,4.566228E-16
4315.3945,3.1678524E-16,1.3634048E-17,4.9887684E-16
4320.916,2.9593709E-16,1.3703446E-17,5.402066E-16
4326.437,2.802608E-16,1.36083015E-17,5.471421E-16
4331.958,3.3409573E-16,1.3657156E-17,4.983874E-16
4337.4795,3.352495E-16,1.3670111E-17,5.0182366E-16
4343.0005,3.3083937E-16,1.3665127E-17,5.1291307E-16
4348.5215,3.243403E-16,1.3574068E-17,5.045069E-16
4354.043,3.1376589E-16,1.3626528E-17,5.308678E-16
4359.564,3.2002744E-16,1.3729969E-17,5.4635753E-16
4365.0854,3.1969665E-16,1.3717953E-17,5.4872277E-16
4370.6064,3.198154E-16,1.3650315E-17,5.37685E-16
4376.1274,3.059034E-16,1.3448185E-17,5.194383E-16
4381.649,3.1411447E-16,1.3408448E-17,5.0525256E-16
4387.17,3.1272861E-16,1.3419219E-17,5.115572E-16
4392.691,3.2092985E-16,1.3458329E-17,5.146321E-16
4398.2124,3.130885E-16,1.3472046E-17,5.287026E-16
4403.7334,2.9427216E-16,1.3491342E-17,5.5746076E-16
4409.2544,3.05109E-16,1.3604601E-17,5.711423E-16
4414.776,3.0240426E-16,1.3628822E-17,5.821575E-16
4420.297,3.1126174E-16,1.3855014E-17,6.0521806E-16
4425.8184,3.3166078E-16,1.3840066E-17,5.854552E-16
4431.3394,3.2624133E-16,1.3782834E-17,5.8139304E-16
4436.8604,3.181535E-16,1.3721786E-17,5.8141337E-16
4442.382,3.0795167E-16,1.3654154E-17,5.832547E-16
4447.903,2.9967263E-16,1.349216E-17,5.6739264E-16
4453.424,2.9543636E-16,1.3344132E-17,5.423606E-16
4458.9453,2.929403E-16,1.3238796E-17,5.275311E-16
4464.4663,2.9286527E-16,1.3213998E-17,5.258905E-16
