WAVE,FLUX,ERR,SKYBACK
3668.5955,1.7196797E-17,5.6041424E-18,7.4382086E-17
3674.1194,2.023275E-17,5.5860475E-18,6.425134E-17
3679.6433,1.5546042E-17,5.46281E-18,6.2043615E-17
3685.167,2.2091997E-17,5.7539833E-18,7.486441E-17
3690.691,1.5776551E-17,5.6223863E-18,7.617569E-17
3696.2148,2.2575549E-17,5.81315E-18,8.304232E-17
3701.7388,1.4722392E-17,5.6011617E-18,7.876845E-17
3707.2625,1.195911E-17,5.4103584E-18,7.098568E-17
3712.7864,1.18944444E-17,5.370468E-18,7.1583416E-17
3718.3103,2.881583E-17,5.5777455E-18,7.2247596E-17
3723.834,2.1648963E-17,5.6187984E-18,8.6176755E-17
3729.358,1.7134732E-17,5.566996E-18,9.286344E-17
3734.8818,1.5820825E-17,5.4655645E-18,9.059101E-17
3740.4055,9.839943E-18,5.2657135E-18,8.727707E-17
3745.9294,1.629911E-17,5.1208986E-18,7.2495154E-17
3751.4534,1.874084E-17,5.0614917E-18,7.237976E-17
3756.9773,1.3656336E-17,4.922359E-18,6.917867E-17
3762.501,2.3095424E-17,4.8636557E-18,6.020648E-17
3768.025,2.3364454E-17,4.8432802E-18,6.152613E-17
3773.5488,2.212273E-17,4.804519E-18,6.4377614E-17
3779.0725,1.6109263E-17,4.7091045E-18,6.771339E-17
3784.5964,1.25848086E-17,4.6343116E-18,6.879645E-17
3790.1204,1.5754196E-17,4.5077286E-18,5.967308E-17
3795.6443,2.1342957E-17,4.5590212E-18,6.044345E-17
3801.168,1.3959219E-17,4.448882E-18,6.348526E-17
3806.692,2.161144E-17,4.4955293E-18,6.239878E-17
3812.2158,2.4277007E-17,4.523226E-18,6.5850995E-17
3817.7395,1.4554567E-17,4.4728245E-18,7.513866E-17
3823.2634,1.30153685E-17,4.3949405E-18,7.431702E-17
3828.7874,1.5365937E-17,4.383829E-18,7.4111565E-17
3834.3113,1.6643102E-17,4.4004578E-18,7.69332E-17
3839.835,2.1355504E-17,4.3480224E-18,7.001066E-17
3845.359,1.3187605E-17,4.150921E-18,6.765542E-17
3850.8828,1.6602944E-17,4.0523893E-18,5.8410935E-17
3856.4065,3.0115975E-17,4.130455E-18,5.2736215E-17
3861.9304,2.0662914E-17,4.0117586E-18,5.6378917E-17
3867.4543,1.9280387E-17,3.8531343E-18,4.8384868E-17
3872.978,1.1835715E-17,3.70365E-18,4.7134005E-17
3878.502,1.8386321E-17,3.733255E-18,4.4496695E-17
3884.026,1.7956268E-17,3.749995E-18,4.8525776E-17
3889.5498,1.770009E-17,3.680648E-18,4.7872155E-17
3895.0735,1.4994344E-17,3.8184986E-18,5.94171E-17
3900.5974,1.8093651E-17,3.830327E-18,5.946619E-17
3906.1213,2.357402E-17,3.904182E-18,6.113303E-17
3911.645,2.8079748E-17,3.960856E-18,6.404888E-17
3917.169,1.746E-17,3.719918E-18,5.7074536E-17
3922.6929,2.2728458E-17,3.7080563E-18,5.267156E-17
3928.2168,2.3713965E-17,3.635835E-18,4.7968594E-17
3933.7405,1.9577008E-17,3.62819E-18,5.2939424E-17
3939.2644,1.36982474E-17,3.633381E-18,6.1544825E-17
3944.7883,1.7844015E-17,3.631216E-18,5.8935434E-17
3950.312,2.5993262E-17,3.7306975E-18,5.928737E-17
3955.836,1.8691594E-17,3.474245E-18,4.875957E-17
3961.3599,2.0033984E-17,3.463529E-18,4.8097836E-17
3966.8835,1.6219806E-17,3.3407627E-18,4.4937675E-17
3972.4075,1.4918677E-17,3.3708904E-18,4.931674E-17
3977.9314,1.840828E-17,3.3902076E-18,4.8949108E-17
3983.4553,2.1678126E-17,3.472968E-18,5.3679168E-17
3988.979,2.0227352E-17,3.4324457E-18,5.334145E-17
3994.503,2.3746847E-17,3.4432268E-18,5.193092E-17
4000.0269,2.3194093E-17,3.490346E-18,5.737015E-17
4005.5505,2.3757125E-17,3.5507563E-18,6.3398464E-17
4011.0745,1.9129412E-17,3.409839E-18,5.831194E-17
4016.5984,2.4528723E-17,3.528889E-18,6.29667E-17
4022.1223,1.6702874E-17,3.3545435E-18,5.928134E-17
4027.646,1.8190082E-17,3.3607068E-18,5.828241E-17
4033.17,2.612547E-17,3.454329E-18,5.939493E-17
4038.6938,2.8810357E-17,3.4993346E-18,6.187334E-17
4044.2175,3.0127394E-17,3.4978168E-18,6.2129516E-17
4049.7415,2.5462666E-17,3.4599156E-18,6.487177E-17
4055.2654,2.560552E-17,3.3830182E-18,6.059683E-17
4060.7893,2.5367226E-17,3.4442996E-18,6.578471E-17
4066.313,2.8625343E-17,3.4540562E-18,6.4667644E-17
4071.837,2.3070822E-17,3.3835579E-18,6.581822E-17
4077.3608,2.2504107E-17,3.3687114E-18,6.599137E-17
4082.8845,2.5594293E-17,3.322352E-18,6.0206156E-17
4088.4084,2.3137305E-17,3.2758178E-18,5.978534E-17
4093.9324,2.870297E-17,3.2464986E-18,5.3783836E-17
4099.456,2.9494852E-17,3.2622407E-18,5.097102E-17
4104.98,2.2711322E-17,3.146568E-18,4.9733192E-17
4110.504,2.1891982E-17,3.1278468E-18,5.0064448E-17
4116.028,2.060787E-17,3.1190417E-18,5.1079872E-17
4121.552,2.596121E-17,3.1832437E-18,5.2774864E-17
4127.0757,2.806905E-17,3.248247E-18,5.5819306E-17
4132.599,2.4364784E-17,3.2452897E-18,5.997391E-17
4138.123,2.816525E-17,3.2165623E-18,5.5142007E-17
4143.647,2.863523E-17,3.2324386E-18,5.7259844E-17
4149.171,3.112024E-17,3.2405737E-18,5.6343546E-17
4154.695,2.800068E-17,3.2238047E-18,5.8767364E-17
4160.2188,2.9007844E-17,3.3102505E-18,6.563654E-17
4165.742,2.6301468E-17,3.2655478E-18,6.604866E-17
4171.266,2.7858014E-17,3.2801498E-18,6.583785E-17
4176.79,2.9865564E-17,3.2547698E-18,6.251528E-17
4182.314,2.6853352E-17,3.1513714E-18,5.768278E-17
4187.838,2.9765237E-17,3.1283299E-18,5.3953815E-17
4193.362,2.4280476E-17,3.063382E-18,5.462189E-17
4198.8857,2.7554273E-17,3.0667953E-18,5.26872E-17
4204.409,3.1015478E-17,3.1146057E-18,5.356449E-17
4209.933,2.450244E-17,3.0157555E-18,5.283553E-17
4215.457,2.7721269E-17,3.0681266E-18,5.450953E-17
4220.981,2.804935E-17,2.9902157E-18,4.8693105E-17
4226.505,2.5504461E-17,2.9209193E-18,4.71234E-17
4232.029,3.088046E-17,2.9787343E-18,4.6428377E-17
4237.5527,3.0711446E-17,2.98782E-18,4.7889016E-17
4243.076,2.6398195E-17,2.9569263E-18,5.009159E-17
4248.6,2.3284924E-17,2.9501425E-18,5.3339028E-17
4254.124,2.4800339E-17,2.9507255E-18,5.2510858E-17
4259.648,2.8004057E-17,2.971474E-18,5.146648E-17
4265.172,2.6090181E-17,2.9473074E-18,5.2490397E-17
4270.696,2.7891677E-17,2.959084E-18,5.2762377E-17
4276.2197,2.5605113E-17,2.9052448E-18,5.0839586E-17
4281.743,2.9213733E-17,2.927312E-18,4.926021E-17
4287.267,2.6514846E-17,2.8774201E-18,4.886559E-17
4292.791,2.9302E-17,2.9399854E-18,5.1602124E-17
4298.315,3.2288638E-17,2.9094546E-18,4.690598E-17
4303.839,3.0462534E-17,2.9055552E-18,4.87833E-17
4309.363,3.499089E-17,2.9671308E-18,5.014988E-17
4314.8867,2.5544009E-17,2.9017742E-18,5.4588034E-17
4320.41,3.357876E-17,2.9539602E-18,5.162978E-17
4325.934,3.7145935E-17,2.9775183E-18,5.078554E-17
4331.458,3.044066E-17,2.877277E-18,4.9652085E-17
4336.982,2.7671642E-17,2.815019E-18,4.762616E-17
4342.506,2.6035104E-17,2.7949033E-18,4.7916588E-17
4348.03,3.0049907E-17,2.8475494E-18,4.9631197E-17
4353.5537,3.5134493E-17,2.8927557E-18,4.856481E-17
4359.077,2.6736304E-17,2.839488E-18,5.2494817E-17
4364.601,3.1394853E-17,2.8714026E-18,5.105988E-17
4370.125,2.708666E-17,2.807068E-18,5.09095E-17
4375.649,2.769453E-17,2.7696242E-18,4.7612394E-17
4381.173,2.9022962E-17,2.8290286E-18,5.160827E-17
4386.697,2.917773E-17,2.8170492E-18,5.073078E-17
4392.22,3.4273593E-17,2.8563665E-18,4.9439765E-17
4397.744,2.7347448E-17,2.8000397E-18,5.321789E-17
4403.268,3.0157295E-17,2.8456494E-18,5.3729434E-17
4408.792,3.109038E-17,2.8968922E-18,5.7994175E-17
4414.316,3.003248E-17,2.8900735E-18,5.907517E-17
4419.84,2.898196E-17,2.8983226E-18,6.137761E-17
4425.364,3.3211924E-17,2.8988807E-18,5.795812E-17
4430.887,2.4541145E-17,2.813188E-18,5.871121E-17
4436.411,3.2233783E-17,2.8507245E-18,5.497175E-17
4441.935,2.9211993E-17,2.7917968E-18,5.3462006E-17
4447.459,2.7195546E-17,2.7552613E-18,5.2424153E-17
4452.983,1.7428704E-17,2.6841845E-18,5.1892554E-17
4458.507,2.4272048E-17,2.7614414E-18,5.1901937E-17
4464.031,2.4326699E-17,2.7279958E-18,4.9248378E-17
4469.554,2.7779554E-17,2.7456765E-18,4.7920042E-17
4475.078,2.8250213E-17,2.7707868E-18,4.974506E-17
4480.602,2.5546279E-17,2.7387218E-18,5.0318925E-17
4486.126,2.533613E-17,2.7228259E-18,4.950994E-17
4491.65,2.7046614E-17,2.7572296E-18,5.082192E-17
4497.174,2.7614826E-17,2.751398E-18,5.0485784E-17
4502.6978,2.708837E-17,2.741816E-18,5.0317827E-17
4508.221,2.5645486E-17,2.7342E-18,5.1472806E-17
4513.745,2.4839805E-17,2.7327622E-18,5.2440283E-17
4519.269,3.1243766E-17,2.8095562E-18,5.320587E-17
4524.793,3.4521172E-17,2.8512016E-18,5.4107416E-17
4530.317,2.9640886E-17,2.7847718E-18,5.3424552E-17
4535.841,2.7228701E-17,2.7846824E-18,5.6473235E-17
4541.3647,2.7304456E-17,2.806176E-18,5.8146734E-17
4546.888,3.1190225E-17,2.8071735E-18,5.568183E-17
4552.412,2.5380518E-17,2.7359747E-18,5.5010724E-17
4557.936,2.6698512E-17,2.7171837E-18,5.2401554E-17
4563.46,3.253114E-17,2.7789623E-18,5.272666E-17
4568.984,2.791355E-17,2.711324E-18,5.1408898E-17
4574.508,2.7448233E-17,2.7199382E-18,5.2396313E-17
4580.0317,3.3531804E-17,2.7490959E-18,4.913983E-17
4585.555,2.7194921E-17,2.7026123E-18,5.232948E-17
4591.079,3.342052E-17,2.757063E-18,5.1001902E-17
4596.603,3.373827E-17,2.7453018E-18,4.9615944E-17
4602.127,3.2311736E-17,2.7289902E-18,4.994318E-17
4607.651,3.1742646E-17,2.7227035E-18,5.039014E-17
4613.175,2.8380014E-17,2.7022398E-18,5.2103597E-17
4618.698,2.6115012E-17,2.6594984E-18,5.0687097E-17
4624.222,3.4417152E-17,2.7123157E-18,4.758507E-17
4629.746,3.5415973E-17,2.7296534E-18,4.8692943E-17
4635.27,3.153498E-17,2.6865288E-18,4.932704E-17
4640.794,3.312991E-17,2.6857175E-18,4.7447795E-17
4646.318,2.816391E-17,2.6429318E-18,4.8699087E-17
4651.842,3.312687E-17,2.7258594E-18,5.157583E-17
4657.365,3.807088E-17,2.7459793E-18,4.8869027E-17
4662.889,3.7197518E-17,2.7665426E-18,5.1381055E-17
4668.413,3.786417E-17,2.7782937E-18,5.2707605E-17
