WAVE,FLUX,ERR,SKYBACK
3642.7437,2.4916252E-16,5.0065282E-17,2.4441088E-16
3648.2637,2.3042345E-16,4.8798375E-17,2.2261172E-16
3653.7834,1.08442406E-16,4.7395504E-17,3.3148457E-16
3659.3035,2.15825E-16,4.6700076E-17,2.1487937E-16
3664.8232,2.0866867E-16,4.5868088E-17,2.2123242E-16
3670.3433,1.2493455E-16,4.359758E-17,1.9564022E-16
3675.863,1.7837876E-16,4.3788176E-17,2.2772796E-16
3681.383,2.4167822E-16,4.3862334E-17,2.3502456E-16
3686.9028,1.9577122E-16,4.2316456E-17,2.2455574E-16
3692.4229,1.6736079E-16,4.205817E-17,3.1214085E-16
3697.9426,2.0307231E-16,4.1744437E-17,3.259731E-16
3703.4626,2.9100727E-16,4.094982E-17,1.891362E-16
3708.9824,1.284765E-16,3.8986084E-17,2.8770104E-16
3714.5024,1.951974E-16,3.8694268E-17,2.2948608E-16
3720.0222,2.8893178E-16,3.871593E-17,1.8197301E-16
3725.5422,3.350596E-16,3.928728E-17,2.470784E-16
3731.062,1.7759471E-16,3.7559932E-17,3.4815418E-16
3736.5818,3.2534318E-16,3.826331E-17,2.8945215E-16
3742.1018,3.4109387E-16,3.7439816E-17,2.3489796E-16
3747.6216,1.1603122E-16,3.479964E-17,3.396383E-16
3753.1416,2.0854172E-16,3.4390808E-17,2.1907526E-16
3758.6614,1.6055844E-16,3.3819415E-17,2.8039575E-16
3764.1814,1.4152351E-16,3.2257407E-17,2.2787976E-16
3769.7012,2.0744827E-16,3.2906002E-17,2.2254907E-16
3775.2212,2.9060591E-16,3.327163E-17,1.908864E-16
3780.741,2.0999463E-16,3.2075126E-17,2.3260785E-16
3786.261,2.2805383E-16,3.1655057E-17,2.0462103E-16
3791.7808,1.9997527E-16,3.0865937E-17,2.072852E-16
3797.3008,2.1140419E-16,3.0715248E-17,2.1486596E-16
3802.8206,1.9042404E-16,3.053647E-17,2.7730506E-16
3808.3406,1.5490705E-16,2.9442667E-17,2.52796E-16
3813.8604,2.918291E-16,3.0640643E-17,2.2483042E-16
3819.3804,2.282172E-16,2.9539083E-17,2.3333958E-16
3824.9001,1.7390878E-16,2.8841594E-17,2.7297397E-16
3830.4202,2.4174937E-16,2.9236864E-17,2.505882E-16
3835.94,2.6653946E-16,2.9358102E-17,2.652382E-16
3841.4597,1.7193599E-16,2.7744419E-17,2.6221678E-16
3846.9797,2.3287802E-16,2.7392642E-17,1.6419159E-16
3852.4995,3.2664155E-16,2.836902E-17,1.6575139E-16
3858.0195,2.1808171E-16,2.6757971E-17,1.7602464E-16
3863.5393,2.716042E-16,2.7240594E-17,1.7932758E-16
3869.0593,1.9909343E-16,2.5965754E-17,1.7747116E-16
3874.579,2.322221E-16,2.5747254E-17,1.3375984E-16
3880.099,2.6860148E-16,2.5860147E-17,1.1277929E-16
3885.619,2.444349E-16,2.5507917E-17,1.4026609E-16
3891.139,2.5548719E-16,2.5459901E-17,1.4001187E-16
3896.6587,2.509349E-16,2.5269436E-17,1.6337545E-16
3902.1787,2.9450494E-16,2.5871501E-17,1.8718878E-16
3907.6985,2.1652051E-16,2.5445111E-17,2.8223196E-16
3913.2185,2.44578E-16,2.514543E-17,2.2717739E-16
3918.7383,2.981893E-16,2.556624E-17,2.3137766E-16
3924.2583,2.59392E-16,2.4707374E-17,2.0169445E-16
3929.778,2.7079058E-16,2.4292862E-17,1.5507173E-16
3935.298,2.8876505E-16,2.4487727E-17,1.6824647E-16
3940.8179,2.8659204E-16,2.4397834E-17,1.8282902E-16
3946.338,2.1091173E-16,2.3792773E-17,2.5221224E-16
3951.8577,2.307826E-16,2.3574649E-17,2.131075E-16
3957.3774,3.0659795E-16,2.4027587E-17,1.7665416E-16
3962.8975,2.3593928E-16,2.2765829E-17,1.4922477E-16
3968.4172,2.9273273E-16,2.3425168E-17,1.593343E-16
3973.9373,2.5477385E-16,2.291837E-17,1.776664E-16
3979.457,2.7124975E-16,2.3011026E-17,1.856567E-16
3984.977,3.0429677E-16,2.3681921E-17,2.3209616E-16
3990.4968,2.31277E-16,2.2775187E-17,2.5054742E-16
3996.0168,2.5609033E-16,2.273836E-17,2.2508204E-16
4001.5366,2.6531954E-16,2.2974278E-17,2.552033E-16
4007.0566,2.7695907E-16,2.3045015E-17,2.5836236E-16
4012.5764,3.0092862E-16,2.3050825E-17,2.3731732E-16
4018.0964,2.9428572E-16,2.289037E-17,2.4436186E-16
4023.6162,3.279038E-16,2.2792686E-17,1.9614264E-16
4029.1362,2.626534E-16,2.2189188E-17,2.3176185E-16
4034.656,2.6104743E-16,2.1938456E-17,2.2143966E-16
4040.176,2.5048964E-16,2.1880094E-17,2.4599158E-16
4045.6958,2.629162E-16,2.2046036E-17,2.6487467E-16
4051.2158,2.9218735E-16,2.2144065E-17,2.404585E-16
4056.7356,2.2799906E-16,2.1260625E-17,2.4238827E-16
4062.2554,2.713022E-16,2.1645876E-17,2.3901555E-16
4067.7754,2.5144268E-16,2.1287366E-17,2.3193589E-16
4073.2952,2.2353276E-16,2.0979468E-17,2.5708286E-16
4078.8152,1.5702719E-16,2.0241007E-17,2.7355331E-16
