WAVE,FLUX,ERR,SKYBACK
3342.952,-9.971254E-19,2.867288E-17,1.5682802E-15
3347.0361,7.691689E-17,2.9280553E-17,1.6249438E-15
3351.1204,-3.441841E-17,2.845171E-17,1.6476546E-15
3355.2046,1.0958726E-16,2.90565E-17,1.6641634E-15
3359.289,3.3395197E-17,2.8492064E-17,1.7268984E-15
3363.3733,6.8911093E-17,2.821125E-17,1.6934024E-15
3367.4575,-1.2969449E-17,2.7475689E-17,1.7111763E-15
3371.5417,3.2513773E-17,2.7586755E-17,1.7467257E-15
3375.626,1.1399628E-17,2.7212556E-17,1.7650817E-15
3379.7104,4.2708596E-17,2.6941694E-17,1.7363243E-15
3383.7947,4.600885E-17,2.6609428E-17,1.7279376E-15
3387.879,7.219241E-17,2.6245263E-17,1.6905138E-15
3391.9631,4.6094765E-17,2.5607725E-17,1.6614458E-15
3396.0474,6.046108E-17,2.5338395E-17,1.6485704E-15
3400.1318,3.97754E-17,2.4973445E-17,1.6634223E-15
3404.216,8.7935903E-17,2.515264E-17,1.6863128E-15
3408.3003,7.786962E-17,2.4926194E-17,1.7056722E-15
3412.3845,7.494303E-17,2.431349E-17,1.6503128E-15
3416.4688,5.132607E-17,2.3334166E-17,1.5548952E-15
3420.5532,8.8400944E-17,2.2779029E-17,1.4616731E-15
3424.6375,5.0234096E-17,2.2173837E-17,1.4440687E-15
3428.7217,4.35818E-17,2.1965894E-17,1.457333E-15
3432.806,3.4130213E-17,2.1740244E-17,1.4700076E-15
3436.8901,7.285137E-17,2.2011203E-17,1.5156268E-15
3440.9746,3.977134E-17,2.1757608E-17,1.5489731E-15
3445.0588,5.3622198E-17,2.1577992E-17,1.5417775E-15
3449.143,8.5731315E-17,2.1279388E-17,1.4922912E-15
3453.2273,5.3284924E-17,2.075372E-17,1.4719425E-15
3457.3118,1.6094847E-17,2.0522414E-17,1.5098125E-15
3461.396,4.0924172E-17,2.032512E-17,1.4827331E-15
3465.4802,1.1121723E-16,2.0416611E-17,1.4627364E-15
3469.5645,4.3509786E-17,1.971921E-17,1.4421306E-15
3473.6487,8.699961E-17,1.9796783E-17,1.4445407E-15
3477.7332,3.1849478E-17,1.9266775E-17,1.4382651E-15
3481.8174,3.612149E-17,1.9255832E-17,1.4650926E-15
3485.9016,6.08602E-17,1.9367187E-17,1.4935024E-15
3489.9858,7.691508E-17,1.9416938E-17,1.5199516E-15
3494.07,6.2149825E-17,1.9214997E-17,1.5320004E-15
3498.1545,5.955161E-17,1.8962384E-17,1.515895E-15
3502.2388,7.649223E-17,1.8494629E-17,1.4385696E-15
3506.323,5.2936644E-17,1.7896109E-17,1.3792389E-15
