WAVE,FLUX,ERR,SKYBACK
3643.8958,8.903578E-16,3.391949E-17,5.978756E-17
3649.4148,9.172438E-16,3.3756113E-17,5.7538604E-17
3654.9338,8.2737834E-16,3.2740103E-17,1.031504E-16
3660.4531,8.816122E-16,3.273369E-17,8.4549744E-17
3665.9722,9.275944E-16,3.2434543E-17,4.710459E-17
3671.4912,9.325987E-16,3.195979E-17,3.646079E-17
3677.0103,8.8310014E-16,3.1082913E-17,2.650501E-17
3682.5295,8.3151933E-16,3.0236118E-17,3.585671E-17
3688.0486,8.13531E-16,2.983043E-17,5.022785E-17
3693.5676,8.398827E-16,2.9771382E-17,5.4195064E-17
3699.0867,8.176288E-16,2.9091343E-17,3.8610657E-17
3704.6057,7.178943E-16,2.7747251E-17,3.985729E-17
3710.125,6.6260036E-16,2.698516E-17,5.721118E-17
3715.644,7.212664E-16,2.7722998E-17,4.984021E-17
3721.163,6.394105E-16,2.611948E-17,5.8382533E-17
3726.6821,6.5572325E-16,2.6403316E-17,7.9191095E-17
3732.2012,5.8573774E-16,2.5099562E-17,7.2843444E-17
3737.7205,5.800573E-16,2.4520949E-17,4.4865856E-17
3743.2395,5.4689217E-16,2.4074258E-17,6.150732E-17
3748.7585,5.369905E-16,2.3622318E-17,5.0184072E-17
3754.2776,4.9522406E-16,2.2975241E-17,5.555512E-17
3759.7969,4.9197744E-16,2.2434946E-17,3.1121757E-17
3765.316,4.4271125E-16,2.1661673E-17,2.7417705E-17
3770.835,4.2211458E-16,2.1383234E-17,4.7210956E-17
3776.354,4.02964E-16,2.111479E-17,6.850335E-17
3781.873,3.3206121E-16,2.0056741E-17,6.7476094E-17
3787.3923,3.7256233E-16,1.9954002E-17,2.5516578E-17
3792.9114,3.2786591E-16,1.9156479E-17,2.0593897E-17
3798.4304,3.139048E-16,1.9024989E-17,4.249292E-17
3803.9495,3.402932E-16,1.910024E-17,3.994329E-17
3809.4685,3.3320193E-16,1.8942472E-17,5.060349E-17
3814.9878,3.2809363E-16,1.8684763E-17,5.107972E-17
3820.5068,3.2364584E-16,1.8435032E-17,4.900733E-17
3826.026,3.7571383E-16,1.8814663E-17,4.877378E-17
3831.545,3.978959E-16,1.9003214E-17,5.459843E-17
3837.0642,4.152455E-16,1.902177E-17,5.3644476E-17
3842.5833,4.2834046E-16,1.9069329E-17,6.2800035E-17
3848.1023,4.526612E-16,1.906702E-17,5.5303344E-17
3853.6213,4.5020595E-16,1.8798275E-17,4.4445685E-17
3859.1404,4.533688E-16,1.8599363E-17,3.7060735E-17
3864.6597,4.3635935E-16,1.8202334E-17,2.882093E-17
3870.1787,5.03123E-16,1.8636894E-17,1.9905754E-17
3875.6978,4.7492984E-16,1.805464E-17,2.4582023E-18
3881.2168,4.4058824E-16,1.7975114E-17,4.911729E-17
3886.7358,4.672532E-16,1.7958293E-17,3.2865663E-17
3892.2551,4.762375E-16,1.7958283E-17,3.6974705E-17
3897.7742,4.527294E-16,1.7686782E-17,5.318411E-17
3903.2932,4.915904E-16,1.8000112E-17,5.907235E-17
3908.8123,5.019526E-16,1.7949033E-17,5.971557E-17
3914.3313,5.2661235E-16,1.8176804E-17,7.098358E-17
3919.8506,5.2596987E-16,1.7875054E-17,5.1629778E-17
3925.3696,5.831641E-16,1.8198787E-17,3.8180976E-17
3930.8887,5.7241915E-16,1.80628E-17,5.0052252E-17
3936.4077,6.3864564E-16,1.8426848E-17,3.554862E-17
3941.927,6.9396366E-16,1.8935921E-17,5.6214354E-17
3947.446,7.4371065E-16,1.9328061E-17,6.511332E-17
3952.965,7.605548E-16,1.9324304E-17,6.2016497E-17
3958.4841,8.110988E-16,1.9525163E-17,4.6570232E-17
3964.0032,8.330695E-16,1.9570675E-17,4.631679E-17
3969.5225,8.7953794E-16,1.9692146E-17,2.6195697E-17
3975.0415,8.5277827E-16,1.9607233E-17,6.030131E-17
3980.5605,9.618417E-16,2.0313681E-17,6.050435E-17
3986.0796,9.477542E-16,2.00294E-17,4.5448535E-17
3991.5986,1.0113024E-15,2.051584E-17,6.2977105E-17
3997.118,1.0056044E-15,2.0516215E-17,8.7318575E-17
4002.637,9.810266E-16,2.0190532E-17,8.09614E-17
4008.156,1.0381342E-15,2.0464321E-17,7.424111E-17
4013.675,1.0537789E-15,2.043415E-17,6.4786433E-17
4019.1943,1.0542438E-15,2.0398463E-17,7.3954936E-17
4024.7134,1.0675199E-15,2.0467866E-17,8.6155275E-17
4030.2324,1.0701282E-15,2.0325628E-17,7.4876435E-17
4035.7515,1.0411795E-15,2.0208807E-17,1.0520429E-16
4041.2705,1.1038764E-15,2.0406566E-17,8.037848E-17
4046.7898,1.0317021E-15,1.9887055E-17,9.262966E-17
4052.3088,1.0434965E-15,1.9819888E-17,8.386873E-17
4057.828,1.0109429E-15,1.9386766E-17,6.121152E-17
4063.347,1.0044623E-15,1.9284311E-17,6.601135E-17
4068.866,9.657997E-16,1.8922678E-17,6.3165735E-17
4074.3853,9.504605E-16,1.8781664E-17,6.979164E-17
4079.9043,9.104095E-16,1.854122E-17,8.476758E-17
4085.4233,8.5350296E-16,1.8022983E-17,7.894216E-17
4090.9424,8.622899E-16,1.8051318E-17,8.289627E-17
4096.4614,8.301565E-16,1.7635727E-17,6.526917E-17
4101.9805,8.47123E-16,1.763907E-17,5.8547917E-17
4107.4995,8.4987024E-16,1.7642781E-17,6.687727E-17
4113.019,8.470675E-16,1.765968E-17,8.089973E-17
4118.538,8.598762E-16,1.7503992E-17,5.0663324E-17
4124.057,8.4149425E-16,1.7388334E-17,6.3268385E-17
4129.576,8.955871E-16,1.775534E-17,6.796808E-17
4135.095,9.439579E-16,1.7984938E-17,6.0254695E-17
4140.6143,9.412749E-16,1.7969822E-17,7.1483625E-17
4146.1333,9.476777E-16,1.8023951E-17,8.0932734E-17
4151.6523,1.0198383E-15,1.8347395E-17,6.189255E-17
4157.1714,1.0199055E-15,1.825441E-17,5.7049436E-17
4162.691,1.0268658E-15,1.836203E-17,7.7846834E-17
4168.21,1.1101261E-15,1.8807008E-17,6.91019E-17
4173.729,1.1127241E-15,1.8830555E-17,7.9194384E-17
4179.248,1.1485765E-15,1.892785E-17,6.474955E-17
4184.767,1.1234435E-15,1.8689631E-17,6.7379367E-17
4190.286,1.1300137E-15,1.866045E-17,6.331448E-17
4195.805,1.1540368E-15,1.8717782E-17,5.822227E-17
4201.324,1.1709845E-15,1.8682713E-17,3.983708E-17
4206.8433,1.1907374E-15,1.881418E-17,5.1516296E-17
4212.363,1.1752147E-15,1.873647E-17,6.3337133E-17
4217.882,1.1522569E-15,1.8498035E-17,5.578578E-17
4223.401,1.1210238E-15,1.8271899E-17,6.0232824E-17
4228.92,1.0869235E-15,1.8056486E-17,6.8285626E-17
4234.439,1.0596752E-15,1.7886303E-17,7.761389E-17
4239.958,1.1078194E-15,1.8085618E-17,6.5289214E-17
4245.477,1.0280044E-15,1.7545366E-17,7.0833316E-17
4250.996,1.0183905E-15,1.746976E-17,7.2917917E-17
4256.515,1.0234734E-15,1.7447979E-17,6.9520845E-17
4262.034,9.944194E-16,1.713952E-17,5.612543E-17
4267.5537,1.0300768E-15,1.735985E-17,6.240055E-17
4273.0728,9.882042E-16,1.7077513E-17,6.6751656E-17
4278.592,9.794195E-16,1.6968944E-17,6.4065205E-17
4284.111,1.0123286E-15,1.711674E-17,5.8432376E-17
4289.63,9.863733E-16,1.6963693E-17,6.691141E-17
4295.149,9.551079E-16,1.661821E-17,4.9265617E-17
4300.668,9.543458E-16,1.6586114E-17,5.0445444E-17
4306.187,9.162799E-16,1.6343484E-17,5.959884E-17
4311.706,8.7422694E-16,1.6037151E-17,6.1614275E-17
4317.2256,8.414954E-16,1.5823398E-17,6.970592E-17
4322.7446,8.4267274E-16,1.5764454E-17,6.481504E-17
4328.2637,8.273039E-16,1.5586415E-17,5.916603E-17
4333.7827,7.485187E-16,1.5031607E-17,6.3143256E-17
4339.302,7.5334565E-16,1.4995365E-17,5.6140775E-17
4344.821,7.5454246E-16,1.502518E-17,6.4488986E-17
4350.34,7.6013684E-16,1.5018286E-17,6.348032E-17
4355.859,7.242266E-16,1.4765607E-17,6.921759E-17
4361.378,7.22822E-16,1.47507E-17,7.1780186E-17
4366.8975,6.733473E-16,1.428114E-17,6.0168456E-17
4372.4165,6.6186075E-16,1.419067E-17,6.305891E-17
4377.9355,6.3679863E-16,1.3934832E-17,5.6919006E-17
4383.4546,6.149917E-16,1.3736111E-17,5.2813083E-17
4388.9736,5.563433E-16,1.3319632E-17,6.353159E-17
4394.4927,5.376605E-16,1.3184075E-17,7.0822066E-17
4400.0117,5.1777843E-16,1.3034235E-17,7.6695736E-17
4405.531,5.138074E-16,1.2888655E-17,6.295841E-17
4411.05,5.0558555E-16,1.2815708E-17,6.5199885E-17
4416.569,5.346202E-16,1.3108966E-17,8.1535186E-17
4422.0884,5.9166315E-16,1.3488543E-17,7.6306856E-17
4427.6074,5.9681227E-16,1.5232867E-17,6.491736E-17
4433.1265,5.8282876E-16,1.3297276E-17,6.193734E-17
4438.6455,5.898412E-16,1.3407618E-17,7.5345956E-17
4444.1646,6.353989E-16,1.3739263E-17,7.674675E-17
4449.6836,6.024261E-16,1.3494958E-17,8.2257335E-17
4455.2026,6.354482E-16,1.3611111E-17,6.3197876E-17
4460.7217,7.164771E-16,1.4178544E-17,6.326528E-17
4466.2407,7.071022E-16,1.4027344E-17,5.3267043E-17
4471.7603,7.0103665E-16,1.4000493E-17,5.9853724E-17
4477.2793,7.1019425E-16,1.4083281E-17,6.724308E-17
4482.7983,7.311005E-16,1.4195357E-17,6.602531E-17
4488.3174,7.384176E-16,1.4269575E-17,7.563551E-17
4493.8364,7.60631E-16,1.441383E-17,7.705164E-17
4499.3555,7.6383007E-16,1.4384004E-17,7.1849795E-17
4504.8745,7.621705E-16,1.4323438E-17,6.8828534E-17
4510.3936,7.4778795E-16,1.4163474E-17,6.685797E-17
4515.9126,7.6216845E-16,1.418721E-17,5.710856E-17
4521.4316,7.3483417E-16,1.4044369E-17,7.0034345E-17
4526.951,7.09957E-16,1.3848294E-17,7.037329E-17
4532.47,6.9818755E-16,1.3736386E-17,6.8485784E-17
4537.9893,6.971175E-16,1.36784695E-17,6.337328E-17
4543.5083,7.138172E-16,1.3796566E-17,6.792037E-17
4549.0273,6.889609E-16,1.3524645E-17,5.4232525E-17
4554.5464,7.0441526E-16,1.3687117E-17,6.64547E-17
4560.0654,7.1588085E-16,1.3717539E-17,6.183467E-17
4565.5845,7.050262E-16,1.3644681E-17,6.4995194E-17
4571.1035,7.276844E-16,1.38254306E-17,7.4912745E-17
4576.623,7.4528026E-16,1.3929763E-17,7.3164635E-17
4582.142,7.6819726E-16,1.4046523E-17,7.0431187E-17
4587.661,7.556879E-16,1.393141E-17,6.840025E-17
4593.18,8.307652E-16,1.434672E-17,5.701187E-17
4598.699,8.283377E-16,1.4385238E-17,7.1200345E-17
4604.2183,8.166285E-16,1.4267954E-17,6.7714606E-17
4609.7373,8.338081E-16,1.4331855E-17,6.235209E-17
4615.2563,8.5496176E-16,1.4407504E-17,5.4978937E-17
4620.7754,8.4623753E-16,1.4425509E-17,7.206478E-17
4626.295,8.6270364E-16,1.44951E-17,7.013103E-17
4631.814,8.7847894E-16,1.4548161E-17,6.323815E-17
4637.333,8.6922156E-16,1.4510609E-17,7.120362E-17
4642.852,9.008074E-16,1.4626184E-17,6.07311E-17
4648.371,8.7792895E-16,1.44626E-17,5.847779E-17
4653.89,9.152532E-16,1.4663669E-17,5.6990885E-17
4659.409,8.695E-16,1.4434315E-17,6.9928995E-17
4664.928,8.676984E-16,1.4376745E-17,6.579983E-17
4670.4473,8.4853325E-16,1.425274E-17,6.7357086E-17
4675.9663,8.451499E-16,1.419768E-17,6.4706594E-17
4681.486,8.1677434E-16,1.4032029E-17,7.0337166E-17
4687.005,8.5147357E-16,1.4133592E-17,5.378574E-17
4692.524,8.548736E-16,1.4176238E-17,5.852314E-17
4698.043,8.4184794E-16,1.4058573E-17,5.513112E-17
4703.562,8.35449E-16,1.402126E-17,5.823897E-17
4709.081,8.129846E-16,1.3922133E-17,6.956695E-17
4714.6,8.215041E-16,1.3944856E-17,6.606853E-17
4720.119,8.595275E-16,1.4111584E-17,5.682458E-17
4725.638,8.347763E-16,1.399632E-17,6.715812E-17
4731.1577,8.320901E-16,1.3939874E-17,6.2441026E-17
4736.677,7.932335E-16,1.3715461E-17,6.978155E-17
4742.196,8.0042014E-16,1.3732398E-17,6.7542255E-17
4747.715,8.112285E-16,1.3786893E-17,6.7853473E-17
4753.234,7.8218035E-16,1.35508554E-17,6.24354E-17
4758.753,7.454943E-16,1.3264766E-17,5.702876E-17
4764.272,7.4795746E-16,1.3257518E-17,5.4594063E-17
4769.791,6.860908E-16,1.2923905E-17,6.776818E-17
4775.31,6.811067E-16,1.2873833E-17,6.744037E-17
4780.8296,6.687884E-16,1.2845187E-17,7.956654E-17
4786.3486,6.4543E-16,1.2553579E-17,5.769322E-17
4791.8677,6.4394727E-16,1.2609736E-17,7.3257E-17
4797.3867,6.491078E-16,1.25768345E-17,6.074247E-17
4802.906,6.7692364E-16,1.2697888E-17,5.0290245E-17
4808.425,6.707644E-16,1.2711661E-17,6.356269E-17
4813.944,6.860924E-16,1.27892214E-17,5.9381556E-17
4819.463,6.526121E-16,1.259915E-17,6.968586E-17
4824.982,6.584687E-16,1.2644044E-17,7.212582E-17
4830.501,6.756318E-16,1.2645095E-17,5.3797015E-17
4836.0205,6.7568967E-16,1.2723405E-17,6.948628E-17
4841.5396,6.41492E-16,1.2532426E-17,8.0114156E-17
4847.0586,6.538966E-16,1.2499394E-17,6.069584E-17
4852.5776,6.6361463E-16,1.2533189E-17,5.594779E-17
4858.0967,6.4317456E-16,1.2393577E-17,5.852014E-17
4863.6157,6.1681596E-16,1.2175309E-17,5.608387E-17
4869.135,6.0123134E-16,1.2054506E-17,5.557911E-17
