WAVE,FLUX,ERR,SKYBACK
3340.3164,1.3328754E-16,4.6461276E-17,1.3748703E-16
3344.3982,1.6314545E-16,4.513829E-17,5.2382532E-17
3348.4797,2.4782194E-16,4.598445E-17,1.3917655E-16
3352.5615,1.9325222E-16,4.4250847E-17,1.5031968E-16
3356.643,1.9754885E-16,4.2781963E-17,1.302153E-16
3360.7249,2.2047852E-16,4.1540507E-17,9.6860137E-17
3364.8064,2.7921358E-16,4.0088352E-17,1.0884731E-17
3368.8882,2.679968E-16,3.8736908E-17,-6.3145272E-18
3372.97,2.4570586E-16,3.794193E-17,4.7053322E-17
3377.0515,3.238698E-16,3.702037E-17,-3.0041234E-17
3381.1333,3.1588323E-16,3.6834363E-17,4.7089503E-17
3385.2148,2.0565166E-16,3.4513883E-17,4.9033927E-17
3389.2966,2.5563057E-16,3.370393E-17,-7.490107E-18
3393.3782,2.1701668E-16,3.318585E-17,6.3935066E-17
3397.46,2.2677563E-16,3.198718E-17,2.3003185E-17
3401.5417,2.5186016E-16,3.284903E-17,1.3976627E-16
3405.6233,2.2864027E-16,3.0877084E-17,5.656748E-17
3409.705,2.4312715E-16,3.095116E-17,1.0034301E-16
3413.7866,3.022728E-16,3.021037E-17,2.908316E-17
3417.8684,3.5229763E-16,2.9968148E-17,9.911045E-18
3421.95,2.602299E-16,2.866464E-17,5.5569914E-17
3426.0317,3.1362943E-16,2.8634597E-17,4.5262377E-17
3430.1135,3.1849185E-16,2.7921614E-17,3.4406243E-17
3434.195,2.7073015E-16,2.7482227E-17,9.7427126E-17
3438.2769,2.8472962E-16,2.679803E-17,6.351356E-17
3442.3584,2.2750606E-16,2.6313398E-17,1.10666304E-16
3446.4402,2.8415547E-16,2.6077299E-17,6.518493E-17
3450.5217,2.8307272E-16,2.5173875E-17,4.956787E-17
3454.6035,2.921142E-16,2.4685118E-17,3.3557417E-17
3458.6853,2.6079086E-16,2.4480364E-17,1.0538447E-16
3462.7668,2.511785E-16,2.4063156E-17,1.0340274E-16
3466.8486,2.6165062E-16,2.405591E-17,1.357306E-16
3470.9302,3.0319494E-16,2.3846618E-17,1.0057793E-16
3475.012,3.139561E-16,2.3437096E-17,8.446027E-17
3479.0935,2.8826826E-16,2.3018704E-17,1.0360441E-16
3483.1753,3.106077E-16,2.2594501E-17,6.933695E-17
3487.257,2.5781465E-16,2.1634934E-17,7.064191E-17
3491.3386,2.7988314E-16,2.1321876E-17,4.5366827E-17
3495.4204,2.8737718E-16,2.127002E-17,5.886315E-17
3499.502,2.809885E-16,2.0893648E-17,6.3470495E-17
3503.5837,3.1329695E-16,2.0711822E-17,3.2471087E-17
3507.6653,2.708183E-16,2.0078802E-17,4.5831868E-17
3511.747,2.399301E-16,1.9611379E-17,6.550132E-17
3515.8289,2.8550543E-16,1.9549477E-17,3.7925328E-17
