WAVE,FLUX,ERR,SKYBACK
14964.134,2.367386E-16,7.587034E-18,5.4156084E-17
14974.296,2.440074E-16,7.480142E-18,5.2929527E-17
14984.457,2.5854185E-16,7.452659E-18,4.9216674E-17
14994.619,2.4653492E-16,7.240482E-18,4.8525624E-17
15004.78,2.5108955E-16,7.538552E-18,6.4792455E-17
15014.942,2.84957E-16,8.147124E-18,1.05059574E-16
15025.104,2.6532007E-16,8.421548E-18,1.9115468E-16
15035.266,2.4475464E-16,8.5884236E-18,3.0229232E-16
15045.427,2.2327137E-16,7.640064E-18,3.188551E-16
15055.589,2.156328E-16,6.618682E-18,2.5912085E-16
15065.75,2.5991553E-16,7.131304E-18,1.9807318E-16
15075.912,2.2697682E-16,7.1226165E-18,1.5265663E-16
15086.073,2.6598984E-16,6.9277956E-18,9.2580615E-17
15096.235,2.3628974E-16,6.7979614E-18,6.929529E-17
15106.396,2.3338963E-16,6.7412747E-18,5.823854E-17
15116.558,2.1974617E-16,6.6830478E-18,5.187191E-17
15126.72,2.4329804E-16,6.7215472E-18,5.1680604E-17
15136.881,2.5942012E-16,6.7114225E-18,4.750617E-17
15147.043,2.5939405E-16,6.78674E-18,4.5889922E-17
15157.204,2.733257E-16,6.9208146E-18,5.7399485E-17
15167.366,2.633919E-16,6.94683E-18,7.912853E-17
15177.527,2.4641245E-16,6.702194E-18,7.642015E-17
15187.689,2.6083596E-16,6.657889E-18,7.150428E-17
15197.851,2.461932E-16,6.4724434E-18,7.226201E-17
15208.013,2.532154E-16,6.5051464E-18,9.679445E-17
15218.174,2.5588482E-16,6.4293817E-18,1.5242893E-16
15228.336,2.5940138E-16,6.4722362E-18,1.4899464E-16
15238.497,2.2047811E-16,6.4356087E-18,1.5627674E-16
15248.659,2.4074789E-16,6.4353907E-18,1.0776682E-16
15258.82,2.4636308E-16,6.400158E-18,8.992154E-17
15268.982,2.787727E-16,6.543659E-18,9.757773E-17
15279.144,2.6637632E-16,6.5471523E-18,9.217485E-17
15289.306,2.555057E-16,6.4495616E-18,8.768465E-17
15299.467,2.3085777E-16,6.1926277E-18,1.1804583E-16
15309.628,2.7983814E-16,6.504822E-18,1.5506607E-16
15319.79,2.7099403E-16,6.707661E-18,1.6442091E-16
15329.951,2.2450632E-16,6.3333845E-18,1.5696366E-16
15340.113,2.460644E-16,6.2978997E-18,1.0359624E-16
15350.274,2.799983E-16,6.4588214E-18,7.3295256E-17
15360.437,2.6807815E-16,6.4308946E-18,6.97262E-17
15370.598,2.4762688E-16,6.2932985E-18,7.037891E-17
15380.76,2.7344945E-16,6.3724208E-18,8.371133E-17
15390.921,3.2704972E-16,6.5575347E-18,8.3554096E-17
15401.083,3.0427335E-16,6.5508114E-18,1.04607206E-16
15411.244,2.7059455E-16,6.4236973E-18,1.1889224E-16
15421.406,2.7843225E-16,6.45775E-18,1.2043402E-16
15431.567,2.6215185E-16,6.5062615E-18,1.00449875E-16
15441.7295,2.6030132E-16,6.304472E-18,7.768623E-17
15451.891,3.0421265E-16,6.4481248E-18,5.92389E-17
15462.053,2.6721221E-16,6.3528584E-18,5.378776E-17
15472.214,2.6517004E-16,6.435977E-18,5.9549976E-17
15482.376,2.7813857E-16,6.2325367E-18,6.274634E-17
15492.537,2.9156348E-16,7.312915E-18,7.5306556E-17
15502.698,2.7366393E-16,6.2854593E-18,8.376886E-17
15512.86,2.8412775E-16,6.3552055E-18,9.138798E-17
15523.021,2.9494455E-16,6.311753E-18,1.1000916E-16
15533.184,2.9497425E-16,6.421034E-18,1.0863884E-16
15543.345,2.963279E-16,6.5249305E-18,1.0476382E-16
15553.507,2.878153E-16,6.348937E-18,7.709299E-17
15563.668,2.978459E-16,6.397627E-18,8.1420804E-17
15573.83,2.771297E-16,6.402806E-18,8.9369785E-17
15583.991,3.0432663E-16,6.3761902E-18,1.0150827E-16
15594.153,2.7400767E-16,6.3180808E-18,9.1219685E-17
15604.314,2.8513832E-16,6.96616E-18,9.422792E-17
15614.477,2.878087E-16,6.9382748E-18,9.829687E-17
15624.638,2.6687925E-16,6.2796587E-18,1.1663681E-16
15634.8,2.3902182E-16,6.1529176E-18,1.3556004E-16
15644.961,2.9101712E-16,6.205772E-18,1.3317236E-16
15655.123,2.4927327E-16,6.0192585E-18,1.0485558E-16
15665.284,2.4273545E-16,6.0100875E-18,7.580967E-17
15675.446,2.469673E-16,6.187211E-18,7.0367765E-17
15685.607,2.587305E-16,6.3294314E-18,6.716933E-17
15695.769,2.7070453E-16,6.5125927E-18,5.545264E-17
15705.931,2.6007734E-16,6.466464E-18,5.4648604E-17
15716.092,2.601995E-16,6.3764276E-18,5.016238E-17
15726.254,2.7807173E-16,6.4809882E-18,4.535672E-17
15736.415,2.7412755E-16,6.4473327E-18,4.0731912E-17
15746.577,2.6764928E-16,6.3803894E-18,4.1905496E-17
15756.738,2.5592455E-16,6.273052E-18,4.527449E-17
15766.9,2.66575E-16,6.2620377E-18,4.9803823E-17
15777.062,2.6144913E-16,6.2107884E-18,5.733425E-17
15787.224,2.823403E-16,6.347216E-18,7.988829E-17
15797.385,2.5698651E-16,6.2868357E-18,1.4188694E-16
15807.547,2.641204E-16,6.3776357E-18,2.2422288E-16
15817.708,2.814776E-16,6.3248194E-18,2.577237E-16
15827.87,2.609467E-16,6.4593343E-18,2.833543E-16
15838.031,3.1321015E-16,7.3112005E-18,2.25455E-16
15848.193,2.498288E-16,5.9733214E-18,1.422596E-16
15858.3545,2.3980715E-16,5.9361347E-18,1.1282079E-16
15868.517,2.3461592E-16,5.950933E-18,7.617205E-17
15878.678,2.4715222E-16,6.0149125E-18,5.735872E-17
15888.839,2.57057E-16,5.9589314E-18,4.9638735E-17
15899.001,2.5649595E-16,5.8153055E-18,4.5822547E-17
15909.162,2.458271E-16,5.8170124E-18,3.928159E-17
15919.324,2.5364568E-16,5.850706E-18,3.7120283E-17
15929.485,2.608751E-16,5.9300777E-18,4.2988345E-17
15939.647,2.7808632E-16,6.0612995E-18,5.220179E-17
15949.809,2.6785585E-16,6.042858E-18,7.128211E-17
15959.971,2.6086534E-16,5.9870162E-18,8.1031844E-17
15970.132,2.569272E-16,5.9681615E-18,6.921809E-17
15980.294,2.7320068E-16,6.0300354E-18,5.6654824E-17
15990.455,2.8931353E-16,6.2043145E-18,7.029438E-17
16000.617,2.6370727E-16,6.5946697E-18,1.3262282E-16
16010.778,2.9495418E-16,6.389384E-18,1.917884E-16
16020.94,2.6998723E-16,6.3453372E-18,1.6789224E-16
16031.102,3.0162811E-16,6.227026E-18,1.33055E-16
16041.264,2.594541E-16,6.0478525E-18,9.292006E-17
16051.425,2.3959317E-16,5.926251E-18,8.766033E-17
16061.587,2.8667152E-16,6.1030097E-18,9.622506E-17
