WAVE,FLUX,ERR,SKYBACK
3356.1555,1.665737E-16,2.2028687E-17,2.9966205E-16
3360.2407,1.4441539E-16,2.1630303E-17,3.1538907E-16
3364.326,1.4444782E-16,2.0796538E-17,2.7320754E-16
3368.4114,1.5535148E-16,2.0550685E-17,2.7249095E-16
3372.4966,1.7907186E-16,2.0574094E-17,2.8568465E-16
3376.582,1.6383675E-16,2.0276035E-17,3.101125E-16
3380.6672,1.551034E-16,1.9781392E-17,3.0196394E-16
3384.7527,1.4413964E-16,1.9151984E-17,2.856504E-16
3388.838,1.06088825E-16,1.814895E-17,2.621851E-16
3392.9233,1.6943306E-16,1.8683284E-17,2.6953052E-16
3397.0085,1.733551E-16,1.8675422E-17,2.9425342E-16
3401.094,1.7946533E-16,1.8394338E-17,2.9034603E-16
3405.1792,2.3082373E-16,1.857137E-17,2.774912E-16
3409.2646,2.3280444E-16,1.88065E-17,2.9378478E-16
3413.3499,1.9862916E-16,1.7912841E-17,3.1239626E-16
3417.4353,2.3013488E-16,1.7808707E-17,2.8332537E-16
3421.5205,2.4326408E-16,1.7370975E-17,2.4801667E-16
3425.606,2.3613473E-16,1.7145371E-17,2.5990227E-16
3429.6912,2.0852473E-16,1.6807521E-17,2.7826446E-16
3433.7766,2.0535594E-16,1.6877578E-17,3.1896818E-16
3437.8618,2.7589168E-16,1.7320229E-17,3.1047437E-16
3441.9473,2.6117192E-16,1.6866603E-17,3.0131715E-16
3446.0325,2.8342366E-16,1.6818149E-17,2.9247479E-16
3450.118,2.5565307E-16,1.6381253E-17,3.0236956E-16
3454.2031,2.9915793E-16,1.6387045E-17,2.746587E-16
3458.2886,2.6382625E-16,1.5972363E-17,2.9127975E-16
3462.3738,2.6662085E-16,1.6042207E-17,3.1700875E-16
3466.459,2.596266E-16,1.5837187E-17,3.25195E-16
3470.5444,2.786898E-16,1.5861951E-17,3.321894E-16
3474.6296,2.685879E-16,1.5275602E-17,2.923692E-16
3478.715,2.633452E-16,1.5012754E-17,2.8109924E-16
3482.8003,3.1223686E-16,1.5276904E-17,2.7667868E-16
3486.8857,2.9937323E-16,1.5125082E-17,2.976929E-16
3490.971,2.8311388E-16,1.4799535E-17,2.9036652E-16
3495.0564,2.9035673E-16,1.46584E-17,2.8328914E-16
3499.1416,2.816579E-16,1.4575847E-17,3.0352147E-16
3503.227,2.8985722E-16,1.4293382E-17,2.7495068E-16
3507.3123,2.5412479E-16,1.38221285E-17,2.7886606E-16
3511.3977,2.9049291E-16,1.389983E-17,2.6071634E-16
3515.483,3.0508787E-16,1.3988731E-17,2.723108E-16
3519.5684,3.2349364E-16,1.4173895E-17,2.9273175E-16
3523.6536,3.2388623E-16,1.4010196E-17,2.866699E-16
3527.739,3.470325E-16,1.4179697E-17,3.0257327E-16
3531.8242,3.4034154E-16,1.4409943E-17,3.6423494E-16
3535.9097,3.705942E-16,1.4364886E-17,3.3815686E-16
3539.9949,3.711298E-16,1.4335032E-17,3.522877E-16
3544.0803,3.665144E-16,1.413266E-17,3.433464E-16
3548.1655,3.7070783E-16,1.473833E-17,3.330735E-16
3552.251,3.975086E-16,1.3799174E-17,2.928101E-16
3556.3362,3.7899642E-16,1.3336605E-17,2.6058376E-16
3560.4214,4.14565E-16,1.328619E-17,2.2862616E-16
3564.5068,3.7558973E-16,1.29854295E-17,2.4415338E-16
3568.592,3.9049283E-16,1.28876915E-17,2.2670437E-16
3572.6775,4.007655E-16,1.2645418E-17,1.9671749E-16
3576.7627,4.1496324E-16,1.273846E-17,2.092918E-16
3580.8481,3.8274597E-16,1.26913684E-17,2.5745627E-16
3584.9333,3.9389136E-16,1.2912222E-17,2.8962764E-16
3589.0188,4.3855303E-16,1.3135396E-17,2.8785533E-16
3593.104,4.5142833E-16,1.3015977E-17,2.6866E-16
3597.1895,4.48077E-16,1.2692888E-17,2.3887303E-16
3601.2747,4.130375E-16,1.2422865E-17,2.5071476E-16
3605.36,4.3876974E-16,1.2501591E-17,2.4721803E-16
3609.4453,4.515306E-16,1.2587132E-17,2.589957E-16
3613.5308,4.3013495E-16,1.2459432E-17,2.791868E-16
3617.616,4.2063953E-16,1.2385798E-17,2.9273183E-16
3621.7014,4.3134568E-16,1.2352884E-17,2.910977E-16
3625.7866,4.3642234E-16,1.237661E-17,3.0430792E-16
3629.872,4.3731408E-16,1.2399421E-17,3.201725E-16
3633.9573,4.088216E-16,1.2113164E-17,3.211937E-16
3638.0427,4.2066907E-16,1.1964967E-17,2.973948E-16
3642.128,4.128144E-16,1.18082076E-17,2.954058E-16
3646.2134,4.18672E-16,1.178252E-17,2.982237E-16
3650.2986,4.0870594E-16,1.1823231E-17,3.3095433E-16
3654.384,3.9956738E-16,1.1699174E-17,3.3537383E-16
3658.4692,3.8133643E-16,1.1490523E-17,3.3484798E-16
3662.5544,4.235127E-16,1.161305E-17,3.203571E-16
3666.64,4.118337E-16,1.1438506E-17,3.1705597E-16
3670.725,4.1689953E-16,1.13105145E-17,3.022656E-16
3674.8105,4.100508E-16,1.1175886E-17,3.0157758E-16
3678.8958,4.1495768E-16,1.1144874E-17,3.03653E-16
3682.9812,4.382381E-16,1.1222392E-17,3.0318255E-16
3687.0664,4.756063E-16,1.144981E-17,3.1375006E-16
3691.1519,4.778589E-16,1.150458E-17,3.33007E-16
3695.237,4.788367E-16,1.1420047E-17,3.276649E-16
3699.3225,4.992438E-16,1.1489151E-17,3.320802E-16
3703.4077,5.4015625E-16,1.1602389E-17,3.1836842E-16
3707.4932,5.437168E-16,1.1585699E-17,3.237001E-16
3711.5784,5.500836E-16,1.1529189E-17,3.1947798E-16
3715.6638,5.511621E-16,1.136044E-17,2.987855E-16
3719.749,5.5169273E-16,1.1225692E-17,2.8501288E-16
3723.8345,5.335213E-16,1.1109345E-17,2.9776607E-16
3727.9197,5.3800007E-16,1.0984622E-17,2.8106327E-16
