WAVE,FLUX,ERR,SKYBACK
3346.1992,3.1043133E-16,4.993011E-17,4.227617E-17
3350.2827,1.9637118E-16,4.7764022E-17,9.4808914E-17
3354.3662,1.8233668E-16,4.7181095E-17,1.7080352E-16
3358.4497,2.7788478E-16,4.558983E-17,1.5309265E-17
3362.5332,2.4291722E-16,4.4096247E-17,3.793497E-17
3366.6167,2.7407194E-16,4.3871145E-17,5.626897E-17
3370.7002,2.2941493E-16,4.187151E-17,2.9420528E-17
3374.7837,3.733767E-16,4.2982098E-17,1.9745516E-17
3378.8672,2.7757664E-16,4.167304E-17,1.04225134E-16
3382.9507,3.6626883E-16,4.098982E-17,2.3913272E-17
3387.0342,2.2791174E-16,3.8994194E-17,1.0332843E-16
3391.1177,3.4844347E-16,3.9148056E-17,2.2735484E-17
3395.2012,3.220659E-16,3.7997005E-17,2.7624598E-17
3399.2847,4.1560092E-16,3.874101E-17,5.755496E-17
3403.3682,3.3429196E-16,3.7293865E-17,9.364739E-17
3407.4517,4.1434252E-16,3.7442966E-17,6.623959E-17
3411.5352,4.079051E-16,3.6752138E-17,8.10422E-17
3415.6187,3.8222063E-16,3.5847655E-17,8.4894254E-17
3419.7021,3.4589234E-16,3.4378202E-17,5.567577E-17
3423.7856,4.581727E-16,3.4830475E-17,2.4018632E-17
3427.8691,3.586717E-16,3.39957E-17,1.06457066E-16
3431.9526,4.0969295E-16,3.4171764E-17,1.3226908E-16
3436.0361,4.4042063E-16,3.3368625E-17,7.1302115E-17
3440.1196,4.4841146E-16,3.2567143E-17,4.4478382E-17
3444.2031,4.7157606E-16,3.2937574E-17,1.1289427E-16
3448.2866,4.806277E-16,3.1900253E-17,4.0291643E-17
3452.37,4.2746484E-16,3.103597E-17,6.633508E-17
3456.4536,4.3883663E-16,3.0089452E-17,7.9509486E-18
3460.537,4.648937E-16,3.0306445E-17,4.770155E-17
3464.6206,4.2385722E-16,3.005261E-17,1.1824527E-16
3468.704,4.3644881E-16,2.9643916E-17,9.9513864E-17
3472.7876,4.907503E-16,2.9254807E-17,4.0885175E-17
3476.871,3.689944E-16,2.8060196E-17,1.0520969E-16
3480.9546,5.047467E-16,2.834661E-17,2.0534388E-17
3485.038,4.4249388E-16,2.7168251E-17,6.718682E-18
3489.1216,5.1169784E-16,2.7868532E-17,3.3558403E-17
3493.205,4.4487187E-16,2.704198E-17,5.746335E-17
3497.2886,4.697092E-16,2.6647847E-17,2.2856749E-17
3501.372,4.3085427E-16,2.606989E-17,5.0772157E-17
3505.4556,4.717378E-16,2.601568E-17,2.995651E-17
3509.539,4.996932E-16,2.6065086E-17,3.301788E-17
3513.6226,5.102663E-16,2.5784331E-17,2.3395353E-17
3517.706,4.6914953E-16,2.5281806E-17,5.2387376E-17
3521.7896,4.545481E-16,2.463323E-17,3.4294607E-17
3525.873,5.893998E-16,2.5840171E-17,3.0571917E-17
3529.9565,5.817613E-16,2.5816499E-17,7.4532097E-17
3534.04,5.7932226E-16,2.5710214E-17,9.525603E-17
3538.1235,5.6843566E-16,2.5153454E-17,7.490914E-17
3542.207,5.9464545E-16,2.5093083E-17,6.76903E-17
3546.2905,6.058696E-16,2.5188601E-17,1.0017247E-16
3550.374,6.493052E-16,2.523418E-17,8.287808E-17
3554.4575,6.446365E-16,2.4735963E-17,5.6342885E-17
3558.541,6.0058437E-16,2.4029182E-17,5.4884737E-17
3562.6245,6.3457723E-16,2.3819797E-17,2.2728736E-17
3566.708,6.413212E-16,2.3627345E-17,2.0820009E-17
3570.7915,5.7660524E-16,2.292114E-17,4.0395273E-17
3574.875,6.606313E-16,2.3507103E-17,3.4250148E-17
3578.9585,7.037639E-16,2.3540717E-17,1.5335138E-17
3583.042,6.9067183E-16,2.3156102E-17,1.31307825E-17
3587.1255,7.163867E-16,2.350704E-17,5.1480932E-17
3591.209,6.630053E-16,2.2864733E-17,6.155728E-17
3595.2925,7.3432786E-16,2.29964E-17,2.5264404E-17
3599.376,7.2934524E-16,2.2735933E-17,2.5221198E-17
3603.4595,7.3395066E-16,2.2710737E-17,3.7281265E-17
3607.543,7.491017E-16,2.2624265E-17,3.3687602E-17
3611.6265,7.743069E-16,2.2535239E-17,2.0353146E-17
3615.71,7.235899E-16,2.2120388E-17,5.1193348E-17
3619.7935,7.629509E-16,2.2210853E-17,4.284609E-17
3623.877,7.2451207E-16,2.1871325E-17,6.841216E-17
3627.9604,7.7465975E-16,2.2017008E-17,5.033921E-17
3632.044,7.567769E-16,2.1660513E-17,5.0838067E-17
3636.1274,7.059498E-16,2.109007E-17,6.685626E-17
3640.211,7.5117375E-16,2.1266959E-17,5.642131E-17
3644.2944,6.812204E-16,2.0503973E-17,6.094368E-17
3648.378,6.9571787E-16,2.0474738E-17,6.1407295E-17
3652.4614,6.7216374E-16,2.0101842E-17,6.610835E-17
3656.545,7.5235065E-16,2.0635946E-17,6.2551014E-17
3660.6284,7.4577085E-16,2.0199969E-17,3.5910226E-17
3664.712,7.6798894E-16,2.0087616E-17,1.8803384E-17
3668.7954,7.8283484E-16,2.0126127E-17,3.0533112E-17
3672.879,8.145389E-16,2.0374181E-17,4.737052E-17
3676.9624,8.438631E-16,2.04491E-17,4.5825664E-17
3681.046,8.785224E-16,2.0391266E-17,2.2597339E-17
3685.1294,9.082875E-16,2.055026E-17,3.5239707E-17
3689.213,9.907594E-16,2.1081088E-17,4.023341E-17
3693.2964,9.557651E-16,2.0858878E-17,6.958395E-17
3697.38,1.0460627E-15,2.1305231E-17,5.9020534E-17
3701.4634,1.1492308E-15,2.1744318E-17,3.6679018E-17
3705.5469,1.1368729E-15,2.1596114E-17,5.1564315E-17
3709.6304,1.1876721E-15,2.1746936E-17,4.9057783E-17
3713.7139,1.1998712E-15,2.1624812E-17,4.3137403E-17
3717.7974,1.2083777E-15,2.1614395E-17,5.700435E-17
3721.8809,1.1725594E-15,2.1279114E-17,6.501924E-17
3725.9644,1.1602126E-15,2.1071338E-17,6.8517216E-17
3730.0479,1.1288749E-15,2.0674197E-17,6.3035596E-17
3734.1313,1.1024857E-15,2.039708E-17,7.031619E-17
3738.2148,1.0415255E-15,1.987846E-17,7.776754E-17
3742.2983,9.869753E-16,1.9252579E-17,6.058478E-17
3746.3818,9.390489E-16,1.8664713E-17,4.5463054E-17
3750.4653,8.2606364E-16,1.7741198E-17,5.0490423E-17
3754.5488,8.110739E-16,1.7427901E-17,4.0277174E-17
3758.6323,7.1475467E-16,1.66265E-17,5.0448028E-17
3762.7158,6.832026E-16,1.6199143E-17,4.0990254E-17
3766.7993,6.537442E-16,1.5853108E-17,4.0409957E-17
3770.8828,6.2161027E-16,1.5563289E-17,5.19736E-17
3774.9663,5.398716E-16,1.478045E-17,5.5394803E-17
3779.0498,5.5743625E-16,1.4718686E-17,3.9681184E-17
3783.1333,4.90395E-16,1.4059203E-17,4.2384728E-17
3787.2168,4.64346E-16,1.3725053E-17,4.217243E-17
3791.3003,4.5646473E-16,1.3539913E-17,3.989553E-17
3795.3838,4.1115077E-16,1.3080014E-17,4.600932E-17
3799.4673,4.253264E-16,1.3090041E-17,4.1327876E-17
3803.5508,3.8758338E-16,1.2793644E-17,6.1240284E-17
3807.6343,4.0714396E-16,1.2700391E-17,3.396585E-17
3811.7178,3.8612063E-16,1.2510329E-17,4.6419358E-17
3815.801,3.6458572E-16,1.2205023E-17,4.200978E-17
3819.8845,3.9480184E-16,1.2480697E-17,5.0336283E-17
3823.968,3.9320267E-16,1.22895845E-17,4.1481027E-17
3828.0515,3.9045027E-16,1.2270297E-17,4.732304E-17
3832.135,3.859243E-16,1.2148301E-17,4.914843E-17
3836.2185,4.2481082E-16,1.2494647E-17,5.2940492E-17
3840.302,4.0274982E-16,1.2400693E-17,7.7415754E-17
3844.3855,4.5571405E-16,1.2682473E-17,6.022084E-17
