WAVE,FLUX,ERR,SKYBACK
3344.74,8.538532E-15,3.9399306E-16,-1.6587879E-15
3348.823,8.417005E-15,3.7906556E-16,-1.7251182E-15
3352.9062,9.0590114E-15,3.7969213E-16,-1.6365447E-15
3356.9893,8.781179E-15,3.5656815E-16,-1.3285265E-15
3361.0723,8.8066625E-15,3.4102846E-16,-1.7749557E-15
3365.1553,9.421983E-15,3.4164846E-16,-1.6264237E-15
3369.2383,9.142315E-15,3.3143025E-16,-1.5639478E-15
3373.3213,9.643733E-15,3.287593E-16,-1.6306536E-15
3377.4045,9.1876165E-15,3.2239824E-16,-1.1220873E-15
3381.4875,9.219442E-15,3.1610288E-16,-1.0990246E-15
3385.5706,9.927412E-15,3.1594345E-16,-1.1373499E-15
3389.6536,1.0356637E-14,3.130094E-16,-1.2532097E-15
3393.7366,1.0887961E-14,3.1492044E-16,-8.880124E-16
3397.8198,1.0351889E-14,3.0472855E-16,-8.97556E-16
3401.9028,1.0641265E-14,3.009032E-16,-9.043213E-16
3405.9858,1.032846E-14,2.929371E-16,-1.021184E-15
3410.0688,1.0738795E-14,2.929865E-16,-8.13778E-16
3414.1519,1.0543274E-14,2.8558134E-16,-9.22662E-16
3418.235,1.1026248E-14,2.8511531E-16,-9.991432E-16
3422.318,1.0723373E-14,2.8040539E-16,-6.7495254E-16
3426.4011,1.0408619E-14,2.7197423E-16,-8.4820815E-16
3430.4841,1.0680989E-14,2.7189347E-16,-6.458209E-16
3434.5671,1.0519242E-14,2.646179E-16,-9.106884E-16
3438.6501,1.0802871E-14,2.6562636E-16,-6.77731E-16
3442.7334,1.0990098E-14,2.6250583E-16,-7.6291373E-16
3446.8164,1.1670666E-14,2.6411697E-16,-8.380795E-16
3450.8994,1.1879941E-14,2.6262442E-16,-8.124334E-16
3454.9824,1.1020895E-14,2.533001E-16,-6.9882225E-16
3459.0654,1.2079035E-14,2.5788818E-16,-6.9815526E-16
3463.1487,1.1641034E-14,2.5210774E-16,-5.618642E-16
3467.2317,1.1805994E-14,2.509613E-16,-5.2450006E-16
3471.3147,1.1756992E-14,2.4858945E-16,-3.6125878E-16
3475.3977,1.1722177E-14,2.441849E-16,-5.6163573E-16
3479.4807,1.1783202E-14,2.4238954E-16,-4.55687E-16
3483.5637,1.2525458E-14,2.4443693E-16,-5.990263E-16
3487.647,1.2938457E-14,2.4394597E-16,-7.118352E-16
3491.73,1.3005641E-14,2.4179572E-16,-6.9373115E-16
3495.813,1.32763495E-14,2.4281896E-16,-4.2587191E-16
3499.896,1.2868465E-14,2.3589674E-16,-6.9739367E-16
3503.979,1.4038985E-14,2.44021E-16,-2.6718492E-16
3508.0623,1.4496723E-14,2.4340932E-16,-4.6162036E-16
3512.1453,1.4849944E-14,2.4300123E-16,-5.332363E-16
3516.2283,1.486061E-14,2.4110168E-16,-4.6519865E-16
3520.3113,1.5340548E-14,2.4108442E-16,-5.8540686E-16
3524.3943,1.5463278E-14,2.403339E-16,-3.1535227E-16
3528.4773,1.5399017E-14,2.3738326E-16,-3.6928834E-16
3532.5605,1.536663E-14,2.356906E-16,-2.5634295E-16
3536.6436,1.530365E-14,2.3414648E-16,-1.08695715E-16
3540.7266,1.5542106E-14,2.3289078E-16,-2.3130244E-16
3544.8096,1.5135598E-14,2.2840466E-16,-2.4317474E-16
3548.8926,1.5494697E-14,2.2789924E-16,-3.684579E-16
3552.9758,1.5125262E-14,2.2320602E-16,-4.979819E-16
3557.0588,1.5541494E-14,2.2352596E-16,-5.5250265E-16
3561.1418,1.4923221E-14,2.1962866E-16,-2.6973243E-16
3565.2249,1.4847353E-14,2.1666633E-16,-3.9834244E-16
3569.3079,1.493498E-14,2.1640555E-16,-2.1445106E-16
3573.391,1.5616469E-14,2.1736267E-16,-4.580357E-16
3577.474,1.5406394E-14,2.1504316E-16,-3.3927235E-16
3581.5571,1.5333937E-14,2.130637E-16,-3.2487353E-16
3585.6401,1.5443162E-14,2.1122732E-16,-4.7941355E-16
3589.7231,1.58311E-14,2.1304947E-16,-2.2121373E-16
3593.8062,1.5573405E-14,2.0889095E-16,-4.3483715E-16
3597.8894,1.6071903E-14,2.102781E-16,-3.8633255E-16
3601.9724,1.5571766E-14,2.0620079E-16,-3.3335482E-16
3606.0554,1.5952488E-14,2.0676638E-16,-3.38221E-16
3610.1384,1.5865754E-14,2.0525907E-16,-2.1027426E-16
3614.2214,1.6083977E-14,2.047337E-16,-2.858243E-16
3618.3047,1.624781E-14,2.0405768E-16,-3.026253E-16
3622.3877,1.6131263E-14,2.0253984E-16,-1.7418006E-16
3626.4707,1.6611822E-14,2.033879E-16,-1.9154205E-16
3630.5537,1.6726766E-14,2.0241466E-16,-2.3508412E-16
3634.6367,1.7317197E-14,2.0392975E-16,-2.2248694E-16
3638.7197,1.7998349E-14,2.0598385E-16,-2.0703308E-16
3642.803,1.8522818E-14,2.065269E-16,-3.2716343E-16
3646.886,1.9610807E-14,2.1162319E-16,-2.3530792E-16
3650.969,2.0863914E-14,2.1626312E-16,-1.6247156E-16
3655.052,2.2245511E-14,2.2100489E-16,-1.4474581E-16
3659.135,2.4137219E-14,2.2772708E-16,-1.199715E-16
3663.2183,2.5421185E-14,2.3105137E-16,-2.1443356E-16
3667.3013,2.6614656E-14,2.348033E-16,-1.0658738E-16
3671.3843,2.8281493E-14,2.3968777E-16,-1.1756534E-16
3675.4673,2.8919728E-14,2.4025775E-16,-2.0444294E-16
3679.5503,3.0235763E-14,2.4340998E-16,-2.4805715E-16
3683.6335,3.0270908E-14,2.4195306E-16,-2.5433625E-16
3687.7166,2.900436E-14,2.3615175E-16,-1.4041587E-16
3691.7996,2.8367511E-14,2.3186812E-16,-2.6042666E-16
3695.8826,2.6707504E-14,2.2496086E-16,-4.3751565E-17
3699.9656,2.5093483E-14,2.1696586E-16,-1.3387223E-16
3704.0486,2.3111177E-14,2.0786744E-16,-9.1009654E-17
3708.1318,2.1648155E-14,2.0037045E-16,-1.506749E-16
3712.2148,1.985244E-14,1.9171733E-16,-9.592577E-17
3716.2979,1.8393839E-14,1.8431785E-16,-6.0611666E-17
3720.3809,1.7415795E-14,1.7854739E-16,-1.3912708E-16
3724.4639,1.674373E-14,1.7419876E-16,-1.935136E-16
3728.547,1.5632869E-14,1.6833783E-16,-1.064845E-16
3732.6301,1.5118601E-14,1.6479144E-16,-1.25384E-16
