WAVE,FLUX,ERR,SKYBACK
5997.322,0.0,2.4811675E-17,2.1150988E-16
6001.535,5.481285E-15,2.4629974E-17,1.9493341E-16
6005.749,5.418883E-15,2.4458424E-17,1.8823292E-16
6009.963,5.2908033E-15,2.4169855E-17,1.9143164E-16
6014.177,5.2224663E-15,2.4019823E-17,2.0146059E-16
6018.3906,5.14136E-15,2.3812497E-17,1.9532694E-16
6022.604,5.057146E-15,2.361773E-17,2.0175782E-16
6026.818,4.9762584E-15,2.3421892E-17,2.0320236E-16
6031.0317,4.847722E-15,2.3098904E-17,1.9510564E-16
6035.2456,4.737877E-15,2.2824166E-17,1.9158177E-16
6039.4595,4.6353277E-15,2.2586041E-17,1.9813109E-16
6043.673,4.5351618E-15,2.2325994E-17,1.9263034E-16
6047.8867,4.463205E-15,2.2132845E-17,1.8906401E-16
6052.1006,4.348768E-15,2.1850596E-17,1.9141768E-16
6056.3145,4.2420194E-15,2.1576874E-17,1.8974958E-16
6060.528,4.115553E-15,2.1272248E-17,1.9756076E-16
6064.7417,4.0775827E-15,2.1150562E-17,1.920691E-16
6068.9556,3.8874556E-15,2.0677558E-17,1.9678995E-16
6073.1694,3.849223E-15,2.0563531E-17,1.97013E-16
6077.3833,3.736873E-15,2.0246595E-17,1.8750472E-16
6081.5967,3.6542158E-15,2.0044846E-17,1.998214E-16
6085.8105,3.5376833E-15,1.972842E-17,1.9937383E-16
6090.0244,3.3999428E-15,1.9344378E-17,1.9499576E-16
6094.2383,3.2973385E-15,1.9047696E-17,1.9140688E-16
6098.452,3.2475243E-15,1.889382E-17,1.888351E-16
6102.6655,3.1378278E-15,1.8593713E-17,1.9248979E-16
6106.8794,3.01694E-15,1.8242828E-17,1.9027323E-16
6111.0933,2.897282E-15,1.7907999E-17,1.9563154E-16
6115.307,2.8298068E-15,1.7682881E-17,1.8686817E-16
6119.521,2.6707014E-15,1.7225293E-17,1.9242793E-16
6123.7344,2.5413314E-15,1.682074E-17,1.8824554E-16
6127.948,2.4706157E-15,1.6617182E-17,1.966558E-16
6132.162,2.3442088E-15,1.6231724E-17,2.0258794E-16
6136.376,2.2730815E-15,1.5976125E-17,1.9265566E-16
6140.5894,2.185114E-15,1.5695054E-17,1.9601032E-16
6144.803,2.0820904E-15,1.5346584E-17,1.9270079E-16
6149.017,2.028536E-15,1.5130148E-17,1.8185968E-16
6153.231,1.9849919E-15,1.5000176E-17,1.9124516E-16
6157.445,1.963303E-15,1.4903841E-17,1.858668E-16
6161.658,1.9545336E-15,1.486197E-17,1.8610579E-16
6165.872,1.952903E-15,1.4874605E-17,1.9773014E-16
6170.086,1.98014E-15,1.4930135E-17,1.8795316E-16
6174.3,1.9626537E-15,1.4868009E-17,1.91525E-16
6178.5137,1.9899724E-15,1.4932534E-17,1.8601235E-16
6182.727,2.0729215E-15,1.5194302E-17,1.8705713E-16
6186.941,2.100825E-15,1.5255525E-17,1.811511E-16
6191.155,2.1494045E-15,1.5431197E-17,1.9406257E-16
6195.3687,2.2555983E-15,1.5741313E-17,1.8986045E-16
6199.5825,2.3131792E-15,1.5910693E-17,1.9072984E-16
6203.796,2.4239857E-15,1.621535E-17,1.8180683E-16
6208.01,2.52098E-15,1.6509865E-17,1.9104982E-16
6212.2236,2.6654128E-15,1.6906548E-17,1.8671998E-16
6216.4375,2.7276318E-15,1.7059667E-17,1.8137429E-16
6220.651,2.8613535E-15,1.7469069E-17,2.0238164E-16
6224.8647,3.0183085E-15,1.7915528E-17,2.1679942E-16
6229.0786,3.1395179E-15,1.8231799E-17,2.1956642E-16
6233.2925,3.2745955E-15,1.8584816E-17,2.257782E-16
6237.5063,3.3996845E-15,1.8848316E-17,2.0524588E-16
6241.7197,3.533664E-15,1.9166281E-17,2.0240145E-16
6245.9336,3.643248E-15,1.943798E-17,2.0935088E-16
6250.1475,3.785569E-15,1.9785378E-17,2.1682944E-16
6254.3613,3.844902E-15,1.9933225E-17,2.2804914E-16
6258.575,3.9464684E-15,2.0133364E-17,2.1657542E-16
6262.7886,3.997814E-15,2.019404E-17,1.9977947E-16
6267.0024,4.0212114E-15,2.0183986E-17,1.8723952E-16
6271.2163,4.1064073E-15,2.0317273E-17,1.8100571E-16
6275.43,4.2047224E-15,2.050345E-17,1.9084407E-16
6279.644,4.324983E-15,2.074374E-17,1.9747052E-16
6283.8574,4.4207763E-15,2.0990438E-17,2.2649444E-16
6288.0713,4.496647E-15,2.1259778E-17,2.9876782E-16
6292.285,4.572449E-15,2.1468311E-17,3.249041E-16
6296.499,4.6660246E-15,2.1694593E-17,3.4090059E-16
6300.7124,4.7214845E-15,2.1719912E-17,2.885543E-16
6304.9263,4.8426402E-15,2.185874E-17,2.2056011E-16
6309.14,4.8787874E-15,2.1883088E-17,1.880386E-16
6313.354,4.9128415E-15,2.1963199E-17,1.8842199E-16
6317.568,4.9638934E-15,2.209747E-17,2.0195509E-16
6321.7812,4.95059E-15,2.2077637E-17,2.0661072E-16
6325.995,5.018743E-15,2.2206375E-17,2.0350092E-16
6330.209,5.055603E-15,2.2259826E-17,1.9491824E-16
6334.423,5.1039516E-15,2.2340319E-17,1.9112117E-16
6338.6367,5.055554E-15,2.2228538E-17,1.9173462E-16
6342.85,5.16419E-15,2.2443228E-17,1.9450756E-16
6347.064,5.0927903E-15,2.2304111E-17,2.0716E-16
6351.278,5.0720155E-15,2.2303129E-17,2.3953822E-16
6355.4917,5.077747E-15,2.2300348E-17,2.406885E-16
6359.7056,5.0278436E-15,2.216351E-17,2.3069575E-16
6363.919,5.0150407E-15,2.2077955E-17,2.0679669E-16
6368.133,4.989594E-15,2.1983665E-17,1.9267907E-16
6372.3467,4.94811E-15,2.188647E-17,1.9466253E-16
6376.5605,4.9731714E-15,2.1917782E-17,1.9170436E-16
6380.774,4.964284E-15,2.189048E-17,1.9552607E-16
6384.988,4.993003E-15,2.1938195E-17,1.9819226E-16
6389.2017,4.9970433E-15,2.1896741E-17,1.7888024E-16
6393.4155,4.9924384E-15,2.1882818E-17,1.8535916E-16
6397.6294,5.0058326E-15,2.1907844E-17,1.9219732E-16
6401.843,5.0232654E-15,2.1905362E-17,1.800918E-16
6406.0566,5.0305846E-15,2.202967E-17,1.9172239E-16
6410.2705,5.0287745E-15,2.1898627E-17,1.877741E-16
6414.4844,5.0681352E-15,2.1960312E-17,1.8601878E-16
6418.698,5.0343585E-15,2.1869681E-17,1.8250607E-16
6422.9116,4.993119E-15,2.1777732E-17,1.8626305E-16
6427.1255,5.014592E-15,2.1797662E-17,1.8189272E-16
6431.3394,4.968037E-15,2.1706296E-17,1.9218859E-16
6435.553,4.9919963E-15,2.1722923E-17,1.8364373E-16
6439.7666,5.0519455E-15,2.1818965E-17,1.7695999E-16
6443.9805,4.953738E-15,2.1607622E-17,1.8124459E-16
6448.1943,4.9209916E-15,2.1526704E-17,1.8259431E-16
6452.408,4.903331E-15,2.148494E-17,1.8903723E-16
6456.622,4.8764966E-15,2.1440068E-17,2.0621022E-16
6460.8354,4.9020922E-15,2.148406E-17,2.1304892E-16
6465.0493,4.8291305E-15,2.1313627E-17,2.1489589E-16
6469.263,4.783087E-15,2.116778E-17,2.0042307E-16
6473.477,4.777788E-15,2.1112568E-17,1.9020015E-16
6477.691,4.7352373E-15,2.0991369E-17,1.8202295E-16
6481.9043,4.7463694E-15,2.0997713E-17,1.7950407E-16
6486.118,4.7436323E-15,2.1018588E-17,1.9863411E-16
6490.332,4.687983E-15,2.0917358E-17,2.119507E-16
6494.546,4.650167E-15,2.0837834E-17,2.1512563E-16
6498.76,4.6411447E-15,2.0808251E-17,2.1403669E-16
6502.973,4.595685E-15,2.0674484E-17,1.9919266E-16
6507.187,4.541532E-15,2.0532788E-17,1.9332765E-16
6511.401,4.534467E-15,2.049932E-17,1.9353344E-16
6515.6147,4.5426635E-15,2.0499087E-17,1.9337066E-16
6519.828,4.5090253E-15,2.0419527E-17,1.9625265E-16
6524.042,4.4654044E-15,2.0345508E-17,2.1037199E-16
6528.256,4.4721057E-15,2.0348719E-17,2.0863426E-16
6532.4697,4.500406E-15,2.0399205E-17,2.0931272E-16
6536.6836,4.4513652E-15,2.0274255E-17,2.0267337E-16
6540.897,4.4370826E-15,2.0226022E-17,1.9996604E-16
6545.111,4.4289426E-15,2.0203612E-17,2.0528113E-16
6549.3247,4.420476E-15,2.015673E-17,1.9790537E-16
6553.5386,4.4273794E-15,2.0170288E-17,2.0157649E-16
6557.7524,4.40518E-15,2.00997E-17,1.9406093E-16
6561.966,4.379411E-15,2.004116E-17,1.9758346E-16
6566.1797,4.3746228E-15,2.0065256E-17,2.0617243E-16
6570.3936,4.3732883E-15,2.0047347E-17,2.0407168E-16
6574.6074,4.3474466E-15,1.9960136E-17,2.047937E-16
6578.8213,4.36853E-15,1.9981527E-17,1.9660277E-16
6583.0347,4.3265083E-15,1.9852224E-17,1.791658E-16
6587.2485,4.321759E-15,1.9843211E-17,1.8443158E-16
