WAVE,FLUX,ERR,SKYBACK
3649.0093,8.4059285E-16,3.6324045E-17,-1.5037506E-16
3654.533,9.334029E-16,3.729559E-17,-1.2290117E-16
3660.0566,8.7488715E-16,3.6204163E-17,-1.2217513E-16
3665.5803,9.700527E-16,3.6070736E-17,-2.0390078E-16
3671.104,9.37323E-16,3.5484867E-17,-1.6730861E-16
3676.6277,9.092683E-16,3.4884423E-17,-1.4502025E-16
3682.1514,9.790588E-16,3.5244373E-17,-1.405946E-16
3687.675,9.865786E-16,3.4636077E-17,-1.6550342E-16
3693.1987,9.763833E-16,3.425499E-17,-1.5187223E-16
3698.7224,9.874497E-16,3.41281E-17,-1.2864392E-16
3704.246,9.711287E-16,3.3573524E-17,-1.269977E-16
3709.7698,9.89982E-16,3.313076E-17,-1.3819181E-16
3715.2937,9.401727E-16,3.216926E-17,-1.4215504E-16
3720.8174,1.0569701E-15,3.299356E-17,-1.4598561E-16
3726.341,9.554348E-16,3.1983114E-17,-1.00229237E-16
3731.8647,1.0512786E-15,3.22816E-17,-1.3801499E-16
3737.3884,9.940221E-16,3.15988E-17,-1.09775755E-16
3742.912,1.0688609E-15,3.2066464E-17,-1.0496152E-16
3748.4358,1.0032411E-15,3.1283163E-17,-8.102167E-17
3753.9595,1.0055125E-15,3.0788698E-17,-1.0401733E-16
3759.4832,9.899568E-16,3.0398404E-17,-9.897735E-17
3765.0068,1.0069731E-15,3.0031672E-17,-1.2976939E-16
3770.5305,9.738713E-16,2.9433498E-17,-1.1741408E-16
3776.0542,1.0559124E-15,3.0101744E-17,-1.10087344E-16
3781.5781,9.060003E-16,2.848509E-17,-8.9284724E-17
3787.1018,9.456419E-16,2.8465045E-17,-1.0153385E-16
3792.6255,9.105086E-16,2.78338E-17,-1.0395416E-16
3798.1492,9.648219E-16,2.8118327E-17,-1.0413773E-16
3803.6729,9.636615E-16,2.7860912E-17,-1.0819648E-16
3809.1965,9.688205E-16,2.7628886E-17,-1.1507295E-16
3814.7202,1.0506457E-15,2.8279188E-17,-1.0410217E-16
3820.244,1.0839013E-15,2.8310084E-17,-1.1026181E-16
3825.7676,1.0445615E-15,2.7675852E-17,-1.1492334E-16
3831.2913,9.447426E-16,2.6857542E-17,-6.5886656E-17
3836.815,8.359061E-16,2.5441104E-17,-9.0355036E-17
3842.3386,7.468701E-16,2.4633925E-17,-5.1523717E-17
3847.8623,8.2185013E-16,2.4955101E-17,-8.449749E-17
3853.3862,7.831928E-16,2.439905E-17,-8.379225E-17
3858.91,7.654386E-16,2.4188286E-17,-6.605376E-17
3864.4336,8.6777223E-16,2.4971085E-17,-7.667441E-17
3869.9573,8.709435E-16,2.4810482E-17,-7.4608713E-17
3875.481,9.859046E-16,2.5568972E-17,-9.6211223E-17
3881.0046,1.0369552E-15,2.586873E-17,-9.4844205E-17
3886.5283,1.0741623E-15,2.6283154E-17,-6.436608E-17
3892.052,1.0964897E-15,2.638408E-17,-5.4333256E-17
3897.5757,1.0393768E-15,2.5625145E-17,-6.9954056E-17
3903.0994,1.0504895E-15,2.547036E-17,-8.311235E-17
3908.623,1.0338085E-15,2.5288764E-17,-6.610989E-17
3914.1467,9.698516E-16,2.4594923E-17,-6.4746576E-17
3919.6707,9.022236E-16,2.3834961E-17,-6.554824E-17
3925.1943,8.899245E-16,2.3501285E-17,-7.563639E-17
3930.718,9.01944E-16,2.3363227E-17,-9.4044156E-17
3936.2417,8.2775956E-16,2.2660477E-17,-7.7879644E-17
3941.7654,8.306616E-16,2.2548371E-17,-7.7141706E-17
3947.289,8.319529E-16,2.2655574E-17,-5.5664636E-17
3952.8127,8.780999E-16,2.281605E-17,-7.206731E-17
3958.3364,8.321666E-16,2.2184948E-17,-8.3754744E-17
3963.86,7.844392E-16,2.1803035E-17,-5.909165E-17
3969.3838,8.384064E-16,2.2173379E-17,-6.411834E-17
3974.9075,8.5477213E-16,2.228594E-17,-5.7200817E-17
3980.4312,8.965197E-16,2.2472403E-17,-6.068036E-17
3985.9548,9.458631E-16,2.2955475E-17,-4.86553E-17
3991.4788,9.664371E-16,2.2833649E-17,-7.727057E-17
3997.0024,9.248044E-16,2.2566718E-17,-4.9393965E-17
4002.5261,9.745844E-16,2.2887262E-17,-5.240985E-17
4008.0498,9.571802E-16,2.2585502E-17,-6.165173E-17
4013.5735,9.663358E-16,2.2618858E-17,-5.5204208E-17
4019.0972,9.533523E-16,2.2474004E-17,-4.4519165E-17
4024.6208,9.687209E-16,2.2576492E-17,-3.657846E-17
4030.1445,9.731115E-16,2.2593214E-17,-2.873274E-17
4035.6682,1.0187057E-15,2.2767554E-17,-4.282156E-17
4041.192,9.755381E-16,2.2357843E-17,-3.540584E-17
4046.7156,9.944501E-16,2.2447376E-17,-3.3306755E-17
4052.2393,1.0044015E-15,2.2465445E-17,-3.0564923E-17
4057.7632,1.0703614E-15,2.295419E-17,-3.112887E-17
