WAVE,FLUX,ERR,SKYBACK
3343.9712,9.541255E-17,3.5568085E-17,9.259537E-16
3348.0527,-5.4079513E-17,3.5963848E-17,1.0886221E-15
3352.1345,1.6264053E-16,3.8276274E-17,1.0438756E-15
3356.216,2.8903097E-17,3.6429315E-17,9.466907E-16
3360.2976,4.456718E-17,3.615406E-17,8.3057414E-16
3364.3792,2.2070523E-18,3.5604848E-17,7.5837417E-16
3368.4607,8.7859485E-17,3.6362972E-17,6.908083E-16
3372.5422,-1.214405E-17,3.556361E-17,6.812755E-16
3376.6238,1.08528404E-17,3.5796466E-17,6.4149056E-16
3380.7056,1.8933735E-16,3.762844E-17,5.8994945E-16
3384.787,1.1396034E-16,3.5505083E-17,5.241573E-16
3388.8687,-2.430667E-16,3.9519894E-17,1.02868E-15
3392.9502,4.1917364E-17,3.5098772E-17,6.1387114E-16
3397.0317,1.4147813E-16,3.6425702E-17,5.9997784E-16
3401.1133,9.183894E-17,3.4952543E-17,6.1900967E-16
3405.195,7.132416E-17,3.402968E-17,6.0078686E-16
3409.2766,4.4041935E-17,3.3164215E-17,5.966697E-16
3413.3582,1.767054E-16,3.504586E-17,5.261205E-16
3417.4397,-1.1405771E-16,3.4036623E-17,8.247899E-16
3421.5212,-1.657146E-16,3.409137E-17,8.585185E-16
3425.6028,6.7549706E-17,3.0497587E-17,5.413445E-16
3429.6843,-2.454386E-16,3.3762856E-17,9.184323E-16
3433.766,4.2746256E-17,3.030291E-17,6.3713776E-16
3437.8477,1.3345037E-16,3.0927952E-17,6.474703E-16
3441.9292,1.3492356E-16,2.982254E-17,5.893961E-16
3446.0107,9.0173725E-17,2.8338788E-17,5.374804E-16
3450.0923,2.1439863E-17,2.679208E-17,5.1366084E-16
3454.1738,1.2790687E-16,2.7670972E-17,5.117072E-16
3458.2556,5.966165E-17,2.6816597E-17,5.652465E-16
3462.3372,1.6065643E-16,2.6956527E-17,5.7031575E-16
3466.4187,1.1064789E-16,2.6745178E-17,6.407993E-16
3470.5002,9.776323E-17,2.63971E-17,6.5777916E-16
3474.5818,9.962244E-17,2.563629E-17,6.0815663E-16
3478.6633,1.2037408E-16,2.4881644E-17,5.2982827E-16
3482.7449,1.6677371E-16,2.4336363E-17,4.634885E-16
3486.8267,3.8280532E-17,2.253299E-17,4.375724E-16
3490.9082,1.02354356E-16,2.2841569E-17,4.2396506E-16
3494.9897,2.8753516E-17,2.2239512E-17,4.755115E-16
