WAVE,FLUX,ERR,SKYBACK
5987.3247,1.16005795E-14,4.872573E-17,2.1752764E-16
5991.5386,1.1624268E-14,4.8760596E-17,2.246735E-16
5995.7524,1.1609088E-14,4.8694816E-17,2.2584413E-16
5999.9663,1.1630576E-14,4.8699944E-17,2.2438006E-16
6004.18,1.1676642E-14,4.87296E-17,2.12E-16
6008.394,1.16652446E-14,4.8655098E-17,2.0756008E-16
6012.608,1.1659954E-14,4.860965E-17,2.1031611E-16
6016.822,1.1682957E-14,4.8618854E-17,2.133119E-16
6021.0356,1.1632481E-14,4.8479606E-17,2.1608841E-16
6025.2495,1.156498E-14,4.829223E-17,2.107993E-16
6029.4634,1.1474159E-14,4.8046554E-17,2.0099488E-16
6033.6772,1.1445418E-14,4.7945893E-17,2.0086206E-16
6037.891,1.1396408E-14,4.7808055E-17,2.0415568E-16
6042.1055,1.1417786E-14,4.7795108E-17,1.9872734E-16
6046.3193,1.12401475E-14,4.7401793E-17,2.0144892E-16
6050.533,1.1219898E-14,4.7324657E-17,2.0492727E-16
6054.747,1.12363435E-14,4.7304282E-17,2.0014605E-16
6058.961,1.1131387E-14,4.7058944E-17,2.0373852E-16
6063.175,1.113245E-14,4.7011636E-17,1.9935478E-16
6067.3887,1.1013205E-14,4.6723618E-17,1.9912461E-16
6071.6025,1.09240814E-14,4.6504438E-17,2.0082616E-16
6075.8164,1.0680305E-14,4.5933184E-17,1.8820518E-16
6080.0303,1.03732805E-14,4.5260957E-17,1.8951636E-16
6084.244,1.0065861E-14,4.4593667E-17,1.9867932E-16
6088.458,9.703238E-15,4.3787878E-17,2.0226017E-16
6092.6724,9.165834E-15,4.258789E-17,2.0308298E-16
6096.886,8.5686895E-15,4.1193042E-17,1.9040014E-16
6101.1,8.0673095E-15,3.9984524E-17,1.8144728E-16
6105.314,7.5139115E-15,3.8652248E-17,1.8573015E-16
6109.528,6.8662926E-15,3.7246613E-17,1.999562E-16
6113.7417,6.37275E-15,3.5913155E-17,1.8776329E-16
6117.9556,5.9772506E-15,3.4835514E-17,1.8668613E-16
6122.1694,5.494416E-15,3.3488225E-17,1.8927686E-16
6126.3833,5.1081855E-15,3.2360735E-17,1.8835408E-16
6130.597,4.8110675E-15,3.1494055E-17,2.0001664E-16
6134.811,4.48171E-15,3.0480057E-17,2.0106315E-16
6139.025,4.3180312E-15,2.9908723E-17,1.8720363E-16
6143.2393,4.0806198E-15,2.9159056E-17,1.9533222E-16
6147.453,4.0045435E-15,2.8896516E-17,1.9797526E-16
6151.667,3.888065E-15,2.84583E-17,1.85829E-16
6155.881,3.7991647E-15,2.8167154E-17,1.9425789E-16
6160.0947,3.7726504E-15,2.804481E-17,1.8980444E-16
6164.3086,3.7456E-15,2.793717E-17,1.9324129E-16
6168.5225,3.7677508E-15,2.7975066E-17,1.889547E-16
6172.7363,3.807528E-15,2.8111277E-17,1.9837745E-16
6176.95,3.8922193E-15,2.831483E-17,1.8306485E-16
6181.164,3.9593234E-15,2.8529648E-17,1.9136253E-16
6185.378,4.0782146E-15,2.8817394E-17,1.7104455E-16
6189.592,4.2016464E-15,2.924036E-17,1.9326633E-16
6193.806,4.3166938E-15,2.9561046E-17,1.8915788E-16
6198.02,4.3923453E-15,2.978432E-17,1.950104E-16
6202.234,4.664851E-15,3.0560092E-17,1.8999089E-16
6206.4478,4.8613305E-15,3.1100687E-17,1.8724324E-16
6210.6616,5.056559E-15,3.1653853E-17,1.9387938E-16
6214.8755,5.313052E-15,3.2327807E-17,1.856042E-16
6219.0894,5.5007548E-15,3.285275E-17,1.9960252E-16
6223.303,5.7415125E-15,3.351867E-17,2.1677028E-16
6227.517,6.026188E-15,3.4268726E-17,2.279404E-16
6231.731,6.2695905E-15,3.488141E-17,2.3234535E-16
6235.945,6.6169934E-15,3.570243E-17,2.2265839E-16
6240.1587,6.8961446E-15,3.6322798E-17,2.067605E-16
6244.373,7.143979E-15,3.6701316E-17,1.9520572E-16
6248.587,7.49725E-15,3.756451E-17,2.2096016E-16
6252.801,7.813976E-15,3.827708E-17,2.2883942E-16
6257.0146,8.112859E-15,3.8892663E-17,2.2354555E-16
6261.2285,8.29775E-15,3.9220577E-17,2.171649E-16
6265.4424,8.513755E-15,3.9566084E-17,2.0330748E-16
6269.6562,8.59981E-15,3.959413E-17,1.9331784E-16
6273.87,8.694203E-15,3.9659174E-17,1.9179092E-16
6278.084,8.992007E-15,4.023084E-17,2.0818909E-16
6282.298,9.351E-15,4.096929E-17,2.2640937E-16
6286.5117,9.6816975E-15,4.225957E-17,5.34414E-16
6290.7256,9.896738E-15,4.3550652E-17,9.855527E-16
6294.94,1.0166314E-14,4.4191194E-17,1.0513694E-15
6299.154,1.0254022E-14,4.4306814E-17,1.0204946E-15
6303.3677,1.04191295E-14,4.369734E-17,5.1832064E-16
6307.5815,1.0601371E-14,4.34554E-17,2.051303E-16
6311.7954,1.06512996E-14,4.3533334E-17,1.8902817E-16
6316.0093,1.0838416E-14,4.3909453E-17,1.958469E-16
6320.223,1.1000365E-14,4.4268182E-17,2.2169415E-16
6324.437,1.1062376E-14,4.436498E-17,2.1849015E-16
6328.651,1.11710246E-14,4.452686E-17,2.0712613E-16
6332.8647,1.1327576E-14,4.4757737E-17,1.8756122E-16
6337.0786,1.1300933E-14,4.4659395E-17,1.7745713E-16
6341.2925,1.1462955E-14,4.5760978E-17,1.9222453E-16
6345.507,1.1515787E-14,4.5026395E-17,2.0098443E-16
6349.7207,1.1526225E-14,4.514826E-17,2.7357028E-16
6353.9346,1.1488207E-14,4.5359653E-17,4.441882E-16
6358.1484,1.1464567E-14,4.5305728E-17,4.6109207E-16
6362.3623,1.1480375E-14,4.5245562E-17,4.3533788E-16
6366.576,1.1507612E-14,4.4999843E-17,2.9567077E-16
6370.79,1.149596E-14,4.4722797E-17,1.8244851E-16
6375.004,1.1556019E-14,4.481029E-17,1.8925671E-16
6379.218,1.1484831E-14,4.46396E-17,1.9006305E-16
6383.4316,1.14852865E-14,4.4597334E-17,1.8823849E-16
6387.6455,1.1500591E-14,4.4552762E-17,1.708453E-16
6391.8594,1.1466142E-14,4.445602E-17,1.7410966E-16
6396.073,1.1381612E-14,4.4252115E-17,1.7033028E-16
6400.2876,1.1382215E-14,4.4209068E-17,1.6867072E-16
6404.5015,1.1393349E-14,4.420065E-17,1.7209393E-16
6408.7153,1.1395561E-14,4.4156575E-17,1.6878495E-16
6412.929,1.12717385E-14,4.387665E-17,1.6103626E-16
6417.143,1.1279726E-14,4.3872545E-17,1.7272908E-16
6421.357,1.1369931E-14,4.3996238E-17,1.6743433E-16
6425.571,1.1263832E-14,4.374522E-17,1.6082384E-16
6429.7847,1.120875E-14,4.3612572E-17,1.6419061E-16
6433.9985,1.10626696E-14,4.3284803E-17,1.5817664E-16
6438.2124,1.096785E-14,4.308537E-17,1.6721206E-16
6442.4263,1.0954372E-14,4.3002903E-17,1.590365E-16
6446.64,1.078748E-14,4.2677418E-17,1.7637972E-16
6450.8545,1.0734776E-14,4.2521904E-17,1.7498925E-16
6455.0684,1.0624735E-14,4.2260158E-17,1.7843779E-16
6459.282,1.05870445E-14,4.2152982E-17,1.9521517E-16
6463.496,1.0561427E-14,4.2042864E-17,2.0161535E-16
6467.71,1.0416914E-14,4.1662186E-17,1.8647084E-16
6471.924,1.02742E-14,4.129826E-17,1.7775673E-16
6476.1377,1.02286166E-14,4.112907E-17,1.6418921E-16
6480.3516,1.0167662E-14,4.0961653E-17,1.5688067E-16
6484.5654,1.0118125E-14,4.0849947E-17,1.5332613E-16
6488.7793,1.0063438E-14,4.0804006E-17,1.8511168E-16
6492.993,9.9565335E-15,4.0627366E-17,2.0012951E-16
6497.207,9.8900405E-15,4.05049E-17,2.0657612E-16
6501.4214,9.871243E-15,4.0410757E-17,1.8781978E-16
6505.6353,9.7465074E-15,4.0087326E-17,1.688947E-16
6509.849,9.6573996E-15,3.9821904E-17,1.5176316E-16
6514.063,9.600321E-15,3.968807E-17,1.6513634E-16
6518.277,9.5798105E-15,3.9623917E-17,1.6372014E-16
6522.4907,9.4579E-15,3.941931E-17,1.8580648E-16
6526.7046,9.362303E-15,3.922382E-17,1.8270442E-16
6530.9185,9.390741E-15,3.9272166E-17,1.8601814E-16
6535.1323,9.341749E-15,3.913807E-17,1.7995579E-16
6539.346,9.225283E-15,3.8856346E-17,1.7300108E-16
6543.56,9.160643E-15,3.872847E-17,1.917698E-16
6547.774,9.131094E-15,3.8641196E-17,1.954652E-16
6551.9883,9.073899E-15,3.8508212E-17,1.9495124E-16
6556.202,9.015053E-15,3.835735E-17,1.8571818E-16
6560.416,9.014401E-15,3.8316776E-17,1.7404067E-16
6564.63,8.9396645E-15,3.8165968E-17,1.8124837E-16
6568.8438,8.929373E-15,3.8146145E-17,1.904863E-16
6573.0576,8.905294E-15,3.8078174E-17,1.8674973E-16
6577.2715,8.840093E-15,3.7943056E-17,1.929093E-16
6581.4854,8.783359E-15,3.7838646E-17,2.0294669E-16
6585.699,8.654846E-15,3.7589516E-17,2.1519821E-16
6589.913,8.6258845E-15,3.7505874E-17,2.110078E-16
6594.127,8.606125E-15,3.7442337E-17,2.0700441E-16
6598.341,8.543171E-15,3.723582E-17,1.7996014E-16
6602.555,8.4724115E-15,3.707394E-17,1.7843149E-16
6606.769,8.372071E-15,3.683983E-17,1.7474888E-16
6610.983,8.326209E-15,3.6718226E-17,1.7089661E-16
6615.197,8.223148E-15,3.6472468E-17,1.6708553E-16
6619.4106,8.202418E-15,3.6384075E-17,1.5364775E-16
6623.6245,8.198093E-15,3.635809E-17,1.5492116E-16
6627.8384,8.146479E-15,3.623133E-17,1.5597179E-16
6632.0522,8.0894975E-15,3.6084176E-17,1.5366731E-16
6636.266,8.019426E-15,3.5919762E-17,1.5537184E-16
6640.48,7.971624E-15,3.5799927E-17,1.5606967E-16
6644.694,7.912359E-15,3.5629663E-17,1.4495451E-16
6648.9077,7.852144E-15,3.5507267E-17,1.5677731E-16
6653.122,7.756155E-15,3.5277447E-17,1.5363354E-16
6657.336,7.708675E-15,3.5152178E-17,1.5275047E-16
6661.55,7.695178E-15,3.5088145E-17,1.4558649E-16
6665.7637,7.618816E-15,3.4919344E-17,1.5232354E-16
6669.9775,7.530831E-15,3.472039E-17,1.5566487E-16
6674.1914,7.533231E-15,3.4685103E-17,1.4720576E-16
6678.4053,7.469892E-15,3.4535032E-17,1.4899324E-16
6682.619,7.351111E-15,3.4260454E-17,1.508089E-16
6686.833,7.297614E-15,3.4115132E-17,1.480079E-16
6691.047,7.24201E-15,3.3974174E-17,1.4475363E-16
6695.2607,7.273136E-15,3.4040782E-17,1.5312197E-16
6699.4746,7.213426E-15,3.3882416E-17,1.5020648E-16
6703.6885,7.225528E-15,3.3890513E-17,1.4908173E-16
6707.903,7.138858E-15,3.3676018E-17,1.4538491E-16
6712.1167,7.137561E-15,3.364727E-17,1.4285941E-16
6716.3306,7.0348466E-15,3.341483E-17,1.4738802E-16
6720.5444,7.010684E-15,3.335441E-17,1.5252079E-16
6724.7583,6.9607804E-15,3.3211712E-17,1.4604541E-16
6728.972,6.9412537E-15,3.3165476E-17,1.5294975E-16
6733.186,6.949245E-15,3.3173142E-17,1.5582398E-16
6737.4,6.8965363E-15,3.304283E-17,1.5688523E-16
6741.614,6.9632393E-15,3.3183723E-17,1.6052137E-16
6745.8276,6.92565E-15,3.3081054E-17,1.5945768E-16
6750.0415,6.885033E-15,3.2958155E-17,1.5160793E-16
6754.2554,6.8269077E-15,3.2816776E-17,1.5303229E-16
6758.4697,6.744617E-15,3.262252E-17,1.556541E-16
6762.6836,6.7364314E-15,3.2591005E-17,1.5555281E-16
6766.8975,6.670427E-15,3.2401108E-17,1.451983E-16
6771.1113,6.577481E-15,3.2176985E-17,1.4512822E-16
6775.325,6.5316252E-15,3.205568E-17,1.4370834E-16
6779.539,6.4340114E-15,3.1817836E-17,1.448769E-16
6783.753,6.3608875E-15,3.1637984E-17,1.4652282E-16
6787.967,6.322949E-15,3.152325E-17,1.4042448E-16
6792.1807,6.2782247E-15,3.1410212E-17,1.4179346E-16
6796.3945,6.183456E-15,3.1161234E-17,1.3783046E-16
6800.6084,6.103598E-15,3.0954296E-17,1.3639277E-16
6804.8223,6.0560357E-15,3.0824773E-17,1.3468634E-16
6809.0366,5.957309E-15,3.059518E-17,1.4311502E-16
6813.2505,5.884541E-15,3.0410948E-17,1.4632963E-16
6817.4644,5.8307266E-15,3.0341822E-17,1.7833772E-16
6821.678,5.822914E-15,3.041693E-17,2.2372139E-16
6825.892,5.7944003E-15,3.0379472E-17,2.4155834E-16
6830.106,5.764854E-15,3.0312788E-17,2.502808E-16
6834.32,5.7659604E-15,3.0201383E-17,2.0772759E-16
6838.5337,5.835253E-15,3.0265774E-17,1.7243497E-16
6842.7476,5.814894E-15,3.0155538E-17,1.5656818E-16
6846.9614,5.8794666E-15,3.0246336E-17,1.5234304E-16
6851.1753,5.880136E-15,3.0129792E-17,1.672943E-16
6855.389,5.922949E-15,3.0002304E-17,2.1832759E-16
6859.6035,5.6630103E-15,2.87762E-17,2.1235064E-16
6863.8174,5.4769248E-15,2.757891E-17,2.1177928E-16
6868.0312,5.505663E-15,2.682448E-17,1.5272975E-16
6872.245,5.9206244E-15,2.7378641E-17,1.314432E-16
6876.459,6.2109843E-15,2.812429E-17,1.3136727E-16
6880.673,6.134479E-15,2.8310974E-17,1.461888E-16
6884.8867,5.995809E-15,2.827218E-17,1.4718529E-16
6889.1006,5.8596337E-15,2.810922E-17,1.4737509E-16
6893.3145,5.8980035E-15,2.8310108E-17,1.5208559E-16
6897.5283,5.8736466E-15,2.8388753E-17,1.4503899E-16
6901.742,5.889061E-15,2.8649553E-17,1.5231088E-16
6905.956,5.8439683E-15,2.8796543E-17,1.5972249E-16
6910.1704,5.7625553E-15,2.88369E-17,1.657827E-16
6914.3843,5.76186E-15,2.9063183E-17,1.8859189E-16
6918.598,5.682148E-15,2.899749E-17,1.85328E-16
6922.812,5.6325324E-15,2.8940806E-17,1.7520452E-16
6927.026,5.530274E-15,2.870347E-17,1.5763266E-16
6931.2397,5.4917436E-15,2.861801E-17,1.4984886E-16
6935.4536,5.444367E-15,2.8542036E-17,1.6283385E-16
6939.6675,5.428357E-15,2.8588173E-17,1.9534098E-16
6943.8813,5.5130634E-15,2.879702E-17,1.9345187E-16
