WAVE,FLUX,ERR,SKYBACK
3644.403,2.1604636E-17,1.1436107E-17,4.4128124E-16
3649.9226,7.6675755E-18,1.1470207E-17,4.739536E-16
3655.4421,5.507407E-17,1.17900625E-17,4.5964984E-16
3660.9617,3.620591E-17,1.14679005E-17,4.52498E-16
3666.4812,1.6597816E-17,1.12113066E-17,4.5406805E-16
3672.0007,6.557818E-17,1.1389548E-17,4.2407345E-16
3677.5203,1.4273074E-17,1.0940024E-17,4.451059E-16
3683.0398,2.9546256E-17,1.0939191E-17,4.3436352E-16
3688.5593,3.5194378E-17,1.1055677E-17,4.5729403E-16
3694.0789,2.0983506E-17,1.08294726E-17,4.557641E-16
3699.5984,1.8745135E-17,1.0697576E-17,4.5371823E-16
3705.1177,3.673257E-17,1.0584377E-17,4.2823341E-16
3710.6372,3.3291518E-17,1.0480389E-17,4.3151855E-16
3716.1567,5.815788E-17,1.04957656E-17,4.1400773E-16
3721.6763,3.6729383E-17,1.0052145E-17,3.976816E-16
3727.1958,4.8037412E-17,1.000628E-17,3.865049E-16
3732.7153,3.3886264E-17,9.642055E-18,3.690779E-16
3738.2349,4.1479094E-17,9.398407E-18,3.390223E-16
3743.7544,5.0723294E-17,9.619804E-18,3.6697758E-16
3749.274,3.6327622E-17,9.503138E-18,3.8198862E-16
3754.7935,8.960211E-17,1.0023228E-17,3.9662953E-16
3760.313,7.5724805E-17,9.899158E-18,4.0956198E-16
3765.8325,7.682531E-17,9.8951696E-18,4.1898405E-16
3771.352,5.0554314E-17,1.0007658E-17,4.7074147E-16
3776.8716,8.17348E-17,1.02286615E-17,4.7452903E-16
3782.391,5.618955E-17,9.855264E-18,4.651111E-16
3787.9104,5.724266E-17,9.542048E-18,4.2955373E-16
3793.43,6.3076955E-17,9.352092E-18,4.0567447E-16
3798.9495,7.7605304E-17,9.415614E-18,4.073201E-16
3804.469,7.520631E-17,9.378271E-18,4.1515597E-16
3809.9885,4.0905167E-17,8.888098E-18,4.0019167E-16
3815.508,5.1005356E-17,8.657015E-18,3.6292672E-16
3821.0276,4.4390085E-17,8.149155E-18,3.1153528E-16
3826.547,3.803801E-17,7.857925E-18,2.8911E-16
3832.0667,3.4804048E-17,7.749988E-18,2.8625478E-16
3837.5862,2.922713E-17,7.806629E-18,3.0865155E-16
3843.1057,5.5719515E-17,8.156352E-18,3.3071867E-16
3848.6252,4.1406137E-17,8.125822E-18,3.5225517E-16
3854.1448,4.2273982E-17,8.100752E-18,3.5587372E-16
3859.6643,4.3079864E-17,7.98639E-18,3.4710767E-16
3865.1838,3.8731594E-17,7.935577E-18,3.5327418E-16
3870.7031,3.967285E-17,7.922794E-18,3.575323E-16
3876.2227,3.2363594E-17,7.737936E-18,3.4729055E-16
3881.7422,2.0336699E-17,7.636659E-18,3.5698818E-16
3887.2617,2.7864545E-17,7.70359E-18,3.640423E-16
3892.7812,8.279439E-18,7.717547E-18,3.994614E-16
3898.3008,2.392671E-17,7.9907525E-18,4.2538558E-16
3903.8203,1.907559E-17,8.045663E-18,4.468459E-16
3909.3398,2.9340788E-17,8.141651E-18,4.563347E-16
3914.8594,2.3896437E-17,8.0717095E-18,4.599511E-16
3920.379,4.088297E-17,7.693871E-18,3.8552506E-16
3925.8984,3.6783498E-17,7.068693E-18,3.0408642E-16
3931.418,3.5145167E-17,6.7430692E-18,2.6725157E-16
3936.9375,3.324859E-17,6.681096E-18,2.662874E-16
3942.457,6.0170964E-17,7.258255E-18,3.1689938E-16
3947.9766,5.3280818E-17,7.598514E-18,3.847758E-16
3953.4958,5.711068E-17,7.768967E-18,4.1274383E-16
3959.0154,5.706871E-17,7.522704E-18,3.7916837E-16
3964.535,5.50872E-17,7.057273E-18,3.16677E-16
3970.0544,7.94774E-17,7.112468E-18,2.9643284E-16
3975.574,1.0206151E-16,7.502026E-18,3.340801E-16
3981.0935,7.838637E-17,7.818502E-18,4.231668E-16
3986.613,6.807728E-17,8.104322E-18,4.927131E-16
3992.1326,8.717139E-17,8.373399E-18,5.2146075E-16
3997.652,7.718054E-17,8.310713E-18,5.303349E-16
4003.1716,9.390434E-17,8.435396E-18,5.3727993E-16
4008.6912,9.2888836E-17,8.514288E-18,5.6049774E-16
4014.2107,1.02931053E-16,8.5869545E-18,5.6648934E-16
4019.7302,1.08858696E-16,8.639769E-18,5.7547E-16
4025.2498,1.1587417E-16,8.556292E-18,5.5577574E-16
4030.7693,1.3140272E-16,8.662716E-18,5.6149634E-16
4036.2886,1.2533132E-16,8.5590884E-18,5.539778E-16
4041.808,1.6138692E-16,8.66476E-18,5.331783E-16
4047.3276,1.499473E-16,8.661312E-18,5.537991E-16
4052.8472,1.6652457E-16,8.602075E-18,5.257336E-16
4058.3667,1.6613901E-16,8.558687E-18,5.217658E-16
4063.8862,1.6283682E-16,8.4929595E-18,5.17956E-16
4069.4058,1.6266438E-16,8.436633E-18,5.1163633E-16
4074.9253,1.5884291E-16,8.4223745E-18,5.192914E-16
4080.4448,1.5932891E-16,8.484774E-18,5.355749E-16
4085.9644,1.6579996E-16,8.546729E-18,5.4461545E-16
4091.484,1.4695433E-16,8.462582E-18,5.5713296E-16
4097.0034,1.546656E-16,8.322929E-18,5.2148817E-16
4102.523,1.402168E-16,8.149881E-18,5.097834E-16
4108.0425,1.2477603E-16,7.99943E-18,5.0427286E-16
4113.562,1.2312613E-16,8.073518E-18,5.249817E-16
4119.0815,1.06929055E-16,8.1144855E-18,5.5894254E-16
4124.601,9.923567E-17,8.049601E-18,5.595523E-16
4130.1206,1.1047427E-16,8.048038E-18,5.474351E-16
4135.64,1.08482554E-16,7.9368335E-18,5.313189E-16
4141.1597,1.0221069E-16,7.916019E-18,5.392164E-16
4146.679,1.01161006E-16,7.952579E-18,5.504586E-16
4152.1987,1.01451604E-16,7.882123E-18,5.3946327E-16
4157.7183,8.068844E-17,7.85449E-18,5.6006507E-16
4163.2373,8.9858284E-17,7.908611E-18,5.6132095E-16
4168.757,1.10659746E-16,7.9445685E-18,5.434764E-16
4174.2764,1.0931657E-16,7.907362E-18,5.4111943E-16
4179.796,9.2082566E-17,7.7701715E-18,5.3865647E-16
4185.3154,9.5889907E-17,7.62244E-18,5.0696145E-16
4190.835,9.7303605E-17,7.699786E-18,5.226558E-16
4196.3545,9.480678E-17,7.605637E-18,5.097021E-16
4201.874,1.1249157E-16,7.7093986E-18,5.088649E-16
4207.3936,8.9568996E-17,7.585031E-18,5.1706486E-16
4212.913,9.4055644E-17,7.62837E-18,5.236086E-16
4218.4326,7.46392E-17,7.504345E-18,5.26068E-16
4223.952,6.966308E-17,7.36958E-18,5.0842824E-16
4229.4717,8.115519E-17,7.37819E-18,4.9698266E-16
