WAVE,FLUX,ERR,SKYBACK
3643.0664,5.343385E-16,1.3031708E-17,8.949806E-16
3648.5854,5.7116443E-16,1.3255204E-17,9.454492E-16
3654.1045,6.2427853E-16,1.34105466E-17,9.593117E-16
3659.6235,5.99659E-16,1.3134861E-17,9.505507E-16
3665.1426,5.886519E-16,1.279478E-17,9.062763E-16
3670.6616,5.976579E-16,1.2566185E-17,8.6591945E-16
3676.181,6.0736445E-16,1.2450348E-17,8.5537336E-16
3681.7,6.1065363E-16,1.2396535E-17,8.695425E-16
3687.219,5.956217E-16,1.2279291E-17,8.889897E-16
3692.738,5.921259E-16,1.2179607E-17,8.961688E-16
3698.257,5.983251E-16,1.205059E-17,8.824447E-16
3703.7761,6.11954E-16,1.1868129E-17,8.4394313E-16
3709.2952,5.9089924E-16,1.1601036E-17,8.218733E-16
3714.8142,6.0493156E-16,1.1523009E-17,8.1164915E-16
3720.3333,5.8311453E-16,1.1077808E-17,7.3668695E-16
3725.8523,5.669267E-16,1.0794853E-17,7.028986E-16
3731.3713,5.614801E-16,1.0637225E-17,6.9038797E-16
3736.8904,5.807836E-16,1.0513685E-17,6.5546273E-16
3742.4094,5.792601E-16,1.0563194E-17,6.9525227E-16
3747.9287,5.8117964E-16,1.0568986E-17,7.185584E-16
3753.4478,5.614027E-16,1.051706E-17,7.518847E-16
3758.9668,5.9630167E-16,1.0628772E-17,7.654405E-16
3764.4858,6.1580486E-16,1.0776361E-17,8.104908E-16
3770.005,6.051442E-16,1.0757021E-17,8.4290636E-16
3775.524,6.0088147E-16,1.0783012E-17,8.8105604E-16
3781.043,6.114077E-16,1.0642424E-17,8.4676306E-16
3786.562,6.2310496E-16,1.0400103E-17,7.769821E-16
3792.081,6.3183147E-16,1.0282997E-17,7.5091043E-16
3797.6,6.1381243E-16,1.0148986E-17,7.5349907E-16
3803.1191,6.209302E-16,1.0142382E-17,7.6342926E-16
3808.6382,6.3035197E-16,1.0000646E-17,7.263512E-16
3814.1572,6.349596E-16,9.688849E-18,6.414755E-16
3819.6763,6.466139E-16,9.393073E-18,5.5401783E-16
3825.1956,6.346988E-16,9.128659E-18,5.0602436E-16
3830.7146,6.386437E-16,9.079544E-18,5.023967E-16
3836.2336,6.1718495E-16,9.050093E-18,5.357065E-16
3841.7527,6.367569E-16,9.2715656E-18,5.96671E-16
3847.2717,6.080828E-16,9.228526E-18,6.3552924E-16
3852.7908,5.671701E-16,9.018274E-18,6.361192E-16
3858.3098,5.6266445E-16,8.890075E-18,6.1773605E-16
3863.8289,5.449809E-16,8.757491E-18,6.1279467E-16
3869.348,5.119544E-16,8.601394E-18,6.2035634E-16
3874.867,4.9629264E-16,8.4322246E-18,6.011487E-16
3880.386,4.6952614E-16,8.2608964E-18,5.955219E-16
