WAVE,FLUX,ERR,SKYBACK
3648.381,3.0438267E-16,3.5904234E-17,3.2190465E-16
3653.9016,3.3059426E-16,3.5305806E-17,2.842551E-16
3659.422,3.5479463E-16,3.5047044E-17,2.8201965E-16
3664.9424,2.387486E-16,3.3064365E-17,2.6682234E-16
3670.463,2.3542725E-16,3.2451937E-17,2.6484984E-16
3675.9834,2.2438612E-16,3.173893E-17,2.5230134E-16
3681.504,2.453519E-16,3.1412978E-17,2.4564522E-16
3687.0242,2.8316084E-16,3.158238E-17,2.563315E-16
3692.5447,3.1541093E-16,3.1472075E-17,2.574018E-16
3698.0652,2.4914323E-16,3.0370634E-17,2.6992664E-16
3703.5857,2.2076111E-16,2.9928106E-17,2.919769E-16
3709.106,2.2648573E-16,2.9669162E-17,3.0528566E-16
3714.6265,1.7864845E-16,2.8653702E-17,2.9830253E-16
3720.147,2.3215654E-16,2.875644E-17,2.8003889E-16
3725.6675,2.3034622E-16,2.871318E-17,3.1923234E-16
3731.1877,1.951572E-16,2.781933E-17,3.0895238E-16
3736.7083,2.1478257E-16,2.7870388E-17,3.215938E-16
3742.2288,2.1063187E-16,2.7436952E-17,3.1521574E-16
3747.7493,1.8511966E-16,2.658848E-17,3.0511122E-16
3753.2695,2.1767565E-16,2.6414595E-17,2.7051257E-16
3758.79,1.9441271E-16,2.5732206E-17,2.6263802E-16
3764.3105,1.7370037E-16,2.5361836E-17,2.7896194E-16
3769.8308,1.5905153E-16,2.4773072E-17,2.653327E-16
3775.3513,1.5223305E-16,2.44391E-17,2.8027412E-16
3780.8718,1.3688412E-16,2.408382E-17,2.7962328E-16
3786.3923,1.63799E-16,2.3850102E-17,2.4950033E-16
3791.9126,1.2878217E-16,2.3340385E-17,2.6764529E-16
3797.433,1.333558E-16,2.3116801E-17,2.5943346E-16
3802.9536,1.4616546E-16,2.2956161E-17,2.4988245E-16
3808.474,1.01612805E-16,2.2322504E-17,2.7256618E-16
3813.9944,1.1347062E-16,2.2390532E-17,2.7759647E-16
3819.515,4.6360323E-17,2.130846E-17,2.784256E-16
3825.0354,1.06816427E-16,2.1968569E-17,2.8355788E-16
3830.556,1.108697E-16,2.1821165E-17,2.8331383E-16
3836.0762,6.884242E-17,2.1096452E-17,2.814369E-16
3841.5967,1.0562976E-16,2.1506529E-17,2.9599415E-16
3847.1172,8.5378115E-17,2.0799559E-17,2.6690765E-16
3852.6377,7.8799495E-17,2.0568071E-17,2.705375E-16
3858.158,9.8925196E-17,2.050052E-17,2.5596933E-16
3863.6785,9.9725384E-17,2.0214137E-17,2.5242548E-16
3869.199,6.886608E-17,1.9635837E-17,2.3944573E-16
3874.7192,9.476611E-17,1.9861205E-17,2.44447E-16
3880.2397,8.053351E-17,1.942508E-17,2.3439016E-16
3885.7603,9.7803195E-17,1.9454375E-17,2.323621E-16
3891.2808,9.413611E-17,1.9450068E-17,2.4709717E-16
3896.801,1.3519523E-16,1.993878E-17,2.624519E-16
3902.3215,1.6471974E-16,2.0423594E-17,2.9015402E-16
3907.842,1.5912918E-16,2.0327998E-17,3.040062E-16
3913.3625,2.0424336E-16,2.071308E-17,3.0754186E-16
3918.8828,2.0389433E-16,2.0439549E-17,2.8849746E-16
3924.4033,1.9590043E-16,1.9921734E-17,2.5704E-16
3929.9238,1.9609632E-16,1.9572523E-17,2.369997E-16
3935.4443,1.9120599E-16,1.9416695E-17,2.3415056E-16
3940.9646,2.2547342E-16,1.9608517E-17,2.2994197E-16
3946.485,2.2974374E-16,1.978973E-17,2.5457827E-16
3952.0056,2.5863624E-16,1.9849312E-17,2.4062168E-16
3957.5261,2.6534459E-16,1.9704278E-17,2.2912085E-16
3963.0464,2.703385E-16,1.9639858E-17,2.2433125E-16
3968.567,3.5989453E-16,2.031518E-17,2.1180105E-16
3974.0874,3.261919E-16,1.9945907E-17,2.2157088E-16
3979.6077,3.5916735E-16,2.0299593E-17,2.3576598E-16
3985.1282,3.9600212E-16,2.0765013E-17,2.5776618E-16
3990.6487,3.4982537E-16,2.0501016E-17,2.8462345E-16
3996.1692,4.02819E-16,2.0843883E-17,2.7859332E-16
4001.6895,4.150817E-16,2.118268E-17,3.1501454E-16
4007.21,4.634714E-16,2.1518544E-17,3.1761607E-16
4012.7305,4.5017906E-16,2.1309599E-17,3.1913613E-16
4018.251,4.9885815E-16,2.1626592E-17,3.1173451E-16
4023.7712,4.9933164E-16,2.1468106E-17,3.0397797E-16
4029.2917,5.016067E-16,2.1495486E-17,3.152713E-16
4034.8123,5.396095E-16,2.1728931E-17,3.1646122E-16
4040.3328,5.526157E-16,2.1766315E-17,3.1766568E-16
4045.853,5.672383E-16,2.169213E-17,3.04909E-16
4051.3735,5.0045957E-16,2.1063335E-17,3.1070047E-16
4056.894,5.1398203E-16,2.1207649E-17,3.2306167E-16
4062.4146,4.9442785E-16,2.1001952E-17,3.2943046E-16
4067.9348,4.4163358E-16,2.0421308E-17,3.2614202E-16
4073.4553,4.4747676E-16,2.0456347E-17,3.320676E-16
4078.9758,4.4716304E-16,2.0321555E-17,3.2306228E-16
4084.496,4.3627168E-16,2.0106908E-17,3.1996307E-16
4090.0166,4.1007035E-16,1.96462E-17,3.0189522E-16
4095.537,3.9401196E-16,1.9329962E-17,2.9074774E-16
4101.0576,3.786831E-16,1.8987198E-17,2.7165458E-16
4106.578,3.633191E-16,1.8796683E-17,2.7306436E-16
4112.0986,4.0919037E-16,1.9013818E-17,2.563201E-16
4117.6187,3.6828193E-16,1.8727457E-17,2.7394411E-16
4123.139,3.8794276E-16,1.8920567E-17,2.8247532E-16
4128.6597,3.6070437E-16,1.8648545E-17,2.8816611E-16
4134.18,3.8770458E-16,1.8975171E-17,3.0369085E-16
4139.7007,3.7392518E-16,1.8718945E-17,2.9469028E-16
4145.221,3.723325E-16,1.8718469E-17,3.0414576E-16
4150.7417,3.940445E-16,1.8805672E-17,2.9688545E-16
4156.262,3.9250488E-16,1.8860062E-17,3.1503122E-16
4161.782,4.290703E-16,1.915168E-17,3.227439E-16
4167.3027,4.0269455E-16,1.886375E-17,3.155736E-16
4172.823,4.757997E-16,1.9438134E-17,3.1613755E-16
4178.3438,4.2528632E-16,1.8988007E-17,3.2254075E-16
4183.8643,4.7815486E-16,1.9231642E-17,3.0226956E-16
4189.385,4.942301E-16,1.9330018E-17,3.0029541E-16
4194.9053,4.978633E-16,1.9176358E-17,2.8341254E-16
4200.4253,4.797361E-16,1.896831E-17,2.8377764E-16
4205.946,4.835484E-16,1.8906717E-17,2.7565173E-16
4211.4663,4.998906E-16,1.8926652E-17,2.65535E-16
4216.987,4.983791E-16,1.8830904E-17,2.6164977E-16
4222.5073,4.7520475E-16,1.8635057E-17,2.67312E-16
4228.028,4.7276085E-16,1.8549962E-17,2.6622682E-16
4233.5483,5.2148515E-16,1.8848252E-17,2.5646728E-16
4239.069,5.2370634E-16,1.8856772E-17,2.6147105E-16
4244.589,5.4344416E-16,1.895837E-17,2.5634597E-16
4250.1094,5.131624E-16,1.8599497E-17,2.5112618E-16
4255.63,4.904364E-16,1.8531436E-17,2.6982317E-16
4261.1504,4.8096034E-16,1.849477E-17,2.8031377E-16
4266.671,4.570155E-16,1.8186072E-17,2.7112082E-16
4272.1914,4.6146207E-16,1.8100386E-17,2.5947454E-16
4277.712,4.5428045E-16,1.8045182E-17,2.693823E-16
4283.232,4.4459574E-16,1.7837175E-17,2.5733433E-16
4288.7524,4.6079296E-16,1.792796E-17,2.5003706E-16
4294.273,4.483078E-16,1.7746113E-17,2.4451957E-16
4299.7935,4.455143E-16,1.7625859E-17,2.3807094E-16
4305.314,4.792637E-16,1.7809233E-17,2.2751337E-16
4310.8345,4.3721535E-16,1.7543278E-17,2.4355826E-16
4316.355,4.1897463E-16,1.7405243E-17,2.4919222E-16
4321.8755,4.4611494E-16,1.7562298E-17,2.4281983E-16
4327.3955,4.437053E-16,1.7486848E-17,2.4226873E-16
