WAVE,FLUX,ERR,BGFLUX
3639.9326,9.7300726E-17,3.9315388E-17,5.188927E-16
3645.4546,1.80094E-16,3.995981E-17,5.4747186E-16
3650.9766,1.9531807E-16,3.9719972E-17,5.745779E-16
3656.4985,6.46074E-17,3.8168496E-17,6.56491E-16
3662.0205,1.243187E-16,3.7335998E-17,5.547692E-16
3667.5422,2.748259E-16,3.80209E-17,4.9472913E-16
3673.0642,2.1165139E-16,3.6800356E-17,5.085614E-16
3678.5862,2.356162E-16,3.6827765E-17,5.3988255E-16
3684.1082,1.7385481E-16,3.6079696E-17,6.007229E-16
3689.6301,1.6265362E-16,3.5172276E-17,5.7091424E-16
3695.1519,2.593676E-16,3.545885E-17,5.29949E-16
3700.6738,2.0846888E-16,3.4176013E-17,5.1053656E-16
3706.1958,2.390938E-16,3.4220055E-17,5.2807094E-16
3711.7178,2.6501527E-16,3.3874743E-17,5.171374E-16
3717.2397,2.6288554E-16,3.323638E-17,4.944778E-16
3722.7617,2.169379E-16,3.1954334E-17,4.4840415E-16
3728.2834,3.1051566E-16,3.2098886E-17,3.8985504E-16
3733.8054,3.951409E-16,3.2234107E-17,3.4260704E-16
3739.3274,2.5181596E-16,3.1265928E-17,4.570264E-16
3744.8494,3.4082033E-16,3.2150446E-17,4.844202E-16
3750.3713,3.6111034E-16,3.2113295E-17,5.032584E-16
3755.893,4.1746784E-16,3.2537636E-17,5.1640883E-16
3761.415,4.4149139E-16,3.2327095E-17,5.044639E-16
3766.937,4.307441E-16,3.248233E-17,5.7625864E-16
3772.459,4.0468886E-16,3.171074E-17,5.525783E-16
3777.981,4.9437756E-16,3.223219E-17,5.3817223E-16
3783.503,5.518089E-16,3.2197804E-17,4.9691447E-16
3789.0247,5.6514213E-16,3.1638682E-17,4.4394582E-16
3794.5466,5.4711076E-16,3.1507627E-17,4.8593126E-16
3800.0686,6.9917795E-16,3.2450008E-17,4.545888E-16
3805.5906,6.94323E-16,3.2080622E-17,4.4063117E-16
3811.1125,7.3196167E-16,3.195893E-17,4.1162617E-16
3816.6343,7.413902E-16,3.1710723E-17,3.9853776E-16
3822.1562,7.845755E-16,3.1552354E-17,3.560673E-16
3827.6782,8.605337E-16,3.199228E-17,3.5799898E-16
3833.2002,8.6607123E-16,3.2030713E-17,3.7918036E-16
3838.7222,9.337436E-16,3.2429838E-17,3.831985E-16
3844.2441,9.329405E-16,3.2796656E-17,4.6755E-16
3849.7659,1.0029153E-15,3.2949853E-17,4.3426932E-16
3855.2878,1.0085906E-15,3.2757186E-17,4.3195642E-16
3860.8098,1.0486903E-15,3.270052E-17,4.0591073E-16
3866.3318,9.924192E-16,3.2520215E-17,4.7288155E-16
3871.8538,1.0646505E-15,3.2587068E-17,4.1541603E-16
3877.3757,1.0567478E-15,3.2688834E-17,4.7090574E-16
3882.8975,1.1077101E-15,3.2860858E-17,4.618628E-16
3888.4194,1.1412985E-15,3.3316033E-17,5.188949E-16
3893.9414,1.1221749E-15,3.3159613E-17,5.40544E-16
3899.4634,1.0730345E-15,3.3050332E-17,6.0895745E-16
3904.9854,1.1207553E-15,3.3190103E-17,5.9855075E-16
3910.507,1.122871E-15,3.321932E-17,6.2549963E-16
3916.029,1.1021477E-15,3.2399596E-17,5.4580675E-16
3921.551,1.1025738E-15,3.1584618E-17,4.3329375E-16
3927.073,1.1082106E-15,3.081383E-17,3.3172912E-16
3932.595,1.0393719E-15,3.0220372E-17,3.3904373E-16
3938.117,1.0312906E-15,3.0207326E-17,3.6498888E-16
3943.6387,1.1149135E-15,3.099122E-17,4.0544148E-16
3949.1606,1.0583341E-15,3.0885283E-17,4.771392E-16
3954.6826,1.0156209E-15,3.01931E-17,4.4028725E-16
3960.2046,9.643698E-16,2.9492407E-17,4.0919137E-16
3965.7266,1.0266237E-15,2.9588823E-17,3.6580545E-16
3971.2483,1.077229E-15,2.9997232E-17,3.8513696E-16
3976.7703,9.951724E-16,2.9732484E-17,4.6218247E-16
3982.2922,1.0068314E-15,3.031168E-17,5.6540254E-16
3987.8142,9.390034E-16,3.0147623E-17,6.3964185E-16
3993.3362,1.0169781E-15,3.0548604E-17,6.188749E-16
3998.8582,9.922079E-16,3.026718E-17,6.1921645E-16
4004.38,9.58703E-16,2.9962626E-17,6.2805746E-16
4009.9019,9.549876E-16,2.9874978E-17,6.367044E-16
4015.4238,1.0140038E-15,3.0266658E-17,6.409467E-16
4020.9458,1.0359662E-15,3.0324924E-17,6.4285894E-16
4026.4678,1.0852956E-15,3.070009E-17,6.5972966E-16
4031.9895,1.0983992E-15,3.057566E-17,6.3692404E-16
4037.5115,1.1277122E-15,3.068942E-17,6.367262E-16
4043.0334,1.1826516E-15,3.086689E-17,6.189988E-16
4048.5554,1.0814389E-15,3.0095137E-17,6.294509E-16
4054.0774,1.1304517E-15,3.0499797E-17,6.5038477E-16
4059.5994,1.1913824E-15,3.0580182E-17,6.073193E-16
4065.121,1.1442592E-15,3.0235377E-17,6.1555287E-16
4070.643,1.1863074E-15,3.055593E-17,6.382021E-16
4076.165,1.1929392E-15,3.051094E-17,6.3265357E-16
4081.687,1.176009E-15,3.0126176E-17,6.017806E-16
4087.209,1.2019749E-15,3.034442E-17,6.2125134E-16
4092.731,1.1783846E-15,3.027807E-17,6.524496E-16
4098.253,1.171835E-15,2.974948E-17,5.763608E-16
4103.775,1.1310724E-15,2.9341592E-17,5.752001E-16
4109.2964,1.1964662E-15,3.0003614E-17,6.175747E-16
4114.8184,1.1312363E-15,2.9648618E-17,6.463701E-16
4120.3403,1.0912294E-15,2.928446E-17,6.4538876E-16
4125.8623,1.0724642E-15,2.9126383E-17,6.5403003E-16
4131.3843,1.0671452E-15,2.889454E-17,6.302746E-16
4136.9062,1.0686544E-15,2.8819796E-17,6.23477E-16
4142.428,1.087656E-15,2.8871925E-17,6.2246974E-16
4147.95,1.0306225E-15,2.8595862E-17,6.563545E-16
4153.472,1.0953789E-15,2.890906E-17,6.4450017E-16
4158.994,1.1196474E-15,2.891056E-17,6.20971E-16
4164.516,1.0569858E-15,2.857413E-17,6.5229457E-16
4170.038,1.0902209E-15,2.857768E-17,6.177888E-16
4175.5596,1.0246483E-15,2.8130527E-17,6.319963E-16
