WAVE,FLUX,ERR,BGFLUX
3638.924,1.76174E-17,1.0229113E-17,1.8710043E-16
3644.4436,-6.172524E-18,1.025956E-17,1.99502E-16
3649.9631,1.2993623E-18,1.0326311E-17,1.8731854E-16
3655.4827,4.477904E-17,1.0909561E-17,1.6598897E-16
3661.002,2.422666E-17,1.0408853E-17,1.3854718E-16
3666.5215,1.19027584E-17,1.0163526E-17,1.3618896E-16
3672.041,4.5443844E-17,1.0545777E-17,1.3279576E-16
3677.5605,3.3890364E-17,1.0197063E-17,1.2652307E-16
3683.0798,-6.3077795E-18,9.804336E-18,1.4868793E-16
3688.5994,2.2942223E-17,9.98784E-18,1.5703637E-16
3694.119,1.3136079E-17,9.8095514E-18,1.7576397E-16
3699.6384,2.3028399E-17,9.613775E-18,1.6215792E-16
3705.158,2.8021316E-17,9.2327336E-18,1.3665709E-16
3710.6772,-4.9343065E-18,8.801566E-18,1.5100386E-16
3716.1968,2.5549472E-17,8.790499E-18,1.4003064E-16
3721.7163,-5.6376416E-18,8.370279E-18,1.5080531E-16
3727.2358,1.1998938E-17,8.446182E-18,1.6871328E-16
3732.7551,1.7800154E-17,8.251296E-18,1.605722E-16
3738.2747,9.9993745E-18,8.005206E-18,1.6580497E-16
3743.7942,2.385646E-17,7.898287E-18,1.5581044E-16
3749.3137,1.3081217E-17,7.448053E-18,1.3457653E-16
3754.8333,1.3212548E-17,7.2671556E-18,1.3212973E-16
3760.3525,3.5860996E-17,7.30593E-18,1.2182013E-16
3765.872,1.9526905E-17,7.062172E-18,1.3588187E-16
3771.3916,-2.7408909E-18,6.8390937E-18,1.509786E-16
3776.9111,2.3928098E-17,6.7889993E-18,1.2870932E-16
3782.4304,1.6289719E-17,6.6768526E-18,1.3956656E-16
3787.95,1.5420461E-17,6.4545015E-18,1.2756402E-16
3793.4695,2.1150942E-17,6.3102015E-18,1.1541865E-16
3798.989,2.9547318E-17,6.323619E-18,1.1685047E-16
3804.5085,2.9829648E-17,6.1693355E-18,1.115634E-16
