WAVE,FLUX,ERR,BGFLUX
3635.11,9.614029E-16,3.9582673E-17,3.9868325E-17
3640.6301,9.555608E-16,3.9310323E-17,8.258163E-17
3646.1501,9.225049E-16,3.8398124E-17,8.5019986E-17
3651.6702,8.960767E-16,3.736046E-17,5.911194E-17
3657.1904,9.823714E-16,3.768502E-17,4.4276738E-17
3662.7104,9.395467E-16,3.7096718E-17,8.601468E-17
3668.2305,8.384501E-16,3.5353716E-17,7.379189E-17
3673.7505,9.746309E-16,3.591761E-17,1.014538E-17
3679.2705,8.7959146E-16,3.477767E-17,6.122699E-17
3684.7905,9.373792E-16,3.5003243E-17,5.3054107E-17
3690.3105,9.011742E-16,3.4164114E-17,5.6724E-17
3695.8306,9.335947E-16,3.3953008E-17,3.0553527E-17
3701.3506,8.908785E-16,3.315023E-17,3.6328327E-17
3706.8708,8.296945E-16,3.2313596E-17,6.2525094E-17
3712.3909,7.238032E-16,3.0782686E-17,7.130194E-17
3717.911,7.491898E-16,3.0620582E-17,5.595712E-17
3723.431,6.725059E-16,2.927794E-17,4.8038478E-17
3728.951,6.325461E-16,2.8340495E-17,3.1410506E-17
3734.471,5.6903255E-16,2.7433865E-17,4.9168813E-17
3739.991,4.824091E-16,2.6149695E-17,6.071889E-17
3745.511,4.4195021E-16,2.5272925E-17,5.406846E-17
3751.0312,4.1650892E-16,2.4752415E-17,6.408392E-17
3756.5513,3.746746E-16,2.3962742E-17,6.925807E-17
3762.0713,3.354008E-16,2.3302795E-17,8.0625486E-17
3767.5913,3.263737E-16,2.2873607E-17,7.516525E-17
3773.1113,2.7707385E-16,2.202706E-17,8.386233E-17
3778.6313,2.515908E-16,2.1715407E-17,1.1169621E-16
3784.1514,2.4406484E-16,2.1240529E-17,9.575134E-17
3789.6714,2.738789E-16,2.1148173E-17,6.3348886E-17
3795.1914,2.7987898E-16,2.1192066E-17,7.793883E-17
3800.7117,2.7323843E-16,2.0808038E-17,7.006299E-17
3806.2317,2.3423171E-16,2.0285248E-17,9.452304E-17
3811.7517,2.7015168E-16,2.0445486E-17,7.1612374E-17
3817.2717,2.6621618E-16,2.0016861E-17,5.4952847E-17
3822.7917,3.0229433E-16,2.014485E-17,2.7881363E-17
3828.3118,2.3973491E-16,1.9332996E-17,6.180977E-17
3833.8318,2.738064E-16,1.992056E-17,7.871477E-17
3839.3518,3.159218E-16,2.0180067E-17,5.917791E-17
3844.872,3.2404092E-16,2.032473E-17,8.060595E-17
3850.392,3.585546E-16,2.0380016E-17,4.8776634E-17
3855.912,3.8848695E-16,2.0834104E-17,7.2401405E-17
3861.4321,4.358197E-16,2.1071726E-17,5.0631047E-17
3866.9521,4.5483425E-16,2.1461275E-17,8.042429E-17
3872.4722,5.179725E-16,2.1994774E-17,6.5271274E-17
3877.9922,5.292954E-16,2.1984714E-17,6.4294373E-17
3883.5122,4.8485055E-16,2.1419961E-17,7.7622635E-17
3889.0322,4.5137184E-16,2.1005001E-17,8.7603026E-17
3894.5525,5.1032904E-16,2.1570478E-17,8.739159E-17
3900.0725,4.9843627E-16,2.1478878E-17,1.0747697E-16
3905.5925,5.4280735E-16,2.173347E-17,8.712269E-17
3911.1125,5.577629E-16,2.1880864E-17,1.0265566E-16
3916.6326,4.855664E-16,2.084126E-17,9.233604E-17
3922.1526,5.0237386E-16,2.072013E-17,6.3325414E-17
3927.6726,5.028881E-16,2.0656865E-17,6.590689E-17
3933.1926,5.179752E-16,2.0704835E-17,6.2165826E-17
3938.713,5.528832E-16,2.1022148E-17,6.5361866E-17
3944.233,5.7460804E-16,2.1426256E-17,9.514906E-17
3949.753,6.138567E-16,2.1734915E-17,9.2184554E-17
3955.273,6.782432E-16,2.224197E-17,8.2400265E-17
3960.793,7.4399907E-16,2.2691424E-17,6.43161E-17
3966.313,7.4845573E-16,2.2651656E-17,6.57863E-17
3971.833,8.18735E-16,2.3176153E-17,5.728268E-17
3977.353,8.813417E-16,2.3797225E-17,7.332222E-17
3982.873,9.58618E-16,2.4591259E-17,9.7602594E-17
3988.3933,9.592233E-16,2.4607571E-17,1.1468733E-16
3993.9133,1.0322836E-15,2.5272697E-17,1.2943533E-16
3999.4333,1.0242911E-15,2.5143922E-17,1.3439444E-16
4004.9534,1.1223441E-15,2.5936614E-17,1.3898833E-16
4010.4734,1.127366E-15,2.5870782E-17,1.393273E-16
4015.9934,1.2112636E-15,2.6348665E-17,1.1890552E-16
4021.5134,1.1822336E-15,2.6075671E-17,1.2714248E-16
4027.0334,1.217126E-15,2.6197447E-17,1.1918642E-16
4032.5537,1.2309028E-15,2.6435491E-17,1.4910189E-16
4038.0737,1.1649353E-15,2.5627558E-17,1.1917927E-16
4043.5938,1.3191945E-15,2.6836823E-17,1.299839E-16
4049.1138,1.2550183E-15,2.6260136E-17,1.2908831E-16
4054.6338,1.3326279E-15,2.6738244E-17,1.221596E-16
4060.1538,1.3145035E-15,2.6470906E-17,1.145069E-16
4065.6738,1.3663355E-15,2.6845354E-17,1.2276641E-16
4071.1938,1.3932933E-15,2.6986597E-17,1.2632099E-16
4076.714,1.3649426E-15,2.683312E-17,1.4931572E-16
4082.2341,1.3586678E-15,2.6631644E-17,1.3423107E-16
4087.7542,1.2843405E-15,2.5999519E-17,1.3523809E-16
4093.2742,1.2915654E-15,2.5898044E-17,1.2233985E-16
4098.794,1.2148882E-15,2.5285647E-17,1.3103061E-16
4104.3145,1.2288181E-15,2.5230885E-17,1.1422991E-16
4109.8345,1.2066365E-15,2.5246269E-17,1.5088088E-16
4115.3545,1.1408162E-15,2.4613368E-17,1.4444658E-16
4120.8745,1.152941E-15,2.4587987E-17,1.3249934E-16
4126.3945,1.1214832E-15,2.428321E-17,1.3330349E-16
4131.9146,1.1046412E-15,2.4061036E-17,1.32272E-16
4137.4346,1.0671872E-15,2.384101E-17,1.5043193E-16
4142.9546,1.1035529E-15,2.3953815E-17,1.3104383E-16
