WAVE,FLUX,ERR,BGFLUX
3633.11,5.902639E-16,2.1822777E-17,-4.626097E-18
3638.6301,5.756823E-16,2.1234165E-17,-1.777017E-17
3644.1501,5.904437E-16,2.1075632E-17,-1.4722945E-17
3649.6702,6.354711E-16,2.1312153E-17,-6.3677977E-19
3655.1904,5.9121317E-16,2.037789E-17,-3.0924422E-17
3660.7104,6.2910487E-16,2.0474666E-17,-2.800902E-17
3666.2305,5.631208E-16,1.9528695E-17,-3.0404522E-17
3671.7505,5.906682E-16,1.9590448E-17,-2.229351E-17
3677.2705,5.576088E-16,1.893688E-17,-3.2710305E-17
3682.7905,5.9458097E-16,1.9127493E-17,-2.2738138E-17
3688.3105,6.2349836E-16,1.9317172E-17,-2.80759E-18
3693.8306,6.492344E-16,1.9263367E-17,-9.74773E-18
3699.3506,6.227007E-16,1.886107E-17,-3.3654184E-18
3704.8708,5.608801E-16,1.8059742E-17,-1.6183871E-19
3710.3909,6.535936E-16,1.8467165E-17,-3.9126212E-17
3715.911,6.218211E-16,1.8308718E-17,1.0208109E-17
3721.431,6.2628076E-16,1.8110526E-17,4.5371456E-18
3726.951,6.4346425E-16,1.819746E-17,2.3084937E-17
3732.471,6.294941E-16,1.7871274E-17,2.1852103E-17
3737.991,6.4672707E-16,1.7807736E-17,1.6069138E-17
3743.511,6.358793E-16,1.733996E-17,-1.683492E-17
3749.0312,6.546758E-16,1.7323923E-17,-2.0413348E-17
3754.5513,6.2882217E-16,1.721379E-17,2.5566864E-17
3760.0713,6.4803563E-16,1.7021268E-17,-8.301073E-18
3765.5913,6.1926187E-16,1.6763265E-17,1.7290965E-17
3771.1113,6.348123E-16,1.6681616E-17,3.977241E-18
3776.6313,6.2984814E-16,1.6582792E-17,1.7629242E-17
3782.1514,6.044534E-16,1.606055E-17,-1.1071458E-17
3787.6714,5.983951E-16,1.5912975E-17,-3.4172876E-18
3793.1914,5.6801394E-16,1.5488969E-17,-8.917046E-18
3798.7117,5.3734743E-16,1.5142602E-17,3.8253025E-18
3804.2317,4.900862E-16,1.4653548E-17,1.0858491E-17
3809.7517,5.2145196E-16,1.4730962E-17,-4.4695695E-18
3815.2717,4.8408473E-16,1.4364014E-17,9.77447E-18
3820.7917,4.80712E-16,1.4283636E-17,1.8309694E-17
3826.3118,4.487865E-16,1.3797226E-17,4.835163E-18
3831.8318,4.1870459E-16,1.3480497E-17,1.488005E-17
3837.3518,4.3244648E-16,1.3495407E-17,1.3510278E-17
3842.872,3.9354755E-16,1.3009474E-17,8.387328E-18
3848.392,3.4264283E-16,1.2461371E-17,1.975451E-17
3853.912,3.4801725E-16,1.2379532E-17,1.23412436E-17
3859.4321,3.3482696E-16,1.19940635E-17,-8.856135E-18
3864.9521,3.1100956E-16,1.17241635E-17,-4.4054262E-18
3870.4722,2.9764502E-16,1.1527167E-17,5.1983173E-18
3875.9922,2.6392213E-16,1.1044674E-17,-4.0704954E-18
3881.5122,2.9593468E-16,1.1244634E-17,-1.717008E-17
3887.0322,2.9264938E-16,1.124145E-17,-1.9717316E-18
3892.5525,2.9139032E-16,1.12262645E-17,8.1070425E-18
3898.0725,3.0113194E-16,1.1320922E-17,1.69712E-17
3903.5925,3.1664913E-16,1.14301835E-17,1.9297335E-17
3909.1125,3.0049272E-16,1.1289355E-17,3.2469106E-17
3914.6326,3.2919957E-16,1.1465181E-17,2.2527887E-17
3920.1526,3.2108796E-16,1.116696E-17,6.458413E-19
3925.6726,3.2751066E-16,1.1115336E-17,-9.571747E-18
3931.1926,3.107788E-16,1.09989156E-17,6.83967E-18
3936.713,3.047176E-16,1.0905719E-17,1.2772244E-17
3942.233,2.9772904E-16,1.0799344E-17,1.4234648E-17
3947.753,3.4945183E-16,1.1116546E-17,-8.056087E-18
3953.273,3.4599994E-16,1.1108807E-17,3.9142286E-18
3958.793,3.4123318E-16,1.0960999E-17,-3.2155341E-18
3964.313,3.619304E-16,1.1178002E-17,7.771577E-18
3969.833,3.683832E-16,1.1113581E-17,-1.6458649E-18
