WAVE,FLUX,ERR,BGFLUX
3632.0945,9.8046664E-17,2.4789784E-17,1.3888371E-15
3637.616,1.01349994E-16,2.5371141E-17,1.4946819E-15
3643.1375,1.1478276E-16,2.5349153E-17,1.5174576E-15
3648.659,5.4323108E-17,2.4943267E-17,1.59464E-15
3654.1802,8.987087E-17,2.4920093E-17,1.6000652E-15
3659.7017,1.0586737E-16,2.4458768E-17,1.5620991E-15
3665.2231,1.140356E-16,2.3862137E-17,1.5057642E-15
3670.7446,1.2778711E-16,2.3255242E-17,1.4431734E-15
3676.266,1.4518472E-16,2.3086249E-17,1.4557218E-15
3681.7876,1.6519587E-16,2.3075004E-17,1.4790199E-15
3687.3088,1.302307E-16,2.269314E-17,1.5232982E-15
3692.8303,1.7006833E-16,2.2490386E-17,1.47807E-15
3698.3518,1.3886878E-16,2.1948503E-17,1.4787418E-15
3703.8733,1.5367156E-16,2.1503427E-17,1.4151664E-15
3709.3948,2.136026E-16,2.1492182E-17,1.3618526E-15
3714.916,1.6825367E-16,2.0651646E-17,1.3254556E-15
3720.4375,1.240229E-16,1.9675785E-17,1.2435048E-15
3725.959,1.5108284E-16,1.955385E-17,1.2075846E-15
3731.4805,1.6522712E-16,1.9222907E-17,1.1540909E-15
3737.002,1.9395433E-16,1.9208818E-17,1.1332954E-15
3742.5232,1.4212621E-16,1.9096325E-17,1.2298694E-15
3748.0447,1.3964266E-16,1.914546E-17,1.2707252E-15
3753.5662,1.8969365E-16,1.9663651E-17,1.3254314E-15
3759.0876,1.877328E-16,1.9494534E-17,1.3226596E-15
3764.6091,1.7747262E-16,1.9828831E-17,1.4384683E-15
3770.1304,1.7039304E-16,1.9899846E-17,1.5001756E-15
3775.6519,1.5024717E-16,1.9661742E-17,1.5080191E-15
3781.1733,1.3424548E-16,1.8980419E-17,1.4174846E-15
3786.6948,1.4312391E-16,1.8530259E-17,1.3383902E-15
3792.2163,1.5565288E-16,1.8350241E-17,1.3108119E-15
3797.7378,1.196432E-16,1.8152311E-17,1.355485E-15
3803.259,1.06808545E-16,1.7830722E-17,1.336661E-15
3808.7805,1.2284087E-16,1.7201575E-17,1.2111609E-15
3814.302,8.132699E-17,1.6316842E-17,1.1263564E-15
3819.8235,1.5561014E-16,1.5695499E-17,9.141166E-16
3825.345,1.6030015E-16,1.5554427E-17,9.012144E-16
3830.8662,1.7413295E-16,1.5558558E-17,9.052849E-16
3836.3877,1.648432E-16,1.5998548E-17,1.0334734E-15
3841.9092,1.9497077E-16,1.6420797E-17,1.0994775E-15
3847.4307,1.7943009E-16,1.6319087E-17,1.1309201E-15
3852.9521,1.9011678E-16,1.6128409E-17,1.1020368E-15
3858.4734,1.4626566E-16,1.5636756E-17,1.099331E-15
3863.9949,1.5631075E-16,1.5521027E-17,1.0870692E-15
3869.5164,1.7689472E-16,1.5648676E-17,1.1067451E-15
3875.0378,1.6478555E-16,1.5188068E-17,1.0560258E-15
3880.5593,1.5397438E-16,1.5154357E-17,1.0943571E-15
3886.0806,1.478302E-16,1.5239223E-17,1.1530625E-15
3891.602,1.3864255E-16,1.5392873E-17,1.2285223E-15
3897.1235,1.3104516E-16,1.5556064E-17,1.309077E-15
3902.645,1.09709104E-16,1.555371E-17,1.3717613E-15
3908.1665,1.137292E-16,1.5417269E-17,1.3602727E-15
3913.6877,1.7109637E-16,1.5441257E-17,1.2950678E-15
3919.2092,1.5358392E-16,1.4464166E-17,1.1219281E-15
3924.7307,1.5948486E-16,1.33400385E-17,8.816588E-16
